,Unnamed: 1,TIME,NB,SB,EB,WB
0,2013-02-26,00:00:00,12.0,4.0,,
1,2013-02-26,00:15:00,11.0,3.0,,
2,2013-02-26,00:30:00,13.0,3.0,,
3,2013-02-26,00:45:00,9.0,3.0,,
4,2013-02-26,01:00:00,3.0,0.0,,
5,2013-02-26,01:15:00,8.0,2.0,,
6,2013-02-26,01:30:00,9.0,4.0,,
7,2013-02-26,01:45:00,4.0,5.0,,
8,2013-02-26,02:00:00,6.0,2.0,,
9,2013-02-26,02:15:00,3.0,3.0,,
10,2013-02-26,02:30:00,4.0,2.0,,
11,2013-02-26,02:45:00,6.0,2.0,,
12,2013-02-26,03:00:00,3.0,2.0,,
13,2013-02-26,03:15:00,1.0,4.0,,
14,2013-02-26,03:30:00,1.0,10.0,,
15,2013-02-26,03:45:00,5.0,5.0,,
16,2013-02-26,04:00:00,5.0,8.0,,
17,2013-02-26,04:15:00,5.0,15.0,,
18,2013-02-26,04:30:00,3.0,17.0,,
19,2013-02-26,04:45:00,6.0,18.0,,
20,2013-02-26,05:00:00,3.0,26.0,,
21,2013-02-26,05:15:00,8.0,34.0,,
22,2013-02-26,05:30:00,6.0,43.0,,
23,2013-02-26,05:45:00,15.0,52.0,,
24,2013-02-26,06:00:00,11.0,70.0,,
25,2013-02-26,06:15:00,23.0,93.0,,
26,2013-02-26,06:30:00,32.0,107.0,,
27,2013-02-26,06:45:00,37.0,127.0,,
28,2013-02-26,07:00:00,43.0,133.0,,
29,2013-02-26,07:15:00,34.0,163.0,,
30,2013-02-26,07:30:00,44.0,205.0,,
31,2013-02-26,07:45:00,54.0,188.0,,
32,2013-02-26,08:00:00,72.0,189.0,,
33,2013-02-26,08:15:00,84.0,181.0,,
34,2013-02-26,08:30:00,92.0,137.0,,
35,2013-02-26,08:45:00,62.0,161.0,,
36,2013-02-26,09:00:00,61.0,110.0,,
37,2013-02-26,09:15:00,69.0,106.0,,
38,2013-02-26,09:30:00,75.0,117.0,,
39,2013-02-26,09:45:00,99.0,106.0,,
40,2013-02-26,10:00:00,103.0,111.0,,
41,2013-02-26,10:15:00,79.0,109.0,,
42,2013-02-26,10:30:00,97.0,103.0,,
43,2013-02-26,10:45:00,99.0,121.0,,
44,2013-02-26,11:00:00,116.0,125.0,,
45,2013-02-26,11:15:00,111.0,117.0,,
46,2013-02-26,11:30:00,114.0,106.0,,
47,2013-02-26,11:45:00,115.0,121.0,,
48,2013-02-26,12:00:00,143.0,103.0,,
49,2013-02-26,12:15:00,135.0,110.0,,
50,2013-02-26,12:30:00,148.0,107.0,,
51,2013-02-26,12:45:00,123.0,106.0,,
52,2013-02-26,13:00:00,158.0,102.0,,
53,2013-02-26,13:15:00,132.0,94.0,,
54,2013-02-26,13:30:00,142.0,92.0,,
55,2013-02-26,13:45:00,129.0,104.0,,
56,2013-02-26,14:00:00,142.0,84.0,,
57,2013-02-26,14:15:00,169.0,108.0,,
58,2013-02-26,14:30:00,173.0,103.0,,
59,2013-02-26,14:45:00,184.0,103.0,,
60,2013-02-26,15:00:00,174.0,94.0,,
61,2013-02-26,15:15:00,189.0,96.0,,
62,2013-02-26,15:30:00,225.0,105.0,,
63,2013-02-26,15:45:00,218.0,93.0,,
64,2013-02-26,16:00:00,218.0,89.0,,
65,2013-02-26,16:15:00,211.0,83.0,,
66,2013-02-26,16:30:00,233.0,73.0,,
67,2013-02-26,16:45:00,204.0,86.0,,
68,2013-02-26,17:00:00,250.0,79.0,,
69,2013-02-26,17:15:00,244.0,76.0,,
70,2013-02-26,17:30:00,234.0,83.0,,
71,2013-02-26,17:45:00,225.0,78.0,,
72,2013-02-26,18:00:00,210.0,83.0,,
73,2013-02-26,18:15:00,156.0,73.0,,
74,2013-02-26,18:30:00,139.0,52.0,,
75,2013-02-26,18:45:00,128.0,46.0,,
76,2013-02-26,19:00:00,106.0,36.0,,
77,2013-02-26,19:15:00,114.0,28.0,,
78,2013-02-26,19:30:00,122.0,25.0,,
79,2013-02-26,19:45:00,99.0,29.0,,
80,2013-02-26,20:00:00,104.0,34.0,,
81,2013-02-26,20:15:00,87.0,36.0,,
82,2013-02-26,20:30:00,102.0,22.0,,
83,2013-02-26,20:45:00,94.0,18.0,,
84,2013-02-26,21:00:00,78.0,22.0,,
85,2013-02-26,21:15:00,64.0,23.0,,
86,2013-02-26,21:30:00,63.0,18.0,,
87,2013-02-26,21:45:00,48.0,23.0,,
88,2013-02-26,22:00:00,43.0,16.0,,
89,2013-02-26,22:15:00,40.0,13.0,,
90,2013-02-26,22:30:00,31.0,12.0,,
91,2013-02-26,22:45:00,30.0,9.0,,
92,2013-02-26,23:00:00,26.0,7.0,,
93,2013-02-26,23:15:00,28.0,9.0,,
94,2013-02-26,23:30:00,19.0,8.0,,
95,2013-02-26,23:45:00,9.0,5.0,,
96,2013-02-27,00:00:00,16.0,3.0,,
97,2013-02-27,00:15:00,9.0,6.0,,
98,2013-02-27,00:30:00,7.0,5.0,,
99,2013-02-27,00:45:00,15.0,1.0,,
100,2013-02-27,01:00:00,9.0,1.0,,
101,2013-02-27,01:15:00,9.0,5.0,,
102,2013-02-27,01:30:00,7.0,2.0,,
103,2013-02-27,01:45:00,4.0,2.0,,
104,2013-02-27,02:00:00,7.0,3.0,,
105,2013-02-27,02:15:00,4.0,2.0,,
106,2013-02-27,02:30:00,3.0,1.0,,
107,2013-02-27,02:45:00,2.0,4.0,,
108,2013-02-27,03:00:00,3.0,2.0,,
109,2013-02-27,03:15:00,0.0,2.0,,
110,2013-02-27,03:30:00,1.0,7.0,,
111,2013-02-27,03:45:00,7.0,2.0,,
112,2013-02-27,04:00:00,3.0,12.0,,
113,2013-02-27,04:15:00,2.0,20.0,,
114,2013-02-27,04:30:00,5.0,19.0,,
115,2013-02-27,04:45:00,3.0,17.0,,
116,2013-02-27,05:00:00,4.0,24.0,,
117,2013-02-27,05:15:00,5.0,41.0,,
118,2013-02-27,05:30:00,12.0,53.0,,
119,2013-02-27,05:45:00,17.0,61.0,,
120,2013-02-27,06:00:00,24.0,62.0,,
121,2013-02-27,06:15:00,21.0,91.0,,
122,2013-02-27,06:30:00,33.0,98.0,,
123,2013-02-27,06:45:00,35.0,132.0,,
124,2013-02-27,07:00:00,40.0,150.0,,
125,2013-02-27,07:15:00,46.0,175.0,,
126,2013-02-27,07:30:00,54.0,206.0,,
127,2013-02-27,07:45:00,63.0,201.0,,
128,2013-02-27,08:00:00,82.0,189.0,,
129,2013-02-27,08:15:00,85.0,174.0,,
130,2013-02-27,08:30:00,80.0,138.0,,
131,2013-02-27,08:45:00,64.0,169.0,,
132,2013-02-27,09:00:00,60.0,146.0,,
133,2013-02-27,09:15:00,69.0,123.0,,
134,2013-02-27,09:30:00,82.0,100.0,,
135,2013-02-27,09:45:00,95.0,126.0,,
136,2013-02-27,10:00:00,76.0,126.0,,
137,2013-02-27,10:15:00,104.0,98.0,,
138,2013-02-27,10:30:00,97.0,116.0,,
139,2013-02-27,10:45:00,98.0,122.0,,
140,2013-02-27,11:00:00,111.0,99.0,,
141,2013-02-27,11:15:00,105.0,120.0,,
142,2013-02-27,11:30:00,117.0,108.0,,
143,2013-02-27,11:45:00,153.0,94.0,,
144,2013-02-27,12:00:00,145.0,104.0,,
145,2013-02-27,12:15:00,166.0,109.0,,
146,2013-02-27,12:30:00,144.0,106.0,,
147,2013-02-27,12:45:00,153.0,110.0,,
148,2013-02-27,13:00:00,122.0,130.0,,
149,2013-02-27,13:15:00,154.0,123.0,,
150,2013-02-27,13:30:00,142.0,98.0,,
151,2013-02-27,13:45:00,162.0,95.0,,
152,2013-02-27,14:00:00,152.0,105.0,,
153,2013-02-27,14:15:00,156.0,122.0,,
154,2013-02-27,14:30:00,147.0,115.0,,
155,2013-02-27,14:45:00,163.0,90.0,,
156,2013-02-27,15:00:00,187.0,115.0,,
157,2013-02-27,15:15:00,190.0,140.0,,
