,Unnamed: 1,TIME,NB,SB,EB,WB
0,2013-01-08,00:00:00,,,14.0,16.0
1,2013-01-08,00:15:00,,,9.0,11.0
2,2013-01-08,00:30:00,,,14.0,7.0
3,2013-01-08,00:45:00,,,6.0,6.0
4,2013-01-08,01:00:00,,,12.0,8.0
5,2013-01-08,01:15:00,,,4.0,5.0
6,2013-01-08,01:30:00,,,6.0,5.0
7,2013-01-08,01:45:00,,,3.0,5.0
8,2013-01-08,02:00:00,,,6.0,5.0
9,2013-01-08,02:15:00,,,6.0,4.0
10,2013-01-08,02:30:00,,,3.0,1.0
11,2013-01-08,02:45:00,,,3.0,5.0
12,2013-01-08,03:00:00,,,7.0,2.0
13,2013-01-08,03:15:00,,,4.0,9.0
14,2013-01-08,03:30:00,,,8.0,4.0
15,2013-01-08,03:45:00,,,1.0,12.0
16,2013-01-08,04:00:00,,,5.0,7.0
17,2013-01-08,04:15:00,,,8.0,7.0
18,2013-01-08,04:30:00,,,17.0,15.0
19,2013-01-08,04:45:00,,,17.0,27.0
20,2013-01-08,05:00:00,,,23.0,40.0
21,2013-01-08,05:15:00,,,31.0,38.0
22,2013-01-08,05:30:00,,,42.0,53.0
23,2013-01-08,05:45:00,,,51.0,59.0
24,2013-01-08,06:00:00,,,63.0,79.0
25,2013-01-08,06:15:00,,,71.0,94.0
26,2013-01-08,06:30:00,,,123.0,114.0
27,2013-01-08,06:45:00,,,131.0,145.0
28,2013-01-08,07:00:00,,,125.0,141.0
29,2013-01-08,07:15:00,,,205.0,208.0
30,2013-01-08,07:30:00,,,281.0,251.0
31,2013-01-08,07:45:00,,,248.0,303.0
32,2013-01-08,08:00:00,,,279.0,274.0
33,2013-01-08,08:15:00,,,306.0,251.0
34,2013-01-08,08:30:00,,,279.0,205.0
35,2013-01-08,08:45:00,,,254.0,241.0
36,2013-01-08,09:00:00,,,227.0,190.0
37,2013-01-08,09:15:00,,,202.0,175.0
38,2013-01-08,09:30:00,,,173.0,172.0
39,2013-01-08,09:45:00,,,132.0,173.0
40,2013-01-08,10:00:00,,,164.0,157.0
41,2013-01-08,10:15:00,,,123.0,142.0
42,2013-01-08,10:30:00,,,125.0,127.0
43,2013-01-08,10:45:00,,,140.0,129.0
44,2013-01-08,11:00:00,,,125.0,123.0
45,2013-01-08,11:15:00,,,128.0,138.0
46,2013-01-08,11:30:00,,,122.0,149.0
47,2013-01-08,11:45:00,,,154.0,131.0
48,2013-01-08,12:00:00,,,153.0,172.0
49,2013-01-08,12:15:00,,,137.0,171.0
50,2013-01-08,12:30:00,,,142.0,169.0
51,2013-01-08,12:45:00,,,161.0,146.0
52,2013-01-08,13:00:00,,,151.0,142.0
53,2013-01-08,13:15:00,,,137.0,165.0
54,2013-01-08,13:30:00,,,150.0,153.0
55,2013-01-08,13:45:00,,,158.0,158.0
56,2013-01-08,14:00:00,,,154.0,148.0
57,2013-01-08,14:15:00,,,172.0,141.0
58,2013-01-08,14:30:00,,,195.0,167.0
59,2013-01-08,14:45:00,,,242.0,208.0
60,2013-01-08,15:00:00,,,235.0,185.0
61,2013-01-08,15:15:00,,,266.0,217.0
62,2013-01-08,15:30:00,,,293.0,184.0
63,2013-01-08,15:45:00,,,265.0,193.0
64,2013-01-08,16:00:00,,,326.0,171.0
65,2013-01-08,16:15:00,,,304.0,146.0
66,2013-01-08,16:30:00,,,305.0,168.0
67,2013-01-08,16:45:00,,,294.0,182.0
68,2013-01-08,17:00:00,,,358.0,206.0
69,2013-01-08,17:15:00,,,341.0,235.0
70,2013-01-08,17:30:00,,,292.0,229.0
71,2013-01-08,17:45:00,,,306.0,246.0
72,2013-01-08,18:00:00,,,360.0,223.0
73,2013-01-08,18:15:00,,,308.0,243.0
74,2013-01-08,18:30:00,,,249.0,206.0
75,2013-01-08,18:45:00,,,213.0,179.0
76,2013-01-08,19:00:00,,,178.0,167.0
77,2013-01-08,19:15:00,,,163.0,125.0
78,2013-01-08,19:30:00,,,171.0,156.0
79,2013-01-08,19:45:00,,,112.0,132.0
80,2013-01-08,20:00:00,,,128.0,119.0
81,2013-01-08,20:15:00,,,110.0,113.0
82,2013-01-08,20:30:00,,,96.0,94.0
