,Date,Time,WB,EB
0,2017-05-16 00:00:00,00:00:00,22,46
1,2017-05-16 00:00:00,00:15:00,25,37
2,2017-05-16 00:00:00,00:30:00,32,56
3,2017-05-16 00:00:00,00:45:00,28,41
4,2017-05-16 00:00:00,01:00:00,31,32
5,2017-05-16 00:00:00,01:15:00,24,19
6,2017-05-16 00:00:00,01:30:00,21,47
7,2017-05-16 00:00:00,01:45:00,11,44
8,2017-05-16 00:00:00,02:00:00,22,29
9,2017-05-16 00:00:00,02:15:00,27,30
10,2017-05-16 00:00:00,02:30:00,41,29
11,2017-05-16 00:00:00,02:45:00,20,19
12,2017-05-16 00:00:00,03:00:00,25,21
13,2017-05-16 00:00:00,03:15:00,30,37
14,2017-05-16 00:00:00,03:30:00,70,45
15,2017-05-16 00:00:00,03:45:00,102,37
16,2017-05-16 00:00:00,04:00:00,98,38
17,2017-05-16 00:00:00,04:15:00,172,45
18,2017-05-16 00:00:00,04:30:00,201,77
19,2017-05-16 00:00:00,04:45:00,252,77
20,2017-05-16 00:00:00,05:00:00,276,65
21,2017-05-16 00:00:00,05:15:00,291,99
22,2017-05-16 00:00:00,05:30:00,332,100
23,2017-05-16 00:00:00,05:45:00,391,163
24,2017-05-16 00:00:00,06:00:00,320,145
25,2017-05-16 00:00:00,06:15:00,327,205
26,2017-05-16 00:00:00,06:30:00,397,255
27,2017-05-16 00:00:00,06:45:00,406,187
28,2017-05-16 00:00:00,07:00:00,436,176
29,2017-05-16 00:00:00,07:15:00,478,216
30,2017-05-16 00:00:00,07:30:00,615,278
31,2017-05-16 00:00:00,07:45:00,556,292
32,2017-05-16 00:00:00,08:00:00,614,283
33,2017-05-16 00:00:00,08:15:00,580,276
34,2017-05-16 00:00:00,08:30:00,631,282
35,2017-05-16 00:00:00,08:45:00,578,265
36,2017-05-16 00:00:00,09:00:00,596,282
37,2017-05-16 00:00:00,09:15:00,383,383
38,2017-05-16 00:00:00,09:30:00,393,382
39,2017-05-16 00:00:00,09:45:00,503,304
40,2017-05-16 00:00:00,10:00:00,421,291
41,2017-05-16 00:00:00,10:15:00,317,234
42,2017-05-16 00:00:00,10:30:00,379,230
43,2017-05-16 00:00:00,10:45:00,333,238
44,2017-05-16 00:00:00,11:00:00,310,238
45,2017-05-16 00:00:00,11:15:00,312,276
46,2017-05-16 00:00:00,11:30:00,330,285
47,2017-05-16 00:00:00,11:45:00,337,327
48,2017-05-16 00:00:00,12:00:00,309,298
49,2017-05-16 00:00:00,12:15:00,314,353
50,2017-05-16 00:00:00,12:30:00,277,334
51,2017-05-16 00:00:00,12:45:00,303,317
52,2017-05-16 00:00:00,13:00:00,276,343
53,2017-05-16 00:00:00,13:15:00,297,391
54,2017-05-16 00:00:00,13:30:00,326,387
55,2017-05-16 00:00:00,13:45:00,272,403
56,2017-05-16 00:00:00,14:00:00,266,434
57,2017-05-16 00:00:00,14:15:00,274,493
58,2017-05-16 00:00:00,14:30:00,267,504
59,2017-05-16 00:00:00,14:45:00,264,508
60,2017-05-16 00:00:00,15:00:00,244,440
61,2017-05-16 00:00:00,15:15:00,262,513
62,2017-05-16 00:00:00,15:30:00,256,497
63,2017-05-16 00:00:00,15:45:00,232,511
64,2017-05-16 00:00:00,16:00:00,238,331
65,2017-05-16 00:00:00,16:15:00,249,429
66,2017-05-16 00:00:00,16:30:00,285,429
67,2017-05-16 00:00:00,16:45:00,258,394
68,2017-05-16 00:00:00,17:00:00,291,391
69,2017-05-16 00:00:00,17:15:00,273,426
70,2017-05-16 00:00:00,17:30:00,298,476
71,2017-05-16 00:00:00,17:45:00,288,447
72,2017-05-16 00:00:00,18:00:00,266,420
73,2017-05-16 00:00:00,18:15:00,285,440
74,2017-05-16 00:00:00,18:30:00,251,468
75,2017-05-16 00:00:00,18:45:00,259,336
76,2017-05-16 00:00:00,19:00:00,241,381
77,2017-05-16 00:00:00,19:15:00,253,449
78,2017-05-16 00:00:00,19:30:00,214,399
79,2017-05-16 00:00:00,19:45:00,231,340
80,2017-05-16 00:00:00,20:00:00,174,293
81,2017-05-16 00:00:00,20:15:00,170,334
82,2017-05-16 00:00:00,20:30:00,168,287
83,2017-05-16 00:00:00,20:45:00,169,272
84,2017-05-16 00:00:00,21:00:00,170,236
85,2017-05-16 00:00:00,21:15:00,192,197
86,2017-05-16 00:00:00,21:30:00,166,201
87,2017-05-16 00:00:00,21:45:00,100,195
88,2017-05-16 00:00:00,22:00:00,88,151
89,2017-05-16 00:00:00,22:15:00,77,149
90,2017-05-16 00:00:00,22:30:00,85,142
91,2017-05-16 00:00:00,22:45:00,65,104
92,2017-05-16 00:00:00,23:00:00,50,110
93,2017-05-16 00:00:00,23:15:00,43,64
94,2017-05-16 00:00:00,23:30:00,28,76
95,2017-05-16 00:00:00,23:45:00,32,68
96,2017-05-17 00:00:00,00:00:00,36,51
97,2017-05-17 00:00:00,00:15:00,29,55
98,2017-05-17 00:00:00,00:30:00,21,56
99,2017-05-17 00:00:00,00:45:00,22,36
100,2017-05-17 00:00:00,01:00:00,26,41
101,2017-05-17 00:00:00,01:15:00,35,24
102,2017-05-17 00:00:00,01:30:00,36,56
103,2017-05-17 00:00:00,01:45:00,18,50
104,2017-05-17 00:00:00,02:00:00,16,42
105,2017-05-17 00:00:00,02:15:00,25,42
106,2017-05-17 00:00:00,02:30:00,37,27
107,2017-05-17 00:00:00,02:45:00,22,23
108,2017-05-17 00:00:00,03:00:00,23,32
109,2017-05-17 00:00:00,03:15:00,43,42
110,2017-05-17 00:00:00,03:30:00,73,39
111,2017-05-17 00:00:00,03:45:00,86,26
112,2017-05-17 00:00:00,04:00:00,93,32
113,2017-05-17 00:00:00,04:15:00,171,38
114,2017-05-17 00:00:00,04:30:00,192,54
115,2017-05-17 00:00:00,04:45:00,257,69
116,2017-05-17 00:00:00,05:00:00,275,75
117,2017-05-17 00:00:00,05:15:00,309,90
118,2017-05-17 00:00:00,05:30:00,325,88
119,2017-05-17 00:00:00,05:45:00,376,143
120,2017-05-17 00:00:00,06:00:00,331,142
121,2017-05-17 00:00:00,06:15:00,337,217
122,2017-05-17 00:00:00,06:30:00,425,243
123,2017-05-17 00:00:00,06:45:00,431,199
124,2017-05-17 00:00:00,07:00:00,407,210
125,2017-05-17 00:00:00,07:15:00,467,205
126,2017-05-17 00:00:00,07:30:00,617,222
127,2017-05-17 00:00:00,07:45:00,555,292
128,2017-05-17 00:00:00,08:00:00,618,277
129,2017-05-17 00:00:00,08:15:00,599,285
130,2017-05-17 00:00:00,08:30:00,583,290
131,2017-05-17 00:00:00,08:45:00,583,293
132,2017-05-17 00:00:00,09:00:00,566,277
133,2017-05-17 00:00:00,09:15:00,592,284
134,2017-05-17 00:00:00,09:30:00,387,264
135,2017-05-17 00:00:00,09:45:00,460,234
136,2017-05-17 00:00:00,10:00:00,422,238
137,2017-05-17 00:00:00,10:15:00,325,270
138,2017-05-17 00:00:00,10:30:00,364,228
139,2017-05-17 00:00:00,10:45:00,303,235
140,2017-05-17 00:00:00,11:00:00,342,247
141,2017-05-17 00:00:00,11:15:00,359,278
142,2017-05-17 00:00:00,11:30:00,322,316
143,2017-05-17 00:00:00,11:45:00,341,291
144,2017-05-17 00:00:00,12:00:00,354,311
145,2017-05-17 00:00:00,12:15:00,326,319
146,2017-05-17 00:00:00,12:30:00,303,318
147,2017-05-17 00:00:00,12:45:00,312,310
148,2017-05-17 00:00:00,13:00:00,318,379
149,2017-05-17 00:00:00,13:15:00,336,381
150,2017-05-17 00:00:00,13:30:00,308,453
151,2017-05-17 00:00:00,13:45:00,350,408
152,2017-05-17 00:00:00,14:00:00,280,468
153,2017-05-17 00:00:00,14:15:00,293,540
154,2017-05-17 00:00:00,14:30:00,290,520
155,2017-05-17 00:00:00,14:45:00,263,512
156,2017-05-17 00:00:00,15:00:00,255,475
157,2017-05-17 00:00:00,15:15:00,262,541
158,2017-05-17 00:00:00,15:30:00,277,503
159,2017-05-17 00:00:00,15:45:00,235,471
160,2017-05-17 00:00:00,16:00:00,216,429
161,2017-05-17 00:00:00,16:15:00,292,407
162,2017-05-17 00:00:00,16:30:00,275,493
163,2017-05-17 00:00:00,16:45:00,263,464
164,2017-05-17 00:00:00,17:00:00,309,449
165,2017-05-17 00:00:00,17:15:00,299,473
166,2017-05-17 00:00:00,17:30:00,286,464
167,2017-05-17 00:00:00,17:45:00,295,369
168,2017-05-17 00:00:00,18:00:00,310,463
169,2017-05-17 00:00:00,18:15:00,277,490
170,2017-05-17 00:00:00,18:30:00,289,471
171,2017-05-17 00:00:00,18:45:00,307,418
172,2017-05-17 00:00:00,19:00:00,254,334
173,2017-05-17 00:00:00,19:15:00,266,378
174,2017-05-17 00:00:00,19:30:00,218,382
175,2017-05-17 00:00:00,19:45:00,202,304
176,2017-05-17 00:00:00,20:00:00,196,297
177,2017-05-17 00:00:00,20:15:00,172,312
178,2017-05-17 00:00:00,20:30:00,167,314
179,2017-05-17 00:00:00,20:45:00,168,226
180,2017-05-17 00:00:00,21:00:00,180,257
181,2017-05-17 00:00:00,21:15:00,187,209
182,2017-05-17 00:00:00,21:30:00,174,207
183,2017-05-17 00:00:00,21:45:00,125,190
184,2017-05-17 00:00:00,22:00:00,83,175
185,2017-05-17 00:00:00,22:15:00,76,176
186,2017-05-17 00:00:00,22:30:00,92,158
187,2017-05-17 00:00:00,22:45:00,68,123
188,2017-05-17 00:00:00,23:00:00,52,115
189,2017-05-17 00:00:00,23:15:00,53,84
190,2017-05-17 00:00:00,23:30:00,31,71
191,2017-05-17 00:00:00,23:45:00,32,112
192,2017-05-18 00:00:00,00:00:00,27,167
193,2017-05-18 00:00:00,00:15:00,32,159
194,2017-05-18 00:00:00,00:30:00,31,113
195,2017-05-18 00:00:00,00:45:00,31,57
196,2017-05-18 00:00:00,01:00:00,24,33
197,2017-05-18 00:00:00,01:15:00,28,30
198,2017-05-18 00:00:00,01:30:00,27,52
199,2017-05-18 00:00:00,01:45:00,29,44
200,2017-05-18 00:00:00,02:00:00,21,36
201,2017-05-18 00:00:00,02:15:00,27,42
202,2017-05-18 00:00:00,02:30:00,38,32
203,2017-05-18 00:00:00,02:45:00,27,22
204,2017-05-18 00:00:00,03:00:00,36,16
205,2017-05-18 00:00:00,03:15:00,36,43
206,2017-05-18 00:00:00,03:30:00,66,37
207,2017-05-18 00:00:00,03:45:00,83,31
208,2017-05-18 00:00:00,04:00:00,110,38
209,2017-05-18 00:00:00,04:15:00,177,45
210,2017-05-18 00:00:00,04:30:00,209,57
211,2017-05-18 00:00:00,04:45:00,226,63
212,2017-05-18 00:00:00,05:00:00,264,71
213,2017-05-18 00:00:00,05:15:00,310,100
214,2017-05-18 00:00:00,05:30:00,338,111
215,2017-05-18 00:00:00,05:45:00,335,143
216,2017-05-18 00:00:00,06:00:00,312,171
217,2017-05-18 00:00:00,06:15:00,363,203
218,2017-05-18 00:00:00,06:30:00,357,240
219,2017-05-18 00:00:00,06:45:00,559,198
220,2017-05-18 00:00:00,07:00:00,455,189
221,2017-05-18 00:00:00,07:15:00,492,201
222,2017-05-18 00:00:00,07:30:00,586,271
223,2017-05-18 00:00:00,07:45:00,519,287
224,2017-05-18 00:00:00,08:00:00,554,268
225,2017-05-18 00:00:00,08:15:00,534,248
226,2017-05-18 00:00:00,08:30:00,557,293
227,2017-05-18 00:00:00,08:45:00,576,287
228,2017-05-18 00:00:00,09:00:00,561,308
229,2017-05-18 00:00:00,09:15:00,580,324
230,2017-05-18 00:00:00,09:30:00,536,333
231,2017-05-18 00:00:00,09:45:00,571,299
232,2017-05-18 00:00:00,10:00:00,396,261
233,2017-05-18 00:00:00,10:15:00,376,258
234,2017-05-18 00:00:00,10:30:00,374,237
235,2017-05-18 00:00:00,10:45:00,346,302
236,2017-05-18 00:00:00,11:00:00,332,272
237,2017-05-18 00:00:00,11:15:00,339,290
238,2017-05-18 00:00:00,11:30:00,332,293
239,2017-05-18 00:00:00,11:45:00,374,300
240,2017-05-18 00:00:00,12:00:00,330,329
241,2017-05-18 00:00:00,12:15:00,325,378
242,2017-05-18 00:00:00,12:30:00,299,356
243,2017-05-18 00:00:00,12:45:00,335,334
244,2017-05-18 00:00:00,13:00:00,303,355
245,2017-05-18 00:00:00,13:15:00,299,450
246,2017-05-18 00:00:00,13:30:00,306,442
247,2017-05-18 00:00:00,13:45:00,293,496
248,2017-05-18 00:00:00,14:00:00,288,521
249,2017-05-18 00:00:00,14:15:00,248,532
250,2017-05-18 00:00:00,14:30:00,267,509
251,2017-05-18 00:00:00,14:45:00,253,518
252,2017-05-18 00:00:00,15:00:00,229,468
253,2017-05-18 00:00:00,15:15:00,232,498
254,2017-05-18 00:00:00,15:30:00,249,505
255,2017-05-18 00:00:00,15:45:00,206,502
256,2017-05-18 00:00:00,16:00:00,250,421
257,2017-05-18 00:00:00,16:15:00,295,423
258,2017-05-18 00:00:00,16:30:00,251,449
259,2017-05-18 00:00:00,16:45:00,215,458
260,2017-05-18 00:00:00,17:00:00,282,433
261,2017-05-18 00:00:00,17:15:00,279,458
262,2017-05-18 00:00:00,17:30:00,273,456
263,2017-05-18 00:00:00,17:45:00,276,517
264,2017-05-18 00:00:00,18:00:00,272,497
265,2017-05-18 00:00:00,18:15:00,267,487
266,2017-05-18 00:00:00,18:30:00,283,499
267,2017-05-18 00:00:00,18:45:00,235,406
268,2017-05-18 00:00:00,19:00:00,269,303
269,2017-05-18 00:00:00,19:15:00,259,344
270,2017-05-18 00:00:00,19:30:00,260,378
271,2017-05-18 00:00:00,19:45:00,227,331
272,2017-05-18 00:00:00,20:00:00,209,377
273,2017-05-18 00:00:00,20:15:00,208,314
274,2017-05-18 00:00:00,20:30:00,199,294
275,2017-05-18 00:00:00,20:45:00,178,252
276,2017-05-18 00:00:00,21:00:00,181,229
277,2017-05-18 00:00:00,21:15:00,185,233
278,2017-05-18 00:00:00,21:30:00,154,219
279,2017-05-18 00:00:00,21:45:00,148,178
280,2017-05-18 00:00:00,22:00:00,100,144
281,2017-05-18 00:00:00,22:15:00,89,180
282,2017-05-18 00:00:00,22:30:00,100,159
283,2017-05-18 00:00:00,22:45:00,74,109
284,2017-05-18 00:00:00,23:00:00,68,105
285,2017-05-18 00:00:00,23:15:00,56,77
286,2017-05-18 00:00:00,23:30:00,42,83
287,2017-05-18 00:00:00,23:45:00,36,77
