,Date,Time,WB,EB
0,2017-05-16 00:00:00,00:00:00,7,11
1,2017-05-16 00:00:00,00:15:00,4,10
2,2017-05-16 00:00:00,00:30:00,3,6
3,2017-05-16 00:00:00,00:45:00,1,7
4,2017-05-16 00:00:00,01:00:00,3,2
5,2017-05-16 00:00:00,01:15:00,2,2
6,2017-05-16 00:00:00,01:30:00,1,3
7,2017-05-16 00:00:00,01:45:00,0,1
8,2017-05-16 00:00:00,02:00:00,2,1
9,2017-05-16 00:00:00,02:15:00,1,2
10,2017-05-16 00:00:00,02:30:00,1,3
11,2017-05-16 00:00:00,02:45:00,2,0
12,2017-05-16 00:00:00,03:00:00,0,1
13,2017-05-16 00:00:00,03:15:00,3,1
14,2017-05-16 00:00:00,03:30:00,0,1
15,2017-05-16 00:00:00,03:45:00,3,1
16,2017-05-16 00:00:00,04:00:00,4,3
17,2017-05-16 00:00:00,04:15:00,10,3
18,2017-05-16 00:00:00,04:30:00,12,3
19,2017-05-16 00:00:00,04:45:00,12,1
20,2017-05-16 00:00:00,05:00:00,16,6
21,2017-05-16 00:00:00,05:15:00,27,1
22,2017-05-16 00:00:00,05:30:00,35,6
23,2017-05-16 00:00:00,05:45:00,54,9
24,2017-05-16 00:00:00,06:00:00,38,8
25,2017-05-16 00:00:00,06:15:00,50,16
26,2017-05-16 00:00:00,06:30:00,78,26
27,2017-05-16 00:00:00,06:45:00,88,35
28,2017-05-16 00:00:00,07:00:00,125,63
29,2017-05-16 00:00:00,07:15:00,127,71
30,2017-05-16 00:00:00,07:30:00,177,118
31,2017-05-16 00:00:00,07:45:00,269,233
32,2017-05-16 00:00:00,08:00:00,351,360
33,2017-05-16 00:00:00,08:15:00,228,110
34,2017-05-16 00:00:00,08:30:00,189,77
35,2017-05-16 00:00:00,08:45:00,174,67
36,2017-05-16 00:00:00,09:00:00,134,50
37,2017-05-16 00:00:00,09:15:00,91,51
38,2017-05-16 00:00:00,09:30:00,86,60
39,2017-05-16 00:00:00,09:45:00,96,44
40,2017-05-16 00:00:00,10:00:00,68,41
41,2017-05-16 00:00:00,10:15:00,86,46
42,2017-05-16 00:00:00,10:30:00,81,45
43,2017-05-16 00:00:00,10:45:00,63,42
44,2017-05-16 00:00:00,11:00:00,64,48
45,2017-05-16 00:00:00,11:15:00,62,74
46,2017-05-16 00:00:00,11:30:00,73,82
47,2017-05-16 00:00:00,11:45:00,90,69
48,2017-05-16 00:00:00,12:00:00,56,67
49,2017-05-16 00:00:00,12:15:00,68,53
50,2017-05-16 00:00:00,12:30:00,52,47
51,2017-05-16 00:00:00,12:45:00,57,85
52,2017-05-16 00:00:00,13:00:00,50,49
53,2017-05-16 00:00:00,13:15:00,47,67
54,2017-05-16 00:00:00,13:30:00,57,73
55,2017-05-16 00:00:00,13:45:00,82,98
56,2017-05-16 00:00:00,14:00:00,57,156
57,2017-05-16 00:00:00,14:15:00,64,213
58,2017-05-16 00:00:00,14:30:00,191,271
59,2017-05-16 00:00:00,14:45:00,108,266
60,2017-05-16 00:00:00,15:00:00,115,341
61,2017-05-16 00:00:00,15:15:00,109,253
62,2017-05-16 00:00:00,15:30:00,104,279
63,2017-05-16 00:00:00,15:45:00,94,247
64,2017-05-16 00:00:00,16:00:00,84,249
65,2017-05-16 00:00:00,16:15:00,100,304
66,2017-05-16 00:00:00,16:30:00,78,328
67,2017-05-16 00:00:00,16:45:00,106,286
68,2017-05-16 00:00:00,17:00:00,106,262
69,2017-05-16 00:00:00,17:15:00,121,308
70,2017-05-16 00:00:00,17:30:00,105,320
71,2017-05-16 00:00:00,17:45:00,121,315
72,2017-05-16 00:00:00,18:00:00,111,291
73,2017-05-16 00:00:00,18:15:00,105,229
74,2017-05-16 00:00:00,18:30:00,84,247
75,2017-05-16 00:00:00,18:45:00,91,240
76,2017-05-16 00:00:00,19:00:00,108,195
77,2017-05-16 00:00:00,19:15:00,93,166
78,2017-05-16 00:00:00,19:30:00,65,137
79,2017-05-16 00:00:00,19:45:00,67,129
80,2017-05-16 00:00:00,20:00:00,57,86
81,2017-05-16 00:00:00,20:15:00,34,75
82,2017-05-16 00:00:00,20:30:00,32,99
83,2017-05-16 00:00:00,20:45:00,48,64
84,2017-05-16 00:00:00,21:00:00,31,66
85,2017-05-16 00:00:00,21:15:00,29,34
86,2017-05-16 00:00:00,21:30:00,30,46
87,2017-05-16 00:00:00,21:45:00,14,33
88,2017-05-16 00:00:00,22:00:00,12,35
89,2017-05-16 00:00:00,22:15:00,16,35
90,2017-05-16 00:00:00,22:30:00,13,15
91,2017-05-16 00:00:00,22:45:00,8,17
92,2017-05-16 00:00:00,23:00:00,5,13
93,2017-05-16 00:00:00,23:15:00,5,16
94,2017-05-16 00:00:00,23:30:00,4,9
95,2017-05-16 00:00:00,23:45:00,4,12
96,2017-05-17 00:00:00,00:00:00,8,5
97,2017-05-17 00:00:00,00:15:00,10,7
98,2017-05-17 00:00:00,00:30:00,3,3
99,2017-05-17 00:00:00,00:45:00,1,2
100,2017-05-17 00:00:00,01:00:00,1,3
101,2017-05-17 00:00:00,01:15:00,2,1
102,2017-05-17 00:00:00,01:30:00,1,6
103,2017-05-17 00:00:00,01:45:00,0,2
104,2017-05-17 00:00:00,02:00:00,2,2
105,2017-05-17 00:00:00,02:15:00,3,4
106,2017-05-17 00:00:00,02:30:00,2,2
107,2017-05-17 00:00:00,02:45:00,2,1
