,Date,Time,NB,SB
0,2017-05-23 00:00:00,00:00:00,24,18
1,2017-05-23 00:00:00,00:15:00,12,15
2,2017-05-23 00:00:00,00:30:00,12,17
3,2017-05-23 00:00:00,00:45:00,5,10
4,2017-05-23 00:00:00,01:00:00,7,16
5,2017-05-23 00:00:00,01:15:00,5,12
6,2017-05-23 00:00:00,01:30:00,3,5
7,2017-05-23 00:00:00,01:45:00,4,9
8,2017-05-23 00:00:00,02:00:00,4,3
9,2017-05-23 00:00:00,02:15:00,5,2
10,2017-05-23 00:00:00,02:30:00,5,3
11,2017-05-23 00:00:00,02:45:00,5,2
12,2017-05-23 00:00:00,03:00:00,6,12
13,2017-05-23 00:00:00,03:15:00,2,4
14,2017-05-23 00:00:00,03:30:00,2,4
15,2017-05-23 00:00:00,03:45:00,4,13
16,2017-05-23 00:00:00,04:00:00,7,11
17,2017-05-23 00:00:00,04:15:00,7,11
18,2017-05-23 00:00:00,04:30:00,7,24
19,2017-05-23 00:00:00,04:45:00,12,48
20,2017-05-23 00:00:00,05:00:00,20,62
21,2017-05-23 00:00:00,05:15:00,19,55
22,2017-05-23 00:00:00,05:30:00,19,46
23,2017-05-23 00:00:00,05:45:00,42,49
24,2017-05-23 00:00:00,06:00:00,37,58
25,2017-05-23 00:00:00,06:15:00,40,52
26,2017-05-23 00:00:00,06:30:00,54,61
27,2017-05-23 00:00:00,06:45:00,49,61
28,2017-05-23 00:00:00,07:00:00,47,79
29,2017-05-23 00:00:00,07:15:00,76,69
30,2017-05-23 00:00:00,07:30:00,59,67
31,2017-05-23 00:00:00,07:45:00,60,90
32,2017-05-23 00:00:00,08:00:00,90,136
33,2017-05-23 00:00:00,08:15:00,95,137
34,2017-05-23 00:00:00,08:30:00,80,140
35,2017-05-23 00:00:00,08:45:00,59,118
36,2017-05-23 00:00:00,09:00:00,61,121
37,2017-05-23 00:00:00,09:15:00,62,106
38,2017-05-23 00:00:00,09:30:00,74,67
39,2017-05-23 00:00:00,09:45:00,56,100
40,2017-05-23 00:00:00,10:00:00,79,109
41,2017-05-23 00:00:00,10:15:00,67,90
42,2017-05-23 00:00:00,10:30:00,76,90
43,2017-05-23 00:00:00,10:45:00,68,105
44,2017-05-23 00:00:00,11:00:00,69,106
45,2017-05-23 00:00:00,11:15:00,78,113
46,2017-05-23 00:00:00,11:30:00,55,136
47,2017-05-23 00:00:00,11:45:00,85,166
48,2017-05-23 00:00:00,12:00:00,89,160
49,2017-05-23 00:00:00,12:15:00,70,157
50,2017-05-23 00:00:00,12:30:00,93,159
51,2017-05-23 00:00:00,12:45:00,79,132
52,2017-05-23 00:00:00,13:00:00,83,129
53,2017-05-23 00:00:00,13:15:00,80,139
54,2017-05-23 00:00:00,13:30:00,91,116
55,2017-05-23 00:00:00,13:45:00,85,119
56,2017-05-23 00:00:00,14:00:00,105,139
57,2017-05-23 00:00:00,14:15:00,78,114
58,2017-05-23 00:00:00,14:30:00,111,118
59,2017-05-23 00:00:00,14:45:00,90,176
60,2017-05-23 00:00:00,15:00:00,117,160
61,2017-05-23 00:00:00,15:15:00,95,171
62,2017-05-23 00:00:00,15:30:00,93,157
63,2017-05-23 00:00:00,15:45:00,68,198
64,2017-05-23 00:00:00,16:00:00,69,175
65,2017-05-23 00:00:00,16:15:00,77,167
66,2017-05-23 00:00:00,16:30:00,94,174
67,2017-05-23 00:00:00,16:45:00,84,211
68,2017-05-23 00:00:00,17:00:00,121,203
69,2017-05-23 00:00:00,17:15:00,116,264
70,2017-05-23 00:00:00,17:30:00,120,252
71,2017-05-23 00:00:00,17:45:00,117,270
72,2017-05-23 00:00:00,18:00:00,129,238
73,2017-05-23 00:00:00,18:15:00,122,193
74,2017-05-23 00:00:00,18:30:00,129,239
75,2017-05-23 00:00:00,18:45:00,129,267
76,2017-05-23 00:00:00,19:00:00,137,215
77,2017-05-23 00:00:00,19:15:00,87,207
78,2017-05-23 00:00:00,19:30:00,135,213
79,2017-05-23 00:00:00,19:45:00,113,177
80,2017-05-23 00:00:00,20:00:00,136,219
81,2017-05-23 00:00:00,20:15:00,115,196
82,2017-05-23 00:00:00,20:30:00,102,190
83,2017-05-23 00:00:00,20:45:00,116,198
84,2017-05-23 00:00:00,21:00:00,98,110
85,2017-05-23 00:00:00,21:15:00,84,122
86,2017-05-23 00:00:00,21:30:00,93,95
87,2017-05-23 00:00:00,21:45:00,68,87
88,2017-05-23 00:00:00,22:00:00,69,75
89,2017-05-23 00:00:00,22:15:00,62,64
90,2017-05-23 00:00:00,22:30:00,54,56
91,2017-05-23 00:00:00,22:45:00,51,23
92,2017-05-23 00:00:00,23:00:00,34,36
93,2017-05-23 00:00:00,23:15:00,27,40
94,2017-05-23 00:00:00,23:30:00,29,23
95,2017-05-23 00:00:00,23:45:00,32,11
96,2017-05-24 00:00:00,00:00:00,25,23
97,2017-05-24 00:00:00,00:15:00,10,15
98,2017-05-24 00:00:00,00:30:00,10,9
99,2017-05-24 00:00:00,00:45:00,5,11
100,2017-05-24 00:00:00,01:00:00,4,12
101,2017-05-24 00:00:00,01:15:00,7,6
102,2017-05-24 00:00:00,01:30:00,6,6
103,2017-05-24 00:00:00,01:45:00,5,9
104,2017-05-24 00:00:00,02:00:00,5,3
105,2017-05-24 00:00:00,02:15:00,7,3
106,2017-05-24 00:00:00,02:30:00,4,3
107,2017-05-24 00:00:00,02:45:00,2,10
108,2017-05-24 00:00:00,03:00:00,5,9
109,2017-05-24 00:00:00,03:15:00,2,5
110,2017-05-24 00:00:00,03:30:00,3,5
111,2017-05-24 00:00:00,03:45:00,8,13
112,2017-05-24 00:00:00,04:00:00,6,9
113,2017-05-24 00:00:00,04:15:00,5,21
114,2017-05-24 00:00:00,04:30:00,9,13
115,2017-05-24 00:00:00,04:45:00,14,47
116,2017-05-24 00:00:00,05:00:00,13,70
117,2017-05-24 00:00:00,05:15:00,23,41
118,2017-05-24 00:00:00,05:30:00,19,55
119,2017-05-24 00:00:00,05:45:00,34,66
120,2017-05-24 00:00:00,06:00:00,40,45
121,2017-05-24 00:00:00,06:15:00,43,48
122,2017-05-24 00:00:00,06:30:00,64,47
123,2017-05-24 00:00:00,06:45:00,48,55
124,2017-05-24 00:00:00,07:00:00,55,60
125,2017-05-24 00:00:00,07:15:00,49,78
126,2017-05-24 00:00:00,07:30:00,73,78
127,2017-05-24 00:00:00,07:45:00,65,107
128,2017-05-24 00:00:00,08:00:00,86,157
129,2017-05-24 00:00:00,08:15:00,96,156
130,2017-05-24 00:00:00,08:30:00,81,146
131,2017-05-24 00:00:00,08:45:00,56,119
132,2017-05-24 00:00:00,09:00:00,61,122
133,2017-05-24 00:00:00,09:15:00,75,117
134,2017-05-24 00:00:00,09:30:00,71,114
135,2017-05-24 00:00:00,09:45:00,82,92
136,2017-05-24 00:00:00,10:00:00,77,88
137,2017-05-24 00:00:00,10:15:00,62,83
138,2017-05-24 00:00:00,10:30:00,70,138
139,2017-05-24 00:00:00,10:45:00,85,140
140,2017-05-24 00:00:00,11:00:00,98,119
141,2017-05-24 00:00:00,11:15:00,68,131
142,2017-05-24 00:00:00,11:30:00,82,146
143,2017-05-24 00:00:00,11:45:00,85,143
144,2017-05-24 00:00:00,12:00:00,95,151
145,2017-05-24 00:00:00,12:15:00,79,150
146,2017-05-24 00:00:00,12:30:00,70,151
147,2017-05-24 00:00:00,12:45:00,91,129
148,2017-05-24 00:00:00,13:00:00,91,153
149,2017-05-24 00:00:00,13:15:00,109,145
150,2017-05-24 00:00:00,13:30:00,124,137
151,2017-05-24 00:00:00,13:45:00,107,145
152,2017-05-24 00:00:00,14:00:00,97,152
153,2017-05-24 00:00:00,14:15:00,87,111
154,2017-05-24 00:00:00,14:30:00,80,126
155,2017-05-24 00:00:00,14:45:00,75,162
156,2017-05-24 00:00:00,15:00:00,101,145
157,2017-05-24 00:00:00,15:15:00,83,137
158,2017-05-24 00:00:00,15:30:00,72,149
159,2017-05-24 00:00:00,15:45:00,80,185
160,2017-05-24 00:00:00,16:00:00,92,185
161,2017-05-24 00:00:00,16:15:00,82,237
162,2017-05-24 00:00:00,16:30:00,103,177
163,2017-05-24 00:00:00,16:45:00,92,177
164,2017-05-24 00:00:00,17:00:00,99,218
165,2017-05-24 00:00:00,17:15:00,112,253
166,2017-05-24 00:00:00,17:30:00,136,256
167,2017-05-24 00:00:00,17:45:00,107,263
168,2017-05-24 00:00:00,18:00:00,133,249
169,2017-05-24 00:00:00,18:15:00,134,252
170,2017-05-24 00:00:00,18:30:00,122,252
171,2017-05-24 00:00:00,18:45:00,121,275
172,2017-05-24 00:00:00,19:00:00,115,215
173,2017-05-24 00:00:00,19:15:00,106,198
174,2017-05-24 00:00:00,19:30:00,99,218
175,2017-05-24 00:00:00,19:45:00,127,229
