,Date,Time,WB,EB
0,2017-05-16 00:00:00,00:00:00,11,18
1,2017-05-16 00:00:00,00:15:00,4,8
2,2017-05-16 00:00:00,00:30:00,7,7
3,2017-05-16 00:00:00,00:45:00,3,3
4,2017-05-16 00:00:00,01:00:00,5,4
5,2017-05-16 00:00:00,01:15:00,1,2
6,2017-05-16 00:00:00,01:30:00,2,6
7,2017-05-16 00:00:00,01:45:00,7,5
8,2017-05-16 00:00:00,02:00:00,1,5
9,2017-05-16 00:00:00,02:15:00,2,6
10,2017-05-16 00:00:00,02:30:00,8,4
11,2017-05-16 00:00:00,02:45:00,7,2
12,2017-05-16 00:00:00,03:00:00,2,4
13,2017-05-16 00:00:00,03:15:00,2,11
14,2017-05-16 00:00:00,03:30:00,6,8
15,2017-05-16 00:00:00,03:45:00,10,11
16,2017-05-16 00:00:00,04:00:00,18,7
17,2017-05-16 00:00:00,04:15:00,28,6
18,2017-05-16 00:00:00,04:30:00,34,10
19,2017-05-16 00:00:00,04:45:00,30,28
20,2017-05-16 00:00:00,05:00:00,39,17
21,2017-05-16 00:00:00,05:15:00,40,32
22,2017-05-16 00:00:00,05:30:00,57,35
23,2017-05-16 00:00:00,05:45:00,69,69
24,2017-05-16 00:00:00,06:00:00,81,63
25,2017-05-16 00:00:00,06:15:00,80,90
26,2017-05-16 00:00:00,06:30:00,103,99
27,2017-05-16 00:00:00,06:45:00,101,85
28,2017-05-16 00:00:00,07:00:00,124,90
29,2017-05-16 00:00:00,07:15:00,110,81
30,2017-05-16 00:00:00,07:30:00,192,76
31,2017-05-16 00:00:00,07:45:00,223,149
32,2017-05-16 00:00:00,08:00:00,199,144
33,2017-05-16 00:00:00,08:15:00,185,117
34,2017-05-16 00:00:00,08:30:00,206,111
35,2017-05-16 00:00:00,08:45:00,247,121
36,2017-05-16 00:00:00,09:00:00,163,130
37,2017-05-16 00:00:00,09:15:00,132,105
38,2017-05-16 00:00:00,09:30:00,125,133
39,2017-05-16 00:00:00,09:45:00,144,80
40,2017-05-16 00:00:00,10:00:00,107,89
41,2017-05-16 00:00:00,10:15:00,82,96
42,2017-05-16 00:00:00,10:30:00,88,76
43,2017-05-16 00:00:00,10:45:00,82,73
44,2017-05-16 00:00:00,11:00:00,112,105
45,2017-05-16 00:00:00,11:15:00,90,87
46,2017-05-16 00:00:00,11:30:00,110,119
47,2017-05-16 00:00:00,11:45:00,124,100
48,2017-05-16 00:00:00,12:00:00,111,145
49,2017-05-16 00:00:00,12:15:00,102,120
50,2017-05-16 00:00:00,12:30:00,120,106
51,2017-05-16 00:00:00,12:45:00,124,114
52,2017-05-16 00:00:00,13:00:00,111,102
53,2017-05-16 00:00:00,13:15:00,120,131
54,2017-05-16 00:00:00,13:30:00,97,164
55,2017-05-16 00:00:00,13:45:00,115,150
56,2017-05-16 00:00:00,14:00:00,99,158
57,2017-05-16 00:00:00,14:15:00,83,227
58,2017-05-16 00:00:00,14:30:00,130,231
59,2017-05-16 00:00:00,14:45:00,149,202
60,2017-05-16 00:00:00,15:00:00,211,190
61,2017-05-16 00:00:00,15:15:00,189,281
62,2017-05-16 00:00:00,15:30:00,152,280
63,2017-05-16 00:00:00,15:45:00,189,190
64,2017-05-16 00:00:00,16:00:00,147,181
65,2017-05-16 00:00:00,16:15:00,143,196
66,2017-05-16 00:00:00,16:30:00,191,221
67,2017-05-16 00:00:00,16:45:00,173,192
68,2017-05-16 00:00:00,17:00:00,172,199
69,2017-05-16 00:00:00,17:15:00,197,169
70,2017-05-16 00:00:00,17:30:00,225,210
71,2017-05-16 00:00:00,17:45:00,201,228
72,2017-05-16 00:00:00,18:00:00,184,179
73,2017-05-16 00:00:00,18:15:00,166,148
74,2017-05-16 00:00:00,18:30:00,138,161
75,2017-05-16 00:00:00,18:45:00,129,120
76,2017-05-16 00:00:00,19:00:00,99,140
77,2017-05-16 00:00:00,19:15:00,83,132
78,2017-05-16 00:00:00,19:30:00,82,139
79,2017-05-16 00:00:00,19:45:00,73,105
80,2017-05-16 00:00:00,20:00:00,62,99
81,2017-05-16 00:00:00,20:15:00,42,79
82,2017-05-16 00:00:00,20:30:00,32,79
83,2017-05-16 00:00:00,20:45:00,51,56
84,2017-05-16 00:00:00,21:00:00,47,51
85,2017-05-16 00:00:00,21:15:00,52,52
86,2017-05-16 00:00:00,21:30:00,48,57
87,2017-05-16 00:00:00,21:45:00,38,35
88,2017-05-16 00:00:00,22:00:00,19,48
89,2017-05-16 00:00:00,22:15:00,33,46
90,2017-05-16 00:00:00,22:30:00,31,45
91,2017-05-16 00:00:00,22:45:00,21,31
92,2017-05-16 00:00:00,23:00:00,11,19
93,2017-05-16 00:00:00,23:15:00,11,25
94,2017-05-16 00:00:00,23:30:00,12,12
95,2017-05-16 00:00:00,23:45:00,7,11
96,2017-05-17 00:00:00,00:00:00,23,11
97,2017-05-17 00:00:00,00:15:00,3,8
98,2017-05-17 00:00:00,00:30:00,3,9
99,2017-05-17 00:00:00,00:45:00,5,6
