Day,Time,Count
 Tuesday -   November 7 -  2017=16319,0:0,24.0
 Tuesday -   November 7 -  2017=16319,0:15,27.0
 Tuesday -   November 7 -  2017=16319,0:30,16.0
 Tuesday -   November 7 -  2017=16319,0:45,15.0
 Tuesday -   November 7 -  2017=16319,1:0,18.0
 Tuesday -   November 7 -  2017=16319,1:15,7.0
 Tuesday -   November 7 -  2017=16319,1:30,12.0
 Tuesday -   November 7 -  2017=16319,1:45,15.0
 Tuesday -   November 7 -  2017=16319,2:0,8.0
 Tuesday -   November 7 -  2017=16319,2:15,7.0
 Tuesday -   November 7 -  2017=16319,2:30,12.0
 Tuesday -   November 7 -  2017=16319,2:45,8.0
 Tuesday -   November 7 -  2017=16319,3:0,21.0
 Tuesday -   November 7 -  2017=16319,3:15,13.0
 Tuesday -   November 7 -  2017=16319,3:30,12.0
 Tuesday -   November 7 -  2017=16319,3:45,22.0
 Tuesday -   November 7 -  2017=16319,4:0,30.0
 Tuesday -   November 7 -  2017=16319,4:15,38.0
 Tuesday -   November 7 -  2017=16319,4:30,52.0
 Tuesday -   November 7 -  2017=16319,4:45,53.0
 Tuesday -   November 7 -  2017=16319,5:0,60.0
 Tuesday -   November 7 -  2017=16319,5:15,92.0
 Tuesday -   November 7 -  2017=16319,5:30,103.0
 Tuesday -   November 7 -  2017=16319,5:45,93.0
 Tuesday -   November 7 -  2017=16319,6:0,131.0
 Tuesday -   November 7 -  2017=16319,6:15,174.0
 Tuesday -   November 7 -  2017=16319,6:30,253.0
 Tuesday -   November 7 -  2017=16319,6:45,288.0
 Tuesday -   November 7 -  2017=16319,7:0,353.0
 Tuesday -   November 7 -  2017=16319,7:15,447.0
 Tuesday -   November 7 -  2017=16319,7:30,424.0
 Tuesday -   November 7 -  2017=16319,7:45,348.0
 Tuesday -   November 7 -  2017=16319,8:0,443.0
 Tuesday -   November 7 -  2017=16319,8:15,461.0
 Tuesday -   November 7 -  2017=16319,8:30,474.0
 Tuesday -   November 7 -  2017=16319,8:45,359.0
 Tuesday -   November 7 -  2017=16319,9:0,388.0
 Tuesday -   November 7 -  2017=16319,9:15,360.0
 Tuesday -   November 7 -  2017=16319,9:30,298.0
 Tuesday -   November 7 -  2017=16319,9:45,279.0
 Tuesday -   November 7 -  2017=16319,10:0,243.0
 Tuesday -   November 7 -  2017=16319,10:15,220.0
 Tuesday -   November 7 -  2017=16319,10:30,200.0
 Tuesday -   November 7 -  2017=16319,10:45,175.0
 Tuesday -   November 7 -  2017=16319,11:0,153.0
 Tuesday -   November 7 -  2017=16319,11:15,158.0
 Tuesday -   November 7 -  2017=16319,11:30,172.0
 Tuesday -   November 7 -  2017=16319,11:45,191.0
 Tuesday -   November 7 -  2017=16319,12:0,167.0
 Tuesday -   November 7 -  2017=16319,12:15,174.0
 Tuesday -   November 7 -  2017=16319,12:30,179.0
 Tuesday -   November 7 -  2017=16319,12:45,176.0
 Tuesday -   November 7 -  2017=16319,13:0,191.0
 Tuesday -   November 7 -  2017=16319,13:15,179.0
 Tuesday -   November 7 -  2017=16319,13:30,175.0
 Tuesday -   November 7 -  2017=16319,13:45,179.0
 Tuesday -   November 7 -  2017=16319,14:0,184.0
 Tuesday -   November 7 -  2017=16319,14:15,228.0
 Tuesday -   November 7 -  2017=16319,14:30,295.0
 Tuesday -   November 7 -  2017=16319,14:45,276.0
 Tuesday -   November 7 -  2017=16319,15:0,304.0
 Tuesday -   November 7 -  2017=16319,15:15,260.0
 Tuesday -   November 7 -  2017=16319,15:30,242.0
 Tuesday -   November 7 -  2017=16319,15:45,300.0
 Tuesday -   November 7 -  2017=16319,16:0,320.0
 Tuesday -   November 7 -  2017=16319,16:15,278.0
 Tuesday -   November 7 -  2017=16319,16:30,232.0
 Tuesday -   November 7 -  2017=16319,16:45,259.0
 Tuesday -   November 7 -  2017=16319,17:0,301.0
 Tuesday -   November 7 -  2017=16319,17:15,318.0
 Tuesday -   November 7 -  2017=16319,17:30,279.0
 Tuesday -   November 7 -  2017=16319,17:45,265.0
 Tuesday -   November 7 -  2017=16319,18:0,212.0
 Tuesday -   November 7 -  2017=16319,18:15,251.0
 Tuesday -   November 7 -  2017=16319,18:30,225.0
 Tuesday -   November 7 -  2017=16319,18:45,184.0
 Tuesday -   November 7 -  2017=16319,19:0,189.0
 Tuesday -   November 7 -  2017=16319,19:15,194.0
 Tuesday -   November 7 -  2017=16319,19:30,168.0
 Tuesday -   November 7 -  2017=16319,19:45,156.0
 Tuesday -   November 7 -  2017=16319,20:0,118.0
 Tuesday -   November 7 -  2017=16319,20:15,136.0
 Tuesday -   November 7 -  2017=16319,20:30,107.0
 Tuesday -   November 7 -  2017=16319,20:45,108.0
 Tuesday -   November 7 -  2017=16319,21:0,116.0
 Tuesday -   November 7 -  2017=16319,21:15,124.0
 Tuesday -   November 7 -  2017=16319,21:30,89.0
 Tuesday -   November 7 -  2017=16319,21:45,89.0
 Tuesday -   November 7 -  2017=16319,22:0,57.0
 Tuesday -   November 7 -  2017=16319,22:15,66.0
 Tuesday -   November 7 -  2017=16319,22:30,72.0
