,Date,Time,NB,SB
0,2017-05-16 00:00:00,00:00:00,7,2
1,2017-05-16 00:00:00,00:15:00,4,12
2,2017-05-16 00:00:00,00:30:00,3,3
3,2017-05-16 00:00:00,00:45:00,8,3
4,2017-05-16 00:00:00,01:00:00,4,3
5,2017-05-16 00:00:00,01:15:00,7,0
6,2017-05-16 00:00:00,01:30:00,2,3
7,2017-05-16 00:00:00,01:45:00,4,1
8,2017-05-16 00:00:00,02:00:00,3,0
9,2017-05-16 00:00:00,02:15:00,2,1
10,2017-05-16 00:00:00,02:30:00,1,2
11,2017-05-16 00:00:00,02:45:00,1,1
12,2017-05-16 00:00:00,03:00:00,1,2
13,2017-05-16 00:00:00,03:15:00,2,4
14,2017-05-16 00:00:00,03:30:00,0,0
15,2017-05-16 00:00:00,03:45:00,1,5
16,2017-05-16 00:00:00,04:00:00,0,7
17,2017-05-16 00:00:00,04:15:00,1,6
18,2017-05-16 00:00:00,04:30:00,1,15
19,2017-05-16 00:00:00,04:45:00,2,17
20,2017-05-16 00:00:00,05:00:00,7,23
21,2017-05-16 00:00:00,05:15:00,7,24
22,2017-05-16 00:00:00,05:30:00,8,38
23,2017-05-16 00:00:00,05:45:00,12,40
24,2017-05-16 00:00:00,06:00:00,18,44
25,2017-05-16 00:00:00,06:15:00,28,78
26,2017-05-16 00:00:00,06:30:00,28,83
27,2017-05-16 00:00:00,06:45:00,46,126
28,2017-05-16 00:00:00,07:00:00,29,122
29,2017-05-16 00:00:00,07:15:00,29,141
30,2017-05-16 00:00:00,07:30:00,60,181
31,2017-05-16 00:00:00,07:45:00,73,200
32,2017-05-16 00:00:00,08:00:00,74,225
33,2017-05-16 00:00:00,08:15:00,73,281
34,2017-05-16 00:00:00,08:30:00,59,229
35,2017-05-16 00:00:00,08:45:00,69,253
36,2017-05-16 00:00:00,09:00:00,59,203
37,2017-05-16 00:00:00,09:15:00,67,193
38,2017-05-16 00:00:00,09:30:00,50,164
39,2017-05-16 00:00:00,09:45:00,62,162
40,2017-05-16 00:00:00,10:00:00,58,135
41,2017-05-16 00:00:00,10:15:00,53,126
42,2017-05-16 00:00:00,10:30:00,56,95
43,2017-05-16 00:00:00,10:45:00,65,106
44,2017-05-16 00:00:00,11:00:00,61,74
45,2017-05-16 00:00:00,11:15:00,83,73
46,2017-05-16 00:00:00,11:30:00,97,76
47,2017-05-16 00:00:00,11:45:00,81,87
48,2017-05-16 00:00:00,12:00:00,73,78
49,2017-05-16 00:00:00,12:15:00,87,71
50,2017-05-16 00:00:00,12:30:00,75,66
51,2017-05-16 00:00:00,12:45:00,111,61
52,2017-05-16 00:00:00,13:00:00,80,74
53,2017-05-16 00:00:00,13:15:00,102,68
54,2017-05-16 00:00:00,13:30:00,111,90
55,2017-05-16 00:00:00,13:45:00,133,72
56,2017-05-16 00:00:00,14:00:00,344,70
57,2017-05-16 00:00:00,14:15:00,447,58
58,2017-05-16 00:00:00,14:30:00,349,70
59,2017-05-16 00:00:00,14:45:00,440,94
60,2017-05-16 00:00:00,15:00:00,455,80
61,2017-05-16 00:00:00,15:15:00,417,77
62,2017-05-16 00:00:00,15:30:00,398,84
63,2017-05-16 00:00:00,15:45:00,436,73
64,2017-05-16 00:00:00,16:00:00,356,88
65,2017-05-16 00:00:00,16:15:00,355,83
66,2017-05-16 00:00:00,16:30:00,370,71
67,2017-05-16 00:00:00,16:45:00,361,71
68,2017-05-16 00:00:00,17:00:00,385,95
69,2017-05-16 00:00:00,17:15:00,422,81
