,Date,Time,NB,SB
0,2017-05-16 00:00:00,00:00:00,2,3
1,2017-05-16 00:00:00,00:15:00,0,0
2,2017-05-16 00:00:00,00:30:00,1,0
3,2017-05-16 00:00:00,00:45:00,0,2
4,2017-05-16 00:00:00,01:00:00,0,1
5,2017-05-16 00:00:00,01:15:00,1,0
6,2017-05-16 00:00:00,01:30:00,0,1
7,2017-05-16 00:00:00,01:45:00,0,0
8,2017-05-16 00:00:00,02:00:00,1,0
9,2017-05-16 00:00:00,02:15:00,0,0
10,2017-05-16 00:00:00,02:30:00,0,0
11,2017-05-16 00:00:00,02:45:00,0,1
12,2017-05-16 00:00:00,03:00:00,0,1
13,2017-05-16 00:00:00,03:15:00,0,0
14,2017-05-16 00:00:00,03:30:00,0,0
15,2017-05-16 00:00:00,03:45:00,0,0
16,2017-05-16 00:00:00,04:00:00,0,2
17,2017-05-16 00:00:00,04:15:00,1,1
18,2017-05-16 00:00:00,04:30:00,3,0
19,2017-05-16 00:00:00,04:45:00,2,5
20,2017-05-16 00:00:00,05:00:00,1,0
21,2017-05-16 00:00:00,05:15:00,3,3
22,2017-05-16 00:00:00,05:30:00,3,7
23,2017-05-16 00:00:00,05:45:00,5,4
24,2017-05-16 00:00:00,06:00:00,0,4
25,2017-05-16 00:00:00,06:15:00,4,6
26,2017-05-16 00:00:00,06:30:00,12,6
27,2017-05-16 00:00:00,06:45:00,19,22
28,2017-05-16 00:00:00,07:00:00,13,13
29,2017-05-16 00:00:00,07:15:00,33,30
30,2017-05-16 00:00:00,07:30:00,35,30
31,2017-05-16 00:00:00,07:45:00,33,45
32,2017-05-16 00:00:00,08:00:00,32,38
33,2017-05-16 00:00:00,08:15:00,49,83
34,2017-05-16 00:00:00,08:30:00,28,51
35,2017-05-16 00:00:00,08:45:00,34,54
36,2017-05-16 00:00:00,09:00:00,14,47
37,2017-05-16 00:00:00,09:15:00,24,47
38,2017-05-16 00:00:00,09:30:00,19,33
39,2017-05-16 00:00:00,09:45:00,25,32
40,2017-05-16 00:00:00,10:00:00,21,31
41,2017-05-16 00:00:00,10:15:00,17,15
42,2017-05-16 00:00:00,10:30:00,16,22
43,2017-05-16 00:00:00,10:45:00,5,19
44,2017-05-16 00:00:00,11:00:00,17,20
45,2017-05-16 00:00:00,11:15:00,14,13
46,2017-05-16 00:00:00,11:30:00,19,16
47,2017-05-16 00:00:00,11:45:00,16,27
48,2017-05-16 00:00:00,12:00:00,24,15
49,2017-05-16 00:00:00,12:15:00,14,17
50,2017-05-16 00:00:00,12:30:00,10,15
51,2017-05-16 00:00:00,12:45:00,23,16
52,2017-05-16 00:00:00,13:00:00,20,14
53,2017-05-16 00:00:00,13:15:00,14,18
54,2017-05-16 00:00:00,13:30:00,13,17
55,2017-05-16 00:00:00,13:45:00,23,25
56,2017-05-16 00:00:00,14:00:00,42,18
57,2017-05-16 00:00:00,14:15:00,60,19
58,2017-05-16 00:00:00,14:30:00,80,19
59,2017-05-16 00:00:00,14:45:00,82,30
60,2017-05-16 00:00:00,15:00:00,96,27
61,2017-05-16 00:00:00,15:15:00,83,26
62,2017-05-16 00:00:00,15:30:00,118,45
63,2017-05-16 00:00:00,15:45:00,106,33
64,2017-05-16 00:00:00,16:00:00,126,22
65,2017-05-16 00:00:00,16:15:00,102,20
66,2017-05-16 00:00:00,16:30:00,86,32
67,2017-05-16 00:00:00,16:45:00,79,20
68,2017-05-16 00:00:00,17:00:00,90,36
69,2017-05-16 00:00:00,17:15:00,90,25
70,2017-05-16 00:00:00,17:30:00,111,28
71,2017-05-16 00:00:00,17:45:00,131,26
