,Date,Time,NB,SB
0,2017-05-16 00:00:00,00:00:00,0,0
1,2017-05-16 00:00:00,00:15:00,1,3
2,2017-05-16 00:00:00,00:30:00,0,0
3,2017-05-16 00:00:00,00:45:00,1,1
4,2017-05-16 00:00:00,01:00:00,2,1
5,2017-05-16 00:00:00,01:15:00,1,1
6,2017-05-16 00:00:00,01:30:00,1,1
7,2017-05-16 00:00:00,01:45:00,0,0
8,2017-05-16 00:00:00,02:00:00,0,0
9,2017-05-16 00:00:00,02:15:00,0,1
10,2017-05-16 00:00:00,02:30:00,1,0
11,2017-05-16 00:00:00,02:45:00,0,0
12,2017-05-16 00:00:00,03:00:00,0,0
13,2017-05-16 00:00:00,03:15:00,0,0
14,2017-05-16 00:00:00,03:30:00,0,0
15,2017-05-16 00:00:00,03:45:00,0,0
16,2017-05-16 00:00:00,04:00:00,0,2
17,2017-05-16 00:00:00,04:15:00,1,1
18,2017-05-16 00:00:00,04:30:00,2,1
19,2017-05-16 00:00:00,04:45:00,0,1
20,2017-05-16 00:00:00,05:00:00,3,2
21,2017-05-16 00:00:00,05:15:00,3,1
22,2017-05-16 00:00:00,05:30:00,2,4
23,2017-05-16 00:00:00,05:45:00,8,5
24,2017-05-16 00:00:00,06:00:00,4,4
25,2017-05-16 00:00:00,06:15:00,14,5
26,2017-05-16 00:00:00,06:30:00,19,11
27,2017-05-16 00:00:00,06:45:00,34,22
28,2017-05-16 00:00:00,07:00:00,13,20
29,2017-05-16 00:00:00,07:15:00,28,29
30,2017-05-16 00:00:00,07:30:00,69,33
31,2017-05-16 00:00:00,07:45:00,41,49
32,2017-05-16 00:00:00,08:00:00,49,79
33,2017-05-16 00:00:00,08:15:00,85,103
34,2017-05-16 00:00:00,08:30:00,33,47
35,2017-05-16 00:00:00,08:45:00,38,46
36,2017-05-16 00:00:00,09:00:00,28,55
37,2017-05-16 00:00:00,09:15:00,25,48
38,2017-05-16 00:00:00,09:30:00,33,42
39,2017-05-16 00:00:00,09:45:00,25,38
40,2017-05-16 00:00:00,10:00:00,22,20
41,2017-05-16 00:00:00,10:15:00,17,30
42,2017-05-16 00:00:00,10:30:00,16,20
43,2017-05-16 00:00:00,10:45:00,18,31
44,2017-05-16 00:00:00,11:00:00,15,19
45,2017-05-16 00:00:00,11:15:00,13,19
46,2017-05-16 00:00:00,11:30:00,15,11
47,2017-05-16 00:00:00,11:45:00,20,26
48,2017-05-16 00:00:00,12:00:00,15,15
49,2017-05-16 00:00:00,12:15:00,19,22
50,2017-05-16 00:00:00,12:30:00,12,21
51,2017-05-16 00:00:00,12:45:00,21,20
52,2017-05-16 00:00:00,13:00:00,11,18
53,2017-05-16 00:00:00,13:15:00,26,27
54,2017-05-16 00:00:00,13:30:00,20,20
55,2017-05-16 00:00:00,13:45:00,18,18
56,2017-05-16 00:00:00,14:00:00,58,10
57,2017-05-16 00:00:00,14:15:00,73,26
58,2017-05-16 00:00:00,14:30:00,111,18
59,2017-05-16 00:00:00,14:45:00,86,54
60,2017-05-16 00:00:00,15:00:00,93,37
61,2017-05-16 00:00:00,15:15:00,112,36
62,2017-05-16 00:00:00,15:30:00,108,54
63,2017-05-16 00:00:00,15:45:00,118,44
64,2017-05-16 00:00:00,16:00:00,122,46
65,2017-05-16 00:00:00,16:15:00,104,39
66,2017-05-16 00:00:00,16:30:00,119,48
67,2017-05-16 00:00:00,16:45:00,99,41
68,2017-05-16 00:00:00,17:00:00,109,50
69,2017-05-16 00:00:00,17:15:00,119,33
70,2017-05-16 00:00:00,17:30:00,132,31
71,2017-05-16 00:00:00,17:45:00,147,33
72,2017-05-16 00:00:00,18:00:00,111,48
73,2017-05-16 00:00:00,18:15:00,100,51
74,2017-05-16 00:00:00,18:30:00,101,35
75,2017-05-16 00:00:00,18:45:00,64,28
76,2017-05-16 00:00:00,19:00:00,59,21
77,2017-05-16 00:00:00,19:15:00,43,20
78,2017-05-16 00:00:00,19:30:00,26,25
79,2017-05-16 00:00:00,19:45:00,32,19
80,2017-05-16 00:00:00,20:00:00,23,26
81,2017-05-16 00:00:00,20:15:00,21,22
82,2017-05-16 00:00:00,20:30:00,9,25
83,2017-05-16 00:00:00,20:45:00,15,18
84,2017-05-16 00:00:00,21:00:00,10,7
85,2017-05-16 00:00:00,21:15:00,11,18
86,2017-05-16 00:00:00,21:30:00,10,12
87,2017-05-16 00:00:00,21:45:00,7,10
88,2017-05-16 00:00:00,22:00:00,11,7
89,2017-05-16 00:00:00,22:15:00,6,7
90,2017-05-16 00:00:00,22:30:00,4,5
91,2017-05-16 00:00:00,22:45:00,7,4
92,2017-05-16 00:00:00,23:00:00,4,7
93,2017-05-16 00:00:00,23:15:00,3,4
94,2017-05-16 00:00:00,23:30:00,4,2
95,2017-05-16 00:00:00,23:45:00,0,1
96,2017-05-17 00:00:00,00:00:00,1,1
97,2017-05-17 00:00:00,00:15:00,2,3
98,2017-05-17 00:00:00,00:30:00,0,1
99,2017-05-17 00:00:00,00:45:00,1,0
100,2017-05-17 00:00:00,01:00:00,2,1
101,2017-05-17 00:00:00,01:15:00,1,0
102,2017-05-17 00:00:00,01:30:00,0,1
103,2017-05-17 00:00:00,01:45:00,0,1
104,2017-05-17 00:00:00,02:00:00,0,1
105,2017-05-17 00:00:00,02:15:00,0,0
106,2017-05-17 00:00:00,02:30:00,1,0
107,2017-05-17 00:00:00,02:45:00,0,0
108,2017-05-17 00:00:00,03:00:00,0,0
109,2017-05-17 00:00:00,03:15:00,1,0
110,2017-05-17 00:00:00,03:30:00,0,0
111,2017-05-17 00:00:00,03:45:00,1,0
112,2017-05-17 00:00:00,04:00:00,1,0
113,2017-05-17 00:00:00,04:15:00,2,3
114,2017-05-17 00:00:00,04:30:00,2,0
115,2017-05-17 00:00:00,04:45:00,1,0
116,2017-05-17 00:00:00,05:00:00,4,2
117,2017-05-17 00:00:00,05:15:00,3,0
118,2017-05-17 00:00:00,05:30:00,2,2
119,2017-05-17 00:00:00,05:45:00,5,1
120,2017-05-17 00:00:00,06:00:00,9,9
121,2017-05-17 00:00:00,06:15:00,11,5
122,2017-05-17 00:00:00,06:30:00,21,14
123,2017-05-17 00:00:00,06:45:00,32,5
124,2017-05-17 00:00:00,07:00:00,16,26
125,2017-05-17 00:00:00,07:15:00,32,29
126,2017-05-17 00:00:00,07:30:00,53,39
127,2017-05-17 00:00:00,07:45:00,36,46
128,2017-05-17 00:00:00,08:00:00,48,72
129,2017-05-17 00:00:00,08:15:00,77,106
130,2017-05-17 00:00:00,08:30:00,29,53
131,2017-05-17 00:00:00,08:45:00,25,51
132,2017-05-17 00:00:00,09:00:00,22,36
133,2017-05-17 00:00:00,09:15:00,27,46
134,2017-05-17 00:00:00,09:30:00,14,42
135,2017-05-17 00:00:00,09:45:00,20,42
136,2017-05-17 00:00:00,10:00:00,19,25
137,2017-05-17 00:00:00,10:15:00,14,21
138,2017-05-17 00:00:00,10:30:00,18,18
139,2017-05-17 00:00:00,10:45:00,14,16
140,2017-05-17 00:00:00,11:00:00,19,14
141,2017-05-17 00:00:00,11:15:00,21,21
142,2017-05-17 00:00:00,11:30:00,18,20
143,2017-05-17 00:00:00,11:45:00,20,24
144,2017-05-17 00:00:00,12:00:00,19,19
145,2017-05-17 00:00:00,12:15:00,31,19
146,2017-05-17 00:00:00,12:30:00,21,16
147,2017-05-17 00:00:00,12:45:00,24,12
148,2017-05-17 00:00:00,13:00:00,43,22
149,2017-05-17 00:00:00,13:15:00,30,47
150,2017-05-17 00:00:00,13:30:00,25,34
151,2017-05-17 00:00:00,13:45:00,27,41
152,2017-05-17 00:00:00,14:00:00,43,22
153,2017-05-17 00:00:00,14:15:00,78,15
154,2017-05-17 00:00:00,14:30:00,110,24
155,2017-05-17 00:00:00,14:45:00,100,47
156,2017-05-17 00:00:00,15:00:00,92,31
157,2017-05-17 00:00:00,15:15:00,77,33
158,2017-05-17 00:00:00,15:30:00,124,42
159,2017-05-17 00:00:00,15:45:00,114,42
160,2017-05-17 00:00:00,16:00:00,75,37
161,2017-05-17 00:00:00,16:15:00,65,54
162,2017-05-17 00:00:00,16:30:00,93,56
163,2017-05-17 00:00:00,16:45:00,104,43
164,2017-05-17 00:00:00,17:00:00,108,41
165,2017-05-17 00:00:00,17:15:00,105,58
166,2017-05-17 00:00:00,17:30:00,120,44
167,2017-05-17 00:00:00,17:45:00,119,44
168,2017-05-17 00:00:00,18:00:00,126,52
169,2017-05-17 00:00:00,18:15:00,113,41
170,2017-05-17 00:00:00,18:30:00,50,32
171,2017-05-17 00:00:00,18:45:00,52,34
172,2017-05-17 00:00:00,19:00:00,50,20
173,2017-05-17 00:00:00,19:15:00,48,28
