,Date,Time,NB,SB
0,2017-05-16 00:00:00,00:00:00,0,2
1,2017-05-16 00:00:00,00:15:00,1,0
2,2017-05-16 00:00:00,00:30:00,0,0
3,2017-05-16 00:00:00,00:45:00,1,1
4,2017-05-16 00:00:00,01:00:00,1,1
5,2017-05-16 00:00:00,01:15:00,0,0
6,2017-05-16 00:00:00,01:30:00,1,1
7,2017-05-16 00:00:00,01:45:00,1,0
8,2017-05-16 00:00:00,02:00:00,0,1
9,2017-05-16 00:00:00,02:15:00,0,0
10,2017-05-16 00:00:00,02:30:00,1,0
11,2017-05-16 00:00:00,02:45:00,0,0
12,2017-05-16 00:00:00,03:00:00,0,0
13,2017-05-16 00:00:00,03:15:00,0,0
14,2017-05-16 00:00:00,03:30:00,0,0
15,2017-05-16 00:00:00,03:45:00,0,0
16,2017-05-16 00:00:00,04:00:00,0,3
17,2017-05-16 00:00:00,04:15:00,0,0
18,2017-05-16 00:00:00,04:30:00,1,1
19,2017-05-16 00:00:00,04:45:00,0,0
20,2017-05-16 00:00:00,05:00:00,2,2
21,2017-05-16 00:00:00,05:15:00,3,2
22,2017-05-16 00:00:00,05:30:00,2,7
23,2017-05-16 00:00:00,05:45:00,3,6
24,2017-05-16 00:00:00,06:00:00,0,7
25,2017-05-16 00:00:00,06:15:00,3,10
26,2017-05-16 00:00:00,06:30:00,3,15
27,2017-05-16 00:00:00,06:45:00,11,22
28,2017-05-16 00:00:00,07:00:00,8,25
29,2017-05-16 00:00:00,07:15:00,23,49
30,2017-05-16 00:00:00,07:30:00,39,60
31,2017-05-16 00:00:00,07:45:00,19,65
32,2017-05-16 00:00:00,08:00:00,24,96
33,2017-05-16 00:00:00,08:15:00,46,103
34,2017-05-16 00:00:00,08:30:00,21,80
35,2017-05-16 00:00:00,08:45:00,27,67
36,2017-05-16 00:00:00,09:00:00,20,65
37,2017-05-16 00:00:00,09:15:00,14,54
38,2017-05-16 00:00:00,09:30:00,24,54
39,2017-05-16 00:00:00,09:45:00,22,41
40,2017-05-16 00:00:00,10:00:00,17,24
41,2017-05-16 00:00:00,10:15:00,24,27
42,2017-05-16 00:00:00,10:30:00,15,20
43,2017-05-16 00:00:00,10:45:00,16,27
44,2017-05-16 00:00:00,11:00:00,22,25
45,2017-05-16 00:00:00,11:15:00,16,20
46,2017-05-16 00:00:00,11:30:00,14,14
47,2017-05-16 00:00:00,11:45:00,20,30
48,2017-05-16 00:00:00,12:00:00,28,11
49,2017-05-16 00:00:00,12:15:00,25,18
50,2017-05-16 00:00:00,12:30:00,25,27
51,2017-05-16 00:00:00,12:45:00,20,17
52,2017-05-16 00:00:00,13:00:00,15,22
53,2017-05-16 00:00:00,13:15:00,24,25
54,2017-05-16 00:00:00,13:30:00,22,27
55,2017-05-16 00:00:00,13:45:00,30,25
56,2017-05-16 00:00:00,14:00:00,44,22
57,2017-05-16 00:00:00,14:15:00,103,29
58,2017-05-16 00:00:00,14:30:00,152,37
59,2017-05-16 00:00:00,14:45:00,172,45
60,2017-05-16 00:00:00,15:00:00,157,29
61,2017-05-16 00:00:00,15:15:00,179,33
62,2017-05-16 00:00:00,15:30:00,155,32
63,2017-05-16 00:00:00,15:45:00,167,33
64,2017-05-16 00:00:00,16:00:00,144,46
65,2017-05-16 00:00:00,16:15:00,160,33
66,2017-05-16 00:00:00,16:30:00,169,29
67,2017-05-16 00:00:00,16:45:00,164,35
68,2017-05-16 00:00:00,17:00:00,142,29
69,2017-05-16 00:00:00,17:15:00,149,30
70,2017-05-16 00:00:00,17:30:00,160,45
71,2017-05-16 00:00:00,17:45:00,196,37
72,2017-05-16 00:00:00,18:00:00,176,41
73,2017-05-16 00:00:00,18:15:00,159,49
74,2017-05-16 00:00:00,18:30:00,150,31
75,2017-05-16 00:00:00,18:45:00,88,30
