Day,Time,Count
 Tuesday -  November 7 -  2017 - Total=1596,0:0,0.0
 Tuesday -  November 7 -  2017 - Total=1596,0:15,0.0
 Tuesday -  November 7 -  2017 - Total=1596,0:30,0.0
 Tuesday -  November 7 -  2017 - Total=1596,0:45,0.0
 Tuesday -  November 7 -  2017 - Total=1596,1:0,0.0
 Tuesday -  November 7 -  2017 - Total=1596,1:15,0.0
 Tuesday -  November 7 -  2017 - Total=1596,1:30,0.0
 Tuesday -  November 7 -  2017 - Total=1596,1:45,0.0
 Tuesday -  November 7 -  2017 - Total=1596,2:0,0.0
 Tuesday -  November 7 -  2017 - Total=1596,2:15,0.0
 Tuesday -  November 7 -  2017 - Total=1596,2:30,0.0
 Tuesday -  November 7 -  2017 - Total=1596,2:45,0.0
 Tuesday -  November 7 -  2017 - Total=1596,3:0,0.0
 Tuesday -  November 7 -  2017 - Total=1596,3:15,0.0
 Tuesday -  November 7 -  2017 - Total=1596,3:30,0.0
 Tuesday -  November 7 -  2017 - Total=1596,3:45,1.0
 Tuesday -  November 7 -  2017 - Total=1596,4:0,0.0
 Tuesday -  November 7 -  2017 - Total=1596,4:15,0.0
 Tuesday -  November 7 -  2017 - Total=1596,4:30,0.0
 Tuesday -  November 7 -  2017 - Total=1596,4:45,3.0
 Tuesday -  November 7 -  2017 - Total=1596,5:0,5.0
 Tuesday -  November 7 -  2017 - Total=1596,5:15,3.0
 Tuesday -  November 7 -  2017 - Total=1596,5:30,4.0
 Tuesday -  November 7 -  2017 - Total=1596,5:45,9.0
 Tuesday -  November 7 -  2017 - Total=1596,6:0,9.0
 Tuesday -  November 7 -  2017 - Total=1596,6:15,4.0
 Tuesday -  November 7 -  2017 - Total=1596,6:30,12.0
 Tuesday -  November 7 -  2017 - Total=1596,6:45,14.0
 Tuesday -  November 7 -  2017 - Total=1596,7:0,22.0
 Tuesday -  November 7 -  2017 - Total=1596,7:15,33.0
 Tuesday -  November 7 -  2017 - Total=1596,7:30,80.0
 Tuesday -  November 7 -  2017 - Total=1596,7:45,61.0
