,Date,Time,WB,EB
0,2017-05-16 00:00:00,00:00:00,0,2
1,2017-05-16 00:00:00,00:15:00,0,0
2,2017-05-16 00:00:00,00:30:00,1,2
3,2017-05-16 00:00:00,00:45:00,1,1
4,2017-05-16 00:00:00,01:00:00,2,1
5,2017-05-16 00:00:00,01:15:00,0,0
6,2017-05-16 00:00:00,01:30:00,0,1
7,2017-05-16 00:00:00,01:45:00,0,0
8,2017-05-16 00:00:00,02:00:00,1,0
9,2017-05-16 00:00:00,02:15:00,0,0
10,2017-05-16 00:00:00,02:30:00,0,0
11,2017-05-16 00:00:00,02:45:00,0,1
12,2017-05-16 00:00:00,03:00:00,0,1
13,2017-05-16 00:00:00,03:15:00,0,0
14,2017-05-16 00:00:00,03:30:00,0,0
15,2017-05-16 00:00:00,03:45:00,1,0
16,2017-05-16 00:00:00,04:00:00,1,2
17,2017-05-16 00:00:00,04:15:00,0,1
18,2017-05-16 00:00:00,04:30:00,1,3
19,2017-05-16 00:00:00,04:45:00,1,6
20,2017-05-16 00:00:00,05:00:00,0,0
21,2017-05-16 00:00:00,05:15:00,0,5
22,2017-05-16 00:00:00,05:30:00,1,11
23,2017-05-16 00:00:00,05:45:00,1,13
24,2017-05-16 00:00:00,06:00:00,2,4
25,2017-05-16 00:00:00,06:15:00,2,14
26,2017-05-16 00:00:00,06:30:00,4,15
27,2017-05-16 00:00:00,06:45:00,8,24
28,2017-05-16 00:00:00,07:00:00,6,18
29,2017-05-16 00:00:00,07:15:00,12,41
30,2017-05-16 00:00:00,07:30:00,14,38
31,2017-05-16 00:00:00,07:45:00,8,65
32,2017-05-16 00:00:00,08:00:00,20,56
33,2017-05-16 00:00:00,08:15:00,29,63
34,2017-05-16 00:00:00,08:30:00,21,74
35,2017-05-16 00:00:00,08:45:00,12,68
36,2017-05-16 00:00:00,09:00:00,17,45
37,2017-05-16 00:00:00,09:15:00,15,52
38,2017-05-16 00:00:00,09:30:00,15,42
39,2017-05-16 00:00:00,09:45:00,15,39
40,2017-05-16 00:00:00,10:00:00,14,27
41,2017-05-16 00:00:00,10:15:00,17,19
42,2017-05-16 00:00:00,10:30:00,14,23
43,2017-05-16 00:00:00,10:45:00,9,23
44,2017-05-16 00:00:00,11:00:00,8,11
45,2017-05-16 00:00:00,11:15:00,23,26
46,2017-05-16 00:00:00,11:30:00,20,22
47,2017-05-16 00:00:00,11:45:00,17,30
48,2017-05-16 00:00:00,12:00:00,28,19
49,2017-05-16 00:00:00,12:15:00,25,18
50,2017-05-16 00:00:00,12:30:00,14,13
51,2017-05-16 00:00:00,12:45:00,21,17
52,2017-05-16 00:00:00,13:00:00,20,14
53,2017-05-16 00:00:00,13:15:00,18,9
54,2017-05-16 00:00:00,13:30:00,25,11
55,2017-05-16 00:00:00,13:45:00,30,16
56,2017-05-16 00:00:00,14:00:00,62,17
57,2017-05-16 00:00:00,14:15:00,86,32
58,2017-05-16 00:00:00,14:30:00,90,14
59,2017-05-16 00:00:00,14:45:00,97,25
60,2017-05-16 00:00:00,15:00:00,115,17
61,2017-05-16 00:00:00,15:15:00,123,17
62,2017-05-16 00:00:00,15:30:00,150,26
63,2017-05-16 00:00:00,15:45:00,175,25
64,2017-05-16 00:00:00,16:00:00,163,18
65,2017-05-16 00:00:00,16:15:00,140,24
66,2017-05-16 00:00:00,16:30:00,109,24
67,2017-05-16 00:00:00,16:45:00,112,24
68,2017-05-16 00:00:00,17:00:00,118,26
69,2017-05-16 00:00:00,17:15:00,133,23
70,2017-05-16 00:00:00,17:30:00,161,21
71,2017-05-16 00:00:00,17:45:00,182,33
72,2017-05-16 00:00:00,18:00:00,174,26
73,2017-05-16 00:00:00,18:15:00,189,33
74,2017-05-16 00:00:00,18:30:00,184,21
75,2017-05-16 00:00:00,18:45:00,104,17
76,2017-05-16 00:00:00,19:00:00,72,25
77,2017-05-16 00:00:00,19:15:00,42,19
78,2017-05-16 00:00:00,19:30:00,47,9
79,2017-05-16 00:00:00,19:45:00,29,14
80,2017-05-16 00:00:00,20:00:00,27,11
81,2017-05-16 00:00:00,20:15:00,17,7
82,2017-05-16 00:00:00,20:30:00,14,20
83,2017-05-16 00:00:00,20:45:00,20,10
84,2017-05-16 00:00:00,21:00:00,18,12
85,2017-05-16 00:00:00,21:15:00,16,7
86,2017-05-16 00:00:00,21:30:00,18,11
87,2017-05-16 00:00:00,21:45:00,13,5
88,2017-05-16 00:00:00,22:00:00,10,4
89,2017-05-16 00:00:00,22:15:00,12,5
90,2017-05-16 00:00:00,22:30:00,10,3
91,2017-05-16 00:00:00,22:45:00,10,4
92,2017-05-16 00:00:00,23:00:00,4,0
93,2017-05-16 00:00:00,23:15:00,4,5
94,2017-05-16 00:00:00,23:30:00,1,1
95,2017-05-16 00:00:00,23:45:00,0,2
96,2017-05-17 00:00:00,00:00:00,1,2
97,2017-05-17 00:00:00,00:15:00,1,0
98,2017-05-17 00:00:00,00:30:00,1,0
99,2017-05-17 00:00:00,00:45:00,0,1
100,2017-05-17 00:00:00,01:00:00,1,0
101,2017-05-17 00:00:00,01:15:00,0,0
102,2017-05-17 00:00:00,01:30:00,0,0
103,2017-05-17 00:00:00,01:45:00,1,0
104,2017-05-17 00:00:00,02:00:00,0,1
105,2017-05-17 00:00:00,02:15:00,1,0
106,2017-05-17 00:00:00,02:30:00,0,0
107,2017-05-17 00:00:00,02:45:00,0,0
108,2017-05-17 00:00:00,03:00:00,0,0
109,2017-05-17 00:00:00,03:15:00,1,0
110,2017-05-17 00:00:00,03:30:00,1,0
111,2017-05-17 00:00:00,03:45:00,0,1
112,2017-05-17 00:00:00,04:00:00,0,0
113,2017-05-17 00:00:00,04:15:00,0,3
114,2017-05-17 00:00:00,04:30:00,1,3
115,2017-05-17 00:00:00,04:45:00,0,1
116,2017-05-17 00:00:00,05:00:00,0,0
117,2017-05-17 00:00:00,05:15:00,0,4
