,Date,Time,WB,EB
0,2017-05-16 00:00:00,00:00:00,5,6
1,2017-05-16 00:00:00,00:15:00,6,8
2,2017-05-16 00:00:00,00:30:00,7,9
3,2017-05-16 00:00:00,00:45:00,4,1
4,2017-05-16 00:00:00,01:00:00,6,3
5,2017-05-16 00:00:00,01:15:00,4,5
6,2017-05-16 00:00:00,01:30:00,5,6
7,2017-05-16 00:00:00,01:45:00,1,4
8,2017-05-16 00:00:00,02:00:00,1,2
9,2017-05-16 00:00:00,02:15:00,2,3
10,2017-05-16 00:00:00,02:30:00,0,2
11,2017-05-16 00:00:00,02:45:00,2,0
12,2017-05-16 00:00:00,03:00:00,1,1
13,2017-05-16 00:00:00,03:15:00,1,1
14,2017-05-16 00:00:00,03:30:00,2,5
15,2017-05-16 00:00:00,03:45:00,2,2
16,2017-05-16 00:00:00,04:00:00,3,3
17,2017-05-16 00:00:00,04:15:00,5,1
18,2017-05-16 00:00:00,04:30:00,9,8
19,2017-05-16 00:00:00,04:45:00,4,9
20,2017-05-16 00:00:00,05:00:00,9,3
21,2017-05-16 00:00:00,05:15:00,9,7
22,2017-05-16 00:00:00,05:30:00,21,5
23,2017-05-16 00:00:00,05:45:00,14,16
24,2017-05-16 00:00:00,06:00:00,31,21
25,2017-05-16 00:00:00,06:15:00,44,26
26,2017-05-16 00:00:00,06:30:00,40,40
27,2017-05-16 00:00:00,06:45:00,51,71
28,2017-05-16 00:00:00,07:00:00,88,51
29,2017-05-16 00:00:00,07:15:00,91,77
30,2017-05-16 00:00:00,07:30:00,134,104
31,2017-05-16 00:00:00,07:45:00,178,123
32,2017-05-16 00:00:00,08:00:00,178,125
33,2017-05-16 00:00:00,08:15:00,200,119
34,2017-05-16 00:00:00,08:30:00,172,93
35,2017-05-16 00:00:00,08:45:00,158,79
36,2017-05-16 00:00:00,09:00:00,152,86
37,2017-05-16 00:00:00,09:15:00,145,69
38,2017-05-16 00:00:00,09:30:00,121,68
39,2017-05-16 00:00:00,09:45:00,105,75
40,2017-05-16 00:00:00,10:00:00,96,80
41,2017-05-16 00:00:00,10:15:00,83,63
42,2017-05-16 00:00:00,10:30:00,85,79
43,2017-05-16 00:00:00,10:45:00,88,72
44,2017-05-16 00:00:00,11:00:00,89,64
45,2017-05-16 00:00:00,11:15:00,92,84
46,2017-05-16 00:00:00,11:30:00,85,81
47,2017-05-16 00:00:00,11:45:00,96,94
48,2017-05-16 00:00:00,12:00:00,110,75
49,2017-05-16 00:00:00,12:15:00,84,92
50,2017-05-16 00:00:00,12:30:00,106,93
51,2017-05-16 00:00:00,12:45:00,93,109
52,2017-05-16 00:00:00,13:00:00,86,88
53,2017-05-16 00:00:00,13:15:00,82,82
54,2017-05-16 00:00:00,13:30:00,76,92
55,2017-05-16 00:00:00,13:45:00,91,74
56,2017-05-16 00:00:00,14:00:00,104,78
57,2017-05-16 00:00:00,14:15:00,140,80
58,2017-05-16 00:00:00,14:30:00,182,84
59,2017-05-16 00:00:00,14:45:00,182,120
60,2017-05-16 00:00:00,15:00:00,226,118
61,2017-05-16 00:00:00,15:15:00,230,104
62,2017-05-16 00:00:00,15:30:00,205,121
63,2017-05-16 00:00:00,15:45:00,149,119
64,2017-05-16 00:00:00,16:00:00,158,97
65,2017-05-16 00:00:00,16:15:00,172,110
