Day,Time,Count
 Tuesday -  May 14 -  2019=23205,0:0,52.0
 Tuesday -  May 14 -  2019=23205,0:15,49.0
 Tuesday -  May 14 -  2019=23205,0:30,41.0
 Tuesday -  May 14 -  2019=23205,0:45,41.0
 Tuesday -  May 14 -  2019=23205,1:0,28.0
 Tuesday -  May 14 -  2019=23205,1:15,19.0
 Tuesday -  May 14 -  2019=23205,1:30,20.0
 Tuesday -  May 14 -  2019=23205,1:45,25.0
 Tuesday -  May 14 -  2019=23205,2:0,30.0
 Tuesday -  May 14 -  2019=23205,2:15,18.0
 Tuesday -  May 14 -  2019=23205,2:30,30.0
 Tuesday -  May 14 -  2019=23205,2:45,22.0
 Tuesday -  May 14 -  2019=23205,3:0,28.0
 Tuesday -  May 14 -  2019=23205,3:15,44.0
 Tuesday -  May 14 -  2019=23205,3:30,30.0
 Tuesday -  May 14 -  2019=23205,3:45,25.0
 Tuesday -  May 14 -  2019=23205,4:0,44.0
 Tuesday -  May 14 -  2019=23205,4:15,45.0
 Tuesday -  May 14 -  2019=23205,4:30,61.0
 Tuesday -  May 14 -  2019=23205,4:45,62.0
 Tuesday -  May 14 -  2019=23205,5:0,59.0
 Tuesday -  May 14 -  2019=23205,5:15,90.0
 Tuesday -  May 14 -  2019=23205,5:30,100.0
 Tuesday -  May 14 -  2019=23205,5:45,115.0
 Tuesday -  May 14 -  2019=23205,6:0,178.0
 Tuesday -  May 14 -  2019=23205,6:15,196.0
 Tuesday -  May 14 -  2019=23205,6:30,190.0
 Tuesday -  May 14 -  2019=23205,6:45,202.0
 Tuesday -  May 14 -  2019=23205,7:0,199.0
 Tuesday -  May 14 -  2019=23205,7:15,229.0
 Tuesday -  May 14 -  2019=23205,7:30,294.0
 Tuesday -  May 14 -  2019=23205,7:45,373.0
 Tuesday -  May 14 -  2019=23205,8:0,370.0
 Tuesday -  May 14 -  2019=23205,8:15,367.0
 Tuesday -  May 14 -  2019=23205,8:30,323.0
 Tuesday -  May 14 -  2019=23205,8:45,274.0
 Tuesday -  May 14 -  2019=23205,9:0,281.0
 Tuesday -  May 14 -  2019=23205,9:15,305.0
 Tuesday -  May 14 -  2019=23205,9:30,275.0
 Tuesday -  May 14 -  2019=23205,9:45,308.0
 Tuesday -  May 14 -  2019=23205,10:0,253.0
 Tuesday -  May 14 -  2019=23205,10:15,275.0
 Tuesday -  May 14 -  2019=23205,10:30,251.0
 Tuesday -  May 14 -  2019=23205,10:45,276.0
 Tuesday -  May 14 -  2019=23205,11:0,236.0
 Tuesday -  May 14 -  2019=23205,11:15,294.0
 Tuesday -  May 14 -  2019=23205,11:30,275.0
 Tuesday -  May 14 -  2019=23205,11:45,303.0
 Tuesday -  May 14 -  2019=23205,12:0,320.0
 Tuesday -  May 14 -  2019=23205,12:15,332.0
 Tuesday -  May 14 -  2019=23205,12:30,321.0
 Tuesday -  May 14 -  2019=23205,12:45,348.0
 Tuesday -  May 14 -  2019=23205,13:0,296.0
 Tuesday -  May 14 -  2019=23205,13:15,353.0
 Tuesday -  May 14 -  2019=23205,13:30,403.0
 Tuesday -  May 14 -  2019=23205,13:45,422.0
 Tuesday -  May 14 -  2019=23205,14:0,469.0
 Tuesday -  May 14 -  2019=23205,14:15,467.0
 Tuesday -  May 14 -  2019=23205,14:30,480.0
 Tuesday -  May 14 -  2019=23205,14:45,320.0
 Tuesday -  May 14 -  2019=23205,15:0,433.0
 Tuesday -  May 14 -  2019=23205,15:15,471.0
 Tuesday -  May 14 -  2019=23205,15:30,490.0
 Tuesday -  May 14 -  2019=23205,15:45,397.0
 Tuesday -  May 14 -  2019=23205,16:0,407.0
 Tuesday -  May 14 -  2019=23205,16:15,524.0
 Tuesday -  May 14 -  2019=23205,16:30,471.0
 Tuesday -  May 14 -  2019=23205,16:45,422.0
 Tuesday -  May 14 -  2019=23205,17:0,415.0
 Tuesday -  May 14 -  2019=23205,17:15,532.0
 Tuesday -  May 14 -  2019=23205,17:30,468.0
 Tuesday -  May 14 -  2019=23205,17:45,492.0
 Tuesday -  May 14 -  2019=23205,18:0,466.0
 Tuesday -  May 14 -  2019=23205,18:15,463.0
 Tuesday -  May 14 -  2019=23205,18:30,442.0
 Tuesday -  May 14 -  2019=23205,18:45,402.0
 Tuesday -  May 14 -  2019=23205,19:0,348.0
 Tuesday -  May 14 -  2019=23205,19:15,309.0
 Tuesday -  May 14 -  2019=23205,19:30,331.0
 Tuesday -  May 14 -  2019=23205,19:45,261.0
 Tuesday -  May 14 -  2019=23205,20:0,268.0
 Tuesday -  May 14 -  2019=23205,20:15,259.0
 Tuesday -  May 14 -  2019=23205,20:30,227.0
 Tuesday -  May 14 -  2019=23205,20:45,238.0
 Tuesday -  May 14 -  2019=23205,21:0,214.0
 Tuesday -  May 14 -  2019=23205,21:15,202.0
 Tuesday -  May 14 -  2019=23205,21:30,190.0
 Tuesday -  May 14 -  2019=23205,21:45,135.0
 Tuesday -  May 14 -  2019=23205,22:0,150.0
 Tuesday -  May 14 -  2019=23205,22:15,102.0
 Tuesday -  May 14 -  2019=23205,22:30,136.0
 Tuesday -  May 14 -  2019=23205,22:45,81.0
 Tuesday -  May 14 -  2019=23205,23:0,90.0
 Tuesday -  May 14 -  2019=23205,23:15,96.0
 Tuesday -  May 14 -  2019=23205,23:30,94.0
 Tuesday -  May 14 -  2019=23205,23:45,65.0
 Wednesday -  May 15 -   2019=21722,0:0,48.0
 Wednesday -  May 15 -   2019=21722,0:15,62.0
 Wednesday -  May 15 -   2019=21722,0:30,48.0
 Wednesday -  May 15 -   2019=21722,0:45,49.0
 Wednesday -  May 15 -   2019=21722,1:0,33.0
 Wednesday -  May 15 -   2019=21722,1:15,40.0
 Wednesday -  May 15 -   2019=21722,1:30,22.0
 Wednesday -  May 15 -   2019=21722,1:45,31.0
 Wednesday -  May 15 -   2019=21722,2:0,26.0
 Wednesday -  May 15 -   2019=21722,2:15,17.0
 Wednesday -  May 15 -   2019=21722,2:30,23.0
 Wednesday -  May 15 -   2019=21722,2:45,24.0
 Wednesday -  May 15 -   2019=21722,3:0,39.0
 Wednesday -  May 15 -   2019=21722,3:15,24.0
 Wednesday -  May 15 -   2019=21722,3:30,38.0
 Wednesday -  May 15 -   2019=21722,3:45,34.0
 Wednesday -  May 15 -   2019=21722,4:0,32.0
 Wednesday -  May 15 -   2019=21722,4:15,35.0
 Wednesday -  May 15 -   2019=21722,4:30,53.0
 Wednesday -  May 15 -   2019=21722,4:45,59.0
 Wednesday -  May 15 -   2019=21722,5:0,74.0
 Wednesday -  May 15 -   2019=21722,5:15,90.0
 Wednesday -  May 15 -   2019=21722,5:30,125.0
 Wednesday -  May 15 -   2019=21722,5:45,88.0
 Wednesday -  May 15 -   2019=21722,6:0,177.0
 Wednesday -  May 15 -   2019=21722,6:15,232.0
 Wednesday -  May 15 -   2019=21722,6:30,191.0
 Wednesday -  May 15 -   2019=21722,6:45,191.0
 Wednesday -  May 15 -   2019=21722,7:0,182.0
 Wednesday -  May 15 -   2019=21722,7:15,245.0
 Wednesday -  May 15 -   2019=21722,7:30,295.0
 Wednesday -  May 15 -   2019=21722,7:45,324.0
 Wednesday -  May 15 -   2019=21722,8:0,268.0
 Wednesday -  May 15 -   2019=21722,8:15,113.0
 Wednesday -  May 15 -   2019=21722,8:30,82.0
 Wednesday -  May 15 -   2019=21722,8:45,51.0
 Wednesday -  May 15 -   2019=21722,9:0,56.0
 Wednesday -  May 15 -   2019=21722,9:15,90.0
 Wednesday -  May 15 -   2019=21722,9:30,239.0
 Wednesday -  May 15 -   2019=21722,9:45,235.0
 Wednesday -  May 15 -   2019=21722,10:0,251.0
 Wednesday -  May 15 -   2019=21722,10:15,318.0
 Wednesday -  May 15 -   2019=21722,10:30,300.0
 Wednesday -  May 15 -   2019=21722,10:45,259.0
 Wednesday -  May 15 -   2019=21722,11:0,276.0
 Wednesday -  May 15 -   2019=21722,11:15,207.0
 Wednesday -  May 15 -   2019=21722,11:30,215.0
 Wednesday -  May 15 -   2019=21722,11:45,263.0
 Wednesday -  May 15 -   2019=21722,12:0,375.0
 Wednesday -  May 15 -   2019=21722,12:15,422.0
 Wednesday -  May 15 -   2019=21722,12:30,348.0
 Wednesday -  May 15 -   2019=21722,12:45,303.0
