Day,Time,Count
 Tuesday -      May 14 -  2019=3715,0:0,2.0
 Tuesday -      May 14 -  2019=3715,0:15,2.0
 Tuesday -      May 14 -  2019=3715,0:30,2.0
 Tuesday -      May 14 -  2019=3715,0:45,0.0
 Tuesday -      May 14 -  2019=3715,1:0,1.0
 Tuesday -      May 14 -  2019=3715,1:15,1.0
 Tuesday -      May 14 -  2019=3715,1:30,0.0
 Tuesday -      May 14 -  2019=3715,1:45,2.0
 Tuesday -      May 14 -  2019=3715,2:0,0.0
 Tuesday -      May 14 -  2019=3715,2:15,0.0
 Tuesday -      May 14 -  2019=3715,2:30,1.0
 Tuesday -      May 14 -  2019=3715,2:45,0.0
 Tuesday -      May 14 -  2019=3715,3:0,0.0
 Tuesday -      May 14 -  2019=3715,3:15,0.0
 Tuesday -      May 14 -  2019=3715,3:30,0.0
 Tuesday -      May 14 -  2019=3715,3:45,1.0
 Tuesday -      May 14 -  2019=3715,4:0,2.0
 Tuesday -      May 14 -  2019=3715,4:15,4.0
 Tuesday -      May 14 -  2019=3715,4:30,2.0
 Tuesday -      May 14 -  2019=3715,4:45,3.0
 Tuesday -      May 14 -  2019=3715,5:0,2.0
 Tuesday -      May 14 -  2019=3715,5:15,5.0
 Tuesday -      May 14 -  2019=3715,5:30,4.0
 Tuesday -      May 14 -  2019=3715,5:45,7.0
 Tuesday -      May 14 -  2019=3715,6:0,6.0
 Tuesday -      May 14 -  2019=3715,6:15,12.0
 Tuesday -      May 14 -  2019=3715,6:30,13.0
 Tuesday -      May 14 -  2019=3715,6:45,21.0
 Tuesday -      May 14 -  2019=3715,7:0,24.0
 Tuesday -      May 14 -  2019=3715,7:15,44.0
 Tuesday -      May 14 -  2019=3715,7:30,75.0
 Tuesday -      May 14 -  2019=3715,7:45,69.0
 Tuesday -      May 14 -  2019=3715,8:0,53.0
 Tuesday -      May 14 -  2019=3715,8:15,54.0
 Tuesday -      May 14 -  2019=3715,8:30,45.0
 Tuesday -      May 14 -  2019=3715,8:45,52.0
 Tuesday -      May 14 -  2019=3715,9:0,38.0
 Tuesday -      May 14 -  2019=3715,9:15,45.0
 Tuesday -      May 14 -  2019=3715,9:30,76.0
 Tuesday -      May 14 -  2019=3715,9:45,42.0
 Tuesday -      May 14 -  2019=3715,10:0,42.0
 Tuesday -      May 14 -  2019=3715,10:15,33.0
 Tuesday -      May 14 -  2019=3715,10:30,39.0
 Tuesday -      May 14 -  2019=3715,10:45,36.0
 Tuesday -      May 14 -  2019=3715,11:0,33.0
 Tuesday -      May 14 -  2019=3715,11:15,51.0
 Tuesday -      May 14 -  2019=3715,11:30,39.0
 Tuesday -      May 14 -  2019=3715,11:45,30.0
 Tuesday -      May 14 -  2019=3715,12:0,42.0
 Tuesday -      May 14 -  2019=3715,12:15,38.0
 Tuesday -      May 14 -  2019=3715,12:30,42.0
 Tuesday -      May 14 -  2019=3715,12:45,43.0
 Tuesday -      May 14 -  2019=3715,13:0,51.0
 Tuesday -      May 14 -  2019=3715,13:15,36.0
 Tuesday -      May 14 -  2019=3715,13:30,39.0
 Tuesday -      May 14 -  2019=3715,13:45,31.0
 Tuesday -      May 14 -  2019=3715,14:0,43.0
 Tuesday -      May 14 -  2019=3715,14:15,91.0
 Tuesday -      May 14 -  2019=3715,14:30,119.0
 Tuesday -      May 14 -  2019=3715,14:45,139.0
 Tuesday -      May 14 -  2019=3715,15:0,103.0
 Tuesday -      May 14 -  2019=3715,15:15,98.0
 Tuesday -      May 14 -  2019=3715,15:30,119.0
 Tuesday -      May 14 -  2019=3715,15:45,126.0
 Tuesday -      May 14 -  2019=3715,16:0,111.0
 Tuesday -      May 14 -  2019=3715,16:15,95.0
 Tuesday -      May 14 -  2019=3715,16:30,108.0
 Tuesday -      May 14 -  2019=3715,16:45,104.0
 Tuesday -      May 14 -  2019=3715,17:0,100.0
 Tuesday -      May 14 -  2019=3715,17:15,125.0
 Tuesday -      May 14 -  2019=3715,17:30,88.0
 Tuesday -      May 14 -  2019=3715,17:45,78.0
 Tuesday -      May 14 -  2019=3715,18:0,95.0
 Tuesday -      May 14 -  2019=3715,18:15,93.0
 Tuesday -      May 14 -  2019=3715,18:30,77.0
 Tuesday -      May 14 -  2019=3715,18:45,55.0
 Tuesday -      May 14 -  2019=3715,19:0,46.0
 Tuesday -      May 14 -  2019=3715,19:15,55.0
 Tuesday -      May 14 -  2019=3715,19:30,28.0
 Tuesday -      May 14 -  2019=3715,19:45,26.0
 Tuesday -      May 14 -  2019=3715,20:0,20.0
 Tuesday -      May 14 -  2019=3715,20:15,32.0
 Tuesday -      May 14 -  2019=3715,20:30,27.0
 Tuesday -      May 14 -  2019=3715,20:45,25.0
 Tuesday -      May 14 -  2019=3715,21:0,27.0
 Tuesday -      May 14 -  2019=3715,21:15,30.0
 Tuesday -      May 14 -  2019=3715,21:30,25.0
