,Time,NB,SB,EB,WB,Date
0,00:00:00,6,4,0,0,2019-06-04
1,00:15:00,5,6,0,0,2019-06-04
2,00:30:00,2,0,0,0,2019-06-04
3,00:45:00,3,2,0,0,2019-06-04
4,01:00:00,1,0,0,0,2019-06-04
5,01:15:00,3,1,0,0,2019-06-04
6,01:30:00,5,2,0,0,2019-06-04
7,01:45:00,1,2,0,0,2019-06-04
8,02:00:00,3,1,0,0,2019-06-04
9,02:15:00,2,2,0,0,2019-06-04
10,02:30:00,1,2,0,0,2019-06-04
11,02:45:00,1,2,0,0,2019-06-04
12,03:00:00,1,3,0,0,2019-06-04
13,03:15:00,1,4,0,0,2019-06-04
14,03:30:00,2,5,0,0,2019-06-04
15,03:45:00,2,5,0,0,2019-06-04
16,04:00:00,2,8,0,0,2019-06-04
17,04:15:00,2,6,0,0,2019-06-04
18,04:30:00,0,11,0,0,2019-06-04
19,04:45:00,11,11,0,0,2019-06-04
20,05:00:00,9,19,0,0,2019-06-04
21,05:15:00,9,10,0,0,2019-06-04
22,05:30:00,15,35,0,0,2019-06-04
23,05:45:00,8,56,0,0,2019-06-04
24,06:00:00,18,34,0,0,2019-06-04
25,06:15:00,20,66,0,0,2019-06-04
26,06:30:00,25,63,0,0,2019-06-04
27,06:45:00,28,79,0,0,2019-06-04
28,07:00:00,80,92,0,0,2019-06-04
29,07:15:00,79,130,0,0,2019-06-04
30,07:30:00,110,138,0,0,2019-06-04
31,07:45:00,222,230,0,0,2019-06-04
32,08:00:00,246,345,0,0,2019-06-04
33,08:15:00,125,175,0,0,2019-06-04
34,08:30:00,82,154,0,0,2019-06-04
35,08:45:00,74,132,0,0,2019-06-04
36,09:00:00,55,146,0,0,2019-06-04
37,09:15:00,60,136,0,0,2019-06-04
38,09:30:00,62,90,0,0,2019-06-04
39,09:45:00,51,87,0,0,2019-06-04
40,10:00:00,38,63,0,0,2019-06-04
41,10:15:00,60,65,0,0,2019-06-04
42,10:30:00,53,67,0,0,2019-06-04
43,10:45:00,59,63,0,0,2019-06-04
44,11:00:00,53,73,0,0,2019-06-04
45,11:15:00,79,61,0,0,2019-06-04
46,11:30:00,83,76,0,0,2019-06-04
47,11:45:00,67,83,0,0,2019-06-04
48,12:00:00,68,69,0,0,2019-06-04
49,12:15:00,69,57,0,0,2019-06-04
50,12:30:00,56,56,0,0,2019-06-04
51,12:45:00,63,50,0,0,2019-06-04
52,13:00:00,50,52,0,0,2019-06-04
53,13:15:00,54,56,0,0,2019-06-04
54,13:30:00,67,57,0,0,2019-06-04
55,13:45:00,117,60,0,0,2019-06-04
56,14:00:00,136,64,0,0,2019-06-04
57,14:15:00,156,65,0,0,2019-06-04
58,14:30:00,237,137,0,0,2019-06-04
59,14:45:00,254,119,0,0,2019-06-04
60,15:00:00,288,120,0,0,2019-06-04
61,15:15:00,270,96,0,0,2019-06-04
62,15:30:00,246,99,0,0,2019-06-04
63,15:45:00,238,82,0,0,2019-06-04
64,16:00:00,236,87,0,0,2019-06-04
65,16:15:00,240,72,0,0,2019-06-04
66,16:30:00,285,103,0,0,2019-06-04
67,16:45:00,260,97,0,0,2019-06-04
68,17:00:00,239,90,0,0,2019-06-04
69,17:15:00,241,103,0,0,2019-06-04
70,17:30:00,306,167,0,0,2019-06-04
71,17:45:00,302,163,0,0,2019-06-04
72,18:00:00,241,122,0,0,2019-06-04
73,18:15:00,264,95,0,0,2019-06-04
74,18:30:00,221,80,0,0,2019-06-04
75,18:45:00,195,66,0,0,2019-06-04
76,19:00:00,190,65,0,0,2019-06-04
77,19:15:00,178,73,0,0,2019-06-04
78,19:30:00,156,51,0,0,2019-06-04
79,19:45:00,129,66,0,0,2019-06-04
80,20:00:00,95,67,0,0,2019-06-04
81,20:15:00,102,51,0,0,2019-06-04
82,20:30:00,99,137,0,0,2019-06-04
83,20:45:00,73,90,0,0,2019-06-04
84,21:00:00,71,37,0,0,2019-06-04
85,21:15:00,44,33,0,0,2019-06-04
86,21:30:00,51,28,0,0,2019-06-04
87,21:45:00,32,25,0,0,2019-06-04
88,22:00:00,30,24,0,0,2019-06-04
89,22:15:00,23,12,0,0,2019-06-04
