Day,Time,Count
 Tuesday -     May 14 -  2019=15261,0:0,23.0
 Tuesday -     May 14 -  2019=15261,0:15,17.0
 Tuesday -     May 14 -  2019=15261,0:30,19.0
 Tuesday -     May 14 -  2019=15261,0:45,15.0
 Tuesday -     May 14 -  2019=15261,1:0,21.0
 Tuesday -     May 14 -  2019=15261,1:15,4.0
 Tuesday -     May 14 -  2019=15261,1:30,3.0
 Tuesday -     May 14 -  2019=15261,1:45,5.0
 Tuesday -     May 14 -  2019=15261,2:0,12.0
 Tuesday -     May 14 -  2019=15261,2:15,6.0
 Tuesday -     May 14 -  2019=15261,2:30,12.0
 Tuesday -     May 14 -  2019=15261,2:45,5.0
 Tuesday -     May 14 -  2019=15261,3:0,10.0
 Tuesday -     May 14 -  2019=15261,3:15,8.0
 Tuesday -     May 14 -  2019=15261,3:30,10.0
 Tuesday -     May 14 -  2019=15261,3:45,14.0
 Tuesday -     May 14 -  2019=15261,4:0,17.0
 Tuesday -     May 14 -  2019=15261,4:15,18.0
 Tuesday -     May 14 -  2019=15261,4:30,32.0
 Tuesday -     May 14 -  2019=15261,4:45,35.0
 Tuesday -     May 14 -  2019=15261,5:0,41.0
 Tuesday -     May 14 -  2019=15261,5:15,50.0
 Tuesday -     May 14 -  2019=15261,5:30,93.0
 Tuesday -     May 14 -  2019=15261,5:45,85.0
 Tuesday -     May 14 -  2019=15261,6:0,111.0
 Tuesday -     May 14 -  2019=15261,6:15,156.0
 Tuesday -     May 14 -  2019=15261,6:30,244.0
 Tuesday -     May 14 -  2019=15261,6:45,253.0
 Tuesday -     May 14 -  2019=15261,7:0,354.0
 Tuesday -     May 14 -  2019=15261,7:15,360.0
 Tuesday -     May 14 -  2019=15261,7:30,421.0
 Tuesday -     May 14 -  2019=15261,7:45,428.0
 Tuesday -     May 14 -  2019=15261,8:0,447.0
 Tuesday -     May 14 -  2019=15261,8:15,427.0
 Tuesday -     May 14 -  2019=15261,8:30,436.0
 Tuesday -     May 14 -  2019=15261,8:45,402.0
 Tuesday -     May 14 -  2019=15261,9:0,360.0
 Tuesday -     May 14 -  2019=15261,9:15,331.0
 Tuesday -     May 14 -  2019=15261,9:30,269.0
 Tuesday -     May 14 -  2019=15261,9:45,208.0
 Tuesday -     May 14 -  2019=15261,10:0,182.0
 Tuesday -     May 14 -  2019=15261,10:15,202.0
 Tuesday -     May 14 -  2019=15261,10:30,196.0
 Tuesday -     May 14 -  2019=15261,10:45,143.0
 Tuesday -     May 14 -  2019=15261,11:0,163.0
 Tuesday -     May 14 -  2019=15261,11:15,168.0
 Tuesday -     May 14 -  2019=15261,11:30,166.0
 Tuesday -     May 14 -  2019=15261,11:45,168.0
 Tuesday -     May 14 -  2019=15261,12:0,192.0
 Tuesday -     May 14 -  2019=15261,12:15,168.0
 Tuesday -     May 14 -  2019=15261,12:30,197.0
 Tuesday -     May 14 -  2019=15261,12:45,191.0
 Tuesday -     May 14 -  2019=15261,13:0,199.0
 Tuesday -     May 14 -  2019=15261,13:15,168.0
 Tuesday -     May 14 -  2019=15261,13:30,153.0
 Tuesday -     May 14 -  2019=15261,13:45,193.0
 Tuesday -     May 14 -  2019=15261,14:0,211.0
 Tuesday -     May 14 -  2019=15261,14:15,229.0
 Tuesday -     May 14 -  2019=15261,14:30,381.0
 Tuesday -     May 14 -  2019=15261,14:45,390.0
 Tuesday -     May 14 -  2019=15261,15:0,335.0
 Tuesday -     May 14 -  2019=15261,15:15,223.0
 Tuesday -     May 14 -  2019=15261,15:30,257.0
 Tuesday -     May 14 -  2019=15261,15:45,284.0
 Tuesday -     May 14 -  2019=15261,16:0,216.0
 Tuesday -     May 14 -  2019=15261,16:15,247.0
 Tuesday -     May 14 -  2019=15261,16:30,207.0
 Tuesday -     May 14 -  2019=15261,16:45,226.0
 Tuesday -     May 14 -  2019=15261,17:0,231.0
 Tuesday -     May 14 -  2019=15261,17:15,243.0
 Tuesday -     May 14 -  2019=15261,17:30,262.0
 Tuesday -     May 14 -  2019=15261,17:45,221.0
 Tuesday -     May 14 -  2019=15261,18:0,189.0
 Tuesday -     May 14 -  2019=15261,18:15,239.0
 Tuesday -     May 14 -  2019=15261,18:30,186.0
 Tuesday -     May 14 -  2019=15261,18:45,160.0
 Tuesday -     May 14 -  2019=15261,19:0,168.0
 Tuesday -     May 14 -  2019=15261,19:15,162.0
 Tuesday -     May 14 -  2019=15261,19:30,140.0
 Tuesday -     May 14 -  2019=15261,19:45,111.0
 Tuesday -     May 14 -  2019=15261,20:0,109.0
 Tuesday -     May 14 -  2019=15261,20:15,108.0
 Tuesday -     May 14 -  2019=15261,20:30,110.0
 Tuesday -     May 14 -  2019=15261,20:45,106.0
 Tuesday -     May 14 -  2019=15261,21:0,95.0
 Tuesday -     May 14 -  2019=15261,21:15,111.0
 Tuesday -     May 14 -  2019=15261,21:30,72.0
 Tuesday -     May 14 -  2019=15261,21:45,93.0
 Tuesday -     May 14 -  2019=15261,22:0,67.0
 Tuesday -     May 14 -  2019=15261,22:15,59.0
 Tuesday -     May 14 -  2019=15261,22:30,50.0
 Tuesday -     May 14 -  2019=15261,22:45,41.0
 Tuesday -     May 14 -  2019=15261,23:0,32.0
 Tuesday -     May 14 -  2019=15261,23:15,26.0
 Tuesday -     May 14 -  2019=15261,23:30,36.0
 Tuesday -     May 14 -  2019=15261,23:45,38.0
 Wednesday -  May 15 -  2019=15604,0:0,31.0
 Wednesday -  May 15 -  2019=15604,0:15,17.0
 Wednesday -  May 15 -  2019=15604,0:30,18.0
 Wednesday -  May 15 -  2019=15604,0:45,21.0
 Wednesday -  May 15 -  2019=15604,1:0,18.0
 Wednesday -  May 15 -  2019=15604,1:15,12.0
 Wednesday -  May 15 -  2019=15604,1:30,7.0
 Wednesday -  May 15 -  2019=15604,1:45,8.0
 Wednesday -  May 15 -  2019=15604,2:0,8.0
 Wednesday -  May 15 -  2019=15604,2:15,9.0
 Wednesday -  May 15 -  2019=15604,2:30,10.0
 Wednesday -  May 15 -  2019=15604,2:45,4.0
 Wednesday -  May 15 -  2019=15604,3:0,7.0
 Wednesday -  May 15 -  2019=15604,3:15,12.0
 Wednesday -  May 15 -  2019=15604,3:30,15.0
 Wednesday -  May 15 -  2019=15604,3:45,17.0
 Wednesday -  May 15 -  2019=15604,4:0,9.0
 Wednesday -  May 15 -  2019=15604,4:15,32.0
 Wednesday -  May 15 -  2019=15604,4:30,34.0
 Wednesday -  May 15 -  2019=15604,4:45,37.0
 Wednesday -  May 15 -  2019=15604,5:0,31.0
 Wednesday -  May 15 -  2019=15604,5:15,52.0
 Wednesday -  May 15 -  2019=15604,5:30,89.0
 Wednesday -  May 15 -  2019=15604,5:45,91.0
 Wednesday -  May 15 -  2019=15604,6:0,109.0
 Wednesday -  May 15 -  2019=15604,6:15,177.0
 Wednesday -  May 15 -  2019=15604,6:30,231.0
 Wednesday -  May 15 -  2019=15604,6:45,250.0
 Wednesday -  May 15 -  2019=15604,7:0,324.0
 Wednesday -  May 15 -  2019=15604,7:15,337.0
 Wednesday -  May 15 -  2019=15604,7:30,429.0
 Wednesday -  May 15 -  2019=15604,7:45,337.0
 Wednesday -  May 15 -  2019=15604,8:0,377.0
 Wednesday -  May 15 -  2019=15604,8:15,480.0
 Wednesday -  May 15 -  2019=15604,8:30,345.0
 Wednesday -  May 15 -  2019=15604,8:45,461.0
 Wednesday -  May 15 -  2019=15604,9:0,488.0
 Wednesday -  May 15 -  2019=15604,9:15,316.0
 Wednesday -  May 15 -  2019=15604,9:30,311.0
 Wednesday -  May 15 -  2019=15604,9:45,258.0
 Wednesday -  May 15 -  2019=15604,10:0,211.0
 Wednesday -  May 15 -  2019=15604,10:15,225.0
 Wednesday -  May 15 -  2019=15604,10:30,239.0
 Wednesday -  May 15 -  2019=15604,10:45,174.0
 Wednesday -  May 15 -  2019=15604,11:0,190.0
 Wednesday -  May 15 -  2019=15604,11:15,195.0
 Wednesday -  May 15 -  2019=15604,11:30,172.0
 Wednesday -  May 15 -  2019=15604,11:45,178.0
 Wednesday -  May 15 -  2019=15604,12:0,174.0
 Wednesday -  May 15 -  2019=15604,12:15,209.0
 Wednesday -  May 15 -  2019=15604,12:30,193.0
 Wednesday -  May 15 -  2019=15604,12:45,191.0
 Wednesday -  May 15 -  2019=15604,13:0,191.0
 Wednesday -  May 15 -  2019=15604,13:15,211.0
 Wednesday -  May 15 -  2019=15604,13:30,243.0
 Wednesday -  May 15 -  2019=15604,13:45,215.0
 Wednesday -  May 15 -  2019=15604,14:0,236.0
 Wednesday -  May 15 -  2019=15604,14:15,242.0
 Wednesday -  May 15 -  2019=15604,14:30,275.0
 Wednesday -  May 15 -  2019=15604,14:45,316.0
 Wednesday -  May 15 -  2019=15604,15:0,353.0
 Wednesday -  May 15 -  2019=15604,15:15,268.0
 Wednesday -  May 15 -  2019=15604,15:30,318.0
 Wednesday -  May 15 -  2019=15604,15:45,280.0
 Wednesday -  May 15 -  2019=15604,16:0,190.0
 Wednesday -  May 15 -  2019=15604,16:15,193.0
 Wednesday -  May 15 -  2019=15604,16:30,257.0
