Day,Time,Count
 Tuesday -       May 7 -  2019=6007,0:0,4.0
 Tuesday -       May 7 -  2019=6007,0:15,1.0
 Tuesday -       May 7 -  2019=6007,0:30,2.0
 Tuesday -       May 7 -  2019=6007,0:45,1.0
 Tuesday -       May 7 -  2019=6007,1:0,1.0
 Tuesday -       May 7 -  2019=6007,1:15,0.0
 Tuesday -       May 7 -  2019=6007,1:30,2.0
 Tuesday -       May 7 -  2019=6007,1:45,0.0
 Tuesday -       May 7 -  2019=6007,2:0,1.0
 Tuesday -       May 7 -  2019=6007,2:15,1.0
 Tuesday -       May 7 -  2019=6007,2:30,1.0
 Tuesday -       May 7 -  2019=6007,2:45,3.0
 Tuesday -       May 7 -  2019=6007,3:0,2.0
 Tuesday -       May 7 -  2019=6007,3:15,1.0
 Tuesday -       May 7 -  2019=6007,3:30,2.0
 Tuesday -       May 7 -  2019=6007,3:45,2.0
 Tuesday -       May 7 -  2019=6007,4:0,3.0
 Tuesday -       May 7 -  2019=6007,4:15,2.0
 Tuesday -       May 7 -  2019=6007,4:30,12.0
 Tuesday -       May 7 -  2019=6007,4:45,15.0
 Tuesday -       May 7 -  2019=6007,5:0,12.0
 Tuesday -       May 7 -  2019=6007,5:15,21.0
 Tuesday -       May 7 -  2019=6007,5:30,30.0
 Tuesday -       May 7 -  2019=6007,5:45,47.0
 Tuesday -       May 7 -  2019=6007,6:0,50.0
 Tuesday -       May 7 -  2019=6007,6:15,66.0
 Tuesday -       May 7 -  2019=6007,6:30,85.0
 Tuesday -       May 7 -  2019=6007,6:45,126.0
 Tuesday -       May 7 -  2019=6007,7:0,138.0
 Tuesday -       May 7 -  2019=6007,7:15,178.0
 Tuesday -       May 7 -  2019=6007,7:30,160.0
 Tuesday -       May 7 -  2019=6007,7:45,181.0
 Tuesday -       May 7 -  2019=6007,8:0,187.0
 Tuesday -       May 7 -  2019=6007,8:15,236.0
 Tuesday -       May 7 -  2019=6007,8:30,254.0
 Tuesday -       May 7 -  2019=6007,8:45,208.0
 Tuesday -       May 7 -  2019=6007,9:0,196.0
 Tuesday -       May 7 -  2019=6007,9:15,167.0
 Tuesday -       May 7 -  2019=6007,9:30,159.0
 Tuesday -       May 7 -  2019=6007,9:45,164.0
 Tuesday -       May 7 -  2019=6007,10:0,128.0
 Tuesday -       May 7 -  2019=6007,10:15,96.0
 Tuesday -       May 7 -  2019=6007,10:30,116.0
 Tuesday -       May 7 -  2019=6007,10:45,87.0
 Tuesday -       May 7 -  2019=6007,11:0,83.0
 Tuesday -       May 7 -  2019=6007,11:15,83.0
 Tuesday -       May 7 -  2019=6007,11:30,79.0
 Tuesday -       May 7 -  2019=6007,11:45,63.0
 Tuesday -       May 7 -  2019=6007,12:0,68.0
 Tuesday -       May 7 -  2019=6007,12:15,86.0
 Tuesday -       May 7 -  2019=6007,12:30,90.0
 Tuesday -       May 7 -  2019=6007,12:45,60.0
 Tuesday -       May 7 -  2019=6007,13:0,60.0
 Tuesday -       May 7 -  2019=6007,13:15,76.0
 Tuesday -       May 7 -  2019=6007,13:30,63.0
 Tuesday -       May 7 -  2019=6007,13:45,64.0
 Tuesday -       May 7 -  2019=6007,14:0,57.0
 Tuesday -       May 7 -  2019=6007,14:15,55.0
 Tuesday -       May 7 -  2019=6007,14:30,68.0
 Tuesday -       May 7 -  2019=6007,14:45,76.0
 Tuesday -       May 7 -  2019=6007,15:0,57.0
 Tuesday -       May 7 -  2019=6007,15:15,72.0
 Tuesday -       May 7 -  2019=6007,15:30,87.0
 Tuesday -       May 7 -  2019=6007,15:45,61.0
 Tuesday -       May 7 -  2019=6007,16:0,56.0
 Tuesday -       May 7 -  2019=6007,16:15,68.0
 Tuesday -       May 7 -  2019=6007,16:30,63.0
 Tuesday -       May 7 -  2019=6007,16:45,57.0
 Tuesday -       May 7 -  2019=6007,17:0,64.0
 Tuesday -       May 7 -  2019=6007,17:15,83.0
 Tuesday -       May 7 -  2019=6007,17:30,72.0
 Tuesday -       May 7 -  2019=6007,17:45,70.0
 Tuesday -       May 7 -  2019=6007,18:0,80.0
 Tuesday -       May 7 -  2019=6007,18:15,77.0
 Tuesday -       May 7 -  2019=6007,18:30,64.0
 Tuesday -       May 7 -  2019=6007,18:45,74.0
 Tuesday -       May 7 -  2019=6007,19:0,64.0
 Tuesday -       May 7 -  2019=6007,19:15,44.0
 Tuesday -       May 7 -  2019=6007,19:30,46.0
 Tuesday -       May 7 -  2019=6007,19:45,55.0
 Tuesday -       May 7 -  2019=6007,20:0,41.0
 Tuesday -       May 7 -  2019=6007,20:15,30.0
 Tuesday -       May 7 -  2019=6007,20:30,49.0
 Tuesday -       May 7 -  2019=6007,20:45,31.0
 Tuesday -       May 7 -  2019=6007,21:0,57.0
 Tuesday -       May 7 -  2019=6007,21:15,54.0
 Tuesday -       May 7 -  2019=6007,21:30,35.0
 Tuesday -       May 7 -  2019=6007,21:45,37.0
 Tuesday -       May 7 -  2019=6007,22:0,27.0
 Tuesday -       May 7 -  2019=6007,22:15,11.0
 Tuesday -       May 7 -  2019=6007,22:30,20.0
 Tuesday -       May 7 -  2019=6007,22:45,12.0
 Tuesday -       May 7 -  2019=6007,23:0,6.0
 Tuesday -       May 7 -  2019=6007,23:15,6.0
 Tuesday -       May 7 -  2019=6007,23:30,5.0
 Tuesday -       May 7 -  2019=6007,23:45,3.0
 Wednesday -  May 8 -  2019=6018,0:0,5.0
 Wednesday -  May 8 -  2019=6018,0:15,5.0
 Wednesday -  May 8 -  2019=6018,0:30,2.0
 Wednesday -  May 8 -  2019=6018,0:45,0.0
 Wednesday -  May 8 -  2019=6018,1:0,2.0
 Wednesday -  May 8 -  2019=6018,1:15,3.0
 Wednesday -  May 8 -  2019=6018,1:30,0.0
 Wednesday -  May 8 -  2019=6018,1:45,0.0
 Wednesday -  May 8 -  2019=6018,2:0,1.0
 Wednesday -  May 8 -  2019=6018,2:15,1.0
 Wednesday -  May 8 -  2019=6018,2:30,1.0
 Wednesday -  May 8 -  2019=6018,2:45,3.0
 Wednesday -  May 8 -  2019=6018,3:0,1.0
 Wednesday -  May 8 -  2019=6018,3:15,2.0
 Wednesday -  May 8 -  2019=6018,3:30,3.0
