Day,Time,Count
 Tuesday -  May 21 -  2019 - Total=5319,0:0,3.0
 Tuesday -  May 21 -  2019 - Total=5319,0:15,9.0
 Tuesday -  May 21 -  2019 - Total=5319,0:30,2.0
 Tuesday -  May 21 -  2019 - Total=5319,0:45,4.0
 Tuesday -  May 21 -  2019 - Total=5319,1:0,1.0
 Tuesday -  May 21 -  2019 - Total=5319,1:15,1.0
 Tuesday -  May 21 -  2019 - Total=5319,1:30,0.0
 Tuesday -  May 21 -  2019 - Total=5319,1:45,1.0
 Tuesday -  May 21 -  2019 - Total=5319,2:0,1.0
 Tuesday -  May 21 -  2019 - Total=5319,2:15,1.0
 Tuesday -  May 21 -  2019 - Total=5319,2:30,2.0
 Tuesday -  May 21 -  2019 - Total=5319,2:45,1.0
 Tuesday -  May 21 -  2019 - Total=5319,3:0,1.0
 Tuesday -  May 21 -  2019 - Total=5319,3:15,3.0
 Tuesday -  May 21 -  2019 - Total=5319,3:30,6.0
 Tuesday -  May 21 -  2019 - Total=5319,3:45,3.0
 Tuesday -  May 21 -  2019 - Total=5319,4:0,9.0
 Tuesday -  May 21 -  2019 - Total=5319,4:15,7.0
 Tuesday -  May 21 -  2019 - Total=5319,4:30,9.0
 Tuesday -  May 21 -  2019 - Total=5319,4:45,15.0
 Tuesday -  May 21 -  2019 - Total=5319,5:0,23.0
 Tuesday -  May 21 -  2019 - Total=5319,5:15,28.0
 Tuesday -  May 21 -  2019 - Total=5319,5:30,37.0
 Tuesday -  May 21 -  2019 - Total=5319,5:45,57.0
 Tuesday -  May 21 -  2019 - Total=5319,6:0,62.0
 Tuesday -  May 21 -  2019 - Total=5319,6:15,85.0
 Tuesday -  May 21 -  2019 - Total=5319,6:30,88.0
 Tuesday -  May 21 -  2019 - Total=5319,6:45,113.0
 Tuesday -  May 21 -  2019 - Total=5319,7:0,145.0
 Tuesday -  May 21 -  2019 - Total=5319,7:15,145.0
 Tuesday -  May 21 -  2019 - Total=5319,7:30,159.0
 Tuesday -  May 21 -  2019 - Total=5319,7:45,201.0
 Tuesday -  May 21 -  2019 - Total=5319,8:0,195.0
 Tuesday -  May 21 -  2019 - Total=5319,8:15,152.0
 Tuesday -  May 21 -  2019 - Total=5319,8:30,128.0
 Tuesday -  May 21 -  2019 - Total=5319,8:45,138.0
 Tuesday -  May 21 -  2019 - Total=5319,9:0,152.0
 Tuesday -  May 21 -  2019 - Total=5319,9:15,145.0
 Tuesday -  May 21 -  2019 - Total=5319,9:30,89.0
 Tuesday -  May 21 -  2019 - Total=5319,9:45,77.0
 Tuesday -  May 21 -  2019 - Total=5319,10:0,67.0
 Tuesday -  May 21 -  2019 - Total=5319,10:15,79.0
 Tuesday -  May 21 -  2019 - Total=5319,10:30,72.0
 Tuesday -  May 21 -  2019 - Total=5319,10:45,80.0
 Tuesday -  May 21 -  2019 - Total=5319,11:0,67.0
 Tuesday -  May 21 -  2019 - Total=5319,11:15,64.0
 Tuesday -  May 21 -  2019 - Total=5319,11:30,94.0
 Tuesday -  May 21 -  2019 - Total=5319,11:45,99.0
 Tuesday -  May 21 -  2019 - Total=5319,12:0,67.0
 Tuesday -  May 21 -  2019 - Total=5319,12:15,69.0
 Tuesday -  May 21 -  2019 - Total=5319,12:30,61.0
 Tuesday -  May 21 -  2019 - Total=5319,12:45,63.0
 Tuesday -  May 21 -  2019 - Total=5319,13:0,52.0
 Tuesday -  May 21 -  2019 - Total=5319,13:15,53.0
 Tuesday -  May 21 -  2019 - Total=5319,13:30,58.0
 Tuesday -  May 21 -  2019 - Total=5319,13:45,54.0
 Tuesday -  May 21 -  2019 - Total=5319,14:0,65.0
 Tuesday -  May 21 -  2019 - Total=5319,14:15,63.0
 Tuesday -  May 21 -  2019 - Total=5319,14:30,86.0
 Tuesday -  May 21 -  2019 - Total=5319,14:45,72.0
 Tuesday -  May 21 -  2019 - Total=5319,15:0,113.0
 Tuesday -  May 21 -  2019 - Total=5319,15:15,66.0
 Tuesday -  May 21 -  2019 - Total=5319,15:30,39.0
 Tuesday -  May 21 -  2019 - Total=5319,15:45,65.0
 Tuesday -  May 21 -  2019 - Total=5319,16:0,53.0
 Tuesday -  May 21 -  2019 - Total=5319,16:15,48.0
 Tuesday -  May 21 -  2019 - Total=5319,16:30,79.0
 Tuesday -  May 21 -  2019 - Total=5319,16:45,60.0
 Tuesday -  May 21 -  2019 - Total=5319,17:0,58.0
 Tuesday -  May 21 -  2019 - Total=5319,17:15,49.0
 Tuesday -  May 21 -  2019 - Total=5319,17:30,78.0
 Tuesday -  May 21 -  2019 - Total=5319,17:45,75.0
 Tuesday -  May 21 -  2019 - Total=5319,18:0,73.0
 Tuesday -  May 21 -  2019 - Total=5319,18:15,78.0
 Tuesday -  May 21 -  2019 - Total=5319,18:30,57.0
 Tuesday -  May 21 -  2019 - Total=5319,18:45,60.0
 Tuesday -  May 21 -  2019 - Total=5319,19:0,56.0
 Tuesday -  May 21 -  2019 - Total=5319,19:15,67.0
 Tuesday -  May 21 -  2019 - Total=5319,19:30,47.0
