Day,Time,Count
 Tuesday -     May 14 -  2019=11669,0:0,18.0
 Tuesday -     May 14 -  2019=11669,0:15,14.0
 Tuesday -     May 14 -  2019=11669,0:30,7.0
 Tuesday -     May 14 -  2019=11669,0:45,6.0
 Tuesday -     May 14 -  2019=11669,1:0,9.0
 Tuesday -     May 14 -  2019=11669,1:15,5.0
 Tuesday -     May 14 -  2019=11669,1:30,5.0
 Tuesday -     May 14 -  2019=11669,1:45,4.0
 Tuesday -     May 14 -  2019=11669,2:0,2.0
 Tuesday -     May 14 -  2019=11669,2:15,1.0
 Tuesday -     May 14 -  2019=11669,2:30,2.0
 Tuesday -     May 14 -  2019=11669,2:45,1.0
 Tuesday -     May 14 -  2019=11669,3:0,4.0
 Tuesday -     May 14 -  2019=11669,3:15,3.0
 Tuesday -     May 14 -  2019=11669,3:30,1.0
 Tuesday -     May 14 -  2019=11669,3:45,2.0
 Tuesday -     May 14 -  2019=11669,4:0,4.0
 Tuesday -     May 14 -  2019=11669,4:15,4.0
 Tuesday -     May 14 -  2019=11669,4:30,6.0
 Tuesday -     May 14 -  2019=11669,4:45,6.0
 Tuesday -     May 14 -  2019=11669,5:0,14.0
 Tuesday -     May 14 -  2019=11669,5:15,26.0
 Tuesday -     May 14 -  2019=11669,5:30,30.0
 Tuesday -     May 14 -  2019=11669,5:45,40.0
 Tuesday -     May 14 -  2019=11669,6:0,32.0
 Tuesday -     May 14 -  2019=11669,6:15,48.0
 Tuesday -     May 14 -  2019=11669,6:30,48.0
 Tuesday -     May 14 -  2019=11669,6:45,81.0
 Tuesday -     May 14 -  2019=11669,7:0,58.0
 Tuesday -     May 14 -  2019=11669,7:15,66.0
 Tuesday -     May 14 -  2019=11669,7:30,75.0
 Tuesday -     May 14 -  2019=11669,7:45,111.0
 Tuesday -     May 14 -  2019=11669,8:0,102.0
 Tuesday -     May 14 -  2019=11669,8:15,121.0
 Tuesday -     May 14 -  2019=11669,8:30,97.0
 Tuesday -     May 14 -  2019=11669,8:45,97.0
 Tuesday -     May 14 -  2019=11669,9:0,83.0
 Tuesday -     May 14 -  2019=11669,9:15,82.0
 Tuesday -     May 14 -  2019=11669,9:30,68.0
 Tuesday -     May 14 -  2019=11669,9:45,76.0
 Tuesday -     May 14 -  2019=11669,10:0,64.0
 Tuesday -     May 14 -  2019=11669,10:15,74.0
 Tuesday -     May 14 -  2019=11669,10:30,67.0
 Tuesday -     May 14 -  2019=11669,10:45,70.0
 Tuesday -     May 14 -  2019=11669,11:0,65.0
 Tuesday -     May 14 -  2019=11669,11:15,82.0
 Tuesday -     May 14 -  2019=11669,11:30,99.0
 Tuesday -     May 14 -  2019=11669,11:45,71.0
 Tuesday -     May 14 -  2019=11669,12:0,98.0
 Tuesday -     May 14 -  2019=11669,12:15,106.0
 Tuesday -     May 14 -  2019=11669,12:30,80.0
 Tuesday -     May 14 -  2019=11669,12:45,109.0
 Tuesday -     May 14 -  2019=11669,13:0,103.0
 Tuesday -     May 14 -  2019=11669,13:15,89.0
 Tuesday -     May 14 -  2019=11669,13:30,93.0
 Tuesday -     May 14 -  2019=11669,13:45,145.0
 Tuesday -     May 14 -  2019=11669,14:0,253.0
 Tuesday -     May 14 -  2019=11669,14:15,333.0
 Tuesday -     May 14 -  2019=11669,14:30,365.0
 Tuesday -     May 14 -  2019=11669,14:45,275.0
 Tuesday -     May 14 -  2019=11669,15:0,281.0
 Tuesday -     May 14 -  2019=11669,15:15,314.0
 Tuesday -     May 14 -  2019=11669,15:30,371.0
 Tuesday -     May 14 -  2019=11669,15:45,364.0
 Tuesday -     May 14 -  2019=11669,16:0,287.0
 Tuesday -     May 14 -  2019=11669,16:15,320.0
 Tuesday -     May 14 -  2019=11669,16:30,370.0
 Tuesday -     May 14 -  2019=11669,16:45,417.0
 Tuesday -     May 14 -  2019=11669,17:0,381.0
 Tuesday -     May 14 -  2019=11669,17:15,393.0
 Tuesday -     May 14 -  2019=11669,17:30,363.0
 Tuesday -     May 14 -  2019=11669,17:45,378.0
 Tuesday -     May 14 -  2019=11669,18:0,387.0
 Tuesday -     May 14 -  2019=11669,18:15,304.0
 Tuesday -     May 14 -  2019=11669,18:30,299.0
 Tuesday -     May 14 -  2019=11669,18:45,266.0
 Tuesday -     May 14 -  2019=11669,19:0,310.0
 Tuesday -     May 14 -  2019=11669,19:15,315.0
 Tuesday -     May 14 -  2019=11669,19:30,237.0
 Tuesday -     May 14 -  2019=11669,19:45,158.0
 Tuesday -     May 14 -  2019=11669,20:0,126.0
 Tuesday -     May 14 -  2019=11669,20:15,105.0
 Tuesday -     May 14 -  2019=11669,20:30,101.0
 Tuesday -     May 14 -  2019=11669,20:45,120.0
 Tuesday -     May 14 -  2019=11669,21:0,93.0
 Tuesday -     May 14 -  2019=11669,21:15,81.0
 Tuesday -     May 14 -  2019=11669,21:30,89.0
 Tuesday -     May 14 -  2019=11669,21:45,55.0
 Tuesday -     May 14 -  2019=11669,22:0,57.0
 Tuesday -     May 14 -  2019=11669,22:15,55.0
 Tuesday -     May 14 -  2019=11669,22:30,48.0
 Tuesday -     May 14 -  2019=11669,22:45,39.0
 Tuesday -     May 14 -  2019=11669,23:0,34.0
 Tuesday -     May 14 -  2019=11669,23:15,34.0
 Tuesday -     May 14 -  2019=11669,23:30,17.0
 Tuesday -     May 14 -  2019=11669,23:45,17.0
 Wednesday -  May    15 -  2019=11198,0:0,21.0
 Wednesday -  May    15 -  2019=11198,0:15,16.0
 Wednesday -  May    15 -  2019=11198,0:30,8.0
 Wednesday -  May    15 -  2019=11198,0:45,3.0
 Wednesday -  May    15 -  2019=11198,1:0,8.0
 Wednesday -  May    15 -  2019=11198,1:15,6.0
 Wednesday -  May    15 -  2019=11198,1:30,2.0
 Wednesday -  May    15 -  2019=11198,1:45,6.0
 Wednesday -  May    15 -  2019=11198,2:0,1.0
 Wednesday -  May    15 -  2019=11198,2:15,0.0
 Wednesday -  May    15 -  2019=11198,2:30,6.0
 Wednesday -  May    15 -  2019=11198,2:45,7.0
 Wednesday -  May    15 -  2019=11198,3:0,2.0
 Wednesday -  May    15 -  2019=11198,3:15,1.0
 Wednesday -  May    15 -  2019=11198,3:30,2.0
 Wednesday -  May    15 -  2019=11198,3:45,1.0
 Wednesday -  May    15 -  2019=11198,4:0,3.0
 Wednesday -  May    15 -  2019=11198,4:15,3.0
 Wednesday -  May    15 -  2019=11198,4:30,2.0
 Wednesday -  May    15 -  2019=11198,4:45,8.0
 Wednesday -  May    15 -  2019=11198,5:0,20.0
 Wednesday -  May    15 -  2019=11198,5:15,15.0
 Wednesday -  May    15 -  2019=11198,5:30,22.0
 Wednesday -  May    15 -  2019=11198,5:45,32.0
 Wednesday -  May    15 -  2019=11198,6:0,25.0
 Wednesday -  May    15 -  2019=11198,6:15,39.0
 Wednesday -  May    15 -  2019=11198,6:30,53.0
 Wednesday -  May    15 -  2019=11198,6:45,71.0
 Wednesday -  May    15 -  2019=11198,7:0,58.0
 Wednesday -  May    15 -  2019=11198,7:15,53.0
 Wednesday -  May    15 -  2019=11198,7:30,81.0
 Wednesday -  May    15 -  2019=11198,7:45,103.0
 Wednesday -  May    15 -  2019=11198,8:0,120.0
 Wednesday -  May    15 -  2019=11198,8:15,95.0
 Wednesday -  May    15 -  2019=11198,8:30,117.0
 Wednesday -  May    15 -  2019=11198,8:45,107.0
 Wednesday -  May    15 -  2019=11198,9:0,94.0
 Wednesday -  May    15 -  2019=11198,9:15,87.0
