Day,Time,Count
 Tuesday -      May 14 -  2019=8374,0:0,6.0
 Tuesday -      May 14 -  2019=8374,0:15,6.0
 Tuesday -      May 14 -  2019=8374,0:30,3.0
 Tuesday -      May 14 -  2019=8374,0:45,4.0
 Tuesday -      May 14 -  2019=8374,1:0,6.0
 Tuesday -      May 14 -  2019=8374,1:15,2.0
 Tuesday -      May 14 -  2019=8374,1:30,0.0
 Tuesday -      May 14 -  2019=8374,1:45,1.0
 Tuesday -      May 14 -  2019=8374,2:0,3.0
 Tuesday -      May 14 -  2019=8374,2:15,1.0
 Tuesday -      May 14 -  2019=8374,2:30,1.0
 Tuesday -      May 14 -  2019=8374,2:45,3.0
 Tuesday -      May 14 -  2019=8374,3:0,2.0
 Tuesday -      May 14 -  2019=8374,3:15,3.0
 Tuesday -      May 14 -  2019=8374,3:30,7.0
 Tuesday -      May 14 -  2019=8374,3:45,2.0
 Tuesday -      May 14 -  2019=8374,4:0,5.0
 Tuesday -      May 14 -  2019=8374,4:15,3.0
 Tuesday -      May 14 -  2019=8374,4:30,13.0
 Tuesday -      May 14 -  2019=8374,4:45,22.0
 Tuesday -      May 14 -  2019=8374,5:0,24.0
 Tuesday -      May 14 -  2019=8374,5:15,34.0
 Tuesday -      May 14 -  2019=8374,5:30,39.0
 Tuesday -      May 14 -  2019=8374,5:45,44.0
 Tuesday -      May 14 -  2019=8374,6:0,72.0
 Tuesday -      May 14 -  2019=8374,6:15,79.0
 Tuesday -      May 14 -  2019=8374,6:30,131.0
 Tuesday -      May 14 -  2019=8374,6:45,124.0
 Tuesday -      May 14 -  2019=8374,7:0,181.0
 Tuesday -      May 14 -  2019=8374,7:15,235.0
 Tuesday -      May 14 -  2019=8374,7:30,239.0
 Tuesday -      May 14 -  2019=8374,7:45,212.0
 Tuesday -      May 14 -  2019=8374,8:0,289.0
 Tuesday -      May 14 -  2019=8374,8:15,358.0
 Tuesday -      May 14 -  2019=8374,8:30,297.0
 Tuesday -      May 14 -  2019=8374,8:45,265.0
 Tuesday -      May 14 -  2019=8374,9:0,229.0
 Tuesday -      May 14 -  2019=8374,9:15,241.0
 Tuesday -      May 14 -  2019=8374,9:30,242.0
 Tuesday -      May 14 -  2019=8374,9:45,206.0
 Tuesday -      May 14 -  2019=8374,10:0,172.0
 Tuesday -      May 14 -  2019=8374,10:15,158.0
 Tuesday -      May 14 -  2019=8374,10:30,156.0
 Tuesday -      May 14 -  2019=8374,10:45,139.0
 Tuesday -      May 14 -  2019=8374,11:0,121.0
 Tuesday -      May 14 -  2019=8374,11:15,124.0
 Tuesday -      May 14 -  2019=8374,11:30,123.0
 Tuesday -      May 14 -  2019=8374,11:45,106.0
 Tuesday -      May 14 -  2019=8374,12:0,111.0
 Tuesday -      May 14 -  2019=8374,12:15,87.0
 Tuesday -      May 14 -  2019=8374,12:30,107.0
 Tuesday -      May 14 -  2019=8374,12:45,136.0
 Tuesday -      May 14 -  2019=8374,13:0,102.0
 Tuesday -      May 14 -  2019=8374,13:15,98.0
 Tuesday -      May 14 -  2019=8374,13:30,88.0
 Tuesday -      May 14 -  2019=8374,13:45,96.0
 Tuesday -      May 14 -  2019=8374,14:0,72.0
 Tuesday -      May 14 -  2019=8374,14:15,105.0
 Tuesday -      May 14 -  2019=8374,14:30,99.0
 Tuesday -      May 14 -  2019=8374,14:45,105.0
 Tuesday -      May 14 -  2019=8374,15:0,107.0
 Tuesday -      May 14 -  2019=8374,15:15,100.0
 Tuesday -      May 14 -  2019=8374,15:30,129.0
 Tuesday -      May 14 -  2019=8374,15:45,121.0
 Tuesday -      May 14 -  2019=8374,16:0,91.0
 Tuesday -      May 14 -  2019=8374,16:15,107.0
 Tuesday -      May 14 -  2019=8374,16:30,81.0
 Tuesday -      May 14 -  2019=8374,16:45,95.0
 Tuesday -      May 14 -  2019=8374,17:0,86.0
 Tuesday -      May 14 -  2019=8374,17:15,118.0
 Tuesday -      May 14 -  2019=8374,17:30,86.0
 Tuesday -      May 14 -  2019=8374,17:45,67.0
 Tuesday -      May 14 -  2019=8374,18:0,80.0
 Tuesday -      May 14 -  2019=8374,18:15,96.0
 Tuesday -      May 14 -  2019=8374,18:30,76.0
 Tuesday -      May 14 -  2019=8374,18:45,75.0
 Tuesday -      May 14 -  2019=8374,19:0,89.0
 Tuesday -      May 14 -  2019=8374,19:15,72.0
 Tuesday -      May 14 -  2019=8374,19:30,60.0
 Tuesday -      May 14 -  2019=8374,19:45,65.0
 Tuesday -      May 14 -  2019=8374,20:0,72.0
 Tuesday -      May 14 -  2019=8374,20:15,70.0
 Tuesday -      May 14 -  2019=8374,20:30,70.0
 Tuesday -      May 14 -  2019=8374,20:45,57.0
 Tuesday -      May 14 -  2019=8374,21:0,64.0
 Tuesday -      May 14 -  2019=8374,21:15,64.0
 Tuesday -      May 14 -  2019=8374,21:30,54.0
 Tuesday -      May 14 -  2019=8374,21:45,36.0
 Tuesday -      May 14 -  2019=8374,22:0,38.0
 Tuesday -      May 14 -  2019=8374,22:15,26.0
 Tuesday -      May 14 -  2019=8374,22:30,33.0
 Tuesday -      May 14 -  2019=8374,22:45,14.0
 Tuesday -      May 14 -  2019=8374,23:0,15.0
 Tuesday -      May 14 -  2019=8374,23:15,16.0
 Tuesday -      May 14 -  2019=8374,23:30,14.0
 Tuesday -      May 14 -  2019=8374,23:45,5.0
 Wednesday -  May 15 -  2019=8242,0:0,5.0
 Wednesday -  May 15 -  2019=8242,0:15,6.0
 Wednesday -  May 15 -  2019=8242,0:30,6.0
 Wednesday -  May 15 -  2019=8242,0:45,3.0
 Wednesday -  May 15 -  2019=8242,1:0,4.0
 Wednesday -  May 15 -  2019=8242,1:15,4.0
 Wednesday -  May 15 -  2019=8242,1:30,1.0
 Wednesday -  May 15 -  2019=8242,1:45,0.0
 Wednesday -  May 15 -  2019=8242,2:0,1.0
 Wednesday -  May 15 -  2019=8242,2:15,2.0
 Wednesday -  May 15 -  2019=8242,2:30,4.0
 Wednesday -  May 15 -  2019=8242,2:45,3.0
 Wednesday -  May 15 -  2019=8242,3:0,2.0
 Wednesday -  May 15 -  2019=8242,3:15,1.0
 Wednesday -  May 15 -  2019=8242,3:30,4.0
 Wednesday -  May 15 -  2019=8242,3:45,2.0
 Wednesday -  May 15 -  2019=8242,4:0,7.0
 Wednesday -  May 15 -  2019=8242,4:15,5.0
 Wednesday -  May 15 -  2019=8242,4:30,13.0
 Wednesday -  May 15 -  2019=8242,4:45,20.0
