Day,Time,Count
 Tuesday -       May 7 -  2019=9160,0:0,13.0
 Tuesday -       May 7 -  2019=9160,0:15,9.0
 Tuesday -       May 7 -  2019=9160,0:30,5.0
 Tuesday -       May 7 -  2019=9160,0:45,5.0
 Tuesday -       May 7 -  2019=9160,1:0,6.0
 Tuesday -       May 7 -  2019=9160,1:15,3.0
 Tuesday -       May 7 -  2019=9160,1:30,4.0
 Tuesday -       May 7 -  2019=9160,1:45,3.0
 Tuesday -       May 7 -  2019=9160,2:0,2.0
 Tuesday -       May 7 -  2019=9160,2:15,1.0
 Tuesday -       May 7 -  2019=9160,2:30,1.0
 Tuesday -       May 7 -  2019=9160,2:45,2.0
 Tuesday -       May 7 -  2019=9160,3:0,4.0
 Tuesday -       May 7 -  2019=9160,3:15,5.0
 Tuesday -       May 7 -  2019=9160,3:30,2.0
 Tuesday -       May 7 -  2019=9160,3:45,0.0
 Tuesday -       May 7 -  2019=9160,4:0,5.0
 Tuesday -       May 7 -  2019=9160,4:15,2.0
 Tuesday -       May 7 -  2019=9160,4:30,3.0
 Tuesday -       May 7 -  2019=9160,4:45,4.0
 Tuesday -       May 7 -  2019=9160,5:0,14.0
 Tuesday -       May 7 -  2019=9160,5:15,16.0
 Tuesday -       May 7 -  2019=9160,5:30,29.0
 Tuesday -       May 7 -  2019=9160,5:45,25.0
 Tuesday -       May 7 -  2019=9160,6:0,27.0
 Tuesday -       May 7 -  2019=9160,6:15,30.0
 Tuesday -       May 7 -  2019=9160,6:30,44.0
 Tuesday -       May 7 -  2019=9160,6:45,50.0
 Tuesday -       May 7 -  2019=9160,7:0,46.0
 Tuesday -       May 7 -  2019=9160,7:15,55.0
 Tuesday -       May 7 -  2019=9160,7:30,92.0
 Tuesday -       May 7 -  2019=9160,7:45,127.0
 Tuesday -       May 7 -  2019=9160,8:0,113.0
 Tuesday -       May 7 -  2019=9160,8:15,100.0
 Tuesday -       May 7 -  2019=9160,8:30,93.0
 Tuesday -       May 7 -  2019=9160,8:45,102.0
 Tuesday -       May 7 -  2019=9160,9:0,92.0
 Tuesday -       May 7 -  2019=9160,9:15,80.0
 Tuesday -       May 7 -  2019=9160,9:30,88.0
 Tuesday -       May 7 -  2019=9160,9:45,85.0
 Tuesday -       May 7 -  2019=9160,10:0,71.0
 Tuesday -       May 7 -  2019=9160,10:15,88.0
 Tuesday -       May 7 -  2019=9160,10:30,91.0
 Tuesday -       May 7 -  2019=9160,10:45,91.0
 Tuesday -       May 7 -  2019=9160,11:0,66.0
 Tuesday -       May 7 -  2019=9160,11:15,76.0
 Tuesday -       May 7 -  2019=9160,11:30,91.0
 Tuesday -       May 7 -  2019=9160,11:45,73.0
 Tuesday -       May 7 -  2019=9160,12:0,86.0
 Tuesday -       May 7 -  2019=9160,12:15,82.0
 Tuesday -       May 7 -  2019=9160,12:30,91.0
 Tuesday -       May 7 -  2019=9160,12:45,129.0
 Tuesday -       May 7 -  2019=9160,13:0,104.0
 Tuesday -       May 7 -  2019=9160,13:15,101.0
 Tuesday -       May 7 -  2019=9160,13:30,118.0
 Tuesday -       May 7 -  2019=9160,13:45,98.0
 Tuesday -       May 7 -  2019=9160,14:0,142.0
 Tuesday -       May 7 -  2019=9160,14:15,245.0
 Tuesday -       May 7 -  2019=9160,14:30,231.0
 Tuesday -       May 7 -  2019=9160,14:45,245.0
 Tuesday -       May 7 -  2019=9160,15:0,237.0
 Tuesday -       May 7 -  2019=9160,15:15,226.0
 Tuesday -       May 7 -  2019=9160,15:30,156.0
 Tuesday -       May 7 -  2019=9160,15:45,184.0
 Tuesday -       May 7 -  2019=9160,16:0,182.0
 Tuesday -       May 7 -  2019=9160,16:15,236.0
 Tuesday -       May 7 -  2019=9160,16:30,216.0
 Tuesday -       May 7 -  2019=9160,16:45,186.0
 Tuesday -       May 7 -  2019=9160,17:0,213.0
 Tuesday -       May 7 -  2019=9160,17:15,240.0
 Tuesday -       May 7 -  2019=9160,17:30,252.0
 Tuesday -       May 7 -  2019=9160,17:45,251.0
 Tuesday -       May 7 -  2019=9160,18:0,283.0
 Tuesday -       May 7 -  2019=9160,18:15,278.0
 Tuesday -       May 7 -  2019=9160,18:30,256.0
 Tuesday -       May 7 -  2019=9160,18:45,258.0
 Tuesday -       May 7 -  2019=9160,19:0,244.0
 Tuesday -       May 7 -  2019=9160,19:15,383.0
 Tuesday -       May 7 -  2019=9160,19:30,255.0
 Tuesday -       May 7 -  2019=9160,19:45,143.0
 Tuesday -       May 7 -  2019=9160,20:0,94.0
 Tuesday -       May 7 -  2019=9160,20:15,122.0
