,TIME,NB,SB,EB,WB,date
0,00:00:00,15,7,0,0,2019-06-04
1,00:15:00,5,2,0,0,2019-06-04
2,00:30:00,9,9,0,0,2019-06-04
3,00:45:00,3,4,0,0,2019-06-04
4,01:00:00,10,1,0,0,2019-06-04
5,01:15:00,4,2,0,0,2019-06-04
6,01:30:00,8,3,0,0,2019-06-04
7,01:45:00,7,6,0,0,2019-06-04
8,02:00:00,3,2,0,0,2019-06-04
9,02:15:00,5,1,0,0,2019-06-04
10,02:30:00,4,2,0,0,2019-06-04
11,02:45:00,3,6,0,0,2019-06-04
12,03:00:00,9,8,0,0,2019-06-04
13,03:15:00,10,7,0,0,2019-06-04
14,03:30:00,3,4,0,0,2019-06-04
15,03:45:00,5,25,0,0,2019-06-04
16,04:00:00,10,20,0,0,2019-06-04
17,04:15:00,11,36,0,0,2019-06-04
18,04:30:00,13,46,0,0,2019-06-04
19,04:45:00,14,56,0,0,2019-06-04
20,05:00:00,13,77,0,0,2019-06-04
21,05:15:00,21,98,0,0,2019-06-04
22,05:30:00,29,126,0,0,2019-06-04
23,05:45:00,28,145,0,0,2019-06-04
24,06:00:00,53,130,0,0,2019-06-04
25,06:15:00,52,147,0,0,2019-06-04
26,06:30:00,48,146,0,0,2019-06-04
27,06:45:00,54,142,0,0,2019-06-04
28,07:00:00,57,133,0,0,2019-06-04
29,07:15:00,67,147,0,0,2019-06-04
30,07:30:00,102,198,0,0,2019-06-04
31,07:45:00,97,188,0,0,2019-06-04
32,08:00:00,99,257,0,0,2019-06-04
33,08:15:00,92,240,0,0,2019-06-04
34,08:30:00,103,236,0,0,2019-06-04
35,08:45:00,80,222,0,0,2019-06-04
36,09:00:00,72,167,0,0,2019-06-04
37,09:15:00,81,158,0,0,2019-06-04
38,09:30:00,80,163,0,0,2019-06-04
39,09:45:00,79,188,0,0,2019-06-04
40,10:00:00,78,147,0,0,2019-06-04
41,10:15:00,91,191,0,0,2019-06-04
42,10:30:00,113,169,0,0,2019-06-04
43,10:45:00,85,166,0,0,2019-06-04
44,11:00:00,116,141,0,0,2019-06-04
45,11:15:00,121,181,0,0,2019-06-04
46,11:30:00,102,169,0,0,2019-06-04
47,11:45:00,106,168,0,0,2019-06-04
48,12:00:00,141,175,0,0,2019-06-04
49,12:15:00,124,151,0,0,2019-06-04
50,12:30:00,138,166,0,0,2019-06-04
51,12:45:00,129,166,0,0,2019-06-04
52,13:00:00,143,162,0,0,2019-06-04
53,13:15:00,129,142,0,0,2019-06-04
54,13:30:00,159,138,0,0,2019-06-04
55,13:45:00,131,124,0,0,2019-06-04
56,14:00:00,182,148,0,0,2019-06-04
57,14:15:00,230,133,0,0,2019-06-04
58,14:30:00,274,128,0,0,2019-06-04
59,14:45:00,323,131,0,0,2019-06-04
60,15:00:00,280,147,0,0,2019-06-04
61,15:15:00,202,131,0,0,2019-06-04
62,15:30:00,281,161,0,0,2019-06-04
63,15:45:00,269,151,0,0,2019-06-04
64,16:00:00,254,162,0,0,2019-06-04
65,16:15:00,298,125,0,0,2019-06-04
66,16:30:00,279,162,0,0,2019-06-04
67,16:45:00,239,141,0,0,2019-06-04
68,17:00:00,261,185,0,0,2019-06-04
69,17:15:00,287,165,0,0,2019-06-04
70,17:30:00,256,186,0,0,2019-06-04
71,17:45:00,232,173,0,0,2019-06-04
72,18:00:00,269,158,0,0,2019-06-04
73,18:15:00,287,151,0,0,2019-06-04
74,18:30:00,255,132,0,0,2019-06-04
75,18:45:00,248,94,0,0,2019-06-04
76,19:00:00,278,75,0,0,2019-06-04
77,19:15:00,224,81,0,0,2019-06-04
78,19:30:00,181,77,0,0,2019-06-04
79,19:45:00,149,98,0,0,2019-06-04
80,20:00:00,131,83,0,0,2019-06-04
81,20:15:00,93,68,0,0,2019-06-04
82,20:30:00,81,81,0,0,2019-06-04
83,20:45:00,86,70,0,0,2019-06-04
84,21:00:00,92,41,0,0,2019-06-04
85,21:15:00,54,47,0,0,2019-06-04
86,21:30:00,59,41,0,0,2019-06-04
87,21:45:00,40,45,0,0,2019-06-04
88,22:00:00,70,30,0,0,2019-06-04
89,22:15:00,68,26,0,0,2019-06-04
90,22:30:00,61,24,0,0,2019-06-04
91,22:45:00,43,23,0,0,2019-06-04
92,23:00:00,33,16,0,0,2019-06-04
93,23:15:00,23,6,0,0,2019-06-04
94,23:30:00,27,5,0,0,2019-06-04
95,23:45:00,20,6,0,0,2019-06-04
96,00:00:00,22,5,0,0,2019-06-05
97,00:15:00,11,6,0,0,2019-06-05
98,00:30:00,13,4,0,0,2019-06-05
99,00:45:00,6,7,0,0,2019-06-05
100,01:00:00,6,5,0,0,2019-06-05
101,01:15:00,6,2,0,0,2019-06-05
102,01:30:00,3,8,0,0,2019-06-05
103,01:45:00,3,3,0,0,2019-06-05
104,02:00:00,3,3,0,0,2019-06-05
105,02:15:00,3,2,0,0,2019-06-05
106,02:30:00,3,5,0,0,2019-06-05
107,02:45:00,2,2,0,0,2019-06-05
108,03:00:00,7,9,0,0,2019-06-05
109,03:15:00,5,8,0,0,2019-06-05
110,03:30:00,6,8,0,0,2019-06-05
111,03:45:00,5,13,0,0,2019-06-05
112,04:00:00,12,19,0,0,2019-06-05
113,04:15:00,9,35,0,0,2019-06-05
114,04:30:00,8,35,0,0,2019-06-05
115,04:45:00,25,59,0,0,2019-06-05
116,05:00:00,25,79,0,0,2019-06-05
117,05:15:00,25,79,0,0,2019-06-05
118,05:30:00,42,122,0,0,2019-06-05
119,05:45:00,44,129,0,0,2019-06-05
120,06:00:00,51,126,0,0,2019-06-05
121,06:15:00,73,144,0,0,2019-06-05
122,06:30:00,51,164,0,0,2019-06-05
123,06:45:00,45,155,0,0,2019-06-05
124,07:00:00,58,161,0,0,2019-06-05
125,07:15:00,67,186,0,0,2019-06-05
126,07:30:00,106,176,0,0,2019-06-05
127,07:45:00,105,175,0,0,2019-06-05
128,08:00:00,104,245,0,0,2019-06-05
129,08:15:00,81,221,0,0,2019-06-05
130,08:30:00,90,224,0,0,2019-06-05
131,08:45:00,73,230,0,0,2019-06-05
132,09:00:00,59,215,0,0,2019-06-05
133,09:15:00,81,192,0,0,2019-06-05
134,09:30:00,94,139,0,0,2019-06-05
135,09:45:00,60,187,0,0,2019-06-05
136,10:00:00,83,188,0,0,2019-06-05
137,10:15:00,83,209,0,0,2019-06-05
138,10:30:00,85,130,0,0,2019-06-05
139,10:45:00,101,138,0,0,2019-06-05
140,11:00:00,112,157,0,0,2019-06-05
141,11:15:00,114,177,0,0,2019-06-05
142,11:30:00,130,155,0,0,2019-06-05
143,11:45:00,105,168,0,0,2019-06-05
144,12:00:00,148,151,0,0,2019-06-05
145,12:15:00,124,149,0,0,2019-06-05
146,12:30:00,144,163,0,0,2019-06-05
147,12:45:00,125,167,0,0,2019-06-05
148,13:00:00,148,173,0,0,2019-06-05
149,13:15:00,164,143,0,0,2019-06-05
150,13:30:00,179,183,0,0,2019-06-05
151,13:45:00,192,156,0,0,2019-06-05
152,14:00:00,281,130,0,0,2019-06-05
153,14:15:00,240,110,0,0,2019-06-05
154,14:30:00,285,119,0,0,2019-06-05
155,14:45:00,270,127,0,0,2019-06-05
156,15:00:00,242,133,0,0,2019-06-05
157,15:15:00,244,136,0,0,2019-06-05
158,15:30:00,299,148,0,0,2019-06-05
159,15:45:00,280,160,0,0,2019-06-05
160,16:00:00,243,163,0,0,2019-06-05
161,16:15:00,282,137,0,0,2019-06-05
162,16:30:00,255,144,0,0,2019-06-05
163,16:45:00,283,148,0,0,2019-06-05
164,17:00:00,286,172,0,0,2019-06-05
165,17:15:00,279,144,0,0,2019-06-05
166,17:30:00,255,179,0,0,2019-06-05
167,17:45:00,238,119,0,0,2019-06-05
168,18:00:00,235,110,0,0,2019-06-05
169,18:15:00,292,97,0,0,2019-06-05
170,18:30:00,254,93,0,0,2019-06-05
171,18:45:00,279,94,0,0,2019-06-05
172,19:00:00,272,85,0,0,2019-06-05
173,19:15:00,179,72,0,0,2019-06-05
174,19:30:00,155,74,0,0,2019-06-05
175,19:45:00,142,82,0,0,2019-06-05
176,20:00:00,133,73,0,0,2019-06-05
177,20:15:00,89,59,0,0,2019-06-05
178,20:30:00,82,70,0,0,2019-06-05
179,20:45:00,87,57,0,0,2019-06-05
180,21:00:00,92,56,0,0,2019-06-05
181,21:15:00,82,48,0,0,2019-06-05
182,21:30:00,60,39,0,0,2019-06-05
183,21:45:00,47,31,0,0,2019-06-05
184,22:00:00,43,37,0,0,2019-06-05
185,22:15:00,43,25,0,0,2019-06-05
186,22:30:00,53,14,0,0,2019-06-05
187,22:45:00,39,21,0,0,2019-06-05
188,23:00:00,40,13,0,0,2019-06-05
189,23:15:00,32,7,0,0,2019-06-05
190,23:30:00,27,3,0,0,2019-06-05
191,23:45:00,19,6,0,0,2019-06-05
192,00:00:00,22,2,0,0,2019-06-06
193,00:15:00,12,4,0,0,2019-06-06
194,00:30:00,14,3,0,0,2019-06-06
195,00:45:00,11,3,0,0,2019-06-06
196,01:00:00,14,5,0,0,2019-06-06
197,01:15:00,6,5,0,0,2019-06-06
198,01:30:00,2,2,0,0,2019-06-06
199,01:45:00,1,3,0,0,2019-06-06
200,02:00:00,6,2,0,0,2019-06-06
201,02:15:00,4,3,0,0,2019-06-06
202,02:30:00,3,3,0,0,2019-06-06
203,02:45:00,6,4,0,0,2019-06-06
204,03:00:00,11,8,0,0,2019-06-06
205,03:15:00,7,6,0,0,2019-06-06
206,03:30:00,5,9,0,0,2019-06-06
207,03:45:00,6,16,0,0,2019-06-06
208,04:00:00,11,35,0,0,2019-06-06
209,04:15:00,8,21,0,0,2019-06-06
210,04:30:00,15,51,0,0,2019-06-06
211,04:45:00,35,65,0,0,2019-06-06
212,05:00:00,40,71,0,0,2019-06-06
213,05:15:00,45,78,0,0,2019-06-06
214,05:30:00,26,107,0,0,2019-06-06
215,05:45:00,35,125,0,0,2019-06-06
216,06:00:00,53,136,0,0,2019-06-06
217,06:15:00,52,154,0,0,2019-06-06
218,06:30:00,44,170,0,0,2019-06-06
219,06:45:00,40,160,0,0,2019-06-06
220,07:00:00,61,160,0,0,2019-06-06
221,07:15:00,71,173,0,0,2019-06-06
222,07:30:00,95,161,0,0,2019-06-06
223,07:45:00,118,205,0,0,2019-06-06
224,08:00:00,99,231,0,0,2019-06-06
225,08:15:00,83,226,0,0,2019-06-06
226,08:30:00,106,229,0,0,2019-06-06
227,08:45:00,103,213,0,0,2019-06-06
228,09:00:00,84,205,0,0,2019-06-06
229,09:15:00,70,208,0,0,2019-06-06
230,09:30:00,82,170,0,0,2019-06-06
231,09:45:00,74,176,0,0,2019-06-06
232,10:00:00,83,132,0,0,2019-06-06
233,10:15:00,79,146,0,0,2019-06-06
234,10:30:00,115,113,0,0,2019-06-06
235,10:45:00,115,166,0,0,2019-06-06
236,11:00:00,127,140,0,0,2019-06-06
237,11:15:00,135,142,0,0,2019-06-06
238,11:30:00,140,151,0,0,2019-06-06
239,11:45:00,107,164,0,0,2019-06-06
240,12:00:00,130,148,0,0,2019-06-06
241,12:15:00,121,157,0,0,2019-06-06
242,12:30:00,109,147,0,0,2019-06-06
243,12:45:00,133,135,0,0,2019-06-06
244,13:00:00,125,136,0,0,2019-06-06
245,13:15:00,125,143,0,0,2019-06-06
246,13:30:00,209,108,0,0,2019-06-06
247,13:45:00,276,125,0,0,2019-06-06
248,14:00:00,282,127,0,0,2019-06-06
249,14:15:00,247,157,0,0,2019-06-06
250,14:30:00,296,114,0,0,2019-06-06
251,14:45:00,313,119,0,0,2019-06-06
252,15:00:00,299,155,0,0,2019-06-06
253,15:15:00,228,124,0,0,2019-06-06
254,15:30:00,276,149,0,0,2019-06-06
255,15:45:00,214,178,0,0,2019-06-06
256,16:00:00,231,139,0,0,2019-06-06
257,16:15:00,218,121,0,0,2019-06-06
258,16:30:00,289,118,0,0,2019-06-06
259,16:45:00,263,159,0,0,2019-06-06
260,17:00:00,240,149,0,0,2019-06-06
261,17:15:00,232,157,0,0,2019-06-06
262,17:30:00,262,150,0,0,2019-06-06
263,17:45:00,244,122,0,0,2019-06-06
264,18:00:00,269,130,0,0,2019-06-06
265,18:15:00,266,114,0,0,2019-06-06
266,18:30:00,270,109,0,0,2019-06-06
267,18:45:00,241,92,0,0,2019-06-06
268,19:00:00,212,89,0,0,2019-06-06
269,19:15:00,193,84,0,0,2019-06-06
270,19:30:00,163,83,0,0,2019-06-06
271,19:45:00,137,65,0,0,2019-06-06
272,20:00:00,141,58,0,0,2019-06-06
273,20:15:00,112,71,0,0,2019-06-06
274,20:30:00,109,63,0,0,2019-06-06
275,20:45:00,87,59,0,0,2019-06-06
276,21:00:00,98,57,0,0,2019-06-06
277,21:15:00,68,42,0,0,2019-06-06
278,21:30:00,73,42,0,0,2019-06-06
279,21:45:00,42,39,0,0,2019-06-06
280,22:00:00,45,43,0,0,2019-06-06
281,22:15:00,55,19,0,0,2019-06-06
282,22:30:00,41,14,0,0,2019-06-06
283,22:45:00,43,22,0,0,2019-06-06
284,23:00:00,27,14,0,0,2019-06-06
285,23:15:00,36,11,0,0,2019-06-06
286,23:30:00,24,3,0,0,2019-06-06
287,23:45:00,15,8,0,0,2019-06-06
