Day,Time,Count
 Tuesday -  May 7 -  2019 - Total=2396,0:0,0.0
 Tuesday -  May 7 -  2019 - Total=2396,0:15,3.0
 Tuesday -  May 7 -  2019 - Total=2396,0:30,0.0
 Tuesday -  May 7 -  2019 - Total=2396,0:45,2.0
 Tuesday -  May 7 -  2019 - Total=2396,1:0,0.0
 Tuesday -  May 7 -  2019 - Total=2396,1:15,1.0
 Tuesday -  May 7 -  2019 - Total=2396,1:30,1.0
 Tuesday -  May 7 -  2019 - Total=2396,1:45,2.0
 Tuesday -  May 7 -  2019 - Total=2396,2:0,1.0
 Tuesday -  May 7 -  2019 - Total=2396,2:15,0.0
 Tuesday -  May 7 -  2019 - Total=2396,2:30,0.0
 Tuesday -  May 7 -  2019 - Total=2396,2:45,1.0
 Tuesday -  May 7 -  2019 - Total=2396,3:0,0.0
 Tuesday -  May 7 -  2019 - Total=2396,3:15,0.0
 Tuesday -  May 7 -  2019 - Total=2396,3:30,0.0
 Tuesday -  May 7 -  2019 - Total=2396,3:45,0.0
 Tuesday -  May 7 -  2019 - Total=2396,4:0,0.0
 Tuesday -  May 7 -  2019 - Total=2396,4:15,0.0
 Tuesday -  May 7 -  2019 - Total=2396,4:30,0.0
 Tuesday -  May 7 -  2019 - Total=2396,4:45,0.0
 Tuesday -  May 7 -  2019 - Total=2396,5:0,1.0
 Tuesday -  May 7 -  2019 - Total=2396,5:15,1.0
 Tuesday -  May 7 -  2019 - Total=2396,5:30,3.0
 Tuesday -  May 7 -  2019 - Total=2396,5:45,4.0
 Tuesday -  May 7 -  2019 - Total=2396,6:0,8.0
 Tuesday -  May 7 -  2019 - Total=2396,6:15,2.0
 Tuesday -  May 7 -  2019 - Total=2396,6:30,2.0
 Tuesday -  May 7 -  2019 - Total=2396,6:45,8.0
 Tuesday -  May 7 -  2019 - Total=2396,7:0,13.0
 Tuesday -  May 7 -  2019 - Total=2396,7:15,16.0
 Tuesday -  May 7 -  2019 - Total=2396,7:30,43.0
 Tuesday -  May 7 -  2019 - Total=2396,7:45,38.0
 Tuesday -  May 7 -  2019 - Total=2396,8:0,52.0
 Tuesday -  May 7 -  2019 - Total=2396,8:15,79.0
 Tuesday -  May 7 -  2019 - Total=2396,8:30,34.0
 Tuesday -  May 7 -  2019 - Total=2396,8:45,32.0
 Tuesday -  May 7 -  2019 - Total=2396,9:0,29.0
 Tuesday -  May 7 -  2019 - Total=2396,9:15,30.0
 Tuesday -  May 7 -  2019 - Total=2396,9:30,28.0
 Tuesday -  May 7 -  2019 - Total=2396,9:45,21.0
 Tuesday -  May 7 -  2019 - Total=2396,10:0,25.0
 Tuesday -  May 7 -  2019 - Total=2396,10:15,23.0
 Tuesday -  May 7 -  2019 - Total=2396,10:30,23.0
 Tuesday -  May 7 -  2019 - Total=2396,10:45,20.0
 Tuesday -  May 7 -  2019 - Total=2396,11:0,15.0
 Tuesday -  May 7 -  2019 - Total=2396,11:15,12.0
 Tuesday -  May 7 -  2019 - Total=2396,11:30,17.0
 Tuesday -  May 7 -  2019 - Total=2396,11:45,20.0
 Tuesday -  May 7 -  2019 - Total=2396,12:0,16.0
 Tuesday -  May 7 -  2019 - Total=2396,12:15,17.0
 Tuesday -  May 7 -  2019 - Total=2396,12:30,26.0
 Tuesday -  May 7 -  2019 - Total=2396,12:45,18.0
 Tuesday -  May 7 -  2019 - Total=2396,13:0,25.0
 Tuesday -  May 7 -  2019 - Total=2396,13:15,27.0
 Tuesday -  May 7 -  2019 - Total=2396,13:30,30.0
 Tuesday -  May 7 -  2019 - Total=2396,13:45,20.0
 Tuesday -  May 7 -  2019 - Total=2396,14:0,28.0
 Tuesday -  May 7 -  2019 - Total=2396,14:15,43.0
 Tuesday -  May 7 -  2019 - Total=2396,14:30,53.0
 Tuesday -  May 7 -  2019 - Total=2396,14:45,57.0
 Tuesday -  May 7 -  2019 - Total=2396,15:0,72.0
 Tuesday -  May 7 -  2019 - Total=2396,15:15,66.0
 Tuesday -  May 7 -  2019 - Total=2396,15:30,59.0
 Tuesday -  May 7 -  2019 - Total=2396,15:45,56.0
