Day,Time,Count
 Tuesday -  May 7 -  2019 - Total=714,0:0,1.0
 Tuesday -  May 7 -  2019 - Total=714,0:15,1.0
 Tuesday -  May 7 -  2019 - Total=714,0:30,0.0
 Tuesday -  May 7 -  2019 - Total=714,0:45,3.0
 Tuesday -  May 7 -  2019 - Total=714,1:0,2.0
 Tuesday -  May 7 -  2019 - Total=714,1:15,1.0
 Tuesday -  May 7 -  2019 - Total=714,1:30,0.0
 Tuesday -  May 7 -  2019 - Total=714,1:45,0.0
 Tuesday -  May 7 -  2019 - Total=714,2:0,0.0
 Tuesday -  May 7 -  2019 - Total=714,2:15,0.0
 Tuesday -  May 7 -  2019 - Total=714,2:30,0.0
 Tuesday -  May 7 -  2019 - Total=714,2:45,0.0
 Tuesday -  May 7 -  2019 - Total=714,3:0,0.0
 Tuesday -  May 7 -  2019 - Total=714,3:15,0.0
 Tuesday -  May 7 -  2019 - Total=714,3:30,0.0
 Tuesday -  May 7 -  2019 - Total=714,3:45,0.0
 Tuesday -  May 7 -  2019 - Total=714,4:0,1.0
 Tuesday -  May 7 -  2019 - Total=714,4:15,0.0
 Tuesday -  May 7 -  2019 - Total=714,4:30,1.0
 Tuesday -  May 7 -  2019 - Total=714,4:45,0.0
 Tuesday -  May 7 -  2019 - Total=714,5:0,0.0
 Tuesday -  May 7 -  2019 - Total=714,5:15,0.0
 Tuesday -  May 7 -  2019 - Total=714,5:30,0.0
 Tuesday -  May 7 -  2019 - Total=714,5:45,0.0
 Tuesday -  May 7 -  2019 - Total=714,6:0,1.0
 Tuesday -  May 7 -  2019 - Total=714,6:15,2.0
 Tuesday -  May 7 -  2019 - Total=714,6:30,2.0
 Tuesday -  May 7 -  2019 - Total=714,6:45,2.0
 Tuesday -  May 7 -  2019 - Total=714,7:0,4.0
 Tuesday -  May 7 -  2019 - Total=714,7:15,3.0
 Tuesday -  May 7 -  2019 - Total=714,7:30,6.0
 Tuesday -  May 7 -  2019 - Total=714,7:45,12.0
 Tuesday -  May 7 -  2019 - Total=714,8:0,17.0
 Tuesday -  May 7 -  2019 - Total=714,8:15,9.0
 Tuesday -  May 7 -  2019 - Total=714,8:30,4.0
 Tuesday -  May 7 -  2019 - Total=714,8:45,8.0
 Tuesday -  May 7 -  2019 - Total=714,9:0,4.0
 Tuesday -  May 7 -  2019 - Total=714,9:15,2.0
 Tuesday -  May 7 -  2019 - Total=714,9:30,8.0
 Tuesday -  May 7 -  2019 - Total=714,9:45,6.0
 Tuesday -  May 7 -  2019 - Total=714,10:0,4.0
 Tuesday -  May 7 -  2019 - Total=714,10:15,10.0
 Tuesday -  May 7 -  2019 - Total=714,10:30,6.0
 Tuesday -  May 7 -  2019 - Total=714,10:45,11.0
 Tuesday -  May 7 -  2019 - Total=714,11:0,6.0
 Tuesday -  May 7 -  2019 - Total=714,11:15,7.0
 Tuesday -  May 7 -  2019 - Total=714,11:30,7.0
 Tuesday -  May 7 -  2019 - Total=714,11:45,6.0
 Tuesday -  May 7 -  2019 - Total=714,12:0,7.0
 Tuesday -  May 7 -  2019 - Total=714,12:15,10.0
 Tuesday -  May 7 -  2019 - Total=714,12:30,8.0
 Tuesday -  May 7 -  2019 - Total=714,12:45,8.0
 Tuesday -  May 7 -  2019 - Total=714,13:0,8.0
 Tuesday -  May 7 -  2019 - Total=714,13:15,4.0
 Tuesday -  May 7 -  2019 - Total=714,13:30,11.0
 Tuesday -  May 7 -  2019 - Total=714,13:45,9.0
 Tuesday -  May 7 -  2019 - Total=714,14:0,5.0
 Tuesday -  May 7 -  2019 - Total=714,14:15,6.0
 Tuesday -  May 7 -  2019 - Total=714,14:30,10.0
 Tuesday -  May 7 -  2019 - Total=714,14:45,7.0
 Tuesday -  May 7 -  2019 - Total=714,15:0,10.0
 Tuesday -  May 7 -  2019 - Total=714,15:15,5.0
 Tuesday -  May 7 -  2019 - Total=714,15:30,7.0
 Tuesday -  May 7 -  2019 - Total=714,15:45,18.0
 Tuesday -  May 7 -  2019 - Total=714,16:0,12.0
 Tuesday -  May 7 -  2019 - Total=714,16:15,4.0
 Tuesday -  May 7 -  2019 - Total=714,16:30,9.0
 Tuesday -  May 7 -  2019 - Total=714,16:45,12.0
 Tuesday -  May 7 -  2019 - Total=714,17:0,12.0
 Tuesday -  May 7 -  2019 - Total=714,17:15,24.0
 Tuesday -  May 7 -  2019 - Total=714,17:30,33.0
 Tuesday -  May 7 -  2019 - Total=714,17:45,23.0
 Tuesday -  May 7 -  2019 - Total=714,18:0,52.0
 Tuesday -  May 7 -  2019 - Total=714,18:15,30.0
 Tuesday -  May 7 -  2019 - Total=714,18:30,26.0
 Tuesday -  May 7 -  2019 - Total=714,18:45,18.0
 Tuesday -  May 7 -  2019 - Total=714,19:0,21.0
 Tuesday -  May 7 -  2019 - Total=714,19:15,13.0
 Tuesday -  May 7 -  2019 - Total=714,19:30,20.0
 Tuesday -  May 7 -  2019 - Total=714,19:45,18.0
 Tuesday -  May 7 -  2019 - Total=714,20:0,13.0
 Tuesday -  May 7 -  2019 - Total=714,20:15,15.0
 Tuesday -  May 7 -  2019 - Total=714,20:30,10.0
 Tuesday -  May 7 -  2019 - Total=714,20:45,14.0
 Tuesday -  May 7 -  2019 - Total=714,21:0,6.0
 Tuesday -  May 7 -  2019 - Total=714,21:15,7.0
 Tuesday -  May 7 -  2019 - Total=714,21:30,4.0
 Tuesday -  May 7 -  2019 - Total=714,21:45,6.0
 Tuesday -  May 7 -  2019 - Total=714,22:0,4.0
 Tuesday -  May 7 -  2019 - Total=714,22:15,6.0
 Tuesday -  May 7 -  2019 - Total=714,22:30,1.0
 Tuesday -  May 7 -  2019 - Total=714,22:45,2.0
 Tuesday -  May 7 -  2019 - Total=714,23:0,1.0
 Tuesday -  May 7 -  2019 - Total=714,23:15,3.0
 Tuesday -  May 7 -  2019 - Total=714,23:30,2.0
 Tuesday -  May 7 -  2019 - Total=714,23:45,3.0
 Wednesday -  May 8 -  2019 - Total=661,0:0,0.0
 Wednesday -  May 8 -  2019 - Total=661,0:15,1.0
 Wednesday -  May 8 -  2019 - Total=661,0:30,3.0
