Day,Time,Count
 Tuesday -  May 7 -  2019 - Total=644,0:0,4.0
 Tuesday -  May 7 -  2019 - Total=644,0:15,0.0
 Tuesday -  May 7 -  2019 - Total=644,0:30,1.0
 Tuesday -  May 7 -  2019 - Total=644,0:45,0.0
 Tuesday -  May 7 -  2019 - Total=644,1:0,1.0
 Tuesday -  May 7 -  2019 - Total=644,1:15,1.0
 Tuesday -  May 7 -  2019 - Total=644,1:30,1.0
 Tuesday -  May 7 -  2019 - Total=644,1:45,0.0
 Tuesday -  May 7 -  2019 - Total=644,2:0,0.0
 Tuesday -  May 7 -  2019 - Total=644,2:15,0.0
 Tuesday -  May 7 -  2019 - Total=644,2:30,0.0
 Tuesday -  May 7 -  2019 - Total=644,2:45,0.0
 Tuesday -  May 7 -  2019 - Total=644,3:0,0.0
 Tuesday -  May 7 -  2019 - Total=644,3:15,0.0
 Tuesday -  May 7 -  2019 - Total=644,3:30,0.0
 Tuesday -  May 7 -  2019 - Total=644,3:45,0.0
 Tuesday -  May 7 -  2019 - Total=644,4:0,0.0
 Tuesday -  May 7 -  2019 - Total=644,4:15,0.0
 Tuesday -  May 7 -  2019 - Total=644,4:30,1.0
 Tuesday -  May 7 -  2019 - Total=644,4:45,2.0
 Tuesday -  May 7 -  2019 - Total=644,5:0,1.0
 Tuesday -  May 7 -  2019 - Total=644,5:15,2.0
 Tuesday -  May 7 -  2019 - Total=644,5:30,3.0
 Tuesday -  May 7 -  2019 - Total=644,5:45,0.0
 Tuesday -  May 7 -  2019 - Total=644,6:0,1.0
 Tuesday -  May 7 -  2019 - Total=644,6:15,2.0
 Tuesday -  May 7 -  2019 - Total=644,6:30,8.0
 Tuesday -  May 7 -  2019 - Total=644,6:45,5.0
 Tuesday -  May 7 -  2019 - Total=644,7:0,5.0
 Tuesday -  May 7 -  2019 - Total=644,7:15,7.0
 Tuesday -  May 7 -  2019 - Total=644,7:30,7.0
 Tuesday -  May 7 -  2019 - Total=644,7:45,14.0
 Tuesday -  May 7 -  2019 - Total=644,8:0,27.0
 Tuesday -  May 7 -  2019 - Total=644,8:15,20.0
 Tuesday -  May 7 -  2019 - Total=644,8:30,20.0
 Tuesday -  May 7 -  2019 - Total=644,8:45,16.0
 Tuesday -  May 7 -  2019 - Total=644,9:0,11.0
 Tuesday -  May 7 -  2019 - Total=644,9:15,13.0
 Tuesday -  May 7 -  2019 - Total=644,9:30,13.0
 Tuesday -  May 7 -  2019 - Total=644,9:45,14.0
 Tuesday -  May 7 -  2019 - Total=644,10:0,20.0
 Tuesday -  May 7 -  2019 - Total=644,10:15,6.0
 Tuesday -  May 7 -  2019 - Total=644,10:30,18.0
 Tuesday -  May 7 -  2019 - Total=644,10:45,8.0
 Tuesday -  May 7 -  2019 - Total=644,11:0,8.0
 Tuesday -  May 7 -  2019 - Total=644,11:15,9.0
 Tuesday -  May 7 -  2019 - Total=644,11:30,5.0
 Tuesday -  May 7 -  2019 - Total=644,11:45,10.0
 Tuesday -  May 7 -  2019 - Total=644,12:0,7.0
 Tuesday -  May 7 -  2019 - Total=644,12:15,8.0
 Tuesday -  May 7 -  2019 - Total=644,12:30,5.0
 Tuesday -  May 7 -  2019 - Total=644,12:45,8.0
