,TIME,NB,SB,EB,WB,date
0,00:00:00,3,2,0,0,2019-06-04
1,00:15:00,3,2,0,0,2019-06-04
2,00:30:00,3,2,0,0,2019-06-04
3,00:45:00,1,2,0,0,2019-06-04
4,01:00:00,0,0,0,0,2019-06-04
5,01:15:00,0,0,0,0,2019-06-04
6,01:30:00,0,0,0,0,2019-06-04
7,01:45:00,0,1,0,0,2019-06-04
8,02:00:00,1,1,0,0,2019-06-04
9,02:15:00,2,0,0,0,2019-06-04
10,02:30:00,0,0,0,0,2019-06-04
11,02:45:00,0,0,0,0,2019-06-04
12,03:00:00,0,0,0,0,2019-06-04
13,03:15:00,0,1,0,0,2019-06-04
14,03:30:00,0,1,0,0,2019-06-04
15,03:45:00,0,1,0,0,2019-06-04
16,04:00:00,0,1,0,0,2019-06-04
17,04:15:00,3,1,0,0,2019-06-04
18,04:30:00,3,1,0,0,2019-06-04
19,04:45:00,2,2,0,0,2019-06-04
20,05:00:00,2,2,0,0,2019-06-04
21,05:15:00,1,3,0,0,2019-06-04
22,05:30:00,3,9,0,0,2019-06-04
23,05:45:00,3,2,0,0,2019-06-04
24,06:00:00,4,7,0,0,2019-06-04
25,06:15:00,8,10,0,0,2019-06-04
26,06:30:00,17,10,0,0,2019-06-04
27,06:45:00,12,18,0,0,2019-06-04
28,07:00:00,16,38,0,0,2019-06-04
29,07:15:00,28,41,0,0,2019-06-04
30,07:30:00,79,38,0,0,2019-06-04
31,07:45:00,107,96,0,0,2019-06-04
32,08:00:00,115,105,0,0,2019-06-04
33,08:15:00,61,134,0,0,2019-06-04
34,08:30:00,42,75,0,0,2019-06-04
35,08:45:00,46,65,0,0,2019-06-04
36,09:00:00,49,80,0,0,2019-06-04
37,09:15:00,37,47,0,0,2019-06-04
38,09:30:00,31,50,0,0,2019-06-04
39,09:45:00,33,34,0,0,2019-06-04
40,10:00:00,43,40,0,0,2019-06-04
41,10:15:00,35,24,0,0,2019-06-04
42,10:30:00,24,42,0,0,2019-06-04
43,10:45:00,25,44,0,0,2019-06-04
44,11:00:00,35,46,0,0,2019-06-04
45,11:15:00,30,36,0,0,2019-06-04
46,11:30:00,25,40,0,0,2019-06-04
47,11:45:00,35,32,0,0,2019-06-04
48,12:00:00,29,32,0,0,2019-06-04
49,12:15:00,27,26,0,0,2019-06-04
50,12:30:00,28,35,0,0,2019-06-04
51,12:45:00,29,44,0,0,2019-06-04
52,13:00:00,35,27,0,0,2019-06-04
53,13:15:00,37,30,0,0,2019-06-04
54,13:30:00,41,35,0,0,2019-06-04
55,13:45:00,45,37,0,0,2019-06-04
56,14:00:00,69,38,0,0,2019-06-04
57,14:15:00,129,34,0,0,2019-06-04
58,14:30:00,178,47,0,0,2019-06-04
59,14:45:00,247,58,0,0,2019-06-04
60,15:00:00,180,64,0,0,2019-06-04
61,15:15:00,162,92,0,0,2019-06-04
62,15:30:00,225,67,0,0,2019-06-04
63,15:45:00,221,49,0,0,2019-06-04
64,16:00:00,192,51,0,0,2019-06-04
65,16:15:00,170,62,0,0,2019-06-04
66,16:30:00,169,61,0,0,2019-06-04
67,16:45:00,204,44,0,0,2019-06-04
68,17:00:00,217,61,0,0,2019-06-04
69,17:15:00,201,52,0,0,2019-06-04
70,17:30:00,269,67,0,0,2019-06-04
71,17:45:00,252,79,0,0,2019-06-04
72,18:00:00,287,62,0,0,2019-06-04
73,18:15:00,170,60,0,0,2019-06-04
74,18:30:00,171,54,0,0,2019-06-04
75,18:45:00,157,39,0,0,2019-06-04
76,19:00:00,200,47,0,0,2019-06-04
77,19:15:00,130,45,0,0,2019-06-04
78,19:30:00,90,28,0,0,2019-06-04
79,19:45:00,88,61,0,0,2019-06-04
80,20:00:00,41,46,0,0,2019-06-04
81,20:15:00,45,27,0,0,2019-06-04
82,20:30:00,47,39,0,0,2019-06-04
83,20:45:00,42,33,0,0,2019-06-04
84,21:00:00,39,28,0,0,2019-06-04
85,21:15:00,23,26,0,0,2019-06-04
86,21:30:00,24,15,0,0,2019-06-04
87,21:45:00,21,18,0,0,2019-06-04
88,22:00:00,17,8,0,0,2019-06-04
89,22:15:00,14,12,0,0,2019-06-04
90,22:30:00,9,11,0,0,2019-06-04
91,22:45:00,4,12,0,0,2019-06-04
92,23:00:00,7,10,0,0,2019-06-04
93,23:15:00,8,2,0,0,2019-06-04
94,23:30:00,6,3,0,0,2019-06-04
95,23:45:00,6,8,0,0,2019-06-04
96,00:00:00,4,5,0,0,2019-06-05
97,00:15:00,5,1,0,0,2019-06-05
98,00:30:00,3,3,0,0,2019-06-05
99,00:45:00,0,2,0,0,2019-06-05
100,01:00:00,0,2,0,0,2019-06-05
101,01:15:00,2,1,0,0,2019-06-05
102,01:30:00,2,0,0,0,2019-06-05
103,01:45:00,3,1,0,0,2019-06-05
104,02:00:00,1,0,0,0,2019-06-05
105,02:15:00,0,0,0,0,2019-06-05
