,TIME,NB,SB,EB,WB,date
0,00:00:00,0,0,2,1,2019-06-04
1,00:15:00,0,0,1,1,2019-06-04
2,00:30:00,0,0,0,0,2019-06-04
3,00:45:00,0,0,0,1,2019-06-04
4,01:00:00,0,0,1,0,2019-06-04
5,01:15:00,0,0,2,0,2019-06-04
6,01:30:00,0,0,0,0,2019-06-04
7,01:45:00,0,0,1,0,2019-06-04
8,02:00:00,0,0,2,0,2019-06-04
9,02:15:00,0,0,0,1,2019-06-04
10,02:30:00,0,0,1,0,2019-06-04
11,02:45:00,0,0,0,1,2019-06-04
12,03:00:00,0,0,0,0,2019-06-04
13,03:15:00,0,0,1,0,2019-06-04
14,03:30:00,0,0,0,1,2019-06-04
15,03:45:00,0,0,0,0,2019-06-04
16,04:00:00,0,0,1,2,2019-06-04
17,04:15:00,0,0,0,3,2019-06-04
18,04:30:00,0,0,1,3,2019-06-04
19,04:45:00,0,0,0,3,2019-06-04
20,05:00:00,0,0,0,2,2019-06-04
21,05:15:00,0,0,1,4,2019-06-04
22,05:30:00,0,0,0,9,2019-06-04
23,05:45:00,0,0,4,4,2019-06-04
24,06:00:00,0,0,3,12,2019-06-04
25,06:15:00,0,0,2,7,2019-06-04
26,06:30:00,0,0,1,15,2019-06-04
27,06:45:00,0,0,4,24,2019-06-04
28,07:00:00,0,0,7,30,2019-06-04
29,07:15:00,0,0,14,40,2019-06-04
30,07:30:00,0,0,16,52,2019-06-04
31,07:45:00,0,0,13,58,2019-06-04
32,08:00:00,0,0,19,63,2019-06-04
33,08:15:00,0,0,26,53,2019-06-04
34,08:30:00,0,0,16,83,2019-06-04
35,08:45:00,0,0,10,74,2019-06-04
36,09:00:00,0,0,14,67,2019-06-04
37,09:15:00,0,0,19,48,2019-06-04
38,09:30:00,0,0,13,45,2019-06-04
39,09:45:00,0,0,9,38,2019-06-04
40,10:00:00,0,0,16,25,2019-06-04
41,10:15:00,0,0,17,20,2019-06-04
42,10:30:00,0,0,7,21,2019-06-04
43,10:45:00,0,0,21,25,2019-06-04
44,11:00:00,0,0,22,23,2019-06-04
45,11:15:00,0,0,17,24,2019-06-04
46,11:30:00,0,0,23,25,2019-06-04
47,11:45:00,0,0,21,13,2019-06-04
48,12:00:00,0,0,27,16,2019-06-04
49,12:15:00,0,0,28,19,2019-06-04
50,12:30:00,0,0,28,18,2019-06-04
51,12:45:00,0,0,24,31,2019-06-04
52,13:00:00,0,0,20,14,2019-06-04
53,13:15:00,0,0,24,18,2019-06-04
54,13:30:00,0,0,33,10,2019-06-04
55,13:45:00,0,0,36,16,2019-06-04
56,14:00:00,0,0,79,20,2019-06-04
57,14:15:00,0,0,62,19,2019-06-04
58,14:30:00,0,0,69,12,2019-06-04
59,14:45:00,0,0,69,26,2019-06-04
60,15:00:00,0,0,71,20,2019-06-04
61,15:15:00,0,0,50,18,2019-06-04
62,15:30:00,0,0,39,23,2019-06-04
63,15:45:00,0,0,60,27,2019-06-04
64,16:00:00,0,0,47,21,2019-06-04
65,16:15:00,0,0,71,21,2019-06-04
66,16:30:00,0,0,73,27,2019-06-04
67,16:45:00,0,0,73,17,2019-06-04
68,17:00:00,0,0,79,23,2019-06-04
69,17:15:00,0,0,122,31,2019-06-04
70,17:30:00,0,0,84,45,2019-06-04
71,17:45:00,0,0,102,24,2019-06-04
72,18:00:00,0,0,123,38,2019-06-04
73,18:15:00,0,0,126,29,2019-06-04
74,18:30:00,0,0,130,27,2019-06-04
75,18:45:00,0,0,127,24,2019-06-04
76,19:00:00,0,0,92,19,2019-06-04
77,19:15:00,0,0,63,18,2019-06-04
78,19:30:00,0,0,45,19,2019-06-04
79,19:45:00,0,0,51,15,2019-06-04
80,20:00:00,0,0,42,13,2019-06-04
81,20:15:00,0,0,35,13,2019-06-04
