Day,Time,Count
 Tuesday -   November 7 -  2017=13207,0:0,8.0
 Tuesday -   November 7 -  2017=13207,0:15,16.0
 Tuesday -   November 7 -  2017=13207,0:30,9.0
 Tuesday -   November 7 -  2017=13207,0:45,7.0
 Tuesday -   November 7 -  2017=13207,1:0,13.0
 Tuesday -   November 7 -  2017=13207,1:15,12.0
 Tuesday -   November 7 -  2017=13207,1:30,11.0
 Tuesday -   November 7 -  2017=13207,1:45,12.0
 Tuesday -   November 7 -  2017=13207,2:0,3.0
 Tuesday -   November 7 -  2017=13207,2:15,12.0
 Tuesday -   November 7 -  2017=13207,2:30,13.0
 Tuesday -   November 7 -  2017=13207,2:45,16.0
 Tuesday -   November 7 -  2017=13207,3:0,14.0
 Tuesday -   November 7 -  2017=13207,3:15,7.0
 Tuesday -   November 7 -  2017=13207,3:30,18.0
 Tuesday -   November 7 -  2017=13207,3:45,31.0
 Tuesday -   November 7 -  2017=13207,4:0,22.0
 Tuesday -   November 7 -  2017=13207,4:15,45.0
 Tuesday -   November 7 -  2017=13207,4:30,72.0
 Tuesday -   November 7 -  2017=13207,4:45,56.0
 Tuesday -   November 7 -  2017=13207,5:0,81.0
 Tuesday -   November 7 -  2017=13207,5:15,113.0
 Tuesday -   November 7 -  2017=13207,5:30,111.0
 Tuesday -   November 7 -  2017=13207,5:45,101.0
 Tuesday -   November 7 -  2017=13207,6:0,113.0
 Tuesday -   November 7 -  2017=13207,6:15,107.0
 Tuesday -   November 7 -  2017=13207,6:30,158.0
 Tuesday -   November 7 -  2017=13207,6:45,178.0
 Tuesday -   November 7 -  2017=13207,7:0,199.0
 Tuesday -   November 7 -  2017=13207,7:15,187.0
 Tuesday -   November 7 -  2017=13207,7:30,300.0
 Tuesday -   November 7 -  2017=13207,7:45,394.0
 Tuesday -   November 7 -  2017=13207,8:0,349.0
 Tuesday -   November 7 -  2017=13207,8:15,229.0
 Tuesday -   November 7 -  2017=13207,8:30,213.0
 Tuesday -   November 7 -  2017=13207,8:45,242.0
 Tuesday -   November 7 -  2017=13207,9:0,212.0
 Tuesday -   November 7 -  2017=13207,9:15,188.0
 Tuesday -   November 7 -  2017=13207,9:30,219.0
 Tuesday -   November 7 -  2017=13207,9:45,224.0
 Tuesday -   November 7 -  2017=13207,10:0,199.0
 Tuesday -   November 7 -  2017=13207,10:15,179.0
 Tuesday -   November 7 -  2017=13207,10:30,179.0
 Tuesday -   November 7 -  2017=13207,10:45,189.0
 Tuesday -   November 7 -  2017=13207,11:0,166.0
 Tuesday -   November 7 -  2017=13207,11:15,170.0
 Tuesday -   November 7 -  2017=13207,11:30,136.0
 Tuesday -   November 7 -  2017=13207,11:45,161.0
 Tuesday -   November 7 -  2017=13207,12:0,161.0
 Tuesday -   November 7 -  2017=13207,12:15,150.0
 Tuesday -   November 7 -  2017=13207,12:30,199.0
 Tuesday -   November 7 -  2017=13207,12:45,145.0
 Tuesday -   November 7 -  2017=13207,13:0,174.0
 Tuesday -   November 7 -  2017=13207,13:15,182.0
 Tuesday -   November 7 -  2017=13207,13:30,153.0
 Tuesday -   November 7 -  2017=13207,13:45,172.0
 Tuesday -   November 7 -  2017=13207,14:0,147.0
 Tuesday -   November 7 -  2017=13207,14:15,154.0
 Tuesday -   November 7 -  2017=13207,14:30,167.0
 Tuesday -   November 7 -  2017=13207,14:45,148.0
 Tuesday -   November 7 -  2017=13207,15:0,258.0
 Tuesday -   November 7 -  2017=13207,15:15,200.0
