Day,Time,Count
 Tuesday -   November 7 -  2017=32454,0:0,141.0
 Tuesday -   November 7 -  2017=32454,0:15,129.0
 Tuesday -   November 7 -  2017=32454,0:30,119.0
 Tuesday -   November 7 -  2017=32454,0:45,124.0
 Tuesday -   November 7 -  2017=32454,1:0,101.0
 Tuesday -   November 7 -  2017=32454,1:15,122.0
 Tuesday -   November 7 -  2017=32454,1:30,120.0
 Tuesday -   November 7 -  2017=32454,1:45,117.0
 Tuesday -   November 7 -  2017=32454,2:0,85.0
 Tuesday -   November 7 -  2017=32454,2:15,60.0
 Tuesday -   November 7 -  2017=32454,2:30,72.0
 Tuesday -   November 7 -  2017=32454,2:45,70.0
 Tuesday -   November 7 -  2017=32454,3:0,55.0
 Tuesday -   November 7 -  2017=32454,3:15,41.0
 Tuesday -   November 7 -  2017=32454,3:30,61.0
 Tuesday -   November 7 -  2017=32454,3:45,63.0
 Tuesday -   November 7 -  2017=32454,4:0,50.0
 Tuesday -   November 7 -  2017=32454,4:15,66.0
 Tuesday -   November 7 -  2017=32454,4:30,84.0
 Tuesday -   November 7 -  2017=32454,4:45,116.0
 Tuesday -   November 7 -  2017=32454,5:0,120.0
 Tuesday -   November 7 -  2017=32454,5:15,187.0
 Tuesday -   November 7 -  2017=32454,5:30,218.0
 Tuesday -   November 7 -  2017=32454,5:45,220.0
 Tuesday -   November 7 -  2017=32454,6:0,271.0
 Tuesday -   November 7 -  2017=32454,6:15,341.0
 Tuesday -   November 7 -  2017=32454,6:30,309.0
 Tuesday -   November 7 -  2017=32454,6:45,333.0
 Tuesday -   November 7 -  2017=32454,7:0,346.0
 Tuesday -   November 7 -  2017=32454,7:15,369.0
 Tuesday -   November 7 -  2017=32454,7:30,443.0
 Tuesday -   November 7 -  2017=32454,7:45,450.0
 Tuesday -   November 7 -  2017=32454,8:0,463.0
 Tuesday -   November 7 -  2017=32454,8:15,375.0
 Tuesday -   November 7 -  2017=32454,8:30,446.0
 Tuesday -   November 7 -  2017=32454,8:45,383.0
 Tuesday -   November 7 -  2017=32454,9:0,356.0
 Tuesday -   November 7 -  2017=32454,9:15,391.0
 Tuesday -   November 7 -  2017=32454,9:30,408.0
