Day,Time,Count
 Tuesday -   November 7 -  2017=37876,0:0,72.0
 Tuesday -   November 7 -  2017=37876,0:15,53.0
 Tuesday -   November 7 -  2017=37876,0:30,58.0
 Tuesday -   November 7 -  2017=37876,0:45,43.0
 Tuesday -   November 7 -  2017=37876,1:0,46.0
 Tuesday -   November 7 -  2017=37876,1:15,63.0
 Tuesday -   November 7 -  2017=37876,1:30,56.0
 Tuesday -   November 7 -  2017=37876,1:45,40.0
 Tuesday -   November 7 -  2017=37876,2:0,48.0
 Tuesday -   November 7 -  2017=37876,2:15,55.0
 Tuesday -   November 7 -  2017=37876,2:30,73.0
 Tuesday -   November 7 -  2017=37876,2:45,91.0
 Tuesday -   November 7 -  2017=37876,3:0,119.0
 Tuesday -   November 7 -  2017=37876,3:15,123.0
 Tuesday -   November 7 -  2017=37876,3:30,189.0
 Tuesday -   November 7 -  2017=37876,3:45,233.0
 Tuesday -   November 7 -  2017=37876,4:0,317.0
 Tuesday -   November 7 -  2017=37876,4:15,414.0
 Tuesday -   November 7 -  2017=37876,4:30,466.0
 Tuesday -   November 7 -  2017=37876,4:45,477.0
 Tuesday -   November 7 -  2017=37876,5:0,376.0
 Tuesday -   November 7 -  2017=37876,5:15,395.0
 Tuesday -   November 7 -  2017=37876,5:30,413.0
 Tuesday -   November 7 -  2017=37876,5:45,644.0
 Tuesday -   November 7 -  2017=37876,6:0,665.0
 Tuesday -   November 7 -  2017=37876,6:15,654.0
 Tuesday -   November 7 -  2017=37876,6:30,760.0
 Tuesday -   November 7 -  2017=37876,6:45,716.0
 Tuesday -   November 7 -  2017=37876,7:0,742.0
 Tuesday -   November 7 -  2017=37876,7:15,724.0
 Tuesday -   November 7 -  2017=37876,7:30,756.0
 Tuesday -   November 7 -  2017=37876,7:45,720.0
 Tuesday -   November 7 -  2017=37876,8:0,709.0
 Tuesday -   November 7 -  2017=37876,8:15,686.0
 Tuesday -   November 7 -  2017=37876,8:30,722.0
 Tuesday -   November 7 -  2017=37876,8:45,685.0
 Tuesday -   November 7 -  2017=37876,9:0,684.0
 Tuesday -   November 7 -  2017=37876,9:15,671.0
 Tuesday -   November 7 -  2017=37876,9:30,690.0
 Tuesday -   November 7 -  2017=37876,9:45,632.0
 Tuesday -   November 7 -  2017=37876,10:0,600.0
 Tuesday -   November 7 -  2017=37876,10:15,599.0
 Tuesday -   November 7 -  2017=37876,10:30,587.0
 Tuesday -   November 7 -  2017=37876,10:45,568.0
 Tuesday -   November 7 -  2017=37876,11:0,524.0
 Tuesday -   November 7 -  2017=37876,11:15,528.0
 Tuesday -   November 7 -  2017=37876,11:30,490.0
 Tuesday -   November 7 -  2017=37876,11:45,507.0
 Tuesday -   November 7 -  2017=37876,12:0,489.0
 Tuesday -   November 7 -  2017=37876,12:15,460.0
 Tuesday -   November 7 -  2017=37876,12:30,535.0
 Tuesday -   November 7 -  2017=37876,12:45,504.0
 Tuesday -   November 7 -  2017=37876,13:0,487.0
 Tuesday -   November 7 -  2017=37876,13:15,561.0
 Tuesday -   November 7 -  2017=37876,13:30,511.0
 Tuesday -   November 7 -  2017=37876,13:45,430.0
 Tuesday -   November 7 -  2017=37876,14:0,438.0
 Tuesday -   November 7 -  2017=37876,14:15,504.0
 Tuesday -   November 7 -  2017=37876,14:30,522.0
 Tuesday -   November 7 -  2017=37876,14:45,464.0
 Tuesday -   November 7 -  2017=37876,15:0,450.0
 Tuesday -   November 7 -  2017=37876,15:15,459.0
 Tuesday -   November 7 -  2017=37876,15:30,411.0
 Tuesday -   November 7 -  2017=37876,15:45,461.0
