Day,Time,Count
 Tuesday -  November 7 -  2017 - Total=1535,0:0,2.0
 Tuesday -  November 7 -  2017 - Total=1535,0:15,0.0
 Tuesday -  November 7 -  2017 - Total=1535,0:30,0.0
 Tuesday -  November 7 -  2017 - Total=1535,0:45,1.0
 Tuesday -  November 7 -  2017 - Total=1535,1:0,0.0
 Tuesday -  November 7 -  2017 - Total=1535,1:15,0.0
 Tuesday -  November 7 -  2017 - Total=1535,1:30,1.0
 Tuesday -  November 7 -  2017 - Total=1535,1:45,0.0
 Tuesday -  November 7 -  2017 - Total=1535,2:0,0.0
 Tuesday -  November 7 -  2017 - Total=1535,2:15,0.0
 Tuesday -  November 7 -  2017 - Total=1535,2:30,0.0
 Tuesday -  November 7 -  2017 - Total=1535,2:45,0.0
 Tuesday -  November 7 -  2017 - Total=1535,3:0,0.0
 Tuesday -  November 7 -  2017 - Total=1535,3:15,0.0
 Tuesday -  November 7 -  2017 - Total=1535,3:30,0.0
 Tuesday -  November 7 -  2017 - Total=1535,3:45,0.0
 Tuesday -  November 7 -  2017 - Total=1535,4:0,0.0
 Tuesday -  November 7 -  2017 - Total=1535,4:15,0.0
 Tuesday -  November 7 -  2017 - Total=1535,4:30,0.0
 Tuesday -  November 7 -  2017 - Total=1535,4:45,0.0
 Tuesday -  November 7 -  2017 - Total=1535,5:0,0.0
 Tuesday -  November 7 -  2017 - Total=1535,5:15,0.0
 Tuesday -  November 7 -  2017 - Total=1535,5:30,1.0
 Tuesday -  November 7 -  2017 - Total=1535,5:45,1.0
 Tuesday -  November 7 -  2017 - Total=1535,6:0,4.0
 Tuesday -  November 7 -  2017 - Total=1535,6:15,4.0
 Tuesday -  November 7 -  2017 - Total=1535,6:30,3.0
 Tuesday -  November 7 -  2017 - Total=1535,6:45,8.0
 Tuesday -  November 7 -  2017 - Total=1535,7:0,4.0
 Tuesday -  November 7 -  2017 - Total=1535,7:15,8.0
 Tuesday -  November 7 -  2017 - Total=1535,7:30,13.0
 Tuesday -  November 7 -  2017 - Total=1535,7:45,33.0
 Tuesday -  November 7 -  2017 - Total=1535,8:0,90.0
 Tuesday -  November 7 -  2017 - Total=1535,8:15,117.0
 Tuesday -  November 7 -  2017 - Total=1535,8:30,15.0
 Tuesday -  November 7 -  2017 - Total=1535,8:45,14.0
 Tuesday -  November 7 -  2017 - Total=1535,9:0,9.0
 Tuesday -  November 7 -  2017 - Total=1535,9:15,19.0
 Tuesday -  November 7 -  2017 - Total=1535,9:30,7.0
 Tuesday -  November 7 -  2017 - Total=1535,9:45,9.0
 Tuesday -  November 7 -  2017 - Total=1535,10:0,10.0
 Tuesday -  November 7 -  2017 - Total=1535,10:15,8.0
 Tuesday -  November 7 -  2017 - Total=1535,10:30,10.0
 Tuesday -  November 7 -  2017 - Total=1535,10:45,8.0
 Tuesday -  November 7 -  2017 - Total=1535,11:0,14.0
 Tuesday -  November 7 -  2017 - Total=1535,11:15,14.0
 Tuesday -  November 7 -  2017 - Total=1535,11:30,28.0
 Tuesday -  November 7 -  2017 - Total=1535,11:45,15.0
 Tuesday -  November 7 -  2017 - Total=1535,12:0,13.0
 Tuesday -  November 7 -  2017 - Total=1535,12:15,18.0
 Tuesday -  November 7 -  2017 - Total=1535,12:30,14.0
 Tuesday -  November 7 -  2017 - Total=1535,12:45,13.0
 Tuesday -  November 7 -  2017 - Total=1535,13:0,22.0
 Tuesday -  November 7 -  2017 - Total=1535,13:15,16.0
 Tuesday -  November 7 -  2017 - Total=1535,13:30,16.0
 Tuesday -  November 7 -  2017 - Total=1535,13:45,15.0
 Tuesday -  November 7 -  2017 - Total=1535,14:0,15.0
 Tuesday -  November 7 -  2017 - Total=1535,14:15,23.0
 Tuesday -  November 7 -  2017 - Total=1535,14:30,0.0
 Tuesday -  November 7 -  2017 - Total=1535,14:45,27.0
 Tuesday -  November 7 -  2017 - Total=1535,15:0,32.0
 Tuesday -  November 7 -  2017 - Total=1535,15:15,32.0
 Tuesday -  November 7 -  2017 - Total=1535,15:30,26.0
 Tuesday -  November 7 -  2017 - Total=1535,15:45,37.0
 Tuesday -  November 7 -  2017 - Total=1535,16:0,39.0
 Tuesday -  November 7 -  2017 - Total=1535,16:15,32.0
 Tuesday -  November 7 -  2017 - Total=1535,16:30,56.0
 Tuesday -  November 7 -  2017 - Total=1535,16:45,36.0
 Tuesday -  November 7 -  2017 - Total=1535,17:0,39.0
 Tuesday -  November 7 -  2017 - Total=1535,17:15,48.0
 Tuesday -  November 7 -  2017 - Total=1535,17:30,34.0
 Tuesday -  November 7 -  2017 - Total=1535,17:45,37.0
 Tuesday -  November 7 -  2017 - Total=1535,18:0,48.0
 Tuesday -  November 7 -  2017 - Total=1535,18:15,52.0
 Tuesday -  November 7 -  2017 - Total=1535,18:30,39.0
 Tuesday -  November 7 -  2017 - Total=1535,18:45,45.0
 Tuesday -  November 7 -  2017 - Total=1535,19:0,37.0
 Tuesday -  November 7 -  2017 - Total=1535,19:15,22.0
 Tuesday -  November 7 -  2017 - Total=1535,19:30,28.0
 Tuesday -  November 7 -  2017 - Total=1535,19:45,25.0
 Tuesday -  November 7 -  2017 - Total=1535,20:0,16.0
 Tuesday -  November 7 -  2017 - Total=1535,20:15,16.0
 Tuesday -  November 7 -  2017 - Total=1535,20:30,18.0
 Tuesday -  November 7 -  2017 - Total=1535,20:45,12.0
 Tuesday -  November 7 -  2017 - Total=1535,21:0,15.0
 Tuesday -  November 7 -  2017 - Total=1535,21:15,8.0
 Tuesday -  November 7 -  2017 - Total=1535,21:30,7.0
 Tuesday -  November 7 -  2017 - Total=1535,21:45,5.0
 Tuesday -  November 7 -  2017 - Total=1535,22:0,7.0
 Tuesday -  November 7 -  2017 - Total=1535,22:15,6.0
 Tuesday -  November 7 -  2017 - Total=1535,22:30,2.0
 Tuesday -  November 7 -  2017 - Total=1535,22:45,3.0
 Tuesday -  November 7 -  2017 - Total=1535,23:0,5.0
 Tuesday -  November 7 -  2017 - Total=1535,23:15,2.0
 Tuesday -  November 7 -  2017 - Total=1535,23:30,4.0
 Tuesday -  November 7 -  2017 - Total=1535,23:45,3.0
 Wednesday -  November  8 -  2017 - Total=1531,0:0,0.0
 Wednesday -  November  8 -  2017 - Total=1531,0:15,1.0
 Wednesday -  November  8 -  2017 - Total=1531,0:30,2.0
 Wednesday -  November  8 -  2017 - Total=1531,0:45,1.0
 Wednesday -  November  8 -  2017 - Total=1531,1:0,0.0
 Wednesday -  November  8 -  2017 - Total=1531,1:15,0.0
 Wednesday -  November  8 -  2017 - Total=1531,1:30,2.0
 Wednesday -  November  8 -  2017 - Total=1531,1:45,1.0
 Wednesday -  November  8 -  2017 - Total=1531,2:0,0.0
 Wednesday -  November  8 -  2017 - Total=1531,2:15,0.0
 Wednesday -  November  8 -  2017 - Total=1531,2:30,1.0
 Wednesday -  November  8 -  2017 - Total=1531,2:45,0.0
 Wednesday -  November  8 -  2017 - Total=1531,3:0,0.0
 Wednesday -  November  8 -  2017 - Total=1531,3:15,0.0
 Wednesday -  November  8 -  2017 - Total=1531,3:30,0.0
 Wednesday -  November  8 -  2017 - Total=1531,3:45,0.0
 Wednesday -  November  8 -  2017 - Total=1531,4:0,0.0
 Wednesday -  November  8 -  2017 - Total=1531,4:15,0.0
 Wednesday -  November  8 -  2017 - Total=1531,4:30,0.0
 Wednesday -  November  8 -  2017 - Total=1531,4:45,0.0
 Wednesday -  November  8 -  2017 - Total=1531,5:0,1.0
 Wednesday -  November  8 -  2017 - Total=1531,5:15,1.0
 Wednesday -  November  8 -  2017 - Total=1531,5:30,0.0
 Wednesday -  November  8 -  2017 - Total=1531,5:45,4.0
 Wednesday -  November  8 -  2017 - Total=1531,6:0,3.0
 Wednesday -  November  8 -  2017 - Total=1531,6:15,1.0
 Wednesday -  November  8 -  2017 - Total=1531,6:30,6.0
 Wednesday -  November  8 -  2017 - Total=1531,6:45,6.0
 Wednesday -  November  8 -  2017 - Total=1531,7:0,4.0
 Wednesday -  November  8 -  2017 - Total=1531,7:15,7.0
 Wednesday -  November  8 -  2017 - Total=1531,7:30,22.0
 Wednesday -  November  8 -  2017 - Total=1531,7:45,31.0
 Wednesday -  November  8 -  2017 - Total=1531,8:0,101.0
 Wednesday -  November  8 -  2017 - Total=1531,8:15,119.0
 Wednesday -  November  8 -  2017 - Total=1531,8:30,24.0
 Wednesday -  November  8 -  2017 - Total=1531,8:45,13.0
 Wednesday -  November  8 -  2017 - Total=1531,9:0,8.0
 Wednesday -  November  8 -  2017 - Total=1531,9:15,11.0
 Wednesday -  November  8 -  2017 - Total=1531,9:30,11.0
 Wednesday -  November  8 -  2017 - Total=1531,9:45,12.0
 Wednesday -  November  8 -  2017 - Total=1531,10:0,13.0
 Wednesday -  November  8 -  2017 - Total=1531,10:15,6.0
 Wednesday -  November  8 -  2017 - Total=1531,10:30,13.0
 Wednesday -  November  8 -  2017 - Total=1531,10:45,8.0
 Wednesday -  November  8 -  2017 - Total=1531,11:0,7.0
 Wednesday -  November  8 -  2017 - Total=1531,11:15,18.0
 Wednesday -  November  8 -  2017 - Total=1531,11:30,31.0
 Wednesday -  November  8 -  2017 - Total=1531,11:45,18.0
 Wednesday -  November  8 -  2017 - Total=1531,12:0,16.0
 Wednesday -  November  8 -  2017 - Total=1531,12:15,23.0
 Wednesday -  November  8 -  2017 - Total=1531,12:30,20.0
 Wednesday -  November  8 -  2017 - Total=1531,12:45,19.0
 Wednesday -  November  8 -  2017 - Total=1531,13:0,0.0
 Wednesday -  November  8 -  2017 - Total=1531,13:15,54.0
 Wednesday -  November  8 -  2017 - Total=1531,13:30,21.0
 Wednesday -  November  8 -  2017 - Total=1531,13:45,27.0
 Wednesday -  November  8 -  2017 - Total=1531,14:0,23.0
 Wednesday -  November  8 -  2017 - Total=1531,14:15,21.0
 Wednesday -  November  8 -  2017 - Total=1531,14:30,24.0
 Wednesday -  November  8 -  2017 - Total=1531,14:45,24.0
 Wednesday -  November  8 -  2017 - Total=1531,15:0,32.0
 Wednesday -  November  8 -  2017 - Total=1531,15:15,20.0
 Wednesday -  November  8 -  2017 - Total=1531,15:30,24.0
 Wednesday -  November  8 -  2017 - Total=1531,15:45,32.0
 Wednesday -  November  8 -  2017 - Total=1531,16:0,25.0
 Wednesday -  November  8 -  2017 - Total=1531,16:15,20.0
 Wednesday -  November  8 -  2017 - Total=1531,16:30,37.0
 Wednesday -  November  8 -  2017 - Total=1531,16:45,24.0
 Wednesday -  November  8 -  2017 - Total=1531,17:0,35.0
 Wednesday -  November  8 -  2017 - Total=1531,17:15,39.0
 Wednesday -  November  8 -  2017 - Total=1531,17:30,37.0
 Wednesday -  November  8 -  2017 - Total=1531,17:45,45.0
 Wednesday -  November  8 -  2017 - Total=1531,18:0,34.0
 Wednesday -  November  8 -  2017 - Total=1531,18:15,43.0
 Wednesday -  November  8 -  2017 - Total=1531,18:30,34.0
 Wednesday -  November  8 -  2017 - Total=1531,18:45,39.0
 Wednesday -  November  8 -  2017 - Total=1531,19:0,26.0
 Wednesday -  November  8 -  2017 - Total=1531,19:15,16.0
 Wednesday -  November  8 -  2017 - Total=1531,19:30,28.0
 Wednesday -  November  8 -  2017 - Total=1531,19:45,25.0
 Wednesday -  November  8 -  2017 - Total=1531,20:0,13.0
 Wednesday -  November  8 -  2017 - Total=1531,20:15,15.0
 Wednesday -  November  8 -  2017 - Total=1531,20:30,15.0
 Wednesday -  November  8 -  2017 - Total=1531,20:45,13.0
 Wednesday -  November  8 -  2017 - Total=1531,21:0,13.0
 Wednesday -  November  8 -  2017 - Total=1531,21:15,8.0
 Wednesday -  November  8 -  2017 - Total=1531,21:30,15.0
 Wednesday -  November  8 -  2017 - Total=1531,21:45,7.0
 Wednesday -  November  8 -  2017 - Total=1531,22:0,9.0
 Wednesday -  November  8 -  2017 - Total=1531,22:15,6.0
 Wednesday -  November  8 -  2017 - Total=1531,22:30,5.0
 Wednesday -  November  8 -  2017 - Total=1531,22:45,6.0
 Wednesday -  November  8 -  2017 - Total=1531,23:0,2.0
 Wednesday -  November  8 -  2017 - Total=1531,23:15,7.0
 Wednesday -  November  8 -  2017 - Total=1531,23:30,1.0
 Wednesday -  November  8 -  2017 - Total=1531,23:45,2.0
 Thursday -  November 9 -  2017 -      Total=1552,0:0,2.0
 Thursday -  November 9 -  2017 -      Total=1552,0:15,0.0
 Thursday -  November 9 -  2017 -      Total=1552,0:30,0.0
 Thursday -  November 9 -  2017 -      Total=1552,0:45,0.0
 Thursday -  November 9 -  2017 -      Total=1552,1:0,1.0
 Thursday -  November 9 -  2017 -      Total=1552,1:15,0.0
 Thursday -  November 9 -  2017 -      Total=1552,1:30,0.0
 Thursday -  November 9 -  2017 -      Total=1552,1:45,1.0
 Thursday -  November 9 -  2017 -      Total=1552,2:0,1.0
 Thursday -  November 9 -  2017 -      Total=1552,2:15,0.0
 Thursday -  November 9 -  2017 -      Total=1552,2:30,0.0
 Thursday -  November 9 -  2017 -      Total=1552,2:45,1.0
 Thursday -  November 9 -  2017 -      Total=1552,3:0,0.0
 Thursday -  November 9 -  2017 -      Total=1552,3:15,0.0
