,Date,Time,WB,EB
0,2017-05-16 00:00:00,00:00:00,9,12
1,2017-05-16 00:00:00,00:15:00,8,10
2,2017-05-16 00:00:00,00:30:00,6,7
3,2017-05-16 00:00:00,00:45:00,4,6
4,2017-05-16 00:00:00,01:00:00,1,3
5,2017-05-16 00:00:00,01:15:00,1,3
6,2017-05-16 00:00:00,01:30:00,1,2
7,2017-05-16 00:00:00,01:45:00,2,3
8,2017-05-16 00:00:00,02:00:00,4,1
9,2017-05-16 00:00:00,02:15:00,1,6
10,2017-05-16 00:00:00,02:30:00,3,4
11,2017-05-16 00:00:00,02:45:00,2,1
12,2017-05-16 00:00:00,03:00:00,1,1
13,2017-05-16 00:00:00,03:15:00,2,3
14,2017-05-16 00:00:00,03:30:00,1,4
15,2017-05-16 00:00:00,03:45:00,6,2
16,2017-05-16 00:00:00,04:00:00,5,0
17,2017-05-16 00:00:00,04:15:00,13,5
18,2017-05-16 00:00:00,04:30:00,11,6
19,2017-05-16 00:00:00,04:45:00,16,2
20,2017-05-16 00:00:00,05:00:00,17,7
21,2017-05-16 00:00:00,05:15:00,29,4
22,2017-05-16 00:00:00,05:30:00,38,11
23,2017-05-16 00:00:00,05:45:00,61,13
24,2017-05-16 00:00:00,06:00:00,41,17
25,2017-05-16 00:00:00,06:15:00,66,29
26,2017-05-16 00:00:00,06:30:00,96,25
27,2017-05-16 00:00:00,06:45:00,109,50
28,2017-05-16 00:00:00,07:00:00,127,48
29,2017-05-16 00:00:00,07:15:00,167,67
30,2017-05-16 00:00:00,07:30:00,192,86
31,2017-05-16 00:00:00,07:45:00,232,124
32,2017-05-16 00:00:00,08:00:00,294,141
33,2017-05-16 00:00:00,08:15:00,285,106
34,2017-05-16 00:00:00,08:30:00,248,77
35,2017-05-16 00:00:00,08:45:00,232,82
36,2017-05-16 00:00:00,09:00:00,206,72
37,2017-05-16 00:00:00,09:15:00,138,63
38,2017-05-16 00:00:00,09:30:00,142,75
39,2017-05-16 00:00:00,09:45:00,124,73
40,2017-05-16 00:00:00,10:00:00,124,59
41,2017-05-16 00:00:00,10:15:00,116,56
42,2017-05-16 00:00:00,10:30:00,102,52
43,2017-05-16 00:00:00,10:45:00,100,69
44,2017-05-16 00:00:00,11:00:00,84,68
45,2017-05-16 00:00:00,11:15:00,76,74
46,2017-05-16 00:00:00,11:30:00,89,75
47,2017-05-16 00:00:00,11:45:00,97,85
48,2017-05-16 00:00:00,12:00:00,76,79
49,2017-05-16 00:00:00,12:15:00,75,75
50,2017-05-16 00:00:00,12:30:00,77,58
51,2017-05-16 00:00:00,12:45:00,93,91
52,2017-05-16 00:00:00,13:00:00,77,67
53,2017-05-16 00:00:00,13:15:00,68,78
54,2017-05-16 00:00:00,13:30:00,81,91
55,2017-05-16 00:00:00,13:45:00,88,106
56,2017-05-16 00:00:00,14:00:00,70,135
57,2017-05-16 00:00:00,14:15:00,80,163
58,2017-05-16 00:00:00,14:30:00,136,216
59,2017-05-16 00:00:00,14:45:00,123,261
60,2017-05-16 00:00:00,15:00:00,139,275
61,2017-05-16 00:00:00,15:15:00,140,244
62,2017-05-16 00:00:00,15:30:00,125,263
63,2017-05-16 00:00:00,15:45:00,126,267
64,2017-05-16 00:00:00,16:00:00,106,252
65,2017-05-16 00:00:00,16:15:00,124,302
66,2017-05-16 00:00:00,16:30:00,114,327
67,2017-05-16 00:00:00,16:45:00,118,293
68,2017-05-16 00:00:00,17:00:00,119,286
69,2017-05-16 00:00:00,17:15:00,134,334
70,2017-05-16 00:00:00,17:30:00,132,327
71,2017-05-16 00:00:00,17:45:00,128,306
72,2017-05-16 00:00:00,18:00:00,122,295
73,2017-05-16 00:00:00,18:15:00,119,252
74,2017-05-16 00:00:00,18:30:00,90,298
75,2017-05-16 00:00:00,18:45:00,87,281
76,2017-05-16 00:00:00,19:00:00,113,235
77,2017-05-16 00:00:00,19:15:00,92,192
78,2017-05-16 00:00:00,19:30:00,67,193
79,2017-05-16 00:00:00,19:45:00,71,135
80,2017-05-16 00:00:00,20:00:00,71,103
81,2017-05-16 00:00:00,20:15:00,46,103
82,2017-05-16 00:00:00,20:30:00,53,120
83,2017-05-16 00:00:00,20:45:00,43,82
84,2017-05-16 00:00:00,21:00:00,42,85
85,2017-05-16 00:00:00,21:15:00,34,49
86,2017-05-16 00:00:00,21:30:00,51,67
87,2017-05-16 00:00:00,21:45:00,28,53
88,2017-05-16 00:00:00,22:00:00,19,48
89,2017-05-16 00:00:00,22:15:00,11,41
90,2017-05-16 00:00:00,22:30:00,15,32
91,2017-05-16 00:00:00,22:45:00,14,21
92,2017-05-16 00:00:00,23:00:00,10,25
93,2017-05-16 00:00:00,23:15:00,6,18
94,2017-05-16 00:00:00,23:30:00,9,9
95,2017-05-16 00:00:00,23:45:00,7,14
96,2017-05-17 00:00:00,00:00:00,6,4
97,2017-05-17 00:00:00,00:15:00,5,4
98,2017-05-17 00:00:00,00:30:00,9,7
99,2017-05-17 00:00:00,00:45:00,1,3
100,2017-05-17 00:00:00,01:00:00,2,4
101,2017-05-17 00:00:00,01:15:00,1,1
102,2017-05-17 00:00:00,01:30:00,1,9
103,2017-05-17 00:00:00,01:45:00,1,0
104,2017-05-17 00:00:00,02:00:00,6,4
105,2017-05-17 00:00:00,02:15:00,4,8
106,2017-05-17 00:00:00,02:30:00,1,2
107,2017-05-17 00:00:00,02:45:00,2,2
108,2017-05-17 00:00:00,03:00:00,2,3
109,2017-05-17 00:00:00,03:15:00,2,1
110,2017-05-17 00:00:00,03:30:00,4,2
111,2017-05-17 00:00:00,03:45:00,6,7
112,2017-05-17 00:00:00,04:00:00,2,0
113,2017-05-17 00:00:00,04:15:00,11,2
114,2017-05-17 00:00:00,04:30:00,18,2
115,2017-05-17 00:00:00,04:45:00,12,8
116,2017-05-17 00:00:00,05:00:00,22,9
117,2017-05-17 00:00:00,05:15:00,20,10
118,2017-05-17 00:00:00,05:30:00,40,7
119,2017-05-17 00:00:00,05:45:00,55,19
120,2017-05-17 00:00:00,06:00:00,46,11
121,2017-05-17 00:00:00,06:15:00,58,26
122,2017-05-17 00:00:00,06:30:00,93,27
123,2017-05-17 00:00:00,06:45:00,118,37
124,2017-05-17 00:00:00,07:00:00,111,58
125,2017-05-17 00:00:00,07:15:00,173,61
126,2017-05-17 00:00:00,07:30:00,179,60
127,2017-05-17 00:00:00,07:45:00,209,90
128,2017-05-17 00:00:00,08:00:00,246,154
129,2017-05-17 00:00:00,08:15:00,276,112
130,2017-05-17 00:00:00,08:30:00,234,124
131,2017-05-17 00:00:00,08:45:00,218,97
132,2017-05-17 00:00:00,09:00:00,214,68
133,2017-05-17 00:00:00,09:15:00,158,80
134,2017-05-17 00:00:00,09:30:00,159,59
135,2017-05-17 00:00:00,09:45:00,134,70
136,2017-05-17 00:00:00,10:00:00,121,45
137,2017-05-17 00:00:00,10:15:00,90,49
138,2017-05-17 00:00:00,10:30:00,90,49
139,2017-05-17 00:00:00,10:45:00,89,52
140,2017-05-17 00:00:00,11:00:00,88,66
141,2017-05-17 00:00:00,11:15:00,96,80
142,2017-05-17 00:00:00,11:30:00,90,82
143,2017-05-17 00:00:00,11:45:00,111,87
144,2017-05-17 00:00:00,12:00:00,105,80
145,2017-05-17 00:00:00,12:15:00,65,90
146,2017-05-17 00:00:00,12:30:00,69,80
147,2017-05-17 00:00:00,12:45:00,90,89
148,2017-05-17 00:00:00,13:00:00,101,104
149,2017-05-17 00:00:00,13:15:00,78,165
150,2017-05-17 00:00:00,13:30:00,156,135
151,2017-05-17 00:00:00,13:45:00,106,122
152,2017-05-17 00:00:00,14:00:00,89,120
153,2017-05-17 00:00:00,14:15:00,82,137
154,2017-05-17 00:00:00,14:30:00,81,221
155,2017-05-17 00:00:00,14:45:00,74,221
156,2017-05-17 00:00:00,15:00:00,112,234
157,2017-05-17 00:00:00,15:15:00,139,234
158,2017-05-17 00:00:00,15:30:00,119,275
159,2017-05-17 00:00:00,15:45:00,100,246
160,2017-05-17 00:00:00,16:00:00,132,222
161,2017-05-17 00:00:00,16:15:00,140,268
162,2017-05-17 00:00:00,16:30:00,147,317
163,2017-05-17 00:00:00,16:45:00,133,234
164,2017-05-17 00:00:00,17:00:00,124,289
165,2017-05-17 00:00:00,17:15:00,141,249
166,2017-05-17 00:00:00,17:30:00,133,315
167,2017-05-17 00:00:00,17:45:00,131,312
168,2017-05-17 00:00:00,18:00:00,129,316
169,2017-05-17 00:00:00,18:15:00,114,301
170,2017-05-17 00:00:00,18:30:00,104,304
171,2017-05-17 00:00:00,18:45:00,83,256
172,2017-05-17 00:00:00,19:00:00,111,232
173,2017-05-17 00:00:00,19:15:00,105,190
174,2017-05-17 00:00:00,19:30:00,90,144
175,2017-05-17 00:00:00,19:45:00,78,123
176,2017-05-17 00:00:00,20:00:00,94,132
177,2017-05-17 00:00:00,20:15:00,65,116
178,2017-05-17 00:00:00,20:30:00,58,125
179,2017-05-17 00:00:00,20:45:00,40,113
180,2017-05-17 00:00:00,21:00:00,33,79
181,2017-05-17 00:00:00,21:15:00,44,75
182,2017-05-17 00:00:00,21:30:00,32,53
183,2017-05-17 00:00:00,21:45:00,37,57
184,2017-05-17 00:00:00,22:00:00,24,42
185,2017-05-17 00:00:00,22:15:00,18,32
186,2017-05-17 00:00:00,22:30:00,16,53
187,2017-05-17 00:00:00,22:45:00,14,27
188,2017-05-17 00:00:00,23:00:00,18,25
189,2017-05-17 00:00:00,23:15:00,8,22
190,2017-05-17 00:00:00,23:30:00,2,12
191,2017-05-17 00:00:00,23:45:00,6,12
192,2017-05-18 00:00:00,00:00:00,4,12
193,2017-05-18 00:00:00,00:15:00,1,7
194,2017-05-18 00:00:00,00:30:00,3,11
195,2017-05-18 00:00:00,00:45:00,4,4
196,2017-05-18 00:00:00,01:00:00,2,5
197,2017-05-18 00:00:00,01:15:00,4,8
198,2017-05-18 00:00:00,01:30:00,3,5
199,2017-05-18 00:00:00,01:45:00,4,3
200,2017-05-18 00:00:00,02:00:00,1,4
201,2017-05-18 00:00:00,02:15:00,1,3
202,2017-05-18 00:00:00,02:30:00,2,2
203,2017-05-18 00:00:00,02:45:00,4,6
204,2017-05-18 00:00:00,03:00:00,1,1
205,2017-05-18 00:00:00,03:15:00,1,2
206,2017-05-18 00:00:00,03:30:00,1,5
207,2017-05-18 00:00:00,03:45:00,5,4
208,2017-05-18 00:00:00,04:00:00,7,2
209,2017-05-18 00:00:00,04:15:00,10,5
210,2017-05-18 00:00:00,04:30:00,15,4
211,2017-05-18 00:00:00,04:45:00,15,2
212,2017-05-18 00:00:00,05:00:00,21,6
213,2017-05-18 00:00:00,05:15:00,31,10
214,2017-05-18 00:00:00,05:30:00,43,13
215,2017-05-18 00:00:00,05:45:00,51,21
216,2017-05-18 00:00:00,06:00:00,73,26
217,2017-05-18 00:00:00,06:15:00,68,26
218,2017-05-18 00:00:00,06:30:00,80,29
219,2017-05-18 00:00:00,06:45:00,117,43
220,2017-05-18 00:00:00,07:00:00,112,39
221,2017-05-18 00:00:00,07:15:00,153,60
222,2017-05-18 00:00:00,07:30:00,180,72
223,2017-05-18 00:00:00,07:45:00,187,126
224,2017-05-18 00:00:00,08:00:00,274,142
225,2017-05-18 00:00:00,08:15:00,251,114
226,2017-05-18 00:00:00,08:30:00,260,97
227,2017-05-18 00:00:00,08:45:00,190,63
228,2017-05-18 00:00:00,09:00:00,193,68
229,2017-05-18 00:00:00,09:15:00,170,54
230,2017-05-18 00:00:00,09:30:00,167,45
231,2017-05-18 00:00:00,09:45:00,112,61
232,2017-05-18 00:00:00,10:00:00,124,50
233,2017-05-18 00:00:00,10:15:00,115,66
234,2017-05-18 00:00:00,10:30:00,104,57
235,2017-05-18 00:00:00,10:45:00,84,65
236,2017-05-18 00:00:00,11:00:00,69,63
237,2017-05-18 00:00:00,11:15:00,80,81
238,2017-05-18 00:00:00,11:30:00,105,93
239,2017-05-18 00:00:00,11:45:00,98,81
240,2017-05-18 00:00:00,12:00:00,76,97
241,2017-05-18 00:00:00,12:15:00,92,76
242,2017-05-18 00:00:00,12:30:00,88,88
243,2017-05-18 00:00:00,12:45:00,69,88
244,2017-05-18 00:00:00,13:00:00,63,91
245,2017-05-18 00:00:00,13:15:00,82,76
246,2017-05-18 00:00:00,13:30:00,56,92
247,2017-05-18 00:00:00,13:45:00,59,113
248,2017-05-18 00:00:00,14:00:00,95,118
