,Date,Time,WB,EB
0,2017-05-16 00:00:00,00:00:00,1,14
1,2017-05-16 00:00:00,00:15:00,1,6
2,2017-05-16 00:00:00,00:30:00,3,6
3,2017-05-16 00:00:00,00:45:00,2,12
4,2017-05-16 00:00:00,01:00:00,2,0
5,2017-05-16 00:00:00,01:15:00,1,1
6,2017-05-16 00:00:00,01:30:00,5,7
7,2017-05-16 00:00:00,01:45:00,0,4
8,2017-05-16 00:00:00,02:00:00,1,1
9,2017-05-16 00:00:00,02:15:00,1,0
10,2017-05-16 00:00:00,02:30:00,2,2
11,2017-05-16 00:00:00,02:45:00,0,3
12,2017-05-16 00:00:00,03:00:00,1,2
13,2017-05-16 00:00:00,03:15:00,1,0
14,2017-05-16 00:00:00,03:30:00,0,3
15,2017-05-16 00:00:00,03:45:00,3,0
16,2017-05-16 00:00:00,04:00:00,0,0
17,2017-05-16 00:00:00,04:15:00,4,1
18,2017-05-16 00:00:00,04:30:00,2,2
19,2017-05-16 00:00:00,04:45:00,7,1
20,2017-05-16 00:00:00,05:00:00,8,2
21,2017-05-16 00:00:00,05:15:00,9,4
22,2017-05-16 00:00:00,05:30:00,9,3
23,2017-05-16 00:00:00,05:45:00,10,4
24,2017-05-16 00:00:00,06:00:00,17,7
25,2017-05-16 00:00:00,06:15:00,18,12
26,2017-05-16 00:00:00,06:30:00,23,19
27,2017-05-16 00:00:00,06:45:00,31,33
28,2017-05-16 00:00:00,07:00:00,47,20
29,2017-05-16 00:00:00,07:15:00,62,26
30,2017-05-16 00:00:00,07:30:00,131,41
31,2017-05-16 00:00:00,07:45:00,94,69
32,2017-05-16 00:00:00,08:00:00,74,96
33,2017-05-16 00:00:00,08:15:00,105,85
34,2017-05-16 00:00:00,08:30:00,84,71
35,2017-05-16 00:00:00,08:45:00,77,43
36,2017-05-16 00:00:00,09:00:00,81,50
37,2017-05-16 00:00:00,09:15:00,80,47
38,2017-05-16 00:00:00,09:30:00,63,52
39,2017-05-16 00:00:00,09:45:00,78,54
40,2017-05-16 00:00:00,10:00:00,81,54
41,2017-05-16 00:00:00,10:15:00,59,44
42,2017-05-16 00:00:00,10:30:00,61,41
43,2017-05-16 00:00:00,10:45:00,66,51
44,2017-05-16 00:00:00,11:00:00,70,53
45,2017-05-16 00:00:00,11:15:00,63,64
46,2017-05-16 00:00:00,11:30:00,65,64
47,2017-05-16 00:00:00,11:45:00,81,77
48,2017-05-16 00:00:00,12:00:00,68,74
49,2017-05-16 00:00:00,12:15:00,72,54
50,2017-05-16 00:00:00,12:30:00,64,66
51,2017-05-16 00:00:00,12:45:00,83,56
52,2017-05-16 00:00:00,13:00:00,50,63
53,2017-05-16 00:00:00,13:15:00,63,66
54,2017-05-16 00:00:00,13:30:00,77,75
55,2017-05-16 00:00:00,13:45:00,85,80
