,Date,Time,WB,EB
0,2017-05-16 00:00:00,00:00:00,2,5
1,2017-05-16 00:00:00,00:15:00,1,11
2,2017-05-16 00:00:00,00:30:00,1,3
3,2017-05-16 00:00:00,00:45:00,1,3
4,2017-05-16 00:00:00,01:00:00,2,2
5,2017-05-16 00:00:00,01:15:00,0,3
6,2017-05-16 00:00:00,01:30:00,1,1
7,2017-05-16 00:00:00,01:45:00,0,2
8,2017-05-16 00:00:00,02:00:00,0,1
9,2017-05-16 00:00:00,02:15:00,0,2
10,2017-05-16 00:00:00,02:30:00,1,1
11,2017-05-16 00:00:00,02:45:00,1,0
12,2017-05-16 00:00:00,03:00:00,0,0
13,2017-05-16 00:00:00,03:15:00,1,0
14,2017-05-16 00:00:00,03:30:00,0,1
15,2017-05-16 00:00:00,03:45:00,0,0
16,2017-05-16 00:00:00,04:00:00,3,0
17,2017-05-16 00:00:00,04:15:00,6,1
18,2017-05-16 00:00:00,04:30:00,7,1
19,2017-05-16 00:00:00,04:45:00,4,1
20,2017-05-16 00:00:00,05:00:00,10,4
21,2017-05-16 00:00:00,05:15:00,16,3
22,2017-05-16 00:00:00,05:30:00,13,0
23,2017-05-16 00:00:00,05:45:00,18,6
24,2017-05-16 00:00:00,06:00:00,25,2
25,2017-05-16 00:00:00,06:15:00,42,3
26,2017-05-16 00:00:00,06:30:00,56,15
27,2017-05-16 00:00:00,06:45:00,86,19
28,2017-05-16 00:00:00,07:00:00,77,24
29,2017-05-16 00:00:00,07:15:00,85,15
30,2017-05-16 00:00:00,07:30:00,212,28
31,2017-05-16 00:00:00,07:45:00,181,57
32,2017-05-16 00:00:00,08:00:00,148,114
33,2017-05-16 00:00:00,08:15:00,176,60
34,2017-05-16 00:00:00,08:30:00,161,31
35,2017-05-16 00:00:00,08:45:00,145,31
36,2017-05-16 00:00:00,09:00:00,107,26
37,2017-05-16 00:00:00,09:15:00,104,24
38,2017-05-16 00:00:00,09:30:00,109,39
39,2017-05-16 00:00:00,09:45:00,90,26
40,2017-05-16 00:00:00,10:00:00,65,35
41,2017-05-16 00:00:00,10:15:00,42,37
42,2017-05-16 00:00:00,10:30:00,52,21
43,2017-05-16 00:00:00,10:45:00,45,33
44,2017-05-16 00:00:00,11:00:00,67,47
45,2017-05-16 00:00:00,11:15:00,51,36
46,2017-05-16 00:00:00,11:30:00,50,33
47,2017-05-16 00:00:00,11:45:00,43,46
48,2017-05-16 00:00:00,12:00:00,50,66
49,2017-05-16 00:00:00,12:15:00,33,44
50,2017-05-16 00:00:00,12:30:00,32,39
51,2017-05-16 00:00:00,12:45:00,47,49
52,2017-05-16 00:00:00,13:00:00,53,52
53,2017-05-16 00:00:00,13:15:00,48,57
54,2017-05-16 00:00:00,13:30:00,34,42
55,2017-05-16 00:00:00,13:45:00,50,60
56,2017-05-16 00:00:00,14:00:00,47,55
57,2017-05-16 00:00:00,14:15:00,54,131
58,2017-05-16 00:00:00,14:30:00,63,145
59,2017-05-16 00:00:00,14:45:00,61,86
60,2017-05-16 00:00:00,15:00:00,85,140
61,2017-05-16 00:00:00,15:15:00,21,60
62,2017-05-16 00:00:00,15:30:00,31,70
63,2017-05-16 00:00:00,15:45:00,62,109
64,2017-05-16 00:00:00,16:00:00,57,132
65,2017-05-16 00:00:00,16:15:00,64,144
66,2017-05-16 00:00:00,16:30:00,56,136
67,2017-05-16 00:00:00,16:45:00,51,134
68,2017-05-16 00:00:00,17:00:00,67,134
69,2017-05-16 00:00:00,17:15:00,51,146
70,2017-05-16 00:00:00,17:30:00,61,146
71,2017-05-16 00:00:00,17:45:00,33,60
72,2017-05-16 00:00:00,18:00:00,23,55
73,2017-05-16 00:00:00,18:15:00,52,132
74,2017-05-16 00:00:00,18:30:00,52,146
75,2017-05-16 00:00:00,18:45:00,41,116
76,2017-05-16 00:00:00,19:00:00,48,100
77,2017-05-16 00:00:00,19:15:00,57,91
78,2017-05-16 00:00:00,19:30:00,55,101
79,2017-05-16 00:00:00,19:45:00,38,90
80,2017-05-16 00:00:00,20:00:00,32,82
