,Date,Time,NB,SB
0,2017-05-16 00:00:00,00:00:00,10,12
1,2017-05-16 00:00:00,00:15:00,6,9
2,2017-05-16 00:00:00,00:30:00,6,6
3,2017-05-16 00:00:00,00:45:00,9,6
4,2017-05-16 00:00:00,01:00:00,2,4
5,2017-05-16 00:00:00,01:15:00,3,0
6,2017-05-16 00:00:00,01:30:00,1,1
7,2017-05-16 00:00:00,01:45:00,4,4
8,2017-05-16 00:00:00,02:00:00,8,5
9,2017-05-16 00:00:00,02:15:00,3,4
10,2017-05-16 00:00:00,02:30:00,0,3
11,2017-05-16 00:00:00,02:45:00,1,1
12,2017-05-16 00:00:00,03:00:00,2,2
13,2017-05-16 00:00:00,03:15:00,0,4
14,2017-05-16 00:00:00,03:30:00,1,2
15,2017-05-16 00:00:00,03:45:00,2,5
16,2017-05-16 00:00:00,04:00:00,4,4
17,2017-05-16 00:00:00,04:15:00,3,3
18,2017-05-16 00:00:00,04:30:00,0,15
19,2017-05-16 00:00:00,04:45:00,4,16
20,2017-05-16 00:00:00,05:00:00,9,20
21,2017-05-16 00:00:00,05:15:00,8,27
22,2017-05-16 00:00:00,05:30:00,15,29
23,2017-05-16 00:00:00,05:45:00,24,59
24,2017-05-16 00:00:00,06:00:00,20,44
25,2017-05-16 00:00:00,06:15:00,20,75
26,2017-05-16 00:00:00,06:30:00,48,89
27,2017-05-16 00:00:00,06:45:00,51,122
28,2017-05-16 00:00:00,07:00:00,61,98
29,2017-05-16 00:00:00,07:15:00,54,144
30,2017-05-16 00:00:00,07:30:00,153,154
31,2017-05-16 00:00:00,07:45:00,268,233
32,2017-05-16 00:00:00,08:00:00,108,221
33,2017-05-16 00:00:00,08:15:00,119,190
34,2017-05-16 00:00:00,08:30:00,126,140
35,2017-05-16 00:00:00,08:45:00,86,173
36,2017-05-16 00:00:00,09:00:00,89,168
37,2017-05-16 00:00:00,09:15:00,68,126
38,2017-05-16 00:00:00,09:30:00,88,87
39,2017-05-16 00:00:00,09:45:00,75,95
40,2017-05-16 00:00:00,10:00:00,57,97
41,2017-05-16 00:00:00,10:15:00,74,85
42,2017-05-16 00:00:00,10:30:00,77,95
43,2017-05-16 00:00:00,10:45:00,83,77
44,2017-05-16 00:00:00,11:00:00,76,74
45,2017-05-16 00:00:00,11:15:00,79,79
46,2017-05-16 00:00:00,11:30:00,75,104
47,2017-05-16 00:00:00,11:45:00,86,104
48,2017-05-16 00:00:00,12:00:00,100,78
49,2017-05-16 00:00:00,12:15:00,88,97
50,2017-05-16 00:00:00,12:30:00,100,85
51,2017-05-16 00:00:00,12:45:00,92,75
52,2017-05-16 00:00:00,13:00:00,88,64
53,2017-05-16 00:00:00,13:15:00,107,70
54,2017-05-16 00:00:00,13:30:00,131,71
55,2017-05-16 00:00:00,13:45:00,139,60
56,2017-05-16 00:00:00,14:00:00,239,74
57,2017-05-16 00:00:00,14:15:00,271,69
58,2017-05-16 00:00:00,14:30:00,242,91
59,2017-05-16 00:00:00,14:45:00,249,92
60,2017-05-16 00:00:00,15:00:00,203,124
61,2017-05-16 00:00:00,15:15:00,164,123
62,2017-05-16 00:00:00,15:30:00,163,95
63,2017-05-16 00:00:00,15:45:00,163,81
64,2017-05-16 00:00:00,16:00:00,158,85
65,2017-05-16 00:00:00,16:15:00,140,66
66,2017-05-16 00:00:00,16:30:00,153,77
67,2017-05-16 00:00:00,16:45:00,151,67
68,2017-05-16 00:00:00,17:00:00,159,85
69,2017-05-16 00:00:00,17:15:00,169,104
70,2017-05-16 00:00:00,17:30:00,188,93
71,2017-05-16 00:00:00,17:45:00,222,87
72,2017-05-16 00:00:00,18:00:00,258,98
73,2017-05-16 00:00:00,18:15:00,279,103
74,2017-05-16 00:00:00,18:30:00,282,84
75,2017-05-16 00:00:00,18:45:00,275,83
76,2017-05-16 00:00:00,19:00:00,263,82
77,2017-05-16 00:00:00,19:15:00,166,70
78,2017-05-16 00:00:00,19:30:00,144,56
79,2017-05-16 00:00:00,19:45:00,100,52
80,2017-05-16 00:00:00,20:00:00,83,60
81,2017-05-16 00:00:00,20:15:00,79,38
82,2017-05-16 00:00:00,20:30:00,75,50
83,2017-05-16 00:00:00,20:45:00,65,37
84,2017-05-16 00:00:00,21:00:00,65,44
85,2017-05-16 00:00:00,21:15:00,44,40
86,2017-05-16 00:00:00,21:30:00,47,34
87,2017-05-16 00:00:00,21:45:00,45,30
88,2017-05-16 00:00:00,22:00:00,31,17
89,2017-05-16 00:00:00,22:15:00,19,21
90,2017-05-16 00:00:00,22:30:00,22,27
91,2017-05-16 00:00:00,22:45:00,22,19
92,2017-05-16 00:00:00,23:00:00,21,12
93,2017-05-16 00:00:00,23:15:00,14,12
