,Date,Time,NB,SB
0,2017-05-16 00:00:00,00:00:00,6,5
1,2017-05-16 00:00:00,00:15:00,6,7
2,2017-05-16 00:00:00,00:30:00,6,5
3,2017-05-16 00:00:00,00:45:00,5,5
4,2017-05-16 00:00:00,01:00:00,3,6
5,2017-05-16 00:00:00,01:15:00,4,3
6,2017-05-16 00:00:00,01:30:00,3,4
7,2017-05-16 00:00:00,01:45:00,0,2
8,2017-05-16 00:00:00,02:00:00,4,0
9,2017-05-16 00:00:00,02:15:00,4,3
10,2017-05-16 00:00:00,02:30:00,1,4
11,2017-05-16 00:00:00,02:45:00,2,1
12,2017-05-16 00:00:00,03:00:00,0,0
13,2017-05-16 00:00:00,03:15:00,1,2
14,2017-05-16 00:00:00,03:30:00,0,3
15,2017-05-16 00:00:00,03:45:00,1,7
16,2017-05-16 00:00:00,04:00:00,1,3
17,2017-05-16 00:00:00,04:15:00,1,3
18,2017-05-16 00:00:00,04:30:00,0,16
19,2017-05-16 00:00:00,04:45:00,3,15
20,2017-05-16 00:00:00,05:00:00,5,23
21,2017-05-16 00:00:00,05:15:00,4,25
22,2017-05-16 00:00:00,05:30:00,6,30
23,2017-05-16 00:00:00,05:45:00,15,54
24,2017-05-16 00:00:00,06:00:00,14,46
25,2017-05-16 00:00:00,06:15:00,13,74
26,2017-05-16 00:00:00,06:30:00,26,95
27,2017-05-16 00:00:00,06:45:00,49,124
28,2017-05-16 00:00:00,07:00:00,45,105
29,2017-05-16 00:00:00,07:15:00,42,117
30,2017-05-16 00:00:00,07:30:00,113,118
31,2017-05-16 00:00:00,07:45:00,160,205
32,2017-05-16 00:00:00,08:00:00,62,183
33,2017-05-16 00:00:00,08:15:00,97,178
34,2017-05-16 00:00:00,08:30:00,92,161
35,2017-05-16 00:00:00,08:45:00,64,180
36,2017-05-16 00:00:00,09:00:00,86,180
37,2017-05-16 00:00:00,09:15:00,64,153
38,2017-05-16 00:00:00,09:30:00,68,89
39,2017-05-16 00:00:00,09:45:00,64,92
40,2017-05-16 00:00:00,10:00:00,58,107
41,2017-05-16 00:00:00,10:15:00,62,88
42,2017-05-16 00:00:00,10:30:00,65,98
43,2017-05-16 00:00:00,10:45:00,79,71
44,2017-05-16 00:00:00,11:00:00,71,67
45,2017-05-16 00:00:00,11:15:00,71,74
46,2017-05-16 00:00:00,11:30:00,97,108
47,2017-05-16 00:00:00,11:45:00,76,110
48,2017-05-16 00:00:00,12:00:00,83,92
49,2017-05-16 00:00:00,12:15:00,80,80
50,2017-05-16 00:00:00,12:30:00,98,73
51,2017-05-16 00:00:00,12:45:00,85,67
52,2017-05-16 00:00:00,13:00:00,80,72
53,2017-05-16 00:00:00,13:15:00,110,80
54,2017-05-16 00:00:00,13:30:00,126,73
55,2017-05-16 00:00:00,13:45:00,126,49
56,2017-05-16 00:00:00,14:00:00,201,76
57,2017-05-16 00:00:00,14:15:00,131,70
58,2017-05-16 00:00:00,14:30:00,44,64
59,2017-05-16 00:00:00,14:45:00,97,60
60,2017-05-16 00:00:00,15:00:00,55,67
61,2017-05-16 00:00:00,15:15:00,68,103
62,2017-05-16 00:00:00,15:30:00,27,74
63,2017-05-16 00:00:00,15:45:00,20,74
64,2017-05-16 00:00:00,16:00:00,29,69
65,2017-05-16 00:00:00,16:15:00,34,52
66,2017-05-16 00:00:00,16:30:00,32,51
67,2017-05-16 00:00:00,16:45:00,26,49
68,2017-05-16 00:00:00,17:00:00,39,76
69,2017-05-16 00:00:00,17:15:00,44,79
70,2017-05-16 00:00:00,17:30:00,92,74
71,2017-05-16 00:00:00,17:45:00,153,96
72,2017-05-16 00:00:00,18:00:00,231,85
73,2017-05-16 00:00:00,18:15:00,241,99
74,2017-05-16 00:00:00,18:30:00,260,75
75,2017-05-16 00:00:00,18:45:00,235,85
76,2017-05-16 00:00:00,19:00:00,209,78
77,2017-05-16 00:00:00,19:15:00,162,68
78,2017-05-16 00:00:00,19:30:00,148,50
79,2017-05-16 00:00:00,19:45:00,119,47
80,2017-05-16 00:00:00,20:00:00,98,41
81,2017-05-16 00:00:00,20:15:00,94,45
82,2017-05-16 00:00:00,20:30:00,93,48
83,2017-05-16 00:00:00,20:45:00,97,48
84,2017-05-16 00:00:00,21:00:00,71,41
85,2017-05-16 00:00:00,21:15:00,56,33
86,2017-05-16 00:00:00,21:30:00,60,31
87,2017-05-16 00:00:00,21:45:00,63,26
88,2017-05-16 00:00:00,22:00:00,39,25
89,2017-05-16 00:00:00,22:15:00,21,17
90,2017-05-16 00:00:00,22:30:00,22,15
91,2017-05-16 00:00:00,22:45:00,19,15
92,2017-05-16 00:00:00,23:00:00,16,8
93,2017-05-16 00:00:00,23:15:00,17,6
94,2017-05-16 00:00:00,23:30:00,8,7
95,2017-05-16 00:00:00,23:45:00,11,9
96,2017-05-17 00:00:00,00:00:00,9,3
97,2017-05-17 00:00:00,00:15:00,6,8
98,2017-05-17 00:00:00,00:30:00,3,5
99,2017-05-17 00:00:00,00:45:00,4,7
100,2017-05-17 00:00:00,01:00:00,6,5
101,2017-05-17 00:00:00,01:15:00,1,4
102,2017-05-17 00:00:00,01:30:00,8,4
103,2017-05-17 00:00:00,01:45:00,3,3
104,2017-05-17 00:00:00,02:00:00,4,0
105,2017-05-17 00:00:00,02:15:00,2,1
106,2017-05-17 00:00:00,02:30:00,3,0
107,2017-05-17 00:00:00,02:45:00,2,2
108,2017-05-17 00:00:00,03:00:00,0,2
109,2017-05-17 00:00:00,03:15:00,1,0
110,2017-05-17 00:00:00,03:30:00,0,2
111,2017-05-17 00:00:00,03:45:00,2,5
112,2017-05-17 00:00:00,04:00:00,0,1
113,2017-05-17 00:00:00,04:15:00,1,6
114,2017-05-17 00:00:00,04:30:00,1,11
115,2017-05-17 00:00:00,04:45:00,1,11
116,2017-05-17 00:00:00,05:00:00,4,23
117,2017-05-17 00:00:00,05:15:00,4,27
118,2017-05-17 00:00:00,05:30:00,5,43
119,2017-05-17 00:00:00,05:45:00,10,36
120,2017-05-17 00:00:00,06:00:00,17,40
121,2017-05-17 00:00:00,06:15:00,23,64
122,2017-05-17 00:00:00,06:30:00,23,112
123,2017-05-17 00:00:00,06:45:00,31,121
124,2017-05-17 00:00:00,07:00:00,50,101
125,2017-05-17 00:00:00,07:15:00,35,108
126,2017-05-17 00:00:00,07:30:00,82,144
127,2017-05-17 00:00:00,07:45:00,101,186
128,2017-05-17 00:00:00,08:00:00,78,165
129,2017-05-17 00:00:00,08:15:00,112,174
130,2017-05-17 00:00:00,08:30:00,142,168
131,2017-05-17 00:00:00,08:45:00,121,203
132,2017-05-17 00:00:00,09:00:00,88,247
133,2017-05-17 00:00:00,09:15:00,81,172
134,2017-05-17 00:00:00,09:30:00,84,103
135,2017-05-17 00:00:00,09:45:00,52,99
136,2017-05-17 00:00:00,10:00:00,59,78
137,2017-05-17 00:00:00,10:15:00,58,82
138,2017-05-17 00:00:00,10:30:00,80,92
139,2017-05-17 00:00:00,10:45:00,101,102
140,2017-05-17 00:00:00,11:00:00,100,83
141,2017-05-17 00:00:00,11:15:00,100,97
142,2017-05-17 00:00:00,11:30:00,136,86
143,2017-05-17 00:00:00,11:45:00,121,84
144,2017-05-17 00:00:00,12:00:00,91,58
145,2017-05-17 00:00:00,12:15:00,77,67
146,2017-05-17 00:00:00,12:30:00,72,88
147,2017-05-17 00:00:00,12:45:00,75,92
148,2017-05-17 00:00:00,13:00:00,92,66
149,2017-05-17 00:00:00,13:15:00,83,73
150,2017-05-17 00:00:00,13:30:00,109,105
151,2017-05-17 00:00:00,13:45:00,138,66
152,2017-05-17 00:00:00,14:00:00,205,87
153,2017-05-17 00:00:00,14:15:00,76,66
154,2017-05-17 00:00:00,14:30:00,43,49
155,2017-05-17 00:00:00,14:45:00,22,50
156,2017-05-17 00:00:00,15:00:00,17,72
157,2017-05-17 00:00:00,15:15:00,24,66
158,2017-05-17 00:00:00,15:30:00,22,71
159,2017-05-17 00:00:00,15:45:00,31,65
160,2017-05-17 00:00:00,16:00:00,48,55
161,2017-05-17 00:00:00,16:15:00,40,34
162,2017-05-17 00:00:00,16:30:00,45,62
163,2017-05-17 00:00:00,16:45:00,59,58
164,2017-05-17 00:00:00,17:00:00,50,81
165,2017-05-17 00:00:00,17:15:00,90,87
166,2017-05-17 00:00:00,17:30:00,171,93
167,2017-05-17 00:00:00,17:45:00,160,78
168,2017-05-17 00:00:00,18:00:00,151,80
169,2017-05-17 00:00:00,18:15:00,160,86
170,2017-05-17 00:00:00,18:30:00,202,73
171,2017-05-17 00:00:00,18:45:00,229,66
172,2017-05-17 00:00:00,19:00:00,215,76
173,2017-05-17 00:00:00,19:15:00,139,79
174,2017-05-17 00:00:00,19:30:00,111,60
175,2017-05-17 00:00:00,19:45:00,92,58
176,2017-05-17 00:00:00,20:00:00,105,67
177,2017-05-17 00:00:00,20:15:00,90,40
178,2017-05-17 00:00:00,20:30:00,74,54
179,2017-05-17 00:00:00,20:45:00,73,36
180,2017-05-17 00:00:00,21:00:00,76,37
181,2017-05-17 00:00:00,21:15:00,50,38
182,2017-05-17 00:00:00,21:30:00,43,28
183,2017-05-17 00:00:00,21:45:00,27,26
184,2017-05-17 00:00:00,22:00:00,23,27
185,2017-05-17 00:00:00,22:15:00,41,18
186,2017-05-17 00:00:00,22:30:00,23,20
187,2017-05-17 00:00:00,22:45:00,29,19
188,2017-05-17 00:00:00,23:00:00,27,14
189,2017-05-17 00:00:00,23:15:00,22,14
190,2017-05-17 00:00:00,23:30:00,20,5
191,2017-05-17 00:00:00,23:45:00,20,11
192,2017-05-18 00:00:00,00:00:00,22,5
193,2017-05-18 00:00:00,00:15:00,28,7
194,2017-05-18 00:00:00,00:30:00,10,6
195,2017-05-18 00:00:00,00:45:00,9,4
196,2017-05-18 00:00:00,01:00:00,3,3
197,2017-05-18 00:00:00,01:15:00,7,3
198,2017-05-18 00:00:00,01:30:00,4,2
199,2017-05-18 00:00:00,01:45:00,4,2
200,2017-05-18 00:00:00,02:00:00,2,3
201,2017-05-18 00:00:00,02:15:00,1,2
202,2017-05-18 00:00:00,02:30:00,2,3
203,2017-05-18 00:00:00,02:45:00,3,1
204,2017-05-18 00:00:00,03:00:00,0,1
205,2017-05-18 00:00:00,03:15:00,3,1
206,2017-05-18 00:00:00,03:30:00,1,3
207,2017-05-18 00:00:00,03:45:00,1,4
208,2017-05-18 00:00:00,04:00:00,2,6
209,2017-05-18 00:00:00,04:15:00,0,4
210,2017-05-18 00:00:00,04:30:00,1,13
211,2017-05-18 00:00:00,04:45:00,2,15
212,2017-05-18 00:00:00,05:00:00,6,21
213,2017-05-18 00:00:00,05:15:00,6,30
214,2017-05-18 00:00:00,05:30:00,4,32
215,2017-05-18 00:00:00,05:45:00,19,47
216,2017-05-18 00:00:00,06:00:00,24,54
217,2017-05-18 00:00:00,06:15:00,15,67
218,2017-05-18 00:00:00,06:30:00,23,78
219,2017-05-18 00:00:00,06:45:00,37,108
220,2017-05-18 00:00:00,07:00:00,44,108
221,2017-05-18 00:00:00,07:15:00,45,116
222,2017-05-18 00:00:00,07:30:00,112,127
223,2017-05-18 00:00:00,07:45:00,145,195
224,2017-05-18 00:00:00,08:00:00,73,193
225,2017-05-18 00:00:00,08:15:00,101,160
226,2017-05-18 00:00:00,08:30:00,88,170
227,2017-05-18 00:00:00,08:45:00,97,161
228,2017-05-18 00:00:00,09:00:00,67,165
229,2017-05-18 00:00:00,09:15:00,72,195
230,2017-05-18 00:00:00,09:30:00,67,116
231,2017-05-18 00:00:00,09:45:00,68,115
232,2017-05-18 00:00:00,10:00:00,57,89
233,2017-05-18 00:00:00,10:15:00,48,73
234,2017-05-18 00:00:00,10:30:00,70,80
235,2017-05-18 00:00:00,10:45:00,93,85
236,2017-05-18 00:00:00,11:00:00,91,82
237,2017-05-18 00:00:00,11:15:00,89,69
238,2017-05-18 00:00:00,11:30:00,101,114
239,2017-05-18 00:00:00,11:45:00,115,121
240,2017-05-18 00:00:00,12:00:00,73,85
241,2017-05-18 00:00:00,12:15:00,87,90
242,2017-05-18 00:00:00,12:30:00,118,77
243,2017-05-18 00:00:00,12:45:00,79,73
244,2017-05-18 00:00:00,13:00:00,103,71
245,2017-05-18 00:00:00,13:15:00,99,68
246,2017-05-18 00:00:00,13:30:00,150,74
247,2017-05-18 00:00:00,13:45:00,194,68
248,2017-05-18 00:00:00,14:00:00,183,61
249,2017-05-18 00:00:00,14:15:00,91,58
250,2017-05-18 00:00:00,14:30:00,45,56
251,2017-05-18 00:00:00,14:45:00,25,55
252,2017-05-18 00:00:00,15:00:00,31,73
253,2017-05-18 00:00:00,15:15:00,65,88
254,2017-05-18 00:00:00,15:30:00,22,67
255,2017-05-18 00:00:00,15:45:00,32,51
256,2017-05-18 00:00:00,16:00:00,27,61
257,2017-05-18 00:00:00,16:15:00,29,52
258,2017-05-18 00:00:00,16:30:00,30,37
259,2017-05-18 00:00:00,16:45:00,37,56
260,2017-05-18 00:00:00,17:00:00,42,66
261,2017-05-18 00:00:00,17:15:00,36,69
262,2017-05-18 00:00:00,17:30:00,53,88
263,2017-05-18 00:00:00,17:45:00,35,69
264,2017-05-18 00:00:00,18:00:00,53,81
265,2017-05-18 00:00:00,18:15:00,91,75
266,2017-05-18 00:00:00,18:30:00,141,76
267,2017-05-18 00:00:00,18:45:00,209,108
268,2017-05-18 00:00:00,19:00:00,212,79
269,2017-05-18 00:00:00,19:15:00,194,70
270,2017-05-18 00:00:00,19:30:00,171,67
271,2017-05-18 00:00:00,19:45:00,161,49
272,2017-05-18 00:00:00,20:00:00,112,70
273,2017-05-18 00:00:00,20:15:00,119,48
274,2017-05-18 00:00:00,20:30:00,106,52
275,2017-05-18 00:00:00,20:45:00,76,50
276,2017-05-18 00:00:00,21:00:00,86,41
277,2017-05-18 00:00:00,21:15:00,50,36
278,2017-05-18 00:00:00,21:30:00,46,29
279,2017-05-18 00:00:00,21:45:00,53,26
280,2017-05-18 00:00:00,22:00:00,31,28
281,2017-05-18 00:00:00,22:15:00,24,20
282,2017-05-18 00:00:00,22:30:00,23,18
283,2017-05-18 00:00:00,22:45:00,26,19
284,2017-05-18 00:00:00,23:00:00,18,11
285,2017-05-18 00:00:00,23:15:00,19,13
286,2017-05-18 00:00:00,23:30:00,15,9
287,2017-05-18 00:00:00,23:45:00,19,15
