,Date,Time,NB,SB
0,2017-05-16 00:00:00,00:00:00,24,6
1,2017-05-16 00:00:00,00:15:00,9,4
2,2017-05-16 00:00:00,00:30:00,11,3
3,2017-05-16 00:00:00,00:45:00,4,4
4,2017-05-16 00:00:00,01:00:00,6,4
5,2017-05-16 00:00:00,01:15:00,4,3
6,2017-05-16 00:00:00,01:30:00,9,3
7,2017-05-16 00:00:00,01:45:00,7,10
8,2017-05-16 00:00:00,02:00:00,5,2
9,2017-05-16 00:00:00,02:15:00,10,3
10,2017-05-16 00:00:00,02:30:00,6,4
11,2017-05-16 00:00:00,02:45:00,4,3
12,2017-05-16 00:00:00,03:00:00,6,3
13,2017-05-16 00:00:00,03:15:00,8,3
14,2017-05-16 00:00:00,03:30:00,11,7
15,2017-05-16 00:00:00,03:45:00,5,19
16,2017-05-16 00:00:00,04:00:00,11,15
17,2017-05-16 00:00:00,04:15:00,7,32
18,2017-05-16 00:00:00,04:30:00,19,42
19,2017-05-16 00:00:00,04:45:00,24,50
20,2017-05-16 00:00:00,05:00:00,27,52
21,2017-05-16 00:00:00,05:15:00,21,88
22,2017-05-16 00:00:00,05:30:00,25,101
23,2017-05-16 00:00:00,05:45:00,49,114
24,2017-05-16 00:00:00,06:00:00,54,104
25,2017-05-16 00:00:00,06:15:00,63,113
26,2017-05-16 00:00:00,06:30:00,85,122
27,2017-05-16 00:00:00,06:45:00,60,139
28,2017-05-16 00:00:00,07:00:00,49,137
29,2017-05-16 00:00:00,07:15:00,58,152
30,2017-05-16 00:00:00,07:30:00,67,173
31,2017-05-16 00:00:00,07:45:00,81,248
32,2017-05-16 00:00:00,08:00:00,77,268
33,2017-05-16 00:00:00,08:15:00,66,262
34,2017-05-16 00:00:00,08:30:00,63,305
35,2017-05-16 00:00:00,08:45:00,77,269
36,2017-05-16 00:00:00,09:00:00,76,219
37,2017-05-16 00:00:00,09:15:00,73,178
38,2017-05-16 00:00:00,09:30:00,97,154
39,2017-05-16 00:00:00,09:45:00,78,176
40,2017-05-16 00:00:00,10:00:00,93,145
41,2017-05-16 00:00:00,10:15:00,69,122
42,2017-05-16 00:00:00,10:30:00,83,106
43,2017-05-16 00:00:00,10:45:00,74,97
44,2017-05-16 00:00:00,11:00:00,73,108
45,2017-05-16 00:00:00,11:15:00,93,118
46,2017-05-16 00:00:00,11:30:00,97,115
47,2017-05-16 00:00:00,11:45:00,99,121
