,Date,Time,NB,SB
0,2017-05-16 00:00:00,00:00:00,11,4
1,2017-05-16 00:00:00,00:15:00,9,2
2,2017-05-16 00:00:00,00:30:00,5,5
3,2017-05-16 00:00:00,00:45:00,8,3
4,2017-05-16 00:00:00,01:00:00,6,0
5,2017-05-16 00:00:00,01:15:00,0,2
6,2017-05-16 00:00:00,01:30:00,5,0
7,2017-05-16 00:00:00,01:45:00,3,1
8,2017-05-16 00:00:00,02:00:00,4,2
9,2017-05-16 00:00:00,02:15:00,2,2
10,2017-05-16 00:00:00,02:30:00,3,3
11,2017-05-16 00:00:00,02:45:00,5,2
12,2017-05-16 00:00:00,03:00:00,1,1
13,2017-05-16 00:00:00,03:15:00,1,1
14,2017-05-16 00:00:00,03:30:00,4,5
15,2017-05-16 00:00:00,03:45:00,2,6
16,2017-05-16 00:00:00,04:00:00,0,6
17,2017-05-16 00:00:00,04:15:00,2,15
18,2017-05-16 00:00:00,04:30:00,6,21
19,2017-05-16 00:00:00,04:45:00,5,22
20,2017-05-16 00:00:00,05:00:00,20,42
21,2017-05-16 00:00:00,05:15:00,13,52
22,2017-05-16 00:00:00,05:30:00,8,63
23,2017-05-16 00:00:00,05:45:00,25,94
24,2017-05-16 00:00:00,06:00:00,26,77
25,2017-05-16 00:00:00,06:15:00,23,101
26,2017-05-16 00:00:00,06:30:00,42,117
27,2017-05-16 00:00:00,06:45:00,48,141
28,2017-05-16 00:00:00,07:00:00,44,138
29,2017-05-16 00:00:00,07:15:00,54,217
30,2017-05-16 00:00:00,07:30:00,77,210
31,2017-05-16 00:00:00,07:45:00,97,298
32,2017-05-16 00:00:00,08:00:00,89,360
33,2017-05-16 00:00:00,08:15:00,94,367
34,2017-05-16 00:00:00,08:30:00,78,365
35,2017-05-16 00:00:00,08:45:00,88,330
36,2017-05-16 00:00:00,09:00:00,51,259
37,2017-05-16 00:00:00,09:15:00,69,230
38,2017-05-16 00:00:00,09:30:00,64,197
39,2017-05-16 00:00:00,09:45:00,73,192
40,2017-05-16 00:00:00,10:00:00,85,153
41,2017-05-16 00:00:00,10:15:00,69,140
42,2017-05-16 00:00:00,10:30:00,66,122
43,2017-05-16 00:00:00,10:45:00,75,132
44,2017-05-16 00:00:00,11:00:00,70,110
45,2017-05-16 00:00:00,11:15:00,103,114
46,2017-05-16 00:00:00,11:30:00,104,101
47,2017-05-16 00:00:00,11:45:00,107,114
48,2017-05-16 00:00:00,12:00:00,105,110
49,2017-05-16 00:00:00,12:15:00,100,107
50,2017-05-16 00:00:00,12:30:00,97,89
51,2017-05-16 00:00:00,12:45:00,128,93
52,2017-05-16 00:00:00,13:00:00,87,111
53,2017-05-16 00:00:00,13:15:00,110,114
54,2017-05-16 00:00:00,13:30:00,123,95
55,2017-05-16 00:00:00,13:45:00,149,94
56,2017-05-16 00:00:00,14:00:00,180,113
57,2017-05-16 00:00:00,14:15:00,213,91
58,2017-05-16 00:00:00,14:30:00,230,124
59,2017-05-16 00:00:00,14:45:00,249,115
60,2017-05-16 00:00:00,15:00:00,243,141
61,2017-05-16 00:00:00,15:15:00,296,170
62,2017-05-16 00:00:00,15:30:00,333,177
63,2017-05-16 00:00:00,15:45:00,297,137
64,2017-05-16 00:00:00,16:00:00,294,142
65,2017-05-16 00:00:00,16:15:00,324,136
66,2017-05-16 00:00:00,16:30:00,310,125
67,2017-05-16 00:00:00,16:45:00,309,142
68,2017-05-16 00:00:00,17:00:00,388,146
69,2017-05-16 00:00:00,17:15:00,410,149
70,2017-05-16 00:00:00,17:30:00,400,147
71,2017-05-16 00:00:00,17:45:00,394,142
72,2017-05-16 00:00:00,18:00:00,395,133
73,2017-05-16 00:00:00,18:15:00,370,117
74,2017-05-16 00:00:00,18:30:00,352,104
75,2017-05-16 00:00:00,18:45:00,362,106
76,2017-05-16 00:00:00,19:00:00,293,95
77,2017-05-16 00:00:00,19:15:00,286,103
78,2017-05-16 00:00:00,19:30:00,235,75
79,2017-05-16 00:00:00,19:45:00,171,70
80,2017-05-16 00:00:00,20:00:00,126,71
81,2017-05-16 00:00:00,20:15:00,114,52
82,2017-05-16 00:00:00,20:30:00,120,70
83,2017-05-16 00:00:00,20:45:00,110,40
84,2017-05-16 00:00:00,21:00:00,102,52
85,2017-05-16 00:00:00,21:15:00,68,51
86,2017-05-16 00:00:00,21:30:00,76,60
87,2017-05-16 00:00:00,21:45:00,60,29
88,2017-05-16 00:00:00,22:00:00,59,15
89,2017-05-16 00:00:00,22:15:00,43,23
90,2017-05-16 00:00:00,22:30:00,28,12
91,2017-05-16 00:00:00,22:45:00,26,13
92,2017-05-16 00:00:00,23:00:00,32,7
93,2017-05-16 00:00:00,23:15:00,26,4
94,2017-05-16 00:00:00,23:30:00,15,7
95,2017-05-16 00:00:00,23:45:00,13,3
96,2017-05-17 00:00:00,00:00:00,12,8
97,2017-05-17 00:00:00,00:15:00,3,6
98,2017-05-17 00:00:00,00:30:00,10,2
99,2017-05-17 00:00:00,00:45:00,6,4
100,2017-05-17 00:00:00,01:00:00,3,1
101,2017-05-17 00:00:00,01:15:00,4,0
102,2017-05-17 00:00:00,01:30:00,8,3
103,2017-05-17 00:00:00,01:45:00,2,3
104,2017-05-17 00:00:00,02:00:00,1,3
105,2017-05-17 00:00:00,02:15:00,4,2
106,2017-05-17 00:00:00,02:30:00,3,2
107,2017-05-17 00:00:00,02:45:00,3,1
108,2017-05-17 00:00:00,03:00:00,2,3
109,2017-05-17 00:00:00,03:15:00,2,1
110,2017-05-17 00:00:00,03:30:00,3,5
111,2017-05-17 00:00:00,03:45:00,7,8
112,2017-05-17 00:00:00,04:00:00,0,8
113,2017-05-17 00:00:00,04:15:00,1,14
114,2017-05-17 00:00:00,04:30:00,11,33
115,2017-05-17 00:00:00,04:45:00,13,31
116,2017-05-17 00:00:00,05:00:00,11,39
117,2017-05-17 00:00:00,05:15:00,11,42
118,2017-05-17 00:00:00,05:30:00,10,68
119,2017-05-17 00:00:00,05:45:00,26,92
120,2017-05-17 00:00:00,06:00:00,20,77
121,2017-05-17 00:00:00,06:15:00,22,110
122,2017-05-17 00:00:00,06:30:00,39,117
123,2017-05-17 00:00:00,06:45:00,50,151
124,2017-05-17 00:00:00,07:00:00,57,153
125,2017-05-17 00:00:00,07:15:00,45,186
126,2017-05-17 00:00:00,07:30:00,65,240
127,2017-05-17 00:00:00,07:45:00,111,278
128,2017-05-17 00:00:00,08:00:00,85,306
129,2017-05-17 00:00:00,08:15:00,64,294
130,2017-05-17 00:00:00,08:30:00,79,358
131,2017-05-17 00:00:00,08:45:00,89,261
132,2017-05-17 00:00:00,09:00:00,73,281
133,2017-05-17 00:00:00,09:15:00,67,207
134,2017-05-17 00:00:00,09:30:00,66,198
135,2017-05-17 00:00:00,09:45:00,65,160
136,2017-05-17 00:00:00,10:00:00,59,157
137,2017-05-17 00:00:00,10:15:00,80,156
138,2017-05-17 00:00:00,10:30:00,81,126
139,2017-05-17 00:00:00,10:45:00,67,144
140,2017-05-17 00:00:00,11:00:00,89,99
141,2017-05-17 00:00:00,11:15:00,94,114
142,2017-05-17 00:00:00,11:30:00,100,99
143,2017-05-17 00:00:00,11:45:00,107,123
144,2017-05-17 00:00:00,12:00:00,117,110
145,2017-05-17 00:00:00,12:15:00,115,109
146,2017-05-17 00:00:00,12:30:00,123,111
147,2017-05-17 00:00:00,12:45:00,111,113
148,2017-05-17 00:00:00,13:00:00,146,122
149,2017-05-17 00:00:00,13:15:00,128,143
150,2017-05-17 00:00:00,13:30:00,112,146
151,2017-05-17 00:00:00,13:45:00,155,115
152,2017-05-17 00:00:00,14:00:00,162,93
153,2017-05-17 00:00:00,14:15:00,174,106
154,2017-05-17 00:00:00,14:30:00,199,118
155,2017-05-17 00:00:00,14:45:00,216,137
156,2017-05-17 00:00:00,15:00:00,239,138
157,2017-05-17 00:00:00,15:15:00,291,148
158,2017-05-17 00:00:00,15:30:00,293,165
159,2017-05-17 00:00:00,15:45:00,259,135
160,2017-05-17 00:00:00,16:00:00,253,140
161,2017-05-17 00:00:00,16:15:00,282,157
162,2017-05-17 00:00:00,16:30:00,314,165
163,2017-05-17 00:00:00,16:45:00,286,170
164,2017-05-17 00:00:00,17:00:00,316,121
165,2017-05-17 00:00:00,17:15:00,314,145
166,2017-05-17 00:00:00,17:30:00,341,173
167,2017-05-17 00:00:00,17:45:00,401,140
168,2017-05-17 00:00:00,18:00:00,410,154
169,2017-05-17 00:00:00,18:15:00,428,146
170,2017-05-17 00:00:00,18:30:00,386,105
171,2017-05-17 00:00:00,18:45:00,353,88
172,2017-05-17 00:00:00,19:00:00,300,121
173,2017-05-17 00:00:00,19:15:00,274,98
174,2017-05-17 00:00:00,19:30:00,167,120
175,2017-05-17 00:00:00,19:45:00,189,91
176,2017-05-17 00:00:00,20:00:00,151,72
177,2017-05-17 00:00:00,20:15:00,159,64
178,2017-05-17 00:00:00,20:30:00,160,77
179,2017-05-17 00:00:00,20:45:00,144,47
180,2017-05-17 00:00:00,21:00:00,133,35
181,2017-05-17 00:00:00,21:15:00,93,47
182,2017-05-17 00:00:00,21:30:00,76,52
183,2017-05-17 00:00:00,21:45:00,59,35
184,2017-05-17 00:00:00,22:00:00,55,20
185,2017-05-17 00:00:00,22:15:00,46,19
186,2017-05-17 00:00:00,22:30:00,57,19
187,2017-05-17 00:00:00,22:45:00,40,10
188,2017-05-17 00:00:00,23:00:00,37,16
189,2017-05-17 00:00:00,23:15:00,17,6
190,2017-05-17 00:00:00,23:30:00,11,6
191,2017-05-17 00:00:00,23:45:00,17,3
192,2017-05-18 00:00:00,00:00:00,17,5
193,2017-05-18 00:00:00,00:15:00,11,2
194,2017-05-18 00:00:00,00:30:00,9,7
195,2017-05-18 00:00:00,00:45:00,8,2
196,2017-05-18 00:00:00,01:00:00,6,3
197,2017-05-18 00:00:00,01:15:00,6,2
198,2017-05-18 00:00:00,01:30:00,6,6
199,2017-05-18 00:00:00,01:45:00,2,5
200,2017-05-18 00:00:00,02:00:00,2,4
201,2017-05-18 00:00:00,02:15:00,3,1
202,2017-05-18 00:00:00,02:30:00,5,1
203,2017-05-18 00:00:00,02:45:00,5,1
204,2017-05-18 00:00:00,03:00:00,6,4
205,2017-05-18 00:00:00,03:15:00,2,3
206,2017-05-18 00:00:00,03:30:00,2,2
207,2017-05-18 00:00:00,03:45:00,3,8
208,2017-05-18 00:00:00,04:00:00,5,6
209,2017-05-18 00:00:00,04:15:00,6,23
210,2017-05-18 00:00:00,04:30:00,9,23
211,2017-05-18 00:00:00,04:45:00,8,29
212,2017-05-18 00:00:00,05:00:00,12,35
213,2017-05-18 00:00:00,05:15:00,16,54
214,2017-05-18 00:00:00,05:30:00,12,67
215,2017-05-18 00:00:00,05:45:00,19,84
216,2017-05-18 00:00:00,06:00:00,27,100
217,2017-05-18 00:00:00,06:15:00,33,109
218,2017-05-18 00:00:00,06:30:00,40,102
219,2017-05-18 00:00:00,06:45:00,59,154
220,2017-05-18 00:00:00,07:00:00,52,148
221,2017-05-18 00:00:00,07:15:00,43,185
222,2017-05-18 00:00:00,07:30:00,74,215
223,2017-05-18 00:00:00,07:45:00,87,289
224,2017-05-18 00:00:00,08:00:00,87,330
225,2017-05-18 00:00:00,08:15:00,65,312
226,2017-05-18 00:00:00,08:30:00,59,338
227,2017-05-18 00:00:00,08:45:00,68,315
228,2017-05-18 00:00:00,09:00:00,66,269
229,2017-05-18 00:00:00,09:15:00,57,204
230,2017-05-18 00:00:00,09:30:00,66,202
231,2017-05-18 00:00:00,09:45:00,62,179
232,2017-05-18 00:00:00,10:00:00,77,143
233,2017-05-18 00:00:00,10:15:00,71,139
234,2017-05-18 00:00:00,10:30:00,65,128
235,2017-05-18 00:00:00,10:45:00,69,108
236,2017-05-18 00:00:00,11:00:00,84,100
237,2017-05-18 00:00:00,11:15:00,90,86
238,2017-05-18 00:00:00,11:30:00,97,122
239,2017-05-18 00:00:00,11:45:00,97,117
240,2017-05-18 00:00:00,12:00:00,96,105
241,2017-05-18 00:00:00,12:15:00,109,91
242,2017-05-18 00:00:00,12:30:00,77,109
243,2017-05-18 00:00:00,12:45:00,105,86
244,2017-05-18 00:00:00,13:00:00,122,95
245,2017-05-18 00:00:00,13:15:00,113,103
246,2017-05-18 00:00:00,13:30:00,156,108
247,2017-05-18 00:00:00,13:45:00,147,96
248,2017-05-18 00:00:00,14:00:00,162,125
249,2017-05-18 00:00:00,14:15:00,177,102
250,2017-05-18 00:00:00,14:30:00,187,127
251,2017-05-18 00:00:00,14:45:00,211,130
252,2017-05-18 00:00:00,15:00:00,183,146
253,2017-05-18 00:00:00,15:15:00,265,155
254,2017-05-18 00:00:00,15:30:00,313,176
255,2017-05-18 00:00:00,15:45:00,233,148
256,2017-05-18 00:00:00,16:00:00,287,151
257,2017-05-18 00:00:00,16:15:00,305,157
258,2017-05-18 00:00:00,16:30:00,286,161
259,2017-05-18 00:00:00,16:45:00,297,152
260,2017-05-18 00:00:00,17:00:00,301,150
261,2017-05-18 00:00:00,17:15:00,288,165
262,2017-05-18 00:00:00,17:30:00,317,148
263,2017-05-18 00:00:00,17:45:00,329,157
264,2017-05-18 00:00:00,18:00:00,367,145
265,2017-05-18 00:00:00,18:15:00,401,131
266,2017-05-18 00:00:00,18:30:00,348,123
267,2017-05-18 00:00:00,18:45:00,364,100
268,2017-05-18 00:00:00,19:00:00,296,100
269,2017-05-18 00:00:00,19:15:00,254,102
270,2017-05-18 00:00:00,19:30:00,259,98
271,2017-05-18 00:00:00,19:45:00,176,81
272,2017-05-18 00:00:00,20:00:00,165,88
273,2017-05-18 00:00:00,20:15:00,159,71
274,2017-05-18 00:00:00,20:30:00,140,65
275,2017-05-18 00:00:00,20:45:00,110,47
276,2017-05-18 00:00:00,21:00:00,116,52
277,2017-05-18 00:00:00,21:15:00,82,39
278,2017-05-18 00:00:00,21:30:00,89,48
279,2017-05-18 00:00:00,21:45:00,78,41
280,2017-05-18 00:00:00,22:00:00,53,24
281,2017-05-18 00:00:00,22:15:00,47,25
282,2017-05-18 00:00:00,22:30:00,40,13
283,2017-05-18 00:00:00,22:45:00,45,11
284,2017-05-18 00:00:00,23:00:00,39,12
285,2017-05-18 00:00:00,23:15:00,18,11
286,2017-05-18 00:00:00,23:30:00,16,6
287,2017-05-18 00:00:00,23:45:00,22,2
