,Date,Time,WB,EB
0,2017-04-04 00:00:00,00:00:00,5,0
1,2017-04-04 00:00:00,00:15:00,2,0
2,2017-04-04 00:00:00,00:30:00,3,2
3,2017-04-04 00:00:00,00:45:00,4,1
4,2017-04-04 00:00:00,01:00:00,3,1
5,2017-04-04 00:00:00,01:15:00,2,0
6,2017-04-04 00:00:00,01:30:00,1,1
7,2017-04-04 00:00:00,01:45:00,1,1
8,2017-04-04 00:00:00,02:00:00,2,1
9,2017-04-04 00:00:00,02:15:00,5,1
10,2017-04-04 00:00:00,02:30:00,1,3
11,2017-04-04 00:00:00,02:45:00,4,2
12,2017-04-04 00:00:00,03:00:00,2,1
13,2017-04-04 00:00:00,03:15:00,0,2
14,2017-04-04 00:00:00,03:30:00,3,0
15,2017-04-04 00:00:00,03:45:00,2,1
16,2017-04-04 00:00:00,04:00:00,4,0
17,2017-04-04 00:00:00,04:15:00,3,2
18,2017-04-04 00:00:00,04:30:00,7,1
19,2017-04-04 00:00:00,04:45:00,17,4
20,2017-04-04 00:00:00,05:00:00,5,2
21,2017-04-04 00:00:00,05:15:00,2,2
22,2017-04-04 00:00:00,05:30:00,11,8
23,2017-04-04 00:00:00,05:45:00,10,6
24,2017-04-04 00:00:00,06:00:00,8,9
25,2017-04-04 00:00:00,06:15:00,11,12
26,2017-04-04 00:00:00,06:30:00,3,9
27,2017-04-04 00:00:00,06:45:00,14,20
28,2017-04-04 00:00:00,07:00:00,9,18
29,2017-04-04 00:00:00,07:15:00,27,22
30,2017-04-04 00:00:00,07:30:00,21,13
31,2017-04-04 00:00:00,07:45:00,11,22
32,2017-04-04 00:00:00,08:00:00,19,18
33,2017-04-04 00:00:00,08:15:00,29,23
34,2017-04-04 00:00:00,08:30:00,21,8
35,2017-04-04 00:00:00,08:45:00,26,22
36,2017-04-04 00:00:00,09:00:00,33,26
37,2017-04-04 00:00:00,09:15:00,26,16
38,2017-04-04 00:00:00,09:30:00,20,16
39,2017-04-04 00:00:00,09:45:00,20,19
40,2017-04-04 00:00:00,10:00:00,22,14
41,2017-04-04 00:00:00,10:15:00,17,9
42,2017-04-04 00:00:00,10:30:00,9,11
43,2017-04-04 00:00:00,10:45:00,23,15
44,2017-04-04 00:00:00,11:00:00,27,14
45,2017-04-04 00:00:00,11:15:00,12,7
46,2017-04-04 00:00:00,11:30:00,22,8
47,2017-04-04 00:00:00,11:45:00,18,19
48,2017-04-04 00:00:00,12:00:00,33,23
49,2017-04-04 00:00:00,12:15:00,21,15
50,2017-04-04 00:00:00,12:30:00,28,20
51,2017-04-04 00:00:00,12:45:00,25,14
52,2017-04-04 00:00:00,13:00:00,20,21
53,2017-04-04 00:00:00,13:15:00,26,17
54,2017-04-04 00:00:00,13:30:00,25,22
55,2017-04-04 00:00:00,13:45:00,18,20
56,2017-04-04 00:00:00,14:00:00,27,17
57,2017-04-04 00:00:00,14:15:00,13,22
58,2017-04-04 00:00:00,14:30:00,22,8
59,2017-04-04 00:00:00,14:45:00,23,17
60,2017-04-04 00:00:00,15:00:00,29,14
61,2017-04-04 00:00:00,15:15:00,15,13
62,2017-04-04 00:00:00,15:30:00,26,9
63,2017-04-04 00:00:00,15:45:00,29,13
64,2017-04-04 00:00:00,16:00:00,22,17
65,2017-04-04 00:00:00,16:15:00,19,8
66,2017-04-04 00:00:00,16:30:00,29,12
67,2017-04-04 00:00:00,16:45:00,23,17
68,2017-04-04 00:00:00,17:00:00,45,15
69,2017-04-04 00:00:00,17:15:00,28,19
70,2017-04-04 00:00:00,17:30:00,26,19
71,2017-04-04 00:00:00,17:45:00,21,16
72,2017-04-04 00:00:00,18:00:00,20,16
73,2017-04-04 00:00:00,18:15:00,11,12
74,2017-04-04 00:00:00,18:30:00,14,14
75,2017-04-04 00:00:00,18:45:00,20,13
76,2017-04-04 00:00:00,19:00:00,14,8
77,2017-04-04 00:00:00,19:15:00,9,9
78,2017-04-04 00:00:00,19:30:00,6,10
79,2017-04-04 00:00:00,19:45:00,5,7
80,2017-04-04 00:00:00,20:00:00,5,2
81,2017-04-04 00:00:00,20:15:00,4,3
82,2017-04-04 00:00:00,20:30:00,6,4
83,2017-04-04 00:00:00,20:45:00,4,4
84,2017-04-04 00:00:00,21:00:00,8,1
85,2017-04-04 00:00:00,21:15:00,5,3
86,2017-04-04 00:00:00,21:30:00,12,4
87,2017-04-04 00:00:00,21:45:00,1,7
88,2017-04-04 00:00:00,22:00:00,7,3
89,2017-04-04 00:00:00,22:15:00,6,6
90,2017-04-04 00:00:00,22:30:00,7,5
91,2017-04-04 00:00:00,22:45:00,4,2
92,2017-04-04 00:00:00,23:00:00,7,3
93,2017-04-04 00:00:00,23:15:00,3,2
94,2017-04-04 00:00:00,23:30:00,5,3
95,2017-04-04 00:00:00,23:45:00,6,0
96,2017-04-05 00:00:00,00:00:00,5,0
