,Date,Time,NB,SB
0,2017-05-16 00:00:00,00:00:00,2,2
1,2017-05-16 00:00:00,00:15:00,2,0
2,2017-05-16 00:00:00,00:30:00,2,1
3,2017-05-16 00:00:00,00:45:00,3,1
4,2017-05-16 00:00:00,01:00:00,0,0
5,2017-05-16 00:00:00,01:15:00,1,0
6,2017-05-16 00:00:00,01:30:00,2,2
7,2017-05-16 00:00:00,01:45:00,2,0
8,2017-05-16 00:00:00,02:00:00,0,1
9,2017-05-16 00:00:00,02:15:00,0,0
10,2017-05-16 00:00:00,02:30:00,1,0
11,2017-05-16 00:00:00,02:45:00,1,0
12,2017-05-16 00:00:00,03:00:00,0,0
13,2017-05-16 00:00:00,03:15:00,0,0
14,2017-05-16 00:00:00,03:30:00,0,0
15,2017-05-16 00:00:00,03:45:00,0,0
16,2017-05-16 00:00:00,04:00:00,0,2
17,2017-05-16 00:00:00,04:15:00,2,1
18,2017-05-16 00:00:00,04:30:00,1,3
19,2017-05-16 00:00:00,04:45:00,4,2
20,2017-05-16 00:00:00,05:00:00,1,5
21,2017-05-16 00:00:00,05:15:00,3,2
22,2017-05-16 00:00:00,05:30:00,2,6
23,2017-05-16 00:00:00,05:45:00,2,9
24,2017-05-16 00:00:00,06:00:00,2,10
25,2017-05-16 00:00:00,06:15:00,3,6
26,2017-05-16 00:00:00,06:30:00,4,13
27,2017-05-16 00:00:00,06:45:00,8,23
28,2017-05-16 00:00:00,07:00:00,14,16
29,2017-05-16 00:00:00,07:15:00,11,39
30,2017-05-16 00:00:00,07:30:00,54,41
31,2017-05-16 00:00:00,07:45:00,56,67
32,2017-05-16 00:00:00,08:00:00,52,87
33,2017-05-16 00:00:00,08:15:00,40,88
34,2017-05-16 00:00:00,08:30:00,26,68
35,2017-05-16 00:00:00,08:45:00,29,64
36,2017-05-16 00:00:00,09:00:00,20,59
37,2017-05-16 00:00:00,09:15:00,28,45
38,2017-05-16 00:00:00,09:30:00,25,40
39,2017-05-16 00:00:00,09:45:00,27,37
40,2017-05-16 00:00:00,10:00:00,23,28
41,2017-05-16 00:00:00,10:15:00,19,31
