,Date,Time,NB,SB
0,2017-05-16 00:00:00,00:00:00,0,0
1,2017-05-16 00:00:00,00:15:00,1,2
2,2017-05-16 00:00:00,00:30:00,0,0
3,2017-05-16 00:00:00,00:45:00,0,0
4,2017-05-16 00:00:00,01:00:00,1,0
5,2017-05-16 00:00:00,01:15:00,0,0
6,2017-05-16 00:00:00,01:30:00,0,1
7,2017-05-16 00:00:00,01:45:00,0,0
8,2017-05-16 00:00:00,02:00:00,0,0
9,2017-05-16 00:00:00,02:15:00,0,0
10,2017-05-16 00:00:00,02:30:00,0,1
11,2017-05-16 00:00:00,02:45:00,1,0
12,2017-05-16 00:00:00,03:00:00,0,0
13,2017-05-16 00:00:00,03:15:00,0,0
14,2017-05-16 00:00:00,03:30:00,0,0
15,2017-05-16 00:00:00,03:45:00,0,0
16,2017-05-16 00:00:00,04:00:00,1,0
17,2017-05-16 00:00:00,04:15:00,0,2
18,2017-05-16 00:00:00,04:30:00,0,1
19,2017-05-16 00:00:00,04:45:00,0,0
20,2017-05-16 00:00:00,05:00:00,0,1
21,2017-05-16 00:00:00,05:15:00,0,0
22,2017-05-16 00:00:00,05:30:00,1,2
23,2017-05-16 00:00:00,05:45:00,1,1
24,2017-05-16 00:00:00,06:00:00,2,1
25,2017-05-16 00:00:00,06:15:00,2,1
26,2017-05-16 00:00:00,06:30:00,2,1
27,2017-05-16 00:00:00,06:45:00,0,3
28,2017-05-16 00:00:00,07:00:00,5,4
29,2017-05-16 00:00:00,07:15:00,5,1
30,2017-05-16 00:00:00,07:30:00,23,8
31,2017-05-16 00:00:00,07:45:00,28,14
32,2017-05-16 00:00:00,08:00:00,30,15
33,2017-05-16 00:00:00,08:15:00,12,16
34,2017-05-16 00:00:00,08:30:00,9,11
35,2017-05-16 00:00:00,08:45:00,3,10
36,2017-05-16 00:00:00,09:00:00,11,9
37,2017-05-16 00:00:00,09:15:00,9,11
38,2017-05-16 00:00:00,09:30:00,7,1
39,2017-05-16 00:00:00,09:45:00,3,4
40,2017-05-16 00:00:00,10:00:00,2,8
41,2017-05-16 00:00:00,10:15:00,4,7
42,2017-05-16 00:00:00,10:30:00,2,4
43,2017-05-16 00:00:00,10:45:00,3,5
44,2017-05-16 00:00:00,11:00:00,3,3
45,2017-05-16 00:00:00,11:15:00,3,1
46,2017-05-16 00:00:00,11:30:00,8,5
47,2017-05-16 00:00:00,11:45:00,6,4
48,2017-05-16 00:00:00,12:00:00,7,4
49,2017-05-16 00:00:00,12:15:00,4,4
50,2017-05-16 00:00:00,12:30:00,9,6
51,2017-05-16 00:00:00,12:45:00,4,6
52,2017-05-16 00:00:00,13:00:00,4,6
53,2017-05-16 00:00:00,13:15:00,5,6
54,2017-05-16 00:00:00,13:30:00,6,7
55,2017-05-16 00:00:00,13:45:00,8,5
56,2017-05-16 00:00:00,14:00:00,8,8
57,2017-05-16 00:00:00,14:15:00,10,5
58,2017-05-16 00:00:00,14:30:00,17,8
59,2017-05-16 00:00:00,14:45:00,11,7
60,2017-05-16 00:00:00,15:00:00,14,23
61,2017-05-16 00:00:00,15:15:00,14,20
62,2017-05-16 00:00:00,15:30:00,9,14
63,2017-05-16 00:00:00,15:45:00,13,9
64,2017-05-16 00:00:00,16:00:00,6,16
65,2017-05-16 00:00:00,16:15:00,10,7
66,2017-05-16 00:00:00,16:30:00,7,9
67,2017-05-16 00:00:00,16:45:00,15,13
68,2017-05-16 00:00:00,17:00:00,4,7
69,2017-05-16 00:00:00,17:15:00,10,15
70,2017-05-16 00:00:00,17:30:00,14,10
71,2017-05-16 00:00:00,17:45:00,12,13
72,2017-05-16 00:00:00,18:00:00,13,16
73,2017-05-16 00:00:00,18:15:00,15,16
74,2017-05-16 00:00:00,18:30:00,11,10
75,2017-05-16 00:00:00,18:45:00,18,16
76,2017-05-16 00:00:00,19:00:00,8,9
77,2017-05-16 00:00:00,19:15:00,12,14
78,2017-05-16 00:00:00,19:30:00,11,6
79,2017-05-16 00:00:00,19:45:00,11,14
80,2017-05-16 00:00:00,20:00:00,9,10
81,2017-05-16 00:00:00,20:15:00,7,8
82,2017-05-16 00:00:00,20:30:00,10,10
83,2017-05-16 00:00:00,20:45:00,4,9
84,2017-05-16 00:00:00,21:00:00,7,7
85,2017-05-16 00:00:00,21:15:00,2,7
86,2017-05-16 00:00:00,21:30:00,2,3
87,2017-05-16 00:00:00,21:45:00,2,3
88,2017-05-16 00:00:00,22:00:00,4,0
89,2017-05-16 00:00:00,22:15:00,2,6
90,2017-05-16 00:00:00,22:30:00,1,3
91,2017-05-16 00:00:00,22:45:00,2,2
92,2017-05-16 00:00:00,23:00:00,6,1
93,2017-05-16 00:00:00,23:15:00,3,1
94,2017-05-16 00:00:00,23:30:00,2,4
95,2017-05-16 00:00:00,23:45:00,0,2
96,2017-05-17 00:00:00,00:00:00,0,2
97,2017-05-17 00:00:00,00:15:00,0,1
98,2017-05-17 00:00:00,00:30:00,2,1
99,2017-05-17 00:00:00,00:45:00,0,1
100,2017-05-17 00:00:00,01:00:00,0,0
101,2017-05-17 00:00:00,01:15:00,0,0
102,2017-05-17 00:00:00,01:30:00,0,0
103,2017-05-17 00:00:00,01:45:00,0,0
104,2017-05-17 00:00:00,02:00:00,0,1
105,2017-05-17 00:00:00,02:15:00,0,0
106,2017-05-17 00:00:00,02:30:00,1,0
107,2017-05-17 00:00:00,02:45:00,0,0
108,2017-05-17 00:00:00,03:00:00,0,0
109,2017-05-17 00:00:00,03:15:00,1,0
110,2017-05-17 00:00:00,03:30:00,0,0
111,2017-05-17 00:00:00,03:45:00,1,1
