,Date,Time,WB,EB
0,2017-05-16 00:00:00,00:00:00,0,0
1,2017-05-16 00:00:00,00:15:00,2,0
2,2017-05-16 00:00:00,00:30:00,0,2
3,2017-05-16 00:00:00,00:45:00,1,1
4,2017-05-16 00:00:00,01:00:00,0,0
5,2017-05-16 00:00:00,01:15:00,0,0
6,2017-05-16 00:00:00,01:30:00,0,1
7,2017-05-16 00:00:00,01:45:00,0,0
8,2017-05-16 00:00:00,02:00:00,0,0
9,2017-05-16 00:00:00,02:15:00,0,0
10,2017-05-16 00:00:00,02:30:00,0,0
11,2017-05-16 00:00:00,02:45:00,0,1
12,2017-05-16 00:00:00,03:00:00,0,0
13,2017-05-16 00:00:00,03:15:00,1,0
14,2017-05-16 00:00:00,03:30:00,0,0
15,2017-05-16 00:00:00,03:45:00,0,0
16,2017-05-16 00:00:00,04:00:00,0,0
17,2017-05-16 00:00:00,04:15:00,0,1
18,2017-05-16 00:00:00,04:30:00,1,0
19,2017-05-16 00:00:00,04:45:00,0,0
20,2017-05-16 00:00:00,05:00:00,0,0
21,2017-05-16 00:00:00,05:15:00,0,0
22,2017-05-16 00:00:00,05:30:00,1,1
23,2017-05-16 00:00:00,05:45:00,2,0
24,2017-05-16 00:00:00,06:00:00,4,0
25,2017-05-16 00:00:00,06:15:00,2,4
26,2017-05-16 00:00:00,06:30:00,1,3
27,2017-05-16 00:00:00,06:45:00,6,2
28,2017-05-16 00:00:00,07:00:00,1,4
29,2017-05-16 00:00:00,07:15:00,7,10
30,2017-05-16 00:00:00,07:30:00,9,11
31,2017-05-16 00:00:00,07:45:00,25,21
32,2017-05-16 00:00:00,08:00:00,18,27
33,2017-05-16 00:00:00,08:15:00,29,26
34,2017-05-16 00:00:00,08:30:00,14,8
35,2017-05-16 00:00:00,08:45:00,12,15
36,2017-05-16 00:00:00,09:00:00,9,16
37,2017-05-16 00:00:00,09:15:00,12,15
38,2017-05-16 00:00:00,09:30:00,10,13
39,2017-05-16 00:00:00,09:45:00,8,12
40,2017-05-16 00:00:00,10:00:00,10,7
41,2017-05-16 00:00:00,10:15:00,10,7
42,2017-05-16 00:00:00,10:30:00,11,8
43,2017-05-16 00:00:00,10:45:00,7,8
44,2017-05-16 00:00:00,11:00:00,9,14
45,2017-05-16 00:00:00,11:15:00,3,9
46,2017-05-16 00:00:00,11:30:00,12,16
47,2017-05-16 00:00:00,11:45:00,9,15
48,2017-05-16 00:00:00,12:00:00,9,10
49,2017-05-16 00:00:00,12:15:00,14,15
50,2017-05-16 00:00:00,12:30:00,10,13
51,2017-05-16 00:00:00,12:45:00,15,13
52,2017-05-16 00:00:00,13:00:00,17,5
53,2017-05-16 00:00:00,13:15:00,3,11
54,2017-05-16 00:00:00,13:30:00,7,15
55,2017-05-16 00:00:00,13:45:00,13,9
56,2017-05-16 00:00:00,14:00:00,19,17
57,2017-05-16 00:00:00,14:15:00,37,10
58,2017-05-16 00:00:00,14:30:00,43,14
59,2017-05-16 00:00:00,14:45:00,34,17
60,2017-05-16 00:00:00,15:00:00,37,25
61,2017-05-16 00:00:00,15:15:00,41,31
62,2017-05-16 00:00:00,15:30:00,41,22
63,2017-05-16 00:00:00,15:45:00,30,18
64,2017-05-16 00:00:00,16:00:00,35,20
65,2017-05-16 00:00:00,16:15:00,33,20
66,2017-05-16 00:00:00,16:30:00,40,15
67,2017-05-16 00:00:00,16:45:00,24,25
68,2017-05-16 00:00:00,17:00:00,33,18
69,2017-05-16 00:00:00,17:15:00,20,26
