,Date,Time,NB,SB
0,2017-05-16 00:00:00,00:00:00,11,14
1,2017-05-16 00:00:00,00:15:00,11,8
2,2017-05-16 00:00:00,00:30:00,10,11
3,2017-05-16 00:00:00,00:45:00,11,9
4,2017-05-16 00:00:00,01:00:00,6,16
5,2017-05-16 00:00:00,01:15:00,4,6
6,2017-05-16 00:00:00,01:30:00,4,5
7,2017-05-16 00:00:00,01:45:00,2,3
8,2017-05-16 00:00:00,02:00:00,8,1
9,2017-05-16 00:00:00,02:15:00,5,3
10,2017-05-16 00:00:00,02:30:00,1,4
11,2017-05-16 00:00:00,02:45:00,4,3
12,2017-05-16 00:00:00,03:00:00,0,4
13,2017-05-16 00:00:00,03:15:00,4,5
14,2017-05-16 00:00:00,03:30:00,4,4
15,2017-05-16 00:00:00,03:45:00,6,8
16,2017-05-16 00:00:00,04:00:00,11,10
17,2017-05-16 00:00:00,04:15:00,18,8
18,2017-05-16 00:00:00,04:30:00,29,14
19,2017-05-16 00:00:00,04:45:00,36,20
20,2017-05-16 00:00:00,05:00:00,39,29
21,2017-05-16 00:00:00,05:15:00,38,54
22,2017-05-16 00:00:00,05:30:00,82,52
23,2017-05-16 00:00:00,05:45:00,94,82
24,2017-05-16 00:00:00,06:00:00,99,68
25,2017-05-16 00:00:00,06:15:00,98,86
26,2017-05-16 00:00:00,06:30:00,134,154
27,2017-05-16 00:00:00,06:45:00,147,126
28,2017-05-16 00:00:00,07:00:00,150,133
29,2017-05-16 00:00:00,07:15:00,182,153
30,2017-05-16 00:00:00,07:30:00,233,156
31,2017-05-16 00:00:00,07:45:00,226,249
32,2017-05-16 00:00:00,08:00:00,212,277
33,2017-05-16 00:00:00,08:15:00,182,231
34,2017-05-16 00:00:00,08:30:00,173,236
35,2017-05-16 00:00:00,08:45:00,171,250
36,2017-05-16 00:00:00,09:00:00,148,267
37,2017-05-16 00:00:00,09:15:00,134,185
38,2017-05-16 00:00:00,09:30:00,117,188
39,2017-05-16 00:00:00,09:45:00,137,185
40,2017-05-16 00:00:00,10:00:00,121,159
41,2017-05-16 00:00:00,10:15:00,93,153
42,2017-05-16 00:00:00,10:30:00,98,122
43,2017-05-16 00:00:00,10:45:00,93,129
44,2017-05-16 00:00:00,11:00:00,109,129
45,2017-05-16 00:00:00,11:15:00,112,158
46,2017-05-16 00:00:00,11:30:00,111,154
47,2017-05-16 00:00:00,11:45:00,144,154
48,2017-05-16 00:00:00,12:00:00,121,196
49,2017-05-16 00:00:00,12:15:00,132,150
50,2017-05-16 00:00:00,12:30:00,143,158
51,2017-05-16 00:00:00,12:45:00,174,138
52,2017-05-16 00:00:00,13:00:00,174,146
53,2017-05-16 00:00:00,13:15:00,179,136
54,2017-05-16 00:00:00,13:30:00,154,155
55,2017-05-16 00:00:00,13:45:00,182,135
56,2017-05-16 00:00:00,14:00:00,173,129
57,2017-05-16 00:00:00,14:15:00,217,122
58,2017-05-16 00:00:00,14:30:00,272,193
59,2017-05-16 00:00:00,14:45:00,295,192
60,2017-05-16 00:00:00,15:00:00,320,174
61,2017-05-16 00:00:00,15:15:00,305,253
62,2017-05-16 00:00:00,15:30:00,285,304
63,2017-05-16 00:00:00,15:45:00,328,207
64,2017-05-16 00:00:00,16:00:00,308,212
65,2017-05-16 00:00:00,16:15:00,331,167
66,2017-05-16 00:00:00,16:30:00,320,240
67,2017-05-16 00:00:00,16:45:00,362,217
68,2017-05-16 00:00:00,17:00:00,341,287
69,2017-05-16 00:00:00,17:15:00,348,250
70,2017-05-16 00:00:00,17:30:00,356,241
71,2017-05-16 00:00:00,17:45:00,353,239
