,Date,Time,NB,SB
0,2017-05-16 00:00:00,00:00:00,13,10
1,2017-05-16 00:00:00,00:15:00,9,9
2,2017-05-16 00:00:00,00:30:00,10,9
3,2017-05-16 00:00:00,00:45:00,8,8
4,2017-05-16 00:00:00,01:00:00,8,7
5,2017-05-16 00:00:00,01:15:00,4,5
6,2017-05-16 00:00:00,01:30:00,4,4
7,2017-05-16 00:00:00,01:45:00,2,4
8,2017-05-16 00:00:00,02:00:00,6,0
9,2017-05-16 00:00:00,02:15:00,2,2
10,2017-05-16 00:00:00,02:30:00,0,2
11,2017-05-16 00:00:00,02:45:00,3,2
12,2017-05-16 00:00:00,03:00:00,2,1
13,2017-05-16 00:00:00,03:15:00,4,4
14,2017-05-16 00:00:00,03:30:00,3,2
15,2017-05-16 00:00:00,03:45:00,4,9
16,2017-05-16 00:00:00,04:00:00,9,7
17,2017-05-16 00:00:00,04:15:00,15,7
18,2017-05-16 00:00:00,04:30:00,24,15
19,2017-05-16 00:00:00,04:45:00,32,15
20,2017-05-16 00:00:00,05:00:00,35,32
21,2017-05-16 00:00:00,05:15:00,29,61
22,2017-05-16 00:00:00,05:30:00,44,62
23,2017-05-16 00:00:00,05:45:00,74,83
24,2017-05-16 00:00:00,06:00:00,78,66
25,2017-05-16 00:00:00,06:15:00,77,89
26,2017-05-16 00:00:00,06:30:00,122,104
27,2017-05-16 00:00:00,06:45:00,140,128
28,2017-05-16 00:00:00,07:00:00,136,136
29,2017-05-16 00:00:00,07:15:00,158,150
30,2017-05-16 00:00:00,07:30:00,204,153
31,2017-05-16 00:00:00,07:45:00,195,245
32,2017-05-16 00:00:00,08:00:00,174,291
33,2017-05-16 00:00:00,08:15:00,154,231
34,2017-05-16 00:00:00,08:30:00,156,230
35,2017-05-16 00:00:00,08:45:00,139,255
36,2017-05-16 00:00:00,09:00:00,128,272
37,2017-05-16 00:00:00,09:15:00,134,175
38,2017-05-16 00:00:00,09:30:00,102,209
39,2017-05-16 00:00:00,09:45:00,118,185
40,2017-05-16 00:00:00,10:00:00,109,166
41,2017-05-16 00:00:00,10:15:00,88,146
42,2017-05-16 00:00:00,10:30:00,90,119
43,2017-05-16 00:00:00,10:45:00,85,119
44,2017-05-16 00:00:00,11:00:00,94,115
45,2017-05-16 00:00:00,11:15:00,98,151
46,2017-05-16 00:00:00,11:30:00,106,144
47,2017-05-16 00:00:00,11:45:00,131,147
48,2017-05-16 00:00:00,12:00:00,111,173
49,2017-05-16 00:00:00,12:15:00,111,141
50,2017-05-16 00:00:00,12:30:00,133,133
51,2017-05-16 00:00:00,12:45:00,152,141
52,2017-05-16 00:00:00,13:00:00,148,127
53,2017-05-16 00:00:00,13:15:00,165,125
54,2017-05-16 00:00:00,13:30:00,143,126
55,2017-05-16 00:00:00,13:45:00,166,117
56,2017-05-16 00:00:00,14:00:00,148,128
57,2017-05-16 00:00:00,14:15:00,200,124
58,2017-05-16 00:00:00,14:30:00,252,178
59,2017-05-16 00:00:00,14:45:00,295,173
60,2017-05-16 00:00:00,15:00:00,328,151
61,2017-05-16 00:00:00,15:15:00,289,236
62,2017-05-16 00:00:00,15:30:00,283,275
63,2017-05-16 00:00:00,15:45:00,332,193
64,2017-05-16 00:00:00,16:00:00,288,177
65,2017-05-16 00:00:00,16:15:00,301,143
66,2017-05-16 00:00:00,16:30:00,325,200
67,2017-05-16 00:00:00,16:45:00,330,199
68,2017-05-16 00:00:00,17:00:00,347,255
69,2017-05-16 00:00:00,17:15:00,332,237
70,2017-05-16 00:00:00,17:30:00,367,203
71,2017-05-16 00:00:00,17:45:00,346,214
72,2017-05-16 00:00:00,18:00:00,360,308
73,2017-05-16 00:00:00,18:15:00,323,248
74,2017-05-16 00:00:00,18:30:00,308,236
75,2017-05-16 00:00:00,18:45:00,245,174
76,2017-05-16 00:00:00,19:00:00,211,206
77,2017-05-16 00:00:00,19:15:00,177,154
78,2017-05-16 00:00:00,19:30:00,164,148
79,2017-05-16 00:00:00,19:45:00,137,95
80,2017-05-16 00:00:00,20:00:00,105,107
81,2017-05-16 00:00:00,20:15:00,79,98
82,2017-05-16 00:00:00,20:30:00,85,85
83,2017-05-16 00:00:00,20:45:00,81,82
84,2017-05-16 00:00:00,21:00:00,56,60
85,2017-05-16 00:00:00,21:15:00,56,77
86,2017-05-16 00:00:00,21:30:00,52,84
87,2017-05-16 00:00:00,21:45:00,56,125
88,2017-05-16 00:00:00,22:00:00,44,38
89,2017-05-16 00:00:00,22:15:00,46,41
90,2017-05-16 00:00:00,22:30:00,27,47
91,2017-05-16 00:00:00,22:45:00,28,38
92,2017-05-16 00:00:00,23:00:00,31,24
93,2017-05-16 00:00:00,23:15:00,23,10
94,2017-05-16 00:00:00,23:30:00,15,7
95,2017-05-16 00:00:00,23:45:00,13,17
96,2017-05-17 00:00:00,00:00:00,16,11
97,2017-05-17 00:00:00,00:15:00,8,11
98,2017-05-17 00:00:00,00:30:00,10,6
99,2017-05-17 00:00:00,00:45:00,3,13
100,2017-05-17 00:00:00,01:00:00,12,9
101,2017-05-17 00:00:00,01:15:00,2,2
102,2017-05-17 00:00:00,01:30:00,8,5
103,2017-05-17 00:00:00,01:45:00,3,4
104,2017-05-17 00:00:00,02:00:00,1,2
105,2017-05-17 00:00:00,02:15:00,3,4
106,2017-05-17 00:00:00,02:30:00,4,2
107,2017-05-17 00:00:00,02:45:00,2,2
108,2017-05-17 00:00:00,03:00:00,6,4
109,2017-05-17 00:00:00,03:15:00,2,2
110,2017-05-17 00:00:00,03:30:00,8,5
111,2017-05-17 00:00:00,03:45:00,4,4
112,2017-05-17 00:00:00,04:00:00,11,5
113,2017-05-17 00:00:00,04:15:00,13,5
114,2017-05-17 00:00:00,04:30:00,24,16
115,2017-05-17 00:00:00,04:45:00,25,13
116,2017-05-17 00:00:00,05:00:00,22,42
117,2017-05-17 00:00:00,05:15:00,34,67
118,2017-05-17 00:00:00,05:30:00,49,63
119,2017-05-17 00:00:00,05:45:00,73,68
120,2017-05-17 00:00:00,06:00:00,65,67
121,2017-05-17 00:00:00,06:15:00,92,100
122,2017-05-17 00:00:00,06:30:00,113,90
123,2017-05-17 00:00:00,06:45:00,146,132
124,2017-05-17 00:00:00,07:00:00,121,109
125,2017-05-17 00:00:00,07:15:00,151,167
126,2017-05-17 00:00:00,07:30:00,200,143
127,2017-05-17 00:00:00,07:45:00,218,258
128,2017-05-17 00:00:00,08:00:00,161,254
129,2017-05-17 00:00:00,08:15:00,176,261
130,2017-05-17 00:00:00,08:30:00,162,243
131,2017-05-17 00:00:00,08:45:00,150,235
132,2017-05-17 00:00:00,09:00:00,142,242
133,2017-05-17 00:00:00,09:15:00,114,206
134,2017-05-17 00:00:00,09:30:00,100,175
135,2017-05-17 00:00:00,09:45:00,106,167
136,2017-05-17 00:00:00,10:00:00,86,152
137,2017-05-17 00:00:00,10:15:00,104,145
138,2017-05-17 00:00:00,10:30:00,87,131
139,2017-05-17 00:00:00,10:45:00,86,172
140,2017-05-17 00:00:00,11:00:00,96,138
141,2017-05-17 00:00:00,11:15:00,101,130
142,2017-05-17 00:00:00,11:30:00,100,158
143,2017-05-17 00:00:00,11:45:00,127,138
144,2017-05-17 00:00:00,12:00:00,114,209
145,2017-05-17 00:00:00,12:15:00,125,176
146,2017-05-17 00:00:00,12:30:00,168,136
147,2017-05-17 00:00:00,12:45:00,163,134
148,2017-05-17 00:00:00,13:00:00,135,129
149,2017-05-17 00:00:00,13:15:00,165,137
150,2017-05-17 00:00:00,13:30:00,185,174
151,2017-05-17 00:00:00,13:45:00,159,156
152,2017-05-17 00:00:00,14:00:00,177,143
153,2017-05-17 00:00:00,14:15:00,206,120
154,2017-05-17 00:00:00,14:30:00,191,182
155,2017-05-17 00:00:00,14:45:00,278,221
156,2017-05-17 00:00:00,15:00:00,242,184
157,2017-05-17 00:00:00,15:15:00,249,157
158,2017-05-17 00:00:00,15:30:00,232,209
159,2017-05-17 00:00:00,15:45:00,223,186
160,2017-05-17 00:00:00,16:00:00,246,186
161,2017-05-17 00:00:00,16:15:00,276,186
162,2017-05-17 00:00:00,16:30:00,291,216
163,2017-05-17 00:00:00,16:45:00,322,229
164,2017-05-17 00:00:00,17:00:00,321,205
165,2017-05-17 00:00:00,17:15:00,379,262
166,2017-05-17 00:00:00,17:30:00,340,217
167,2017-05-17 00:00:00,17:45:00,373,282
168,2017-05-17 00:00:00,18:00:00,350,306
169,2017-05-17 00:00:00,18:15:00,281,230
170,2017-05-17 00:00:00,18:30:00,299,257
171,2017-05-17 00:00:00,18:45:00,275,249
172,2017-05-17 00:00:00,19:00:00,190,182
173,2017-05-17 00:00:00,19:15:00,160,123
174,2017-05-17 00:00:00,19:30:00,148,196
175,2017-05-17 00:00:00,19:45:00,122,117
176,2017-05-17 00:00:00,20:00:00,137,123
177,2017-05-17 00:00:00,20:15:00,124,93
178,2017-05-17 00:00:00,20:30:00,126,88
179,2017-05-17 00:00:00,20:45:00,103,81
180,2017-05-17 00:00:00,21:00:00,81,63
181,2017-05-17 00:00:00,21:15:00,73,47
182,2017-05-17 00:00:00,21:30:00,60,58
183,2017-05-17 00:00:00,21:45:00,45,64
184,2017-05-17 00:00:00,22:00:00,43,43
185,2017-05-17 00:00:00,22:15:00,43,38
186,2017-05-17 00:00:00,22:30:00,40,39
187,2017-05-17 00:00:00,22:45:00,36,31
188,2017-05-17 00:00:00,23:00:00,34,33
189,2017-05-17 00:00:00,23:15:00,24,16
190,2017-05-17 00:00:00,23:30:00,16,18
191,2017-05-17 00:00:00,23:45:00,28,14
192,2017-05-18 00:00:00,00:00:00,35,21
193,2017-05-18 00:00:00,00:15:00,18,6
194,2017-05-18 00:00:00,00:30:00,13,10
195,2017-05-18 00:00:00,00:45:00,9,5
196,2017-05-18 00:00:00,01:00:00,10,8
197,2017-05-18 00:00:00,01:15:00,8,8
198,2017-05-18 00:00:00,01:30:00,5,4
199,2017-05-18 00:00:00,01:45:00,5,7
200,2017-05-18 00:00:00,02:00:00,7,6
201,2017-05-18 00:00:00,02:15:00,3,1
202,2017-05-18 00:00:00,02:30:00,5,2
203,2017-05-18 00:00:00,02:45:00,4,9
204,2017-05-18 00:00:00,03:00:00,7,4
205,2017-05-18 00:00:00,03:15:00,1,3
206,2017-05-18 00:00:00,03:30:00,6,6
207,2017-05-18 00:00:00,03:45:00,8,6
208,2017-05-18 00:00:00,04:00:00,12,10
209,2017-05-18 00:00:00,04:15:00,6,10
210,2017-05-18 00:00:00,04:30:00,20,20
211,2017-05-18 00:00:00,04:45:00,31,25
212,2017-05-18 00:00:00,05:00:00,37,44
213,2017-05-18 00:00:00,05:15:00,40,67
214,2017-05-18 00:00:00,05:30:00,42,85
215,2017-05-18 00:00:00,05:45:00,63,73
216,2017-05-18 00:00:00,06:00:00,68,54
217,2017-05-18 00:00:00,06:15:00,83,108
218,2017-05-18 00:00:00,06:30:00,118,83
219,2017-05-18 00:00:00,06:45:00,140,105
220,2017-05-18 00:00:00,07:00:00,124,146
221,2017-05-18 00:00:00,07:15:00,137,156
222,2017-05-18 00:00:00,07:30:00,207,163
223,2017-05-18 00:00:00,07:45:00,195,248
224,2017-05-18 00:00:00,08:00:00,169,272
225,2017-05-18 00:00:00,08:15:00,161,258
226,2017-05-18 00:00:00,08:30:00,141,239
227,2017-05-18 00:00:00,08:45:00,142,221
228,2017-05-18 00:00:00,09:00:00,161,224
229,2017-05-18 00:00:00,09:15:00,124,198
230,2017-05-18 00:00:00,09:30:00,110,196
231,2017-05-18 00:00:00,09:45:00,101,191
232,2017-05-18 00:00:00,10:00:00,76,141
233,2017-05-18 00:00:00,10:15:00,102,147
234,2017-05-18 00:00:00,10:30:00,93,124
235,2017-05-18 00:00:00,10:45:00,98,135
236,2017-05-18 00:00:00,11:00:00,114,146
237,2017-05-18 00:00:00,11:15:00,87,110
238,2017-05-18 00:00:00,11:30:00,121,149
239,2017-05-18 00:00:00,11:45:00,118,170
240,2017-05-18 00:00:00,12:00:00,142,155
241,2017-05-18 00:00:00,12:15:00,119,152
242,2017-05-18 00:00:00,12:30:00,132,159
243,2017-05-18 00:00:00,12:45:00,159,131
244,2017-05-18 00:00:00,13:00:00,162,123
245,2017-05-18 00:00:00,13:15:00,151,130
246,2017-05-18 00:00:00,13:30:00,157,116
247,2017-05-18 00:00:00,13:45:00,155,118
248,2017-05-18 00:00:00,14:00:00,171,119
249,2017-05-18 00:00:00,14:15:00,246,125
250,2017-05-18 00:00:00,14:30:00,243,174
251,2017-05-18 00:00:00,14:45:00,248,236
252,2017-05-18 00:00:00,15:00:00,280,177
253,2017-05-18 00:00:00,15:15:00,253,155
254,2017-05-18 00:00:00,15:30:00,259,207
255,2017-05-18 00:00:00,15:45:00,282,216
256,2017-05-18 00:00:00,16:00:00,277,187
257,2017-05-18 00:00:00,16:15:00,242,399
258,2017-05-18 00:00:00,16:30:00,322,397
259,2017-05-18 00:00:00,16:45:00,300,245
260,2017-05-18 00:00:00,17:00:00,348,108
261,2017-05-18 00:00:00,17:15:00,332,10
262,2017-05-18 00:00:00,17:30:00,345,15
263,2017-05-18 00:00:00,17:45:00,313,1
264,2017-05-18 00:00:00,18:00:00,364,8
265,2017-05-18 00:00:00,18:15:00,346,2
266,2017-05-18 00:00:00,18:30:00,347,8
267,2017-05-18 00:00:00,18:45:00,277,4
