,Date,Time,WB,EB
0,2017-05-16 00:00:00,00:00:00,3,3
1,2017-05-16 00:00:00,00:15:00,5,6
2,2017-05-16 00:00:00,00:30:00,5,5
3,2017-05-16 00:00:00,00:45:00,2,3
4,2017-05-16 00:00:00,01:00:00,3,3
5,2017-05-16 00:00:00,01:15:00,6,3
6,2017-05-16 00:00:00,01:30:00,2,4
7,2017-05-16 00:00:00,01:45:00,1,3
8,2017-05-16 00:00:00,02:00:00,1,2
9,2017-05-16 00:00:00,02:15:00,2,4
10,2017-05-16 00:00:00,02:30:00,2,2
11,2017-05-16 00:00:00,02:45:00,2,1
12,2017-05-16 00:00:00,03:00:00,1,1
13,2017-05-16 00:00:00,03:15:00,1,1
14,2017-05-16 00:00:00,03:30:00,1,3
15,2017-05-16 00:00:00,03:45:00,2,0
16,2017-05-16 00:00:00,04:00:00,0,1
17,2017-05-16 00:00:00,04:15:00,3,3
18,2017-05-16 00:00:00,04:30:00,4,4
19,2017-05-16 00:00:00,04:45:00,3,5
20,2017-05-16 00:00:00,05:00:00,4,5
21,2017-05-16 00:00:00,05:15:00,8,5
22,2017-05-16 00:00:00,05:30:00,7,4
23,2017-05-16 00:00:00,05:45:00,9,16
24,2017-05-16 00:00:00,06:00:00,14,11
25,2017-05-16 00:00:00,06:15:00,18,22
26,2017-05-16 00:00:00,06:30:00,18,39
27,2017-05-16 00:00:00,06:45:00,35,63
28,2017-05-16 00:00:00,07:00:00,33,49
29,2017-05-16 00:00:00,07:15:00,43,64
30,2017-05-16 00:00:00,07:30:00,130,70
31,2017-05-16 00:00:00,07:45:00,173,115
32,2017-05-16 00:00:00,08:00:00,148,151
33,2017-05-16 00:00:00,08:15:00,129,173
34,2017-05-16 00:00:00,08:30:00,117,107
35,2017-05-16 00:00:00,08:45:00,88,98
36,2017-05-16 00:00:00,09:00:00,103,93
37,2017-05-16 00:00:00,09:15:00,87,96
38,2017-05-16 00:00:00,09:30:00,76,52
39,2017-05-16 00:00:00,09:45:00,69,67
40,2017-05-16 00:00:00,10:00:00,61,75
41,2017-05-16 00:00:00,10:15:00,60,59
42,2017-05-16 00:00:00,10:30:00,44,71
43,2017-05-16 00:00:00,10:45:00,56,57
44,2017-05-16 00:00:00,11:00:00,71,61
45,2017-05-16 00:00:00,11:15:00,85,74
46,2017-05-16 00:00:00,11:30:00,63,83
47,2017-05-16 00:00:00,11:45:00,77,97
48,2017-05-16 00:00:00,12:00:00,93,71
49,2017-05-16 00:00:00,12:15:00,48,73
50,2017-05-16 00:00:00,12:30:00,80,63
51,2017-05-16 00:00:00,12:45:00,73,58
52,2017-05-16 00:00:00,13:00:00,65,79
53,2017-05-16 00:00:00,13:15:00,65,71
54,2017-05-16 00:00:00,13:30:00,64,67
55,2017-05-16 00:00:00,13:45:00,70,81
56,2017-05-16 00:00:00,14:00:00,88,67
57,2017-05-16 00:00:00,14:15:00,127,93
58,2017-05-16 00:00:00,14:30:00,172,99
59,2017-05-16 00:00:00,14:45:00,250,114
60,2017-05-16 00:00:00,15:00:00,252,161
61,2017-05-16 00:00:00,15:15:00,268,128
62,2017-05-16 00:00:00,15:30:00,238,127
63,2017-05-16 00:00:00,15:45:00,224,121
64,2017-05-16 00:00:00,16:00:00,231,90
65,2017-05-16 00:00:00,16:15:00,199,106
66,2017-05-16 00:00:00,16:30:00,224,96
67,2017-05-16 00:00:00,16:45:00,237,123
68,2017-05-16 00:00:00,17:00:00,271,120
