Day,Time,Count
 Tuesday -     May 14 -  2019=21469,0:0,21.0
 Tuesday -     May 14 -  2019=21469,0:15,26.0
 Tuesday -     May 14 -  2019=21469,0:30,21.0
 Tuesday -     May 14 -  2019=21469,0:45,31.0
 Tuesday -     May 14 -  2019=21469,1:0,23.0
 Tuesday -     May 14 -  2019=21469,1:15,18.0
 Tuesday -     May 14 -  2019=21469,1:30,21.0
 Tuesday -     May 14 -  2019=21469,1:45,27.0
 Tuesday -     May 14 -  2019=21469,2:0,28.0
 Tuesday -     May 14 -  2019=21469,2:15,43.0
 Tuesday -     May 14 -  2019=21469,2:30,31.0
 Tuesday -     May 14 -  2019=21469,2:45,31.0
 Tuesday -     May 14 -  2019=21469,3:0,36.0
 Tuesday -     May 14 -  2019=21469,3:15,57.0
 Tuesday -     May 14 -  2019=21469,3:30,73.0
 Tuesday -     May 14 -  2019=21469,3:45,98.0
 Tuesday -     May 14 -  2019=21469,4:0,110.0
 Tuesday -     May 14 -  2019=21469,4:15,139.0
 Tuesday -     May 14 -  2019=21469,4:30,174.0
 Tuesday -     May 14 -  2019=21469,4:45,241.0
 Tuesday -     May 14 -  2019=21469,5:0,239.0
 Tuesday -     May 14 -  2019=21469,5:15,275.0
 Tuesday -     May 14 -  2019=21469,5:30,330.0
 Tuesday -     May 14 -  2019=21469,5:45,331.0
 Tuesday -     May 14 -  2019=21469,6:0,270.0
 Tuesday -     May 14 -  2019=21469,6:15,297.0
 Tuesday -     May 14 -  2019=21469,6:30,374.0
 Tuesday -     May 14 -  2019=21469,6:45,411.0
 Tuesday -     May 14 -  2019=21469,7:0,384.0
 Tuesday -     May 14 -  2019=21469,7:15,418.0
 Tuesday -     May 14 -  2019=21469,7:30,495.0
 Tuesday -     May 14 -  2019=21469,7:45,463.0
 Tuesday -     May 14 -  2019=21469,8:0,427.0
 Tuesday -     May 14 -  2019=21469,8:15,435.0
 Tuesday -     May 14 -  2019=21469,8:30,422.0
 Tuesday -     May 14 -  2019=21469,8:45,468.0
 Tuesday -     May 14 -  2019=21469,9:0,374.0
 Tuesday -     May 14 -  2019=21469,9:15,388.0
 Tuesday -     May 14 -  2019=21469,9:30,388.0
 Tuesday -     May 14 -  2019=21469,9:45,361.0
 Tuesday -     May 14 -  2019=21469,10:0,337.0
 Tuesday -     May 14 -  2019=21469,10:15,313.0
 Tuesday -     May 14 -  2019=21469,10:30,326.0
 Tuesday -     May 14 -  2019=21469,10:45,308.0
 Tuesday -     May 14 -  2019=21469,11:0,339.0
 Tuesday -     May 14 -  2019=21469,11:15,293.0
 Tuesday -     May 14 -  2019=21469,11:30,333.0
 Tuesday -     May 14 -  2019=21469,11:45,304.0
 Tuesday -     May 14 -  2019=21469,12:0,274.0
 Tuesday -     May 14 -  2019=21469,12:15,296.0
 Tuesday -     May 14 -  2019=21469,12:30,266.0
 Tuesday -     May 14 -  2019=21469,12:45,292.0
 Tuesday -     May 14 -  2019=21469,13:0,240.0
 Tuesday -     May 14 -  2019=21469,13:15,267.0
 Tuesday -     May 14 -  2019=21469,13:30,275.0
 Tuesday -     May 14 -  2019=21469,13:45,265.0
 Tuesday -     May 14 -  2019=21469,14:0,265.0
 Tuesday -     May 14 -  2019=21469,14:15,253.0
 Tuesday -     May 14 -  2019=21469,14:30,276.0
 Tuesday -     May 14 -  2019=21469,14:45,255.0
 Tuesday -     May 14 -  2019=21469,15:0,254.0
 Tuesday -     May 14 -  2019=21469,15:15,260.0
 Tuesday -     May 14 -  2019=21469,15:30,262.0
 Tuesday -     May 14 -  2019=21469,15:45,233.0
 Tuesday -     May 14 -  2019=21469,16:0,250.0
 Tuesday -     May 14 -  2019=21469,16:15,291.0
 Tuesday -     May 14 -  2019=21469,16:30,282.0
 Tuesday -     May 14 -  2019=21469,16:45,267.0
 Tuesday -     May 14 -  2019=21469,17:0,316.0
 Tuesday -     May 14 -  2019=21469,17:15,304.0
