Day,Time,Count
 Tuesday -  May 14 -  2019 - Total=1608,0:0,1.0
 Tuesday -  May 14 -  2019 - Total=1608,0:15,0.0
 Tuesday -  May 14 -  2019 - Total=1608,0:30,0.0
 Tuesday -  May 14 -  2019 - Total=1608,0:45,0.0
 Tuesday -  May 14 -  2019 - Total=1608,1:0,0.0
 Tuesday -  May 14 -  2019 - Total=1608,1:15,1.0
 Tuesday -  May 14 -  2019 - Total=1608,1:30,0.0
 Tuesday -  May 14 -  2019 - Total=1608,1:45,1.0
 Tuesday -  May 14 -  2019 - Total=1608,2:0,0.0
 Tuesday -  May 14 -  2019 - Total=1608,2:15,0.0
 Tuesday -  May 14 -  2019 - Total=1608,2:30,1.0
 Tuesday -  May 14 -  2019 - Total=1608,2:45,0.0
 Tuesday -  May 14 -  2019 - Total=1608,3:0,0.0
 Tuesday -  May 14 -  2019 - Total=1608,3:15,0.0
 Tuesday -  May 14 -  2019 - Total=1608,3:30,0.0
 Tuesday -  May 14 -  2019 - Total=1608,3:45,0.0
 Tuesday -  May 14 -  2019 - Total=1608,4:0,0.0
 Tuesday -  May 14 -  2019 - Total=1608,4:15,0.0
 Tuesday -  May 14 -  2019 - Total=1608,4:30,0.0
 Tuesday -  May 14 -  2019 - Total=1608,4:45,0.0
 Tuesday -  May 14 -  2019 - Total=1608,5:0,1.0
 Tuesday -  May 14 -  2019 - Total=1608,5:15,1.0
 Tuesday -  May 14 -  2019 - Total=1608,5:30,0.0
 Tuesday -  May 14 -  2019 - Total=1608,5:45,1.0
 Tuesday -  May 14 -  2019 - Total=1608,6:0,1.0
 Tuesday -  May 14 -  2019 - Total=1608,6:15,3.0
 Tuesday -  May 14 -  2019 - Total=1608,6:30,3.0
 Tuesday -  May 14 -  2019 - Total=1608,6:45,4.0
 Tuesday -  May 14 -  2019 - Total=1608,7:0,7.0
 Tuesday -  May 14 -  2019 - Total=1608,7:15,12.0
 Tuesday -  May 14 -  2019 - Total=1608,7:30,13.0
 Tuesday -  May 14 -  2019 - Total=1608,7:45,25.0
 Tuesday -  May 14 -  2019 - Total=1608,8:0,87.0
 Tuesday -  May 14 -  2019 - Total=1608,8:15,129.0
 Tuesday -  May 14 -  2019 - Total=1608,8:30,13.0
 Tuesday -  May 14 -  2019 - Total=1608,8:45,16.0
 Tuesday -  May 14 -  2019 - Total=1608,9:0,17.0
 Tuesday -  May 14 -  2019 - Total=1608,9:15,11.0
 Tuesday -  May 14 -  2019 - Total=1608,9:30,10.0
 Tuesday -  May 14 -  2019 - Total=1608,9:45,13.0
 Tuesday -  May 14 -  2019 - Total=1608,10:0,13.0
