Day,Time,Count
 Tuesday -  May 14 -  2019 - Total=1589,0:0,1.0
 Tuesday -  May 14 -  2019 - Total=1589,0:15,1.0
 Tuesday -  May 14 -  2019 - Total=1589,0:30,0.0
 Tuesday -  May 14 -  2019 - Total=1589,0:45,0.0
 Tuesday -  May 14 -  2019 - Total=1589,1:0,0.0
 Tuesday -  May 14 -  2019 - Total=1589,1:15,0.0
 Tuesday -  May 14 -  2019 - Total=1589,1:30,0.0
 Tuesday -  May 14 -  2019 - Total=1589,1:45,0.0
 Tuesday -  May 14 -  2019 - Total=1589,2:0,0.0
 Tuesday -  May 14 -  2019 - Total=1589,2:15,0.0
 Tuesday -  May 14 -  2019 - Total=1589,2:30,0.0
 Tuesday -  May 14 -  2019 - Total=1589,2:45,0.0
 Tuesday -  May 14 -  2019 - Total=1589,3:0,0.0
 Tuesday -  May 14 -  2019 - Total=1589,3:15,0.0
 Tuesday -  May 14 -  2019 - Total=1589,3:30,0.0
 Tuesday -  May 14 -  2019 - Total=1589,3:45,2.0
 Tuesday -  May 14 -  2019 - Total=1589,4:0,0.0
 Tuesday -  May 14 -  2019 - Total=1589,4:15,1.0
 Tuesday -  May 14 -  2019 - Total=1589,4:30,0.0
 Tuesday -  May 14 -  2019 - Total=1589,4:45,1.0
 Tuesday -  May 14 -  2019 - Total=1589,5:0,3.0
 Tuesday -  May 14 -  2019 - Total=1589,5:15,2.0
 Tuesday -  May 14 -  2019 - Total=1589,5:30,4.0
 Tuesday -  May 14 -  2019 - Total=1589,5:45,6.0
 Tuesday -  May 14 -  2019 - Total=1589,6:0,6.0
 Tuesday -  May 14 -  2019 - Total=1589,6:15,6.0
 Tuesday -  May 14 -  2019 - Total=1589,6:30,13.0
 Tuesday -  May 14 -  2019 - Total=1589,6:45,16.0
 Tuesday -  May 14 -  2019 - Total=1589,7:0,25.0
 Tuesday -  May 14 -  2019 - Total=1589,7:15,39.0
 Tuesday -  May 14 -  2019 - Total=1589,7:30,62.0
 Tuesday -  May 14 -  2019 - Total=1589,7:45,49.0
 Tuesday -  May 14 -  2019 - Total=1589,8:0,73.0
 Tuesday -  May 14 -  2019 - Total=1589,8:15,89.0
 Tuesday -  May 14 -  2019 - Total=1589,8:30,48.0
 Tuesday -  May 14 -  2019 - Total=1589,8:45,27.0
 Tuesday -  May 14 -  2019 - Total=1589,9:0,29.0
 Tuesday -  May 14 -  2019 - Total=1589,9:15,23.0
