Day,Time,Count
 Tuesday -     May 14 -  2019=11824,0:0,41.0
 Tuesday -     May 14 -  2019=11824,0:15,12.0
 Tuesday -     May 14 -  2019=11824,0:30,10.0
 Tuesday -     May 14 -  2019=11824,0:45,9.0
 Tuesday -     May 14 -  2019=11824,1:0,13.0
 Tuesday -     May 14 -  2019=11824,1:15,5.0
 Tuesday -     May 14 -  2019=11824,1:30,10.0
 Tuesday -     May 14 -  2019=11824,1:45,9.0
 Tuesday -     May 14 -  2019=11824,2:0,6.0
 Tuesday -     May 14 -  2019=11824,2:15,11.0
 Tuesday -     May 14 -  2019=11824,2:30,19.0
 Tuesday -     May 14 -  2019=11824,2:45,8.0
 Tuesday -     May 14 -  2019=11824,3:0,4.0
 Tuesday -     May 14 -  2019=11824,3:15,4.0
 Tuesday -     May 14 -  2019=11824,3:30,14.0
 Tuesday -     May 14 -  2019=11824,3:45,13.0
 Tuesday -     May 14 -  2019=11824,4:0,21.0
 Tuesday -     May 14 -  2019=11824,4:15,25.0
 Tuesday -     May 14 -  2019=11824,4:30,34.0
 Tuesday -     May 14 -  2019=11824,4:45,35.0
 Tuesday -     May 14 -  2019=11824,5:0,47.0
 Tuesday -     May 14 -  2019=11824,5:15,52.0
 Tuesday -     May 14 -  2019=11824,5:30,62.0
 Tuesday -     May 14 -  2019=11824,5:45,86.0
 Tuesday -     May 14 -  2019=11824,6:0,96.0
 Tuesday -     May 14 -  2019=11824,6:15,122.0
 Tuesday -     May 14 -  2019=11824,6:30,133.0
 Tuesday -     May 14 -  2019=11824,6:45,126.0
 Tuesday -     May 14 -  2019=11824,7:0,149.0
 Tuesday -     May 14 -  2019=11824,7:15,196.0
 Tuesday -     May 14 -  2019=11824,7:30,216.0
 Tuesday -     May 14 -  2019=11824,7:45,378.0
 Tuesday -     May 14 -  2019=11824,8:0,295.0
 Tuesday -     May 14 -  2019=11824,8:15,171.0
 Tuesday -     May 14 -  2019=11824,8:30,183.0
 Tuesday -     May 14 -  2019=11824,8:45,190.0
 Tuesday -     May 14 -  2019=11824,9:0,180.0
 Tuesday -     May 14 -  2019=11824,9:15,167.0
 Tuesday -     May 14 -  2019=11824,9:30,164.0
 Tuesday -     May 14 -  2019=11824,9:45,163.0
 Tuesday -     May 14 -  2019=11824,10:0,170.0
 Tuesday -     May 14 -  2019=11824,10:15,170.0
 Tuesday -     May 14 -  2019=11824,10:30,167.0
 Tuesday -     May 14 -  2019=11824,10:45,182.0
 Tuesday -     May 14 -  2019=11824,11:0,142.0
 Tuesday -     May 14 -  2019=11824,11:15,163.0
 Tuesday -     May 14 -  2019=11824,11:30,172.0
 Tuesday -     May 14 -  2019=11824,11:45,156.0
 Tuesday -     May 14 -  2019=11824,12:0,155.0
 Tuesday -     May 14 -  2019=11824,12:15,160.0
 Tuesday -     May 14 -  2019=11824,12:30,162.0
 Tuesday -     May 14 -  2019=11824,12:45,164.0
 Tuesday -     May 14 -  2019=11824,13:0,148.0
 Tuesday -     May 14 -  2019=11824,13:15,146.0
 Tuesday -     May 14 -  2019=11824,13:30,154.0
 Tuesday -     May 14 -  2019=11824,13:45,118.0
 Tuesday -     May 14 -  2019=11824,14:0,131.0
 Tuesday -     May 14 -  2019=11824,14:15,130.0
 Tuesday -     May 14 -  2019=11824,14:30,146.0
 Tuesday -     May 14 -  2019=11824,14:45,141.0
 Tuesday -     May 14 -  2019=11824,15:0,223.0
 Tuesday -     May 14 -  2019=11824,15:15,204.0
 Tuesday -     May 14 -  2019=11824,15:30,184.0
 Tuesday -     May 14 -  2019=11824,15:45,149.0
 Tuesday -     May 14 -  2019=11824,16:0,162.0
 Tuesday -     May 14 -  2019=11824,16:15,171.0
 Tuesday -     May 14 -  2019=11824,16:30,196.0
 Tuesday -     May 14 -  2019=11824,16:45,190.0
 Tuesday -     May 14 -  2019=11824,17:0,204.0
 Tuesday -     May 14 -  2019=11824,17:15,270.0
 Tuesday -     May 14 -  2019=11824,17:30,293.0
 Tuesday -     May 14 -  2019=11824,17:45,259.0
 Tuesday -     May 14 -  2019=11824,18:0,222.0
 Tuesday -     May 14 -  2019=11824,18:15,218.0
 Tuesday -     May 14 -  2019=11824,18:30,208.0
 Tuesday -     May 14 -  2019=11824,18:45,188.0
 Tuesday -     May 14 -  2019=11824,19:0,160.0
 Tuesday -     May 14 -  2019=11824,19:15,180.0
 Tuesday -     May 14 -  2019=11824,19:30,159.0
 Tuesday -     May 14 -  2019=11824,19:45,170.0
 Tuesday -     May 14 -  2019=11824,20:0,157.0
 Tuesday -     May 14 -  2019=11824,20:15,146.0
 Tuesday -     May 14 -  2019=11824,20:30,102.0
 Tuesday -     May 14 -  2019=11824,20:45,102.0
 Tuesday -     May 14 -  2019=11824,21:0,104.0
 Tuesday -     May 14 -  2019=11824,21:15,106.0
 Tuesday -     May 14 -  2019=11824,21:30,92.0
 Tuesday -     May 14 -  2019=11824,21:45,89.0
 Tuesday -     May 14 -  2019=11824,22:0,76.0
 Tuesday -     May 14 -  2019=11824,22:15,61.0
 Tuesday -     May 14 -  2019=11824,22:30,75.0
 Tuesday -     May 14 -  2019=11824,22:45,47.0
 Tuesday -     May 14 -  2019=11824,23:0,35.0
 Tuesday -     May 14 -  2019=11824,23:15,39.0
 Tuesday -     May 14 -  2019=11824,23:30,22.0
 Tuesday -     May 14 -  2019=11824,23:45,32.0
 Wednesday -  May 15 -  2019=12171,0:0,21.0
 Wednesday -  May 15 -  2019=12171,0:15,16.0
 Wednesday -  May 15 -  2019=12171,0:30,17.0
 Wednesday -  May 15 -  2019=12171,0:45,9.0
 Wednesday -  May 15 -  2019=12171,1:0,10.0
 Wednesday -  May 15 -  2019=12171,1:15,9.0
 Wednesday -  May 15 -  2019=12171,1:30,7.0
 Wednesday -  May 15 -  2019=12171,1:45,9.0
 Wednesday -  May 15 -  2019=12171,2:0,12.0
 Wednesday -  May 15 -  2019=12171,2:15,10.0
 Wednesday -  May 15 -  2019=12171,2:30,12.0
 Wednesday -  May 15 -  2019=12171,2:45,12.0
 Wednesday -  May 15 -  2019=12171,3:0,6.0
 Wednesday -  May 15 -  2019=12171,3:15,3.0
 Wednesday -  May 15 -  2019=12171,3:30,12.0
 Wednesday -  May 15 -  2019=12171,3:45,14.0
 Wednesday -  May 15 -  2019=12171,4:0,18.0
 Wednesday -  May 15 -  2019=12171,4:15,26.0
 Wednesday -  May 15 -  2019=12171,4:30,28.0
 Wednesday -  May 15 -  2019=12171,4:45,42.0
 Wednesday -  May 15 -  2019=12171,5:0,50.0
 Wednesday -  May 15 -  2019=12171,5:15,78.0
 Wednesday -  May 15 -  2019=12171,5:30,70.0
 Wednesday -  May 15 -  2019=12171,5:45,95.0
 Wednesday -  May 15 -  2019=12171,6:0,98.0
 Wednesday -  May 15 -  2019=12171,6:15,104.0
 Wednesday -  May 15 -  2019=12171,6:30,145.0
 Wednesday -  May 15 -  2019=12171,6:45,130.0
 Wednesday -  May 15 -  2019=12171,7:0,160.0
 Wednesday -  May 15 -  2019=12171,7:15,195.0
 Wednesday -  May 15 -  2019=12171,7:30,204.0
 Wednesday -  May 15 -  2019=12171,7:45,241.0
 Wednesday -  May 15 -  2019=12171,8:0,251.0
 Wednesday -  May 15 -  2019=12171,8:15,198.0
 Wednesday -  May 15 -  2019=12171,8:30,240.0
 Wednesday -  May 15 -  2019=12171,8:45,306.0
 Wednesday -  May 15 -  2019=12171,9:0,243.0
 Wednesday -  May 15 -  2019=12171,9:15,164.0
 Wednesday -  May 15 -  2019=12171,9:30,174.0
 Wednesday -  May 15 -  2019=12171,9:45,172.0
 Wednesday -  May 15 -  2019=12171,10:0,185.0
 Wednesday -  May 15 -  2019=12171,10:15,157.0
 Wednesday -  May 15 -  2019=12171,10:30,161.0
 Wednesday -  May 15 -  2019=12171,10:45,176.0
 Wednesday -  May 15 -  2019=12171,11:0,160.0
 Wednesday -  May 15 -  2019=12171,11:15,178.0
 Wednesday -  May 15 -  2019=12171,11:30,167.0
 Wednesday -  May 15 -  2019=12171,11:45,200.0
 Wednesday -  May 15 -  2019=12171,12:0,151.0
 Wednesday -  May 15 -  2019=12171,12:15,177.0
 Wednesday -  May 15 -  2019=12171,12:30,230.0
 Wednesday -  May 15 -  2019=12171,12:45,167.0
 Wednesday -  May 15 -  2019=12171,13:0,171.0
 Wednesday -  May 15 -  2019=12171,13:15,169.0
 Wednesday -  May 15 -  2019=12171,13:30,155.0
 Wednesday -  May 15 -  2019=12171,13:45,143.0
 Wednesday -  May 15 -  2019=12171,14:0,152.0
 Wednesday -  May 15 -  2019=12171,14:15,136.0
 Wednesday -  May 15 -  2019=12171,14:30,130.0
 Wednesday -  May 15 -  2019=12171,14:45,154.0
 Wednesday -  May 15 -  2019=12171,15:0,216.0
 Wednesday -  May 15 -  2019=12171,15:15,204.0
 Wednesday -  May 15 -  2019=12171,15:30,160.0
 Wednesday -  May 15 -  2019=12171,15:45,147.0
 Wednesday -  May 15 -  2019=12171,16:0,164.0
 Wednesday -  May 15 -  2019=12171,16:15,178.0
 Wednesday -  May 15 -  2019=12171,16:30,129.0
 Wednesday -  May 15 -  2019=12171,16:45,177.0
 Wednesday -  May 15 -  2019=12171,17:0,207.0
 Wednesday -  May 15 -  2019=12171,17:15,278.0
 Wednesday -  May 15 -  2019=12171,17:30,270.0
 Wednesday -  May 15 -  2019=12171,17:45,261.0
 Wednesday -  May 15 -  2019=12171,18:0,262.0
 Wednesday -  May 15 -  2019=12171,18:15,235.0
 Wednesday -  May 15 -  2019=12171,18:30,221.0
 Wednesday -  May 15 -  2019=12171,18:45,211.0
 Wednesday -  May 15 -  2019=12171,19:0,183.0
 Wednesday -  May 15 -  2019=12171,19:15,186.0
 Wednesday -  May 15 -  2019=12171,19:30,150.0
 Wednesday -  May 15 -  2019=12171,19:45,155.0
 Wednesday -  May 15 -  2019=12171,20:0,136.0
 Wednesday -  May 15 -  2019=12171,20:15,126.0
 Wednesday -  May 15 -  2019=12171,20:30,119.0
 Wednesday -  May 15 -  2019=12171,20:45,132.0
 Wednesday -  May 15 -  2019=12171,21:0,105.0
 Wednesday -  May 15 -  2019=12171,21:15,95.0
 Wednesday -  May 15 -  2019=12171,21:30,88.0
 Wednesday -  May 15 -  2019=12171,21:45,94.0
 Wednesday -  May 15 -  2019=12171,22:0,74.0
 Wednesday -  May 15 -  2019=12171,22:15,63.0
 Wednesday -  May 15 -  2019=12171,22:30,59.0
 Wednesday -  May 15 -  2019=12171,22:45,45.0
 Wednesday -  May 15 -  2019=12171,23:0,36.0
 Wednesday -  May 15 -  2019=12171,23:15,31.0
 Wednesday -  May 15 -  2019=12171,23:30,37.0
 Wednesday -  May 15 -  2019=12171,23:45,29.0
 Thursday -  May 16 -       2019=12024,0:0,21.0
 Thursday -  May 16 -       2019=12024,0:15,24.0
 Thursday -  May 16 -       2019=12024,0:30,22.0
 Thursday -  May 16 -       2019=12024,0:45,4.0
 Thursday -  May 16 -       2019=12024,1:0,10.0
 Thursday -  May 16 -       2019=12024,1:15,12.0
 Thursday -  May 16 -       2019=12024,1:30,7.0
 Thursday -  May 16 -       2019=12024,1:45,5.0
 Thursday -  May 16 -       2019=12024,2:0,6.0
 Thursday -  May 16 -       2019=12024,2:15,10.0
 Thursday -  May 16 -       2019=12024,2:30,10.0
 Thursday -  May 16 -       2019=12024,2:45,13.0
 Thursday -  May 16 -       2019=12024,3:0,9.0
 Thursday -  May 16 -       2019=12024,3:15,5.0
 Thursday -  May 16 -       2019=12024,3:30,17.0
 Thursday -  May 16 -       2019=12024,3:45,21.0
 Thursday -  May 16 -       2019=12024,4:0,23.0
 Thursday -  May 16 -       2019=12024,4:15,27.0
 Thursday -  May 16 -       2019=12024,4:30,43.0
 Thursday -  May 16 -       2019=12024,4:45,29.0
 Thursday -  May 16 -       2019=12024,5:0,37.0
 Thursday -  May 16 -       2019=12024,5:15,60.0
 Thursday -  May 16 -       2019=12024,5:30,65.0
 Thursday -  May 16 -       2019=12024,5:45,110.0
 Thursday -  May 16 -       2019=12024,6:0,97.0
 Thursday -  May 16 -       2019=12024,6:15,97.0
 Thursday -  May 16 -       2019=12024,6:30,155.0
 Thursday -  May 16 -       2019=12024,6:45,131.0
 Thursday -  May 16 -       2019=12024,7:0,162.0
 Thursday -  May 16 -       2019=12024,7:15,186.0
 Thursday -  May 16 -       2019=12024,7:30,231.0
 Thursday -  May 16 -       2019=12024,7:45,372.0
 Thursday -  May 16 -       2019=12024,8:0,296.0
 Thursday -  May 16 -       2019=12024,8:15,216.0
 Thursday -  May 16 -       2019=12024,8:30,211.0
 Thursday -  May 16 -       2019=12024,8:45,213.0
 Thursday -  May 16 -       2019=12024,9:0,176.0
 Thursday -  May 16 -       2019=12024,9:15,158.0
 Thursday -  May 16 -       2019=12024,9:30,155.0
 Thursday -  May 16 -       2019=12024,9:45,178.0
 Thursday -  May 16 -       2019=12024,10:0,161.0
 Thursday -  May 16 -       2019=12024,10:15,164.0
 Thursday -  May 16 -       2019=12024,10:30,177.0
 Thursday -  May 16 -       2019=12024,10:45,146.0
 Thursday -  May 16 -       2019=12024,11:0,143.0
 Thursday -  May 16 -       2019=12024,11:15,143.0
 Thursday -  May 16 -       2019=12024,11:30,175.0
 Thursday -  May 16 -       2019=12024,11:45,144.0
 Thursday -  May 16 -       2019=12024,12:0,150.0
 Thursday -  May 16 -       2019=12024,12:15,153.0
 Thursday -  May 16 -       2019=12024,12:30,165.0
 Thursday -  May 16 -       2019=12024,12:45,163.0
 Thursday -  May 16 -       2019=12024,13:0,138.0
 Thursday -  May 16 -       2019=12024,13:15,128.0
 Thursday -  May 16 -       2019=12024,13:30,135.0
 Thursday -  May 16 -       2019=12024,13:45,145.0
 Thursday -  May 16 -       2019=12024,14:0,166.0
