Day,Time,Count
 Tuesday -       May 7 -  2019=9222,0:0,13.0
 Tuesday -       May 7 -  2019=9222,0:15,9.0
 Tuesday -       May 7 -  2019=9222,0:30,3.0
 Tuesday -       May 7 -  2019=9222,0:45,5.0
 Tuesday -       May 7 -  2019=9222,1:0,6.0
 Tuesday -       May 7 -  2019=9222,1:15,2.0
 Tuesday -       May 7 -  2019=9222,1:30,3.0
 Tuesday -       May 7 -  2019=9222,1:45,4.0
 Tuesday -       May 7 -  2019=9222,2:0,1.0
 Tuesday -       May 7 -  2019=9222,2:15,2.0
 Tuesday -       May 7 -  2019=9222,2:30,1.0
 Tuesday -       May 7 -  2019=9222,2:45,3.0
 Tuesday -       May 7 -  2019=9222,3:0,2.0
 Tuesday -       May 7 -  2019=9222,3:15,4.0
 Tuesday -       May 7 -  2019=9222,3:30,3.0
 Tuesday -       May 7 -  2019=9222,3:45,1.0
 Tuesday -       May 7 -  2019=9222,4:0,4.0
 Tuesday -       May 7 -  2019=9222,4:15,2.0
 Tuesday -       May 7 -  2019=9222,4:30,3.0
 Tuesday -       May 7 -  2019=9222,4:45,3.0
 Tuesday -       May 7 -  2019=9222,5:0,16.0
 Tuesday -       May 7 -  2019=9222,5:15,11.0
 Tuesday -       May 7 -  2019=9222,5:30,27.0
 Tuesday -       May 7 -  2019=9222,5:45,19.0
 Tuesday -       May 7 -  2019=9222,6:0,26.0
 Tuesday -       May 7 -  2019=9222,6:15,28.0
 Tuesday -       May 7 -  2019=9222,6:30,36.0
 Tuesday -       May 7 -  2019=9222,6:45,39.0
 Tuesday -       May 7 -  2019=9222,7:0,43.0
 Tuesday -       May 7 -  2019=9222,7:15,47.0
 Tuesday -       May 7 -  2019=9222,7:30,74.0
 Tuesday -       May 7 -  2019=9222,7:45,89.0
 Tuesday -       May 7 -  2019=9222,8:0,80.0
 Tuesday -       May 7 -  2019=9222,8:15,90.0
 Tuesday -       May 7 -  2019=9222,8:30,82.0
 Tuesday -       May 7 -  2019=9222,8:45,87.0
 Tuesday -       May 7 -  2019=9222,9:0,72.0
 Tuesday -       May 7 -  2019=9222,9:15,60.0
 Tuesday -       May 7 -  2019=9222,9:30,73.0
 Tuesday -       May 7 -  2019=9222,9:45,70.0
 Tuesday -       May 7 -  2019=9222,10:0,54.0
 Tuesday -       May 7 -  2019=9222,10:15,71.0
 Tuesday -       May 7 -  2019=9222,10:30,65.0
 Tuesday -       May 7 -  2019=9222,10:45,57.0
 Tuesday -       May 7 -  2019=9222,11:0,46.0
 Tuesday -       May 7 -  2019=9222,11:15,57.0
 Tuesday -       May 7 -  2019=9222,11:30,79.0
 Tuesday -       May 7 -  2019=9222,11:45,59.0
 Tuesday -       May 7 -  2019=9222,12:0,60.0
 Tuesday -       May 7 -  2019=9222,12:15,72.0
 Tuesday -       May 7 -  2019=9222,12:30,76.0
 Tuesday -       May 7 -  2019=9222,12:45,88.0
 Tuesday -       May 7 -  2019=9222,13:0,84.0
 Tuesday -       May 7 -  2019=9222,13:15,85.0
 Tuesday -       May 7 -  2019=9222,13:30,106.0
 Tuesday -       May 7 -  2019=9222,13:45,97.0
 Tuesday -       May 7 -  2019=9222,14:0,160.0
 Tuesday -       May 7 -  2019=9222,14:15,234.0
 Tuesday -       May 7 -  2019=9222,14:30,233.0
 Tuesday -       May 7 -  2019=9222,14:45,298.0
 Tuesday -       May 7 -  2019=9222,15:0,264.0
 Tuesday -       May 7 -  2019=9222,15:15,196.0
