Day,Time,Count
 Tuesday -  May 21 -  2019 - Total=6572,0:0,6.0
 Tuesday -  May 21 -  2019 - Total=6572,0:15,10.0
 Tuesday -  May 21 -  2019 - Total=6572,0:30,5.0
 Tuesday -  May 21 -  2019 - Total=6572,0:45,2.0
 Tuesday -  May 21 -  2019 - Total=6572,1:0,3.0
 Tuesday -  May 21 -  2019 - Total=6572,1:15,4.0
 Tuesday -  May 21 -  2019 - Total=6572,1:30,0.0
 Tuesday -  May 21 -  2019 - Total=6572,1:45,2.0
 Tuesday -  May 21 -  2019 - Total=6572,2:0,3.0
 Tuesday -  May 21 -  2019 - Total=6572,2:15,1.0
 Tuesday -  May 21 -  2019 - Total=6572,2:30,1.0
 Tuesday -  May 21 -  2019 - Total=6572,2:45,1.0
 Tuesday -  May 21 -  2019 - Total=6572,3:0,1.0
 Tuesday -  May 21 -  2019 - Total=6572,3:15,1.0
 Tuesday -  May 21 -  2019 - Total=6572,3:30,3.0
 Tuesday -  May 21 -  2019 - Total=6572,3:45,2.0
 Tuesday -  May 21 -  2019 - Total=6572,4:0,1.0
 Tuesday -  May 21 -  2019 - Total=6572,4:15,0.0
 Tuesday -  May 21 -  2019 - Total=6572,4:30,3.0
 Tuesday -  May 21 -  2019 - Total=6572,4:45,6.0
 Tuesday -  May 21 -  2019 - Total=6572,5:0,9.0
 Tuesday -  May 21 -  2019 - Total=6572,5:15,8.0
 Tuesday -  May 21 -  2019 - Total=6572,5:30,10.0
 Tuesday -  May 21 -  2019 - Total=6572,5:45,15.0
 Tuesday -  May 21 -  2019 - Total=6572,6:0,22.0
 Tuesday -  May 21 -  2019 - Total=6572,6:15,20.0
 Tuesday -  May 21 -  2019 - Total=6572,6:30,30.0
 Tuesday -  May 21 -  2019 - Total=6572,6:45,29.0
 Tuesday -  May 21 -  2019 - Total=6572,7:0,36.0
 Tuesday -  May 21 -  2019 - Total=6572,7:15,63.0
 Tuesday -  May 21 -  2019 - Total=6572,7:30,103.0
 Tuesday -  May 21 -  2019 - Total=6572,7:45,164.0
 Tuesday -  May 21 -  2019 - Total=6572,8:0,70.0
 Tuesday -  May 21 -  2019 - Total=6572,8:15,83.0
 Tuesday -  May 21 -  2019 - Total=6572,8:30,86.0
 Tuesday -  May 21 -  2019 - Total=6572,8:45,79.0
 Tuesday -  May 21 -  2019 - Total=6572,9:0,65.0
 Tuesday -  May 21 -  2019 - Total=6572,9:15,60.0
 Tuesday -  May 21 -  2019 - Total=6572,9:30,59.0
 Tuesday -  May 21 -  2019 - Total=6572,9:45,41.0
 Tuesday -  May 21 -  2019 - Total=6572,10:0,56.0
 Tuesday -  May 21 -  2019 - Total=6572,10:15,47.0
 Tuesday -  May 21 -  2019 - Total=6572,10:30,54.0
 Tuesday -  May 21 -  2019 - Total=6572,10:45,50.0
 Tuesday -  May 21 -  2019 - Total=6572,11:0,50.0
 Tuesday -  May 21 -  2019 - Total=6572,11:15,64.0
 Tuesday -  May 21 -  2019 - Total=6572,11:30,63.0
 Tuesday -  May 21 -  2019 - Total=6572,11:45,69.0
 Tuesday -  May 21 -  2019 - Total=6572,12:0,71.0
 Tuesday -  May 21 -  2019 - Total=6572,12:15,67.0
 Tuesday -  May 21 -  2019 - Total=6572,12:30,68.0
 Tuesday -  May 21 -  2019 - Total=6572,12:45,73.0
 Tuesday -  May 21 -  2019 - Total=6572,13:0,78.0
 Tuesday -  May 21 -  2019 - Total=6572,13:15,80.0
 Tuesday -  May 21 -  2019 - Total=6572,13:30,122.0
 Tuesday -  May 21 -  2019 - Total=6572,13:45,140.0
 Tuesday -  May 21 -  2019 - Total=6572,14:0,163.0
 Tuesday -  May 21 -  2019 - Total=6572,14:15,164.0
 Tuesday -  May 21 -  2019 - Total=6572,14:30,157.0
 Tuesday -  May 21 -  2019 - Total=6572,14:45,216.0
 Tuesday -  May 21 -  2019 - Total=6572,15:0,223.0
 Tuesday -  May 21 -  2019 - Total=6572,15:15,125.0
 Tuesday -  May 21 -  2019 - Total=6572,15:30,88.0
 Tuesday -  May 21 -  2019 - Total=6572,15:45,139.0
 Tuesday -  May 21 -  2019 - Total=6572,16:0,109.0
 Tuesday -  May 21 -  2019 - Total=6572,16:15,79.0
 Tuesday -  May 21 -  2019 - Total=6572,16:30,94.0
 Tuesday -  May 21 -  2019 - Total=6572,16:45,77.0
 Tuesday -  May 21 -  2019 - Total=6572,17:0,100.0
 Tuesday -  May 21 -  2019 - Total=6572,17:15,117.0
 Tuesday -  May 21 -  2019 - Total=6572,17:30,134.0
 Tuesday -  May 21 -  2019 - Total=6572,17:45,153.0
 Tuesday -  May 21 -  2019 - Total=6572,18:0,185.0
 Tuesday -  May 21 -  2019 - Total=6572,18:15,206.0
 Tuesday -  May 21 -  2019 - Total=6572,18:30,190.0
 Tuesday -  May 21 -  2019 - Total=6572,18:45,173.0
 Tuesday -  May 21 -  2019 - Total=6572,19:0,213.0
 Tuesday -  May 21 -  2019 - Total=6572,19:15,224.0
 Tuesday -  May 21 -  2019 - Total=6572,19:30,192.0
 Tuesday -  May 21 -  2019 - Total=6572,19:45,117.0
 Tuesday -  May 21 -  2019 - Total=6572,20:0,60.0
 Tuesday -  May 21 -  2019 - Total=6572,20:15,65.0
 Tuesday -  May 21 -  2019 - Total=6572,20:30,61.0
 Tuesday -  May 21 -  2019 - Total=6572,20:45,51.0
 Tuesday -  May 21 -  2019 - Total=6572,21:0,75.0
 Tuesday -  May 21 -  2019 - Total=6572,21:15,66.0
 Tuesday -  May 21 -  2019 - Total=6572,21:30,60.0
 Tuesday -  May 21 -  2019 - Total=6572,21:45,45.0
 Tuesday -  May 21 -  2019 - Total=6572,22:0,18.0
 Tuesday -  May 21 -  2019 - Total=6572,22:15,34.0
 Tuesday -  May 21 -  2019 - Total=6572,22:30,43.0
 Tuesday -  May 21 -  2019 - Total=6572,22:45,30.0
 Tuesday -  May 21 -  2019 - Total=6572,23:0,13.0
 Tuesday -  May 21 -  2019 - Total=6572,23:15,24.0
 Tuesday -  May 21 -  2019 - Total=6572,23:30,16.0
 Tuesday -  May 21 -  2019 - Total=6572,23:45,14.0
 Wednesday -  May 22 -    2019 - Total=7150,0:0,16.0
 Wednesday -  May 22 -    2019 - Total=7150,0:15,3.0
 Wednesday -  May 22 -    2019 - Total=7150,0:30,3.0
 Wednesday -  May 22 -    2019 - Total=7150,0:45,5.0
 Wednesday -  May 22 -    2019 - Total=7150,1:0,2.0
 Wednesday -  May 22 -    2019 - Total=7150,1:15,4.0
 Wednesday -  May 22 -    2019 - Total=7150,1:30,2.0
 Wednesday -  May 22 -    2019 - Total=7150,1:45,4.0
 Wednesday -  May 22 -    2019 - Total=7150,2:0,1.0
 Wednesday -  May 22 -    2019 - Total=7150,2:15,1.0
 Wednesday -  May 22 -    2019 - Total=7150,2:30,2.0
 Wednesday -  May 22 -    2019 - Total=7150,2:45,1.0
 Wednesday -  May 22 -    2019 - Total=7150,3:0,0.0
 Wednesday -  May 22 -    2019 - Total=7150,3:15,2.0
 Wednesday -  May 22 -    2019 - Total=7150,3:30,1.0
 Wednesday -  May 22 -    2019 - Total=7150,3:45,2.0
 Wednesday -  May 22 -    2019 - Total=7150,4:0,3.0
 Wednesday -  May 22 -    2019 - Total=7150,4:15,2.0
 Wednesday -  May 22 -    2019 - Total=7150,4:30,4.0
 Wednesday -  May 22 -    2019 - Total=7150,4:45,3.0
 Wednesday -  May 22 -    2019 - Total=7150,5:0,5.0
 Wednesday -  May 22 -    2019 - Total=7150,5:15,5.0
 Wednesday -  May 22 -    2019 - Total=7150,5:30,12.0
 Wednesday -  May 22 -    2019 - Total=7150,5:45,10.0
 Wednesday -  May 22 -    2019 - Total=7150,6:0,19.0
 Wednesday -  May 22 -    2019 - Total=7150,6:15,15.0
 Wednesday -  May 22 -    2019 - Total=7150,6:30,37.0
 Wednesday -  May 22 -    2019 - Total=7150,6:45,30.0
 Wednesday -  May 22 -    2019 - Total=7150,7:0,42.0
 Wednesday -  May 22 -    2019 - Total=7150,7:15,63.0
 Wednesday -  May 22 -    2019 - Total=7150,7:30,76.0
 Wednesday -  May 22 -    2019 - Total=7150,7:45,85.0
 Wednesday -  May 22 -    2019 - Total=7150,8:0,93.0
 Wednesday -  May 22 -    2019 - Total=7150,8:15,88.0
 Wednesday -  May 22 -    2019 - Total=7150,8:30,142.0
 Wednesday -  May 22 -    2019 - Total=7150,8:45,168.0
 Wednesday -  May 22 -    2019 - Total=7150,9:0,71.0
 Wednesday -  May 22 -    2019 - Total=7150,9:15,65.0
 Wednesday -  May 22 -    2019 - Total=7150,9:30,73.0
 Wednesday -  May 22 -    2019 - Total=7150,9:45,64.0
 Wednesday -  May 22 -    2019 - Total=7150,10:0,56.0
 Wednesday -  May 22 -    2019 - Total=7150,10:15,57.0
 Wednesday -  May 22 -    2019 - Total=7150,10:30,38.0
 Wednesday -  May 22 -    2019 - Total=7150,10:45,69.0
