Day,Time,Count
 Tuesday -       May 7 -  2019=6750,0:0,5.0
 Tuesday -       May 7 -  2019=6750,0:15,2.0
 Tuesday -       May 7 -  2019=6750,0:30,3.0
 Tuesday -       May 7 -  2019=6750,0:45,0.0
 Tuesday -       May 7 -  2019=6750,1:0,1.0
 Tuesday -       May 7 -  2019=6750,1:15,1.0
 Tuesday -       May 7 -  2019=6750,1:30,3.0
 Tuesday -       May 7 -  2019=6750,1:45,0.0
 Tuesday -       May 7 -  2019=6750,2:0,1.0
 Tuesday -       May 7 -  2019=6750,2:15,1.0
 Tuesday -       May 7 -  2019=6750,2:30,2.0
 Tuesday -       May 7 -  2019=6750,2:45,3.0
 Tuesday -       May 7 -  2019=6750,3:0,1.0
 Tuesday -       May 7 -  2019=6750,3:15,2.0
 Tuesday -       May 7 -  2019=6750,3:30,1.0
 Tuesday -       May 7 -  2019=6750,3:45,2.0
 Tuesday -       May 7 -  2019=6750,4:0,4.0
 Tuesday -       May 7 -  2019=6750,4:15,3.0
 Tuesday -       May 7 -  2019=6750,4:30,12.0
 Tuesday -       May 7 -  2019=6750,4:45,16.0
 Tuesday -       May 7 -  2019=6750,5:0,14.0
 Tuesday -       May 7 -  2019=6750,5:15,22.0
 Tuesday -       May 7 -  2019=6750,5:30,29.0
 Tuesday -       May 7 -  2019=6750,5:45,38.0
 Tuesday -       May 7 -  2019=6750,6:0,46.0
 Tuesday -       May 7 -  2019=6750,6:15,65.0
 Tuesday -       May 7 -  2019=6750,6:30,86.0
 Tuesday -       May 7 -  2019=6750,6:45,115.0
 Tuesday -       May 7 -  2019=6750,7:0,133.0
 Tuesday -       May 7 -  2019=6750,7:15,148.0
 Tuesday -       May 7 -  2019=6750,7:30,163.0
 Tuesday -       May 7 -  2019=6750,7:45,180.0
 Tuesday -       May 7 -  2019=6750,8:0,178.0
 Tuesday -       May 7 -  2019=6750,8:15,220.0
 Tuesday -       May 7 -  2019=6750,8:30,238.0
 Tuesday -       May 7 -  2019=6750,8:45,196.0
 Tuesday -       May 7 -  2019=6750,9:0,212.0
 Tuesday -       May 7 -  2019=6750,9:15,176.0
 Tuesday -       May 7 -  2019=6750,9:30,177.0
 Tuesday -       May 7 -  2019=6750,9:45,171.0
 Tuesday -       May 7 -  2019=6750,10:0,114.0
 Tuesday -       May 7 -  2019=6750,10:15,96.0
 Tuesday -       May 7 -  2019=6750,10:30,136.0
 Tuesday -       May 7 -  2019=6750,10:45,100.0
 Tuesday -       May 7 -  2019=6750,11:0,94.0
 Tuesday -       May 7 -  2019=6750,11:15,89.0
 Tuesday -       May 7 -  2019=6750,11:30,93.0
 Tuesday -       May 7 -  2019=6750,11:45,85.0
 Tuesday -       May 7 -  2019=6750,12:0,84.0
 Tuesday -       May 7 -  2019=6750,12:15,105.0
 Tuesday -       May 7 -  2019=6750,12:30,112.0
 Tuesday -       May 7 -  2019=6750,12:45,87.0
 Tuesday -       May 7 -  2019=6750,13:0,89.0
 Tuesday -       May 7 -  2019=6750,13:15,89.0
 Tuesday -       May 7 -  2019=6750,13:30,86.0
 Tuesday -       May 7 -  2019=6750,13:45,71.0
 Tuesday -       May 7 -  2019=6750,14:0,69.0
 Tuesday -       May 7 -  2019=6750,14:15,89.0
 Tuesday -       May 7 -  2019=6750,14:30,81.0
 Tuesday -       May 7 -  2019=6750,14:45,91.0
 Tuesday -       May 7 -  2019=6750,15:0,86.0
 Tuesday -       May 7 -  2019=6750,15:15,115.0
 Tuesday -       May 7 -  2019=6750,15:30,95.0
 Tuesday -       May 7 -  2019=6750,15:45,67.0
 Tuesday -       May 7 -  2019=6750,16:0,83.0
 Tuesday -       May 7 -  2019=6750,16:15,77.0
 Tuesday -       May 7 -  2019=6750,16:30,90.0
 Tuesday -       May 7 -  2019=6750,16:45,70.0
 Tuesday -       May 7 -  2019=6750,17:0,89.0
 Tuesday -       May 7 -  2019=6750,17:15,87.0
 Tuesday -       May 7 -  2019=6750,17:30,94.0
 Tuesday -       May 7 -  2019=6750,17:45,92.0
 Tuesday -       May 7 -  2019=6750,18:0,112.0
 Tuesday -       May 7 -  2019=6750,18:15,73.0
 Tuesday -       May 7 -  2019=6750,18:30,76.0
 Tuesday -       May 7 -  2019=6750,18:45,96.0
 Tuesday -       May 7 -  2019=6750,19:0,88.0
