Day,Time,Count
 Tuesday -  May 14 -  2019 - Total=6065,0:0,12.0
 Tuesday -  May 14 -  2019 - Total=6065,0:15,6.0
 Tuesday -  May 14 -  2019 - Total=6065,0:30,7.0
 Tuesday -  May 14 -  2019 - Total=6065,0:45,3.0
 Tuesday -  May 14 -  2019 - Total=6065,1:0,4.0
 Tuesday -  May 14 -  2019 - Total=6065,1:15,2.0
 Tuesday -  May 14 -  2019 - Total=6065,1:30,3.0
 Tuesday -  May 14 -  2019 - Total=6065,1:45,0.0
 Tuesday -  May 14 -  2019 - Total=6065,2:0,1.0
 Tuesday -  May 14 -  2019 - Total=6065,2:15,1.0
 Tuesday -  May 14 -  2019 - Total=6065,2:30,3.0
 Tuesday -  May 14 -  2019 - Total=6065,2:45,1.0
 Tuesday -  May 14 -  2019 - Total=6065,3:0,2.0
 Tuesday -  May 14 -  2019 - Total=6065,3:15,2.0
 Tuesday -  May 14 -  2019 - Total=6065,3:30,0.0
 Tuesday -  May 14 -  2019 - Total=6065,3:45,2.0
 Tuesday -  May 14 -  2019 - Total=6065,4:0,2.0
 Tuesday -  May 14 -  2019 - Total=6065,4:15,1.0
 Tuesday -  May 14 -  2019 - Total=6065,4:30,2.0
 Tuesday -  May 14 -  2019 - Total=6065,4:45,5.0
 Tuesday -  May 14 -  2019 - Total=6065,5:0,8.0
 Tuesday -  May 14 -  2019 - Total=6065,5:15,16.0
 Tuesday -  May 14 -  2019 - Total=6065,5:30,9.0
 Tuesday -  May 14 -  2019 - Total=6065,5:45,11.0
 Tuesday -  May 14 -  2019 - Total=6065,6:0,19.0
 Tuesday -  May 14 -  2019 - Total=6065,6:15,22.0
 Tuesday -  May 14 -  2019 - Total=6065,6:30,30.0
 Tuesday -  May 14 -  2019 - Total=6065,6:45,33.0
 Tuesday -  May 14 -  2019 - Total=6065,7:0,51.0
 Tuesday -  May 14 -  2019 - Total=6065,7:15,52.0
 Tuesday -  May 14 -  2019 - Total=6065,7:30,122.0
 Tuesday -  May 14 -  2019 - Total=6065,7:45,155.0
 Tuesday -  May 14 -  2019 - Total=6065,8:0,77.0
 Tuesday -  May 14 -  2019 - Total=6065,8:15,94.0
 Tuesday -  May 14 -  2019 - Total=6065,8:30,71.0
 Tuesday -  May 14 -  2019 - Total=6065,8:45,98.0
 Tuesday -  May 14 -  2019 - Total=6065,9:0,59.0
 Tuesday -  May 14 -  2019 - Total=6065,9:15,61.0
 Tuesday -  May 14 -  2019 - Total=6065,9:30,73.0
 Tuesday -  May 14 -  2019 - Total=6065,9:45,66.0
 Tuesday -  May 14 -  2019 - Total=6065,10:0,58.0
 Tuesday -  May 14 -  2019 - Total=6065,10:15,64.0
 Tuesday -  May 14 -  2019 - Total=6065,10:30,74.0
 Tuesday -  May 14 -  2019 - Total=6065,10:45,71.0
 Tuesday -  May 14 -  2019 - Total=6065,11:0,68.0
 Tuesday -  May 14 -  2019 - Total=6065,11:15,80.0
 Tuesday -  May 14 -  2019 - Total=6065,11:30,66.0
 Tuesday -  May 14 -  2019 - Total=6065,11:45,76.0
 Tuesday -  May 14 -  2019 - Total=6065,12:0,78.0
 Tuesday -  May 14 -  2019 - Total=6065,12:15,83.0
 Tuesday -  May 14 -  2019 - Total=6065,12:30,86.0
 Tuesday -  May 14 -  2019 - Total=6065,12:45,82.0
 Tuesday -  May 14 -  2019 - Total=6065,13:0,86.0
 Tuesday -  May 14 -  2019 - Total=6065,13:15,77.0
 Tuesday -  May 14 -  2019 - Total=6065,13:30,74.0
 Tuesday -  May 14 -  2019 - Total=6065,13:45,120.0
 Tuesday -  May 14 -  2019 - Total=6065,14:0,109.0
 Tuesday -  May 14 -  2019 - Total=6065,14:15,151.0
 Tuesday -  May 14 -  2019 - Total=6065,14:30,157.0
 Tuesday -  May 14 -  2019 - Total=6065,14:45,126.0
 Tuesday -  May 14 -  2019 - Total=6065,15:0,76.0
 Tuesday -  May 14 -  2019 - Total=6065,15:15,118.0
 Tuesday -  May 14 -  2019 - Total=6065,15:30,93.0
 Tuesday -  May 14 -  2019 - Total=6065,15:45,105.0
 Tuesday -  May 14 -  2019 - Total=6065,16:0,110.0
 Tuesday -  May 14 -  2019 - Total=6065,16:15,74.0
 Tuesday -  May 14 -  2019 - Total=6065,16:30,85.0
 Tuesday -  May 14 -  2019 - Total=6065,16:45,114.0
 Tuesday -  May 14 -  2019 - Total=6065,17:0,133.0
 Tuesday -  May 14 -  2019 - Total=6065,17:15,129.0
 Tuesday -  May 14 -  2019 - Total=6065,17:30,141.0
 Tuesday -  May 14 -  2019 - Total=6065,17:45,129.0
 Tuesday -  May 14 -  2019 - Total=6065,18:0,119.0
 Tuesday -  May 14 -  2019 - Total=6065,18:15,121.0
 Tuesday -  May 14 -  2019 - Total=6065,18:30,135.0
 Tuesday -  May 14 -  2019 - Total=6065,18:45,133.0
 Tuesday -  May 14 -  2019 - Total=6065,19:0,200.0
 Tuesday -  May 14 -  2019 - Total=6065,19:15,185.0
 Tuesday -  May 14 -  2019 - Total=6065,19:30,148.0
 Tuesday -  May 14 -  2019 - Total=6065,19:45,95.0
 Tuesday -  May 14 -  2019 - Total=6065,20:0,97.0
 Tuesday -  May 14 -  2019 - Total=6065,20:15,73.0
 Tuesday -  May 14 -  2019 - Total=6065,20:30,64.0
 Tuesday -  May 14 -  2019 - Total=6065,20:45,53.0
 Tuesday -  May 14 -  2019 - Total=6065,21:0,65.0
 Tuesday -  May 14 -  2019 - Total=6065,21:15,49.0
 Tuesday -  May 14 -  2019 - Total=6065,21:30,44.0
 Tuesday -  May 14 -  2019 - Total=6065,21:45,39.0
 Tuesday -  May 14 -  2019 - Total=6065,22:0,36.0
 Tuesday -  May 14 -  2019 - Total=6065,22:15,28.0
 Tuesday -  May 14 -  2019 - Total=6065,22:30,30.0
 Tuesday -  May 14 -  2019 - Total=6065,22:45,13.0
 Tuesday -  May 14 -  2019 - Total=6065,23:0,15.0
 Tuesday -  May 14 -  2019 - Total=6065,23:15,19.0
 Tuesday -  May 14 -  2019 - Total=6065,23:30,10.0
 Tuesday -  May 14 -  2019 - Total=6065,23:45,15.0
 Wednesday -  May 15 -  2019 -    Total=6380,0:0,11.0
 Wednesday -  May 15 -  2019 -    Total=6380,0:15,6.0
 Wednesday -  May 15 -  2019 -    Total=6380,0:30,5.0
 Wednesday -  May 15 -  2019 -    Total=6380,0:45,2.0
 Wednesday -  May 15 -  2019 -    Total=6380,1:0,1.0
 Wednesday -  May 15 -  2019 -    Total=6380,1:15,0.0
 Wednesday -  May 15 -  2019 -    Total=6380,1:30,5.0
 Wednesday -  May 15 -  2019 -    Total=6380,1:45,1.0
 Wednesday -  May 15 -  2019 -    Total=6380,2:0,3.0
 Wednesday -  May 15 -  2019 -    Total=6380,2:15,2.0
 Wednesday -  May 15 -  2019 -    Total=6380,2:30,4.0
 Wednesday -  May 15 -  2019 -    Total=6380,2:45,7.0
 Wednesday -  May 15 -  2019 -    Total=6380,3:0,0.0
 Wednesday -  May 15 -  2019 -    Total=6380,3:15,0.0
 Wednesday -  May 15 -  2019 -    Total=6380,3:30,2.0
 Wednesday -  May 15 -  2019 -    Total=6380,3:45,2.0
 Wednesday -  May 15 -  2019 -    Total=6380,4:0,1.0
 Wednesday -  May 15 -  2019 -    Total=6380,4:15,3.0
 Wednesday -  May 15 -  2019 -    Total=6380,4:30,1.0
 Wednesday -  May 15 -  2019 -    Total=6380,4:45,3.0
 Wednesday -  May 15 -  2019 -    Total=6380,5:0,7.0
 Wednesday -  May 15 -  2019 -    Total=6380,5:15,11.0
 Wednesday -  May 15 -  2019 -    Total=6380,5:30,8.0
 Wednesday -  May 15 -  2019 -    Total=6380,5:45,13.0
 Wednesday -  May 15 -  2019 -    Total=6380,6:0,22.0
 Wednesday -  May 15 -  2019 -    Total=6380,6:15,21.0
 Wednesday -  May 15 -  2019 -    Total=6380,6:30,36.0
 Wednesday -  May 15 -  2019 -    Total=6380,6:45,23.0
 Wednesday -  May 15 -  2019 -    Total=6380,7:0,62.0
 Wednesday -  May 15 -  2019 -    Total=6380,7:15,45.0
 Wednesday -  May 15 -  2019 -    Total=6380,7:30,72.0
 Wednesday -  May 15 -  2019 -    Total=6380,7:45,93.0
 Wednesday -  May 15 -  2019 -    Total=6380,8:0,85.0
 Wednesday -  May 15 -  2019 -    Total=6380,8:15,82.0
 Wednesday -  May 15 -  2019 -    Total=6380,8:30,114.0
 Wednesday -  May 15 -  2019 -    Total=6380,8:45,140.0
 Wednesday -  May 15 -  2019 -    Total=6380,9:0,66.0
 Wednesday -  May 15 -  2019 -    Total=6380,9:15,58.0
 Wednesday -  May 15 -  2019 -    Total=6380,9:30,68.0
 Wednesday -  May 15 -  2019 -    Total=6380,9:45,71.0
 Wednesday -  May 15 -  2019 -    Total=6380,10:0,60.0
 Wednesday -  May 15 -  2019 -    Total=6380,10:15,62.0
 Wednesday -  May 15 -  2019 -    Total=6380,10:30,73.0
 Wednesday -  May 15 -  2019 -    Total=6380,10:45,75.0
 Wednesday -  May 15 -  2019 -    Total=6380,11:0,67.0
 Wednesday -  May 15 -  2019 -    Total=6380,11:15,93.0
 Wednesday -  May 15 -  2019 -    Total=6380,11:30,84.0
 Wednesday -  May 15 -  2019 -    Total=6380,11:45,90.0
 Wednesday -  May 15 -  2019 -    Total=6380,12:0,77.0
 Wednesday -  May 15 -  2019 -    Total=6380,12:15,90.0
 Wednesday -  May 15 -  2019 -    Total=6380,12:30,96.0
 Wednesday -  May 15 -  2019 -    Total=6380,12:45,90.0
 Wednesday -  May 15 -  2019 -    Total=6380,13:0,68.0
 Wednesday -  May 15 -  2019 -    Total=6380,13:15,97.0
 Wednesday -  May 15 -  2019 -    Total=6380,13:30,82.0
 Wednesday -  May 15 -  2019 -    Total=6380,13:45,83.0
 Wednesday -  May 15 -  2019 -    Total=6380,14:0,136.0
 Wednesday -  May 15 -  2019 -    Total=6380,14:15,157.0
 Wednesday -  May 15 -  2019 -    Total=6380,14:30,140.0
 Wednesday -  May 15 -  2019 -    Total=6380,14:45,134.0
 Wednesday -  May 15 -  2019 -    Total=6380,15:0,165.0
 Wednesday -  May 15 -  2019 -    Total=6380,15:15,127.0
 Wednesday -  May 15 -  2019 -    Total=6380,15:30,92.0
 Wednesday -  May 15 -  2019 -    Total=6380,15:45,99.0
 Wednesday -  May 15 -  2019 -    Total=6380,16:0,103.0
 Wednesday -  May 15 -  2019 -    Total=6380,16:15,123.0
 Wednesday -  May 15 -  2019 -    Total=6380,16:30,132.0
 Wednesday -  May 15 -  2019 -    Total=6380,16:45,117.0
 Wednesday -  May 15 -  2019 -    Total=6380,17:0,110.0
 Wednesday -  May 15 -  2019 -    Total=6380,17:15,111.0
 Wednesday -  May 15 -  2019 -    Total=6380,17:30,162.0
 Wednesday -  May 15 -  2019 -    Total=6380,17:45,133.0
 Wednesday -  May 15 -  2019 -    Total=6380,18:0,143.0
 Wednesday -  May 15 -  2019 -    Total=6380,18:15,112.0
 Wednesday -  May 15 -  2019 -    Total=6380,18:30,119.0
 Wednesday -  May 15 -  2019 -    Total=6380,18:45,116.0
 Wednesday -  May 15 -  2019 -    Total=6380,19:0,146.0
 Wednesday -  May 15 -  2019 -    Total=6380,19:15,182.0
 Wednesday -  May 15 -  2019 -    Total=6380,19:30,155.0
 Wednesday -  May 15 -  2019 -    Total=6380,19:45,133.0
 Wednesday -  May 15 -  2019 -    Total=6380,20:0,143.0
 Wednesday -  May 15 -  2019 -    Total=6380,20:15,148.0
 Wednesday -  May 15 -  2019 -    Total=6380,20:30,80.0
 Wednesday -  May 15 -  2019 -    Total=6380,20:45,73.0
 Wednesday -  May 15 -  2019 -    Total=6380,21:0,57.0
 Wednesday -  May 15 -  2019 -    Total=6380,21:15,44.0
 Wednesday -  May 15 -  2019 -    Total=6380,21:30,45.0
 Wednesday -  May 15 -  2019 -    Total=6380,21:45,37.0
 Wednesday -  May 15 -  2019 -    Total=6380,22:0,22.0
 Wednesday -  May 15 -  2019 -    Total=6380,22:15,29.0
 Wednesday -  May 15 -  2019 -    Total=6380,22:30,23.0
 Wednesday -  May 15 -  2019 -    Total=6380,22:45,24.0
 Wednesday -  May 15 -  2019 -    Total=6380,23:0,16.0
 Wednesday -  May 15 -  2019 -    Total=6380,23:15,20.0
 Wednesday -  May 15 -  2019 -    Total=6380,23:30,14.0
 Wednesday -  May 15 -  2019 -    Total=6380,23:45,15.0
 Thursday -  May 16 -  2019 - Total=5770,0:0,10.0
 Thursday -  May 16 -  2019 - Total=5770,0:15,8.0
 Thursday -  May 16 -  2019 - Total=5770,0:30,6.0
 Thursday -  May 16 -  2019 - Total=5770,0:45,1.0
 Thursday -  May 16 -  2019 - Total=5770,1:0,5.0
 Thursday -  May 16 -  2019 - Total=5770,1:15,11.0
 Thursday -  May 16 -  2019 - Total=5770,1:30,2.0
 Thursday -  May 16 -  2019 - Total=5770,1:45,1.0
 Thursday -  May 16 -  2019 - Total=5770,2:0,1.0
 Thursday -  May 16 -  2019 - Total=5770,2:15,4.0
 Thursday -  May 16 -  2019 - Total=5770,2:30,1.0
 Thursday -  May 16 -  2019 - Total=5770,2:45,6.0
 Thursday -  May 16 -  2019 - Total=5770,3:0,1.0
 Thursday -  May 16 -  2019 - Total=5770,3:15,0.0
 Thursday -  May 16 -  2019 - Total=5770,3:30,4.0
 Thursday -  May 16 -  2019 - Total=5770,3:45,0.0
 Thursday -  May 16 -  2019 - Total=5770,4:0,1.0
 Thursday -  May 16 -  2019 - Total=5770,4:15,1.0
 Thursday -  May 16 -  2019 - Total=5770,4:30,8.0
 Thursday -  May 16 -  2019 - Total=5770,4:45,4.0
 Thursday -  May 16 -  2019 - Total=5770,5:0,6.0
 Thursday -  May 16 -  2019 - Total=5770,5:15,13.0
 Thursday -  May 16 -  2019 - Total=5770,5:30,10.0
 Thursday -  May 16 -  2019 - Total=5770,5:45,15.0
 Thursday -  May 16 -  2019 - Total=5770,6:0,19.0
 Thursday -  May 16 -  2019 - Total=5770,6:15,16.0
 Thursday -  May 16 -  2019 - Total=5770,6:30,30.0
 Thursday -  May 16 -  2019 - Total=5770,6:45,39.0
 Thursday -  May 16 -  2019 - Total=5770,7:0,49.0
 Thursday -  May 16 -  2019 - Total=5770,7:15,52.0
 Thursday -  May 16 -  2019 - Total=5770,7:30,118.0
 Thursday -  May 16 -  2019 - Total=5770,7:45,163.0
 Thursday -  May 16 -  2019 - Total=5770,8:0,78.0
 Thursday -  May 16 -  2019 - Total=5770,8:15,96.0
 Thursday -  May 16 -  2019 - Total=5770,8:30,73.0
 Thursday -  May 16 -  2019 - Total=5770,8:45,69.0
 Thursday -  May 16 -  2019 - Total=5770,9:0,59.0
 Thursday -  May 16 -  2019 - Total=5770,9:15,79.0
 Thursday -  May 16 -  2019 - Total=5770,9:30,82.0
 Thursday -  May 16 -  2019 - Total=5770,9:45,58.0
 Thursday -  May 16 -  2019 - Total=5770,10:0,61.0
 Thursday -  May 16 -  2019 - Total=5770,10:15,72.0
 Thursday -  May 16 -  2019 - Total=5770,10:30,69.0
 Thursday -  May 16 -  2019 - Total=5770,10:45,63.0
 Thursday -  May 16 -  2019 - Total=5770,11:0,52.0
 Thursday -  May 16 -  2019 - Total=5770,11:15,86.0
 Thursday -  May 16 -  2019 - Total=5770,11:30,80.0
 Thursday -  May 16 -  2019 - Total=5770,11:45,72.0
 Thursday -  May 16 -  2019 - Total=5770,12:0,85.0
 Thursday -  May 16 -  2019 - Total=5770,12:15,75.0
 Thursday -  May 16 -  2019 - Total=5770,12:30,80.0
 Thursday -  May 16 -  2019 - Total=5770,12:45,101.0
 Thursday -  May 16 -  2019 - Total=5770,13:0,72.0
 Thursday -  May 16 -  2019 - Total=5770,13:15,80.0
