Day,Time,Count
 Tuesday -  May 7 -  2019 - Total=1557,0:0,0.0
 Tuesday -  May 7 -  2019 - Total=1557,0:15,3.0
 Tuesday -  May 7 -  2019 - Total=1557,0:30,0.0
 Tuesday -  May 7 -  2019 - Total=1557,0:45,2.0
 Tuesday -  May 7 -  2019 - Total=1557,1:0,0.0
 Tuesday -  May 7 -  2019 - Total=1557,1:15,0.0
 Tuesday -  May 7 -  2019 - Total=1557,1:30,0.0
 Tuesday -  May 7 -  2019 - Total=1557,1:45,1.0
 Tuesday -  May 7 -  2019 - Total=1557,2:0,0.0
 Tuesday -  May 7 -  2019 - Total=1557,2:15,1.0
 Tuesday -  May 7 -  2019 - Total=1557,2:30,0.0
 Tuesday -  May 7 -  2019 - Total=1557,2:45,2.0
 Tuesday -  May 7 -  2019 - Total=1557,3:0,0.0
 Tuesday -  May 7 -  2019 - Total=1557,3:15,0.0
 Tuesday -  May 7 -  2019 - Total=1557,3:30,0.0
 Tuesday -  May 7 -  2019 - Total=1557,3:45,1.0
 Tuesday -  May 7 -  2019 - Total=1557,4:0,0.0
 Tuesday -  May 7 -  2019 - Total=1557,4:15,0.0
 Tuesday -  May 7 -  2019 - Total=1557,4:30,2.0
 Tuesday -  May 7 -  2019 - Total=1557,4:45,0.0
 Tuesday -  May 7 -  2019 - Total=1557,5:0,1.0
 Tuesday -  May 7 -  2019 - Total=1557,5:15,1.0
 Tuesday -  May 7 -  2019 - Total=1557,5:30,2.0
 Tuesday -  May 7 -  2019 - Total=1557,5:45,1.0
 Tuesday -  May 7 -  2019 - Total=1557,6:0,3.0
 Tuesday -  May 7 -  2019 - Total=1557,6:15,4.0
 Tuesday -  May 7 -  2019 - Total=1557,6:30,1.0
 Tuesday -  May 7 -  2019 - Total=1557,6:45,3.0
 Tuesday -  May 7 -  2019 - Total=1557,7:0,13.0
 Tuesday -  May 7 -  2019 - Total=1557,7:15,10.0
 Tuesday -  May 7 -  2019 - Total=1557,7:30,9.0
 Tuesday -  May 7 -  2019 - Total=1557,7:45,25.0
