,TIME,NB,SB,EB,WB,date
0,00:00:00,4,6,0,0,2019-06-04
1,00:15:00,4,9,0,0,2019-06-04
2,00:30:00,8,6,0,0,2019-06-04
3,00:45:00,1,3,0,0,2019-06-04
4,01:00:00,0,6,0,0,2019-06-04
5,01:15:00,1,4,0,0,2019-06-04
6,01:30:00,2,5,0,0,2019-06-04
7,01:45:00,3,3,0,0,2019-06-04
8,02:00:00,1,4,0,0,2019-06-04
9,02:15:00,3,2,0,0,2019-06-04
10,02:30:00,0,3,0,0,2019-06-04
11,02:45:00,3,1,0,0,2019-06-04
12,03:00:00,5,4,0,0,2019-06-04
13,03:15:00,4,4,0,0,2019-06-04
14,03:30:00,5,2,0,0,2019-06-04
15,03:45:00,6,2,0,0,2019-06-04
16,04:00:00,8,4,0,0,2019-06-04
17,04:15:00,6,2,0,0,2019-06-04
18,04:30:00,14,1,0,0,2019-06-04
19,04:45:00,17,13,0,0,2019-06-04
20,05:00:00,22,13,0,0,2019-06-04
21,05:15:00,14,12,0,0,2019-06-04
22,05:30:00,42,10,0,0,2019-06-04
23,05:45:00,62,19,0,0,2019-06-04
24,06:00:00,60,30,0,0,2019-06-04
25,06:15:00,65,24,0,0,2019-06-04
26,06:30:00,80,35,0,0,2019-06-04
27,06:45:00,103,46,0,0,2019-06-04
28,07:00:00,91,55,0,0,2019-06-04
29,07:15:00,172,43,0,0,2019-06-04
30,07:30:00,166,86,0,0,2019-06-04
31,07:45:00,258,130,0,0,2019-06-04
32,08:00:00,295,163,0,0,2019-06-04
33,08:15:00,282,119,0,0,2019-06-04
34,08:30:00,248,86,0,0,2019-06-04
35,08:45:00,218,88,0,0,2019-06-04
36,09:00:00,209,75,0,0,2019-06-04
37,09:15:00,188,75,0,0,2019-06-04
38,09:30:00,138,64,0,0,2019-06-04
39,09:45:00,135,81,0,0,2019-06-04
40,10:00:00,110,76,0,0,2019-06-04
41,10:15:00,100,71,0,0,2019-06-04
42,10:30:00,115,76,0,0,2019-06-04
43,10:45:00,96,78,0,0,2019-06-04
44,11:00:00,98,79,0,0,2019-06-04
45,11:15:00,79,96,0,0,2019-06-04
46,11:30:00,99,97,0,0,2019-06-04
47,11:45:00,106,91,0,0,2019-06-04
48,12:00:00,80,84,0,0,2019-06-04
49,12:15:00,77,93,0,0,2019-06-04
50,12:30:00,86,93,0,0,2019-06-04
51,12:45:00,89,75,0,0,2019-06-04
52,13:00:00,106,64,0,0,2019-06-04
53,13:15:00,90,85,0,0,2019-06-04
54,13:30:00,89,105,0,0,2019-06-04
55,13:45:00,86,111,0,0,2019-06-04
56,14:00:00,92,116,0,0,2019-06-04
57,14:15:00,73,153,0,0,2019-06-04
58,14:30:00,114,222,0,0,2019-06-04
59,14:45:00,117,264,0,0,2019-06-04
60,15:00:00,164,236,0,0,2019-06-04
61,15:15:00,135,213,0,0,2019-06-04
62,15:30:00,129,217,0,0,2019-06-04
63,15:45:00,106,203,0,0,2019-06-04
64,16:00:00,113,208,0,0,2019-06-04
65,16:15:00,118,228,0,0,2019-06-04
66,16:30:00,112,272,0,0,2019-06-04
67,16:45:00,121,231,0,0,2019-06-04
68,17:00:00,113,228,0,0,2019-06-04
69,17:15:00,162,223,0,0,2019-06-04
70,17:30:00,141,274,0,0,2019-06-04
71,17:45:00,146,245,0,0,2019-06-04
72,18:00:00,130,259,0,0,2019-06-04
73,18:15:00,122,239,0,0,2019-06-04
74,18:30:00,86,207,0,0,2019-06-04
75,18:45:00,82,189,0,0,2019-06-04
76,19:00:00,98,238,0,0,2019-06-04
77,19:15:00,110,186,0,0,2019-06-04
78,19:30:00,76,201,0,0,2019-06-04
79,19:45:00,76,143,0,0,2019-06-04
80,20:00:00,90,124,0,0,2019-06-04
81,20:15:00,65,136,0,0,2019-06-04
82,20:30:00,80,84,0,0,2019-06-04
83,20:45:00,62,95,0,0,2019-06-04
84,21:00:00,46,96,0,0,2019-06-04
85,21:15:00,52,67,0,0,2019-06-04
86,21:30:00,38,75,0,0,2019-06-04
87,21:45:00,35,44,0,0,2019-06-04
88,22:00:00,32,36,0,0,2019-06-04
89,22:15:00,18,33,0,0,2019-06-04
90,22:30:00,14,44,0,0,2019-06-04
91,22:45:00,15,30,0,0,2019-06-04
92,23:00:00,14,21,0,0,2019-06-04
93,23:15:00,11,22,0,0,2019-06-04
94,23:30:00,15,19,0,0,2019-06-04
95,23:45:00,3,14,0,0,2019-06-04
96,00:00:00,8,10,0,0,2019-06-05
97,00:15:00,3,15,0,0,2019-06-05
98,00:30:00,10,5,0,0,2019-06-05
99,00:45:00,3,5,0,0,2019-06-05
100,01:00:00,0,7,0,0,2019-06-05
101,01:15:00,3,2,0,0,2019-06-05
102,01:30:00,1,3,0,0,2019-06-05
103,01:45:00,4,4,0,0,2019-06-05
104,02:00:00,6,1,0,0,2019-06-05
105,02:15:00,2,1,0,0,2019-06-05
106,02:30:00,4,1,0,0,2019-06-05
107,02:45:00,2,4,0,0,2019-06-05
108,03:00:00,1,1,0,0,2019-06-05
109,03:15:00,2,5,0,0,2019-06-05
110,03:30:00,5,2,0,0,2019-06-05
111,03:45:00,6,2,0,0,2019-06-05
112,04:00:00,7,2,0,0,2019-06-05
113,04:15:00,4,2,0,0,2019-06-05
114,04:30:00,12,2,0,0,2019-06-05
115,04:45:00,19,7,0,0,2019-06-05
116,05:00:00,19,3,0,0,2019-06-05
117,05:15:00,16,10,0,0,2019-06-05
118,05:30:00,33,12,0,0,2019-06-05
119,05:45:00,60,18,0,0,2019-06-05
120,06:00:00,60,25,0,0,2019-06-05
121,06:15:00,67,25,0,0,2019-06-05
122,06:30:00,77,26,0,0,2019-06-05
123,06:45:00,115,42,0,0,2019-06-05
124,07:00:00,100,50,0,0,2019-06-05
125,07:15:00,161,64,0,0,2019-06-05
126,07:30:00,154,86,0,0,2019-06-05
127,07:45:00,233,111,0,0,2019-06-05
128,08:00:00,234,127,0,0,2019-06-05
129,08:15:00,255,145,0,0,2019-06-05
130,08:30:00,262,110,0,0,2019-06-05
131,08:45:00,254,85,0,0,2019-06-05
132,09:00:00,246,64,0,0,2019-06-05
133,09:15:00,186,76,0,0,2019-06-05
134,09:30:00,162,74,0,0,2019-06-05
135,09:45:00,154,82,0,0,2019-06-05
136,10:00:00,144,96,0,0,2019-06-05
137,10:15:00,123,62,0,0,2019-06-05
138,10:30:00,104,81,0,0,2019-06-05
139,10:45:00,103,72,0,0,2019-06-05
140,11:00:00,90,89,0,0,2019-06-05
141,11:15:00,96,81,0,0,2019-06-05
142,11:30:00,119,80,0,0,2019-06-05
143,11:45:00,94,92,0,0,2019-06-05
144,12:00:00,102,74,0,0,2019-06-05
