,TIME,NB,SB,EB,WB,date
0,00:00:00,15,7,0,0,2019-06-04
1,00:15:00,4,6,0,0,2019-06-04
2,00:30:00,14,2,0,0,2019-06-04
3,00:45:00,6,1,0,0,2019-06-04
4,01:00:00,6,1,0,0,2019-06-04
5,01:15:00,2,1,0,0,2019-06-04
6,01:30:00,6,1,0,0,2019-06-04
7,01:45:00,9,3,0,0,2019-06-04
8,02:00:00,6,3,0,0,2019-06-04
9,02:15:00,1,5,0,0,2019-06-04
10,02:30:00,7,1,0,0,2019-06-04
11,02:45:00,2,2,0,0,2019-06-04
12,03:00:00,3,2,0,0,2019-06-04
13,03:15:00,2,3,0,0,2019-06-04
14,03:30:00,6,3,0,0,2019-06-04
15,03:45:00,4,11,0,0,2019-06-04
16,04:00:00,5,8,0,0,2019-06-04
17,04:15:00,2,17,0,0,2019-06-04
18,04:30:00,5,24,0,0,2019-06-04
19,04:45:00,6,36,0,0,2019-06-04
20,05:00:00,14,32,0,0,2019-06-04
21,05:15:00,23,52,0,0,2019-06-04
22,05:30:00,23,63,0,0,2019-06-04
23,05:45:00,33,87,0,0,2019-06-04
24,06:00:00,37,87,0,0,2019-06-04
25,06:15:00,23,92,0,0,2019-06-04
26,06:30:00,45,118,0,0,2019-06-04
27,06:45:00,54,141,0,0,2019-06-04
28,07:00:00,49,171,0,0,2019-06-04
29,07:15:00,54,197,0,0,2019-06-04
30,07:30:00,72,221,0,0,2019-06-04
31,07:45:00,117,293,0,0,2019-06-04
32,08:00:00,93,368,0,0,2019-06-04
33,08:15:00,84,359,0,0,2019-06-04
34,08:30:00,96,312,0,0,2019-06-04
35,08:45:00,78,309,0,0,2019-06-04
36,09:00:00,56,304,0,0,2019-06-04
37,09:15:00,56,188,0,0,2019-06-04
38,09:30:00,90,195,0,0,2019-06-04
39,09:45:00,146,174,0,0,2019-06-04
40,10:00:00,113,143,0,0,2019-06-04
41,10:15:00,98,152,0,0,2019-06-04
42,10:30:00,87,121,0,0,2019-06-04
43,10:45:00,106,144,0,0,2019-06-04
44,11:00:00,115,152,0,0,2019-06-04
45,11:15:00,123,141,0,0,2019-06-04
46,11:30:00,109,143,0,0,2019-06-04
47,11:45:00,102,167,0,0,2019-06-04
48,12:00:00,122,112,0,0,2019-06-04
49,12:15:00,122,119,0,0,2019-06-04
50,12:30:00,128,125,0,0,2019-06-04
