,TIME,NB,SB,EB,WB,date
0,00:00:00,6,3,0,0,2019-06-04
1,00:15:00,5,1,0,0,2019-06-04
2,00:30:00,1,0,0,0,2019-06-04
3,00:45:00,1,1,0,0,2019-06-04
4,01:00:00,0,0,0,0,2019-06-04
5,01:15:00,0,0,0,0,2019-06-04
6,01:30:00,0,0,0,0,2019-06-04
7,01:45:00,0,0,0,0,2019-06-04
8,02:00:00,0,0,0,0,2019-06-04
9,02:15:00,1,1,0,0,2019-06-04
10,02:30:00,0,0,0,0,2019-06-04
11,02:45:00,0,0,0,0,2019-06-04
12,03:00:00,0,0,0,0,2019-06-04
13,03:15:00,0,0,0,0,2019-06-04
14,03:30:00,1,0,0,0,2019-06-04
15,03:45:00,0,1,0,0,2019-06-04
16,04:00:00,0,2,0,0,2019-06-04
17,04:15:00,0,1,0,0,2019-06-04
18,04:30:00,1,2,0,0,2019-06-04
19,04:45:00,3,1,0,0,2019-06-04
20,05:00:00,4,3,0,0,2019-06-04
21,05:15:00,5,1,0,0,2019-06-04
22,05:30:00,9,5,0,0,2019-06-04
23,05:45:00,15,4,0,0,2019-06-04
24,06:00:00,12,13,0,0,2019-06-04
25,06:15:00,13,12,0,0,2019-06-04
26,06:30:00,25,19,0,0,2019-06-04
27,06:45:00,31,25,0,0,2019-06-04
28,07:00:00,26,31,0,0,2019-06-04
29,07:15:00,46,55,0,0,2019-06-04
30,07:30:00,59,47,0,0,2019-06-04
31,07:45:00,39,74,0,0,2019-06-04
32,08:00:00,79,103,0,0,2019-06-04
33,08:15:00,79,138,0,0,2019-06-04
34,08:30:00,31,78,0,0,2019-06-04
35,08:45:00,42,74,0,0,2019-06-04
36,09:00:00,34,75,0,0,2019-06-04
37,09:15:00,26,71,0,0,2019-06-04
38,09:30:00,23,47,0,0,2019-06-04
39,09:45:00,24,37,0,0,2019-06-04
40,10:00:00,17,40,0,0,2019-06-04
41,10:15:00,26,28,0,0,2019-06-04
42,10:30:00,13,39,0,0,2019-06-04
43,10:45:00,14,43,0,0,2019-06-04
44,11:00:00,22,42,0,0,2019-06-04
45,11:15:00,22,31,0,0,2019-06-04
46,11:30:00,21,42,0,0,2019-06-04
47,11:45:00,30,40,0,0,2019-06-04
48,12:00:00,17,17,0,0,2019-06-04
49,12:15:00,19,27,0,0,2019-06-04
50,12:30:00,20,29,0,0,2019-06-04
51,12:45:00,26,28,0,0,2019-06-04
52,13:00:00,27,26,0,0,2019-06-04
53,13:15:00,31,29,0,0,2019-06-04
54,13:30:00,30,30,0,0,2019-06-04
55,13:45:00,40,34,0,0,2019-06-04
56,14:00:00,59,30,0,0,2019-06-04
57,14:15:00,114,41,0,0,2019-06-04
58,14:30:00,137,41,0,0,2019-06-04
59,14:45:00,142,88,0,0,2019-06-04
60,15:00:00,152,49,0,0,2019-06-04
61,15:15:00,144,80,0,0,2019-06-04
62,15:30:00,141,102,0,0,2019-06-04
63,15:45:00,126,70,0,0,2019-06-04
64,16:00:00,119,56,0,0,2019-06-04
65,16:15:00,116,55,0,0,2019-06-04
66,16:30:00,129,56,0,0,2019-06-04
67,16:45:00,142,39,0,0,2019-06-04
68,17:00:00,132,61,0,0,2019-06-04
69,17:15:00,123,52,0,0,2019-06-04
70,17:30:00,128,40,0,0,2019-06-04
71,17:45:00,140,53,0,0,2019-06-04
72,18:00:00,144,70,0,0,2019-06-04
73,18:15:00,133,33,0,0,2019-06-04
74,18:30:00,113,43,0,0,2019-06-04
75,18:45:00,140,37,0,0,2019-06-04
76,19:00:00,141,29,0,0,2019-06-04
77,19:15:00,79,29,0,0,2019-06-04
78,19:30:00,61,40,0,0,2019-06-04
79,19:45:00,44,25,0,0,2019-06-04
80,20:00:00,32,29,0,0,2019-06-04
81,20:15:00,43,25,0,0,2019-06-04
82,20:30:00,38,23,0,0,2019-06-04
83,20:45:00,27,26,0,0,2019-06-04
84,21:00:00,33,23,0,0,2019-06-04
85,21:15:00,18,18,0,0,2019-06-04
86,21:30:00,18,10,0,0,2019-06-04
87,21:45:00,19,8,0,0,2019-06-04
88,22:00:00,21,12,0,0,2019-06-04
89,22:15:00,14,9,0,0,2019-06-04
90,22:30:00,11,7,0,0,2019-06-04
91,22:45:00,7,3,0,0,2019-06-04
92,23:00:00,11,7,0,0,2019-06-04
93,23:15:00,4,4,0,0,2019-06-04
94,23:30:00,6,2,0,0,2019-06-04
95,23:45:00,6,2,0,0,2019-06-04
96,00:00:00,2,3,0,0,2019-06-05
97,00:15:00,3,1,0,0,2019-06-05
