,TIME,NB,SB,EB,WB,date
0,00:00:00,0,0,2,4,2019-06-04
1,00:15:00,0,0,1,3,2019-06-04
2,00:30:00,0,0,3,2,2019-06-04
3,00:45:00,0,0,2,7,2019-06-04
4,01:00:00,0,0,1,0,2019-06-04
5,01:15:00,0,0,0,2,2019-06-04
6,01:30:00,0,0,1,2,2019-06-04
7,01:45:00,0,0,0,3,2019-06-04
8,02:00:00,0,0,1,1,2019-06-04
9,02:15:00,0,0,0,1,2019-06-04
10,02:30:00,0,0,0,2,2019-06-04
11,02:45:00,0,0,0,0,2019-06-04
12,03:00:00,0,0,1,1,2019-06-04
13,03:15:00,0,0,2,4,2019-06-04
14,03:30:00,0,0,1,1,2019-06-04
15,03:45:00,0,0,0,1,2019-06-04
16,04:00:00,0,0,3,2,2019-06-04
17,04:15:00,0,0,0,2,2019-06-04
18,04:30:00,0,0,3,1,2019-06-04
19,04:45:00,0,0,10,1,2019-06-04
20,05:00:00,0,0,13,4,2019-06-04
21,05:15:00,0,0,15,3,2019-06-04
22,05:30:00,0,0,24,4,2019-06-04
23,05:45:00,0,0,33,7,2019-06-04
24,06:00:00,0,0,41,3,2019-06-04
25,06:15:00,0,0,32,10,2019-06-04
26,06:30:00,0,0,69,11,2019-06-04
27,06:45:00,0,0,88,30,2019-06-04
28,07:00:00,0,0,88,22,2019-06-04
29,07:15:00,0,0,126,27,2019-06-04
30,07:30:00,0,0,219,34,2019-06-04
31,07:45:00,0,0,160,72,2019-06-04
32,08:00:00,0,0,177,68,2019-06-04
33,08:15:00,0,0,196,60,2019-06-04
34,08:30:00,0,0,172,28,2019-06-04
35,08:45:00,0,0,138,36,2019-06-04
36,09:00:00,0,0,137,34,2019-06-04
37,09:15:00,0,0,105,33,2019-06-04
38,09:30:00,0,0,106,27,2019-06-04
39,09:45:00,0,0,92,34,2019-06-04
40,10:00:00,0,0,73,29,2019-06-04
41,10:15:00,0,0,58,17,2019-06-04
42,10:30:00,0,0,67,31,2019-06-04
43,10:45:00,0,0,65,37,2019-06-04
44,11:00:00,0,0,66,46,2019-06-04
45,11:15:00,0,0,62,39,2019-06-04
46,11:30:00,0,0,71,30,2019-06-04
47,11:45:00,0,0,70,25,2019-06-04
48,12:00:00,0,0,51,60,2019-06-04
