,TIME,NB,SB,EB,WB,date
0,00:00:00,21,15,0,0,2019-06-04
1,00:15:00,19,11,0,0,2019-06-04
2,00:30:00,6,13,0,0,2019-06-04
3,00:45:00,8,11,0,0,2019-06-04
4,01:00:00,12,6,0,0,2019-06-04
5,01:15:00,5,4,0,0,2019-06-04
6,01:30:00,11,4,0,0,2019-06-04
7,01:45:00,3,4,0,0,2019-06-04
8,02:00:00,5,3,0,0,2019-06-04
9,02:15:00,9,2,0,0,2019-06-04
10,02:30:00,5,3,0,0,2019-06-04
11,02:45:00,6,7,0,0,2019-06-04
12,03:00:00,4,8,0,0,2019-06-04
13,03:15:00,10,8,0,0,2019-06-04
14,03:30:00,6,10,0,0,2019-06-04
15,03:45:00,6,13,0,0,2019-06-04
16,04:00:00,6,12,0,0,2019-06-04
17,04:15:00,9,14,0,0,2019-06-04
18,04:30:00,17,19,0,0,2019-06-04
19,04:45:00,23,35,0,0,2019-06-04
20,05:00:00,21,30,0,0,2019-06-04
21,05:15:00,28,36,0,0,2019-06-04
22,05:30:00,32,66,0,0,2019-06-04
23,05:45:00,32,61,0,0,2019-06-04
24,06:00:00,49,64,0,0,2019-06-04
25,06:15:00,57,62,0,0,2019-06-04
26,06:30:00,74,64,0,0,2019-06-04
27,06:45:00,75,87,0,0,2019-06-04
28,07:00:00,95,87,0,0,2019-06-04
29,07:15:00,125,87,0,0,2019-06-04
30,07:30:00,204,99,0,0,2019-06-04
31,07:45:00,200,152,0,0,2019-06-04
32,08:00:00,193,163,0,0,2019-06-04
33,08:15:00,147,142,0,0,2019-06-04
34,08:30:00,164,124,0,0,2019-06-04
35,08:45:00,162,192,0,0,2019-06-04
36,09:00:00,135,144,0,0,2019-06-04
37,09:15:00,134,162,0,0,2019-06-04
38,09:30:00,131,128,0,0,2019-06-04
39,09:45:00,127,131,0,0,2019-06-04
40,10:00:00,122,124,0,0,2019-06-04
41,10:15:00,134,113,0,0,2019-06-04
42,10:30:00,132,121,0,0,2019-06-04
43,10:45:00,125,116,0,0,2019-06-04
44,11:00:00,143,119,0,0,2019-06-04
45,11:15:00,164,130,0,0,2019-06-04
46,11:30:00,193,153,0,0,2019-06-04
47,11:45:00,189,186,0,0,2019-06-04
48,12:00:00,267,191,0,0,2019-06-04
49,12:15:00,249,194,0,0,2019-06-04
50,12:30:00,237,197,0,0,2019-06-04
51,12:45:00,196,195,0,0,2019-06-04
52,13:00:00,233,207,0,0,2019-06-04
53,13:15:00,221,202,0,0,2019-06-04
54,13:30:00,261,178,0,0,2019-06-04
55,13:45:00,212,161,0,0,2019-06-04
56,14:00:00,204,158,0,0,2019-06-04
57,14:15:00,243,173,0,0,2019-06-04
58,14:30:00,335,156,0,0,2019-06-04
59,14:45:00,249,154,0,0,2019-06-04
60,15:00:00,248,158,0,0,2019-06-04
61,15:15:00,231,158,0,0,2019-06-04
62,15:30:00,234,191,0,0,2019-06-04
63,15:45:00,230,161,0,0,2019-06-04
64,16:00:00,225,174,0,0,2019-06-04
65,16:15:00,268,164,0,0,2019-06-04
66,16:30:00,268,182,0,0,2019-06-04
67,16:45:00,262,141,0,0,2019-06-04
