,TIME,NB,SB,EB,WB,date
0,00:00:00,13,2,0,0,2019-06-04
1,00:15:00,9,3,0,0,2019-06-04
2,00:30:00,5,4,0,0,2019-06-04
3,00:45:00,11,7,0,0,2019-06-04
4,01:00:00,11,7,0,0,2019-06-04
5,01:15:00,3,1,0,0,2019-06-04
6,01:30:00,11,3,0,0,2019-06-04
7,01:45:00,4,2,0,0,2019-06-04
8,02:00:00,4,2,0,0,2019-06-04
9,02:15:00,4,2,0,0,2019-06-04
10,02:30:00,3,2,0,0,2019-06-04
11,02:45:00,3,3,0,0,2019-06-04
12,03:00:00,9,5,0,0,2019-06-04
13,03:15:00,6,3,0,0,2019-06-04
14,03:30:00,5,1,0,0,2019-06-04
15,03:45:00,7,5,0,0,2019-06-04
16,04:00:00,6,7,0,0,2019-06-04
17,04:15:00,9,7,0,0,2019-06-04
18,04:30:00,15,19,0,0,2019-06-04
19,04:45:00,24,39,0,0,2019-06-04
20,05:00:00,19,39,0,0,2019-06-04
21,05:15:00,28,52,0,0,2019-06-04
22,05:30:00,35,75,0,0,2019-06-04
23,05:45:00,55,61,0,0,2019-06-04
24,06:00:00,60,76,0,0,2019-06-04
25,06:15:00,58,58,0,0,2019-06-04
26,06:30:00,68,95,0,0,2019-06-04
27,06:45:00,96,88,0,0,2019-06-04
28,07:00:00,96,111,0,0,2019-06-04
29,07:15:00,91,126,0,0,2019-06-04
30,07:30:00,151,185,0,0,2019-06-04
31,07:45:00,157,212,0,0,2019-06-04
32,08:00:00,98,272,0,0,2019-06-04
33,08:15:00,86,281,0,0,2019-06-04
34,08:30:00,110,255,0,0,2019-06-04
35,08:45:00,88,226,0,0,2019-06-04
36,09:00:00,78,217,0,0,2019-06-04
37,09:15:00,78,175,0,0,2019-06-04
38,09:30:00,78,176,0,0,2019-06-04
39,09:45:00,89,175,0,0,2019-06-04
40,10:00:00,94,148,0,0,2019-06-04
41,10:15:00,119,153,0,0,2019-06-04
42,10:30:00,96,115,0,0,2019-06-04
43,10:45:00,81,158,0,0,2019-06-04
44,11:00:00,112,131,0,0,2019-06-04
45,11:15:00,111,143,0,0,2019-06-04
46,11:30:00,120,151,0,0,2019-06-04
47,11:45:00,105,142,0,0,2019-06-04
48,12:00:00,144,143,0,0,2019-06-04
49,12:15:00,127,143,0,0,2019-06-04
50,12:30:00,146,133,0,0,2019-06-04
51,12:45:00,115,122,0,0,2019-06-04
52,13:00:00,136,139,0,0,2019-06-04
53,13:15:00,136,124,0,0,2019-06-04
54,13:30:00,153,119,0,0,2019-06-04
55,13:45:00,126,100,0,0,2019-06-04
56,14:00:00,169,122,0,0,2019-06-04
57,14:15:00,266,133,0,0,2019-06-04
58,14:30:00,335,161,0,0,2019-06-04
59,14:45:00,454,150,0,0,2019-06-04
60,15:00:00,387,143,0,0,2019-06-04
61,15:15:00,264,191,0,0,2019-06-04
62,15:30:00,320,209,0,0,2019-06-04
63,15:45:00,439,179,0,0,2019-06-04
64,16:00:00,378,155,0,0,2019-06-04
65,16:15:00,415,133,0,0,2019-06-04
66,16:30:00,470,150,0,0,2019-06-04
67,16:45:00,369,169,0,0,2019-06-04
68,17:00:00,374,177,0,0,2019-06-04
69,17:15:00,456,173,0,0,2019-06-04
70,17:30:00,449,190,0,0,2019-06-04
71,17:45:00,504,185,0,0,2019-06-04
72,18:00:00,444,178,0,0,2019-06-04
73,18:15:00,398,152,0,0,2019-06-04
74,18:30:00,381,186,0,0,2019-06-04
75,18:45:00,365,139,0,0,2019-06-04
76,19:00:00,359,119,0,0,2019-06-04
77,19:15:00,288,116,0,0,2019-06-04
78,19:30:00,222,100,0,0,2019-06-04
79,19:45:00,193,117,0,0,2019-06-04
80,20:00:00,155,99,0,0,2019-06-04
81,20:15:00,116,80,0,0,2019-06-04
82,20:30:00,109,72,0,0,2019-06-04
83,20:45:00,114,71,0,0,2019-06-04
84,21:00:00,101,57,0,0,2019-06-04
85,21:15:00,72,46,0,0,2019-06-04
86,21:30:00,71,46,0,0,2019-06-04
87,21:45:00,41,44,0,0,2019-06-04
88,22:00:00,73,34,0,0,2019-06-04
89,22:15:00,79,35,0,0,2019-06-04
90,22:30:00,70,16,0,0,2019-06-04
91,22:45:00,54,20,0,0,2019-06-04
92,23:00:00,37,18,0,0,2019-06-04
93,23:15:00,25,13,0,0,2019-06-04
94,23:30:00,21,9,0,0,2019-06-04
95,23:45:00,25,15,0,0,2019-06-04
96,00:00:00,17,10,0,0,2019-06-05
97,00:15:00,17,7,0,0,2019-06-05
98,00:30:00,14,7,0,0,2019-06-05
99,00:45:00,10,6,0,0,2019-06-05
100,01:00:00,11,6,0,0,2019-06-05
101,01:15:00,1,1,0,0,2019-06-05
102,01:30:00,4,3,0,0,2019-06-05
103,01:45:00,3,2,0,0,2019-06-05
104,02:00:00,3,2,0,0,2019-06-05
105,02:15:00,2,3,0,0,2019-06-05
106,02:30:00,4,2,0,0,2019-06-05
107,02:45:00,3,1,0,0,2019-06-05
108,03:00:00,3,5,0,0,2019-06-05
109,03:15:00,3,6,0,0,2019-06-05
110,03:30:00,7,4,0,0,2019-06-05
111,03:45:00,3,4,0,0,2019-06-05
112,04:00:00,8,3,0,0,2019-06-05
113,04:15:00,12,8,0,0,2019-06-05
114,04:30:00,17,13,0,0,2019-06-05
115,04:45:00,37,39,0,0,2019-06-05
116,05:00:00,21,36,0,0,2019-06-05
