,TIME,NB,SB,EB,WB,date
0,00:00:00,24,19,0,0,2019-06-04
1,00:15:00,18,16,0,0,2019-06-04
2,00:30:00,6,13,0,0,2019-06-04
3,00:45:00,6,12,0,0,2019-06-04
4,01:00:00,9,20,0,0,2019-06-04
5,01:15:00,6,5,0,0,2019-06-04
6,01:30:00,11,1,0,0,2019-06-04
7,01:45:00,4,4,0,0,2019-06-04
8,02:00:00,7,2,0,0,2019-06-04
9,02:15:00,4,2,0,0,2019-06-04
10,02:30:00,4,3,0,0,2019-06-04
11,02:45:00,8,8,0,0,2019-06-04
12,03:00:00,8,7,0,0,2019-06-04
13,03:15:00,8,5,0,0,2019-06-04
14,03:30:00,9,4,0,0,2019-06-04
15,03:45:00,11,5,0,0,2019-06-04
16,04:00:00,9,5,0,0,2019-06-04
17,04:15:00,15,8,0,0,2019-06-04
18,04:30:00,30,18,0,0,2019-06-04
19,04:45:00,55,36,0,0,2019-06-04
20,05:00:00,53,46,0,0,2019-06-04
21,05:15:00,78,46,0,0,2019-06-04
22,05:30:00,89,73,0,0,2019-06-04
23,05:45:00,150,55,0,0,2019-06-04
24,06:00:00,124,80,0,0,2019-06-04
25,06:15:00,166,68,0,0,2019-06-04
26,06:30:00,168,101,0,0,2019-06-04
27,06:45:00,219,113,0,0,2019-06-04
28,07:00:00,229,133,0,0,2019-06-04
29,07:15:00,254,133,0,0,2019-06-04
30,07:30:00,295,170,0,0,2019-06-04
31,07:45:00,304,209,0,0,2019-06-04
32,08:00:00,279,279,0,0,2019-06-04
33,08:15:00,242,281,0,0,2019-06-04
34,08:30:00,251,275,0,0,2019-06-04
35,08:45:00,210,244,0,0,2019-06-04
36,09:00:00,175,224,0,0,2019-06-04
37,09:15:00,158,194,0,0,2019-06-04
38,09:30:00,151,196,0,0,2019-06-04
39,09:45:00,172,182,0,0,2019-06-04
40,10:00:00,156,173,0,0,2019-06-04
41,10:15:00,159,166,0,0,2019-06-04
42,10:30:00,128,150,0,0,2019-06-04
43,10:45:00,141,169,0,0,2019-06-04
44,11:00:00,168,159,0,0,2019-06-04
45,11:15:00,169,169,0,0,2019-06-04
46,11:30:00,161,195,0,0,2019-06-04
47,11:45:00,179,190,0,0,2019-06-04
48,12:00:00,181,208,0,0,2019-06-04
49,12:15:00,205,186,0,0,2019-06-04
50,12:30:00,180,193,0,0,2019-06-04
51,12:45:00,180,198,0,0,2019-06-04
52,13:00:00,175,173,0,0,2019-06-04
53,13:15:00,180,181,0,0,2019-06-04
54,13:30:00,202,180,0,0,2019-06-04
55,13:45:00,163,205,0,0,2019-06-04
