,TIME,NB,SB,EB,WB,date
0,00:00:00,0,0,23,22,2019-06-04
1,00:15:00,0,0,12,28,2019-06-04
2,00:30:00,0,0,17,26,2019-06-04
3,00:45:00,0,0,13,8,2019-06-04
4,01:00:00,0,0,7,18,2019-06-04
5,01:15:00,0,0,13,13,2019-06-04
6,01:30:00,0,0,7,7,2019-06-04
7,01:45:00,0,0,5,7,2019-06-04
8,02:00:00,0,0,3,11,2019-06-04
9,02:15:00,0,0,8,5,2019-06-04
10,02:30:00,0,0,8,8,2019-06-04
11,02:45:00,0,0,6,6,2019-06-04
12,03:00:00,0,0,5,9,2019-06-04
13,03:15:00,0,0,8,16,2019-06-04
14,03:30:00,0,0,8,15,2019-06-04
15,03:45:00,0,0,17,19,2019-06-04
16,04:00:00,0,0,14,16,2019-06-04
17,04:15:00,0,0,23,13,2019-06-04
18,04:30:00,0,0,32,25,2019-06-04
19,04:45:00,0,0,48,29,2019-06-04
20,05:00:00,0,0,43,41,2019-06-04
21,05:15:00,0,0,71,64,2019-06-04
22,05:30:00,0,0,73,72,2019-06-04
23,05:45:00,0,0,124,74,2019-06-04
24,06:00:00,0,0,100,100,2019-06-04
25,06:15:00,0,0,135,160,2019-06-04
26,06:30:00,0,0,154,172,2019-06-04
27,06:45:00,0,0,153,184,2019-06-04
28,07:00:00,0,0,180,224,2019-06-04
29,07:15:00,0,0,223,347,2019-06-04
30,07:30:00,0,0,276,347,2019-06-04
31,07:45:00,0,0,319,411,2019-06-04
32,08:00:00,0,0,310,471,2019-06-04
33,08:15:00,0,0,248,439,2019-06-04
34,08:30:00,0,0,234,480,2019-06-04
35,08:45:00,0,0,225,423,2019-06-04
36,09:00:00,0,0,209,437,2019-06-04
37,09:15:00,0,0,163,367,2019-06-04
38,09:30:00,0,0,161,351,2019-06-04
39,09:45:00,0,0,137,339,2019-06-04
40,10:00:00,0,0,154,314,2019-06-04
41,10:15:00,0,0,131,249,2019-06-04
42,10:30:00,0,0,130,252,2019-06-04
43,10:45:00,0,0,142,244,2019-06-04
44,11:00:00,0,0,129,285,2019-06-04
45,11:15:00,0,0,123,239,2019-06-04
46,11:30:00,0,0,120,288,2019-06-04
47,11:45:00,0,0,105,277,2019-06-04
48,12:00:00,0,0,162,226,2019-06-04
49,12:15:00,0,0,116,188,2019-06-04
50,12:30:00,0,0,169,239,2019-06-04
51,12:45:00,0,0,154,250,2019-06-04
52,13:00:00,0,0,125,331,2019-06-04
53,13:15:00,0,0,131,392,2019-06-04
54,13:30:00,0,0,135,378,2019-06-04
55,13:45:00,0,0,103,435,2019-06-04
56,14:00:00,0,0,106,394,2019-06-04
57,14:15:00,0,0,124,496,2019-06-04
58,14:30:00,0,0,131,450,2019-06-04
59,14:45:00,0,0,139,431,2019-06-04
60,15:00:00,0,0,154,446,2019-06-04
61,15:15:00,0,0,141,576,2019-06-04
62,15:30:00,0,0,130,624,2019-06-04
63,15:45:00,0,0,159,540,2019-06-04
64,16:00:00,0,0,152,422,2019-06-04
65,16:15:00,0,0,178,578,2019-06-04
66,16:30:00,0,0,148,397,2019-06-04
67,16:45:00,0,0,163,425,2019-06-04
68,17:00:00,0,0,212,470,2019-06-04
69,17:15:00,0,0,221,538,2019-06-04
70,17:30:00,0,0,237,357,2019-06-04
71,17:45:00,0,0,234,493,2019-06-04
72,18:00:00,0,0,215,540,2019-06-04
73,18:15:00,0,0,174,511,2019-06-04
74,18:30:00,0,0,142,420,2019-06-04
75,18:45:00,0,0,122,415,2019-06-04
76,19:00:00,0,0,129,368,2019-06-04
77,19:15:00,0,0,144,350,2019-06-04
78,19:30:00,0,0,107,336,2019-06-04
79,19:45:00,0,0,138,248,2019-06-04
80,20:00:00,0,0,121,205,2019-06-04
81,20:15:00,0,0,102,205,2019-06-04
82,20:30:00,0,0,97,239,2019-06-04
83,20:45:00,0,0,91,189,2019-06-04
84,21:00:00,0,0,88,246,2019-06-04
85,21:15:00,0,0,86,198,2019-06-04
86,21:30:00,0,0,83,137,2019-06-04
87,21:45:00,0,0,66,155,2019-06-04
88,22:00:00,0,0,62,142,2019-06-04
89,22:15:00,0,0,59,162,2019-06-04
90,22:30:00,0,0,48,80,2019-06-04
91,22:45:00,0,0,41,82,2019-06-04
92,23:00:00,0,0,20,50,2019-06-04
93,23:15:00,0,0,47,64,2019-06-04
94,23:30:00,0,0,28,73,2019-06-04
95,23:45:00,0,0,31,50,2019-06-04
96,00:00:00,0,0,20,23,2019-06-05
97,00:15:00,0,0,21,32,2019-06-05
98,00:30:00,0,0,16,17,2019-06-05
99,00:45:00,0,0,7,19,2019-06-05
100,01:00:00,0,0,6,22,2019-06-05
101,01:15:00,0,0,10,7,2019-06-05
102,01:30:00,0,0,15,14,2019-06-05
103,01:45:00,0,0,10,16,2019-06-05
104,02:00:00,0,0,7,12,2019-06-05
105,02:15:00,0,0,7,12,2019-06-05
106,02:30:00,0,0,8,4,2019-06-05
107,02:45:00,0,0,7,7,2019-06-05
108,03:00:00,0,0,5,15,2019-06-05
109,03:15:00,0,0,6,15,2019-06-05
110,03:30:00,0,0,11,15,2019-06-05
111,03:45:00,0,0,12,20,2019-06-05
112,04:00:00,0,0,20,25,2019-06-05
113,04:15:00,0,0,18,10,2019-06-05
114,04:30:00,0,0,27,29,2019-06-05
115,04:45:00,0,0,43,29,2019-06-05
116,05:00:00,0,0,55,33,2019-06-05
117,05:15:00,0,0,57,56,2019-06-05
118,05:30:00,0,0,80,77,2019-06-05
119,05:45:00,0,0,108,88,2019-06-05
120,06:00:00,0,0,102,111,2019-06-05
121,06:15:00,0,0,123,128,2019-06-05
122,06:30:00,0,0,155,188,2019-06-05
123,06:45:00,0,0,165,198,2019-06-05
